pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	229.886	54.3018	0.236212	0.503943	0.0568372	4.71049
20 <pt<25 	3<chiso range<9 	229.886	54.3018	0.236212	0.496409	0.0561243	4.63609
20 <pt<25 	3<chiso range<10 	229.886	54.3018	0.236212	0.462479	0.0526338	4.29889
20 <pt<25 	3<chiso range<11 	229.886	54.3018	0.236212	0.471378	0.0539156	4.36175
20 <pt<25 	3<chiso range<12 	229.886	54.3018	0.236212	0.46037	0.0527545	4.24908
20 <pt<25 	3<chiso range<13 	229.886	54.3018	0.236212	0.447274	0.0512367	4.11935
20 <pt<25 	4<chiso range<9 	229.886	54.3018	0.236212	0.523862	0.0593719	4.84489
20 <pt<25 	4<chiso range<10 	229.886	54.3018	0.236212	0.477986	0.054658	4.4234
20 <pt<25 	4<chiso range<11 	229.886	54.3018	0.236212	0.486232	0.0559193	4.47109
20 <pt<25 	4<chiso range<12 	229.886	54.3018	0.236212	0.471758	0.0543637	4.33278
20 <pt<25 	4<chiso range<13 	229.886	54.3018	0.236212	0.455506	0.0524526	4.18081
20 <pt<25 	5<chiso range<10 	229.886	54.3018	0.236212	0.498407	0.0576861	4.5452
20 <pt<25 	5<chiso range<11 	229.886	54.3018	0.236212	0.505215	0.0588746	4.56909
20 <pt<25 	5<chiso range<12 	229.886	54.3018	0.236212	0.485462	0.0566394	4.40065
20 <pt<25 	5<chiso range<13 	229.886	54.3018	0.236212	0.464953	0.0541328	4.22556
20 <pt<25 	6<chiso range<11 	229.886	54.3018	0.236212	0.456691	0.0539414	4.08738
20 <pt<25 	6<chiso range<12 	229.886	54.3018	0.236212	0.439328	0.0518545	3.91704
20 <pt<25 	6<chiso range<13 	229.886	54.3018	0.236212	0.420754	0.0494656	3.73072
20 <pt<25 	7<chiso range<12 	229.886	54.3018	0.236212	0.417697	0.0495424	3.66323
20 <pt<25 	7<chiso range<13 	229.886	54.3018	0.236212	0.397607	0.0469137	3.44026
20 <pt<25 	8<chiso range<13 	229.886	54.3018	0.236212	0.35733	0.0421411	2.87411
#######################################################################################
25 <pt<30 	3<chiso range<8 	106.039	25.7279	0.242627	0.441503	0.0742194	2.67957
25 <pt<30 	3<chiso range<9 	106.039	25.7279	0.242627	0.445191	0.0742144	2.72945
25 <pt<30 	3<chiso range<10 	106.039	25.7279	0.242627	0.44112	0.0736037	2.69678
25 <pt<30 	3<chiso range<11 	106.039	25.7279	0.242627	0.428427	0.0712372	2.60819
25 <pt<30 	3<chiso range<12 	106.039	25.7279	0.242627	0.425951	0.0708053	2.58913
25 <pt<30 	3<chiso range<13 	106.039	25.7279	0.242627	0.434611	0.0719708	2.66753
25 <pt<30 	4<chiso range<9 	106.039	25.7279	0.242627	0.439765	0.0732406	2.69165
25 <pt<30 	4<chiso range<10 	106.039	25.7279	0.242627	0.435677	0.0726533	2.65714
25 <pt<30 	4<chiso range<11 	106.039	25.7279	0.242627	0.421597	0.0700341	2.55547
25 <pt<30 	4<chiso range<12 	106.039	25.7279	0.242627	0.419355	0.069647	2.53749
25 <pt<30 	4<chiso range<13 	106.039	25.7279	0.242627	0.429371	0.0710146	2.62966
25 <pt<30 	5<chiso range<10 	106.039	25.7279	0.242627	0.436598	0.0725737	2.67275
25 <pt<30 	5<chiso range<11 	106.039	25.7279	0.242627	0.418926	0.0693768	2.54118
25 <pt<30 	5<chiso range<12 	106.039	25.7279	0.242627	0.41678	0.0690103	2.52358
25 <pt<30 	5<chiso range<13 	106.039	25.7279	0.242627	0.428297	0.0706318	2.62871
25 <pt<30 	6<chiso range<11 	106.039	25.7279	0.242627	0.43999	0.0728431	2.70943
25 <pt<30 	6<chiso range<12 	106.039	25.7279	0.242627	0.434391	0.0719009	2.66706
25 <pt<30 	6<chiso range<13 	106.039	25.7279	0.242627	0.447788	0.0737596	2.78149
