pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	229.886	54.3018	35.8359	44.1202	45.0389	2.12404	0.828532
20 <pt<25 	3<chiso range<9 	229.886	54.3018	35.8359	43.4606	45.7976	2.28994	0.897483
20 <pt<25 	3<chiso range<10 	229.886	54.3018	35.8359	40.49	49.3268	3.1093	1.22882
20 <pt<25 	3<chiso range<11 	229.886	54.3018	35.8359	41.2691	49.3876	2.86308	1.22533
20 <pt<25 	3<chiso range<12 	229.886	54.3018	35.8359	40.3054	50.5554	3.14202	1.3365
20 <pt<25 	3<chiso range<13 	229.886	54.3018	35.8359	39.1589	51.674	3.50019	1.44841
20 <pt<25 	4<chiso range<9 	229.886	54.3018	35.8359	45.8642	43.977	1.68443	0.7226
20 <pt<25 	4<chiso range<10 	229.886	54.3018	35.8359	41.8477	48.675	2.69886	1.15632
20 <pt<25 	4<chiso range<11 	229.886	54.3018	35.8359	42.5697	48.9778	2.48399	1.17544
20 <pt<25 	4<chiso range<12 	229.886	54.3018	35.8359	41.3025	50.4399	2.83062	1.31383
20 <pt<25 	4<chiso range<13 	229.886	54.3018	35.8359	39.8796	51.7688	3.25506	1.44647
20 <pt<25 	5<chiso range<10 	229.886	54.3018	35.8359	43.6355	48.3385	2.18813	1.10311
20 <pt<25 	5<chiso range<11 	229.886	54.3018	35.8359	44.2316	49.0522	2.02314	1.15915
20 <pt<25 	5<chiso range<12 	229.886	54.3018	35.8359	42.5022	50.8828	2.46392	1.33229
20 <pt<25 	5<chiso range<13 	229.886	54.3018	35.8359	40.7066	52.398	2.97076	1.48464
20 <pt<25 	6<chiso range<11 	229.886	54.3018	35.8359	39.9833	54.5931	3.1367	1.66834
20 <pt<25 	6<chiso range<12 	229.886	54.3018	35.8359	38.4632	56.0877	3.60953	1.81941
20 <pt<25 	6<chiso range<13 	229.886	54.3018	35.8359	36.8371	57.2247	4.17349	1.94564
20 <pt<25 	7<chiso range<12 	229.886	54.3018	35.8359	36.5694	59.3177	4.22825	2.13568
20 <pt<25 	7<chiso range<13 	229.886	54.3018	35.8359	34.8105	60.2833	4.90988	2.25251
20 <pt<25 	8<chiso range<13 	229.886	54.3018	35.8359	31.2843	63.4935	6.45502	2.59723
#######################################################################################
25 <pt<30 	3<chiso range<8 	106.039	25.7279	23.1041	20.9085	27.87	1.41172	0.5821
25 <pt<30 	3<chiso range<9 	106.039	25.7279	23.1041	21.0831	27.243	1.36136	0.508079
25 <pt<30 	3<chiso range<10 	106.039	25.7279	23.1041	20.8904	27.4563	1.42952	0.534861
25 <pt<30 	3<chiso range<11 	106.039	25.7279	23.1041	20.2893	27.8578	1.66089	0.58996
25 <pt<30 	3<chiso range<12 	106.039	25.7279	23.1041	20.172	27.9672	1.7071	0.604553
25 <pt<30 	3<chiso range<13 	106.039	25.7279	23.1041	20.5821	27.3578	1.55585	0.528076
25 <pt<30 	4<chiso range<9 	106.039	25.7279	23.1041	20.8262	27.4489	1.45584	0.535388
25 <pt<30 	4<chiso range<10 	106.039	25.7279	23.1041	20.6326	27.6711	1.52546	0.563144
25 <pt<30 	4<chiso range<11 	106.039	25.7279	23.1041	19.9658	28.1172	1.79003	0.624896
25 <pt<30 	4<chiso range<12 	106.039	25.7279	23.1041	19.8596	28.2223	1.83317	0.638961
25 <pt<30 	4<chiso range<13 	106.039	25.7279	23.1041	20.3339	27.5303	1.65298	0.551607
25 <pt<30 	5<chiso range<10 	106.039	25.7279	23.1041	20.6762	27.4391	1.51436	0.535645
25 <pt<30 	5<chiso range<11 	106.039	25.7279	23.1041	19.8393	28.0679	1.847	0.621221
25 <pt<30 	5<chiso range<12 	106.039	25.7279	23.1041	19.7377	28.1636	1.88887	0.634038
25 <pt<30 	5<chiso range<13 	106.039	25.7279	23.1041	20.2831	27.4126	1.6779	0.538549
25 <pt<30 	6<chiso range<11 	106.039	25.7279	23.1041	20.8369	27.0539	1.46113	0.488814
