pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.8953	0.428411	0.413058	0.0415118	0.369847
20 <pt<25 	3<chiso range<9 	128.137	54.8953	0.428411	0.404722	0.0407487	0.581344
20 <pt<25 	3<chiso range<10 	128.137	54.8953	0.428411	0.382612	0.0386834	1.18394
20 <pt<25 	3<chiso range<11 	128.137	54.8953	0.428411	0.390746	0.0395233	0.952982
20 <pt<25 	3<chiso range<12 	128.137	54.8953	0.428411	0.384673	0.0389076	1.12415
20 <pt<25 	3<chiso range<13 	128.137	54.8953	0.428411	0.373685	0.0377503	1.44968
20 <pt<25 	4<chiso range<9 	128.137	54.8953	0.428411	0.424799	0.0427638	0.0844639
20 <pt<25 	4<chiso range<10 	128.137	54.8953	0.428411	0.394402	0.0399116	0.852108
20 <pt<25 	4<chiso range<11 	128.137	54.8953	0.428411	0.403322	0.0408345	0.614407
20 <pt<25 	4<chiso range<12 	128.137	54.8953	0.428411	0.395088	0.0399965	0.833148
20 <pt<25 	4<chiso range<13 	128.137	54.8953	0.428411	0.381327	0.0385453	1.22152
20 <pt<25 	5<chiso range<10 	128.137	54.8953	0.428411	0.407942	0.0415821	0.492255
20 <pt<25 	5<chiso range<11 	128.137	54.8953	0.428411	0.417696	0.0425717	0.251693
20 <pt<25 	5<chiso range<12 	128.137	54.8953	0.428411	0.406312	0.0413784	0.534071
20 <pt<25 	5<chiso range<13 	128.137	54.8953	0.428411	0.38884	0.0395001	1.00179
20 <pt<25 	6<chiso range<11 	128.137	54.8953	0.428411	0.380071	0.0392603	1.23127
20 <pt<25 	6<chiso range<12 	128.137	54.8953	0.428411	0.370937	0.0382132	1.50404
20 <pt<25 	6<chiso range<13 	128.137	54.8953	0.428411	0.354485	0.0363515	2.03364
20 <pt<25 	7<chiso range<12 	128.137	54.8953	0.428411	0.360497	0.0370471	1.83318
20 <pt<25 	7<chiso range<13 	128.137	54.8953	0.428411	0.340966	0.0348573	2.50866
20 <pt<25 	8<chiso range<13 	128.137	54.8953	0.428411	0.310505	0.0316532	3.72493
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.1328	0.365966	0.365055	0.054556	0.0167009
25 <pt<30 	3<chiso range<9 	71.4077	26.1328	0.365966	0.362496	0.0542935	0.0639144
25 <pt<30 	3<chiso range<10 	71.4077	26.1328	0.365966	0.353741	0.0529536	0.230865
25 <pt<30 	3<chiso range<11 	71.4077	26.1328	0.365966	0.340104	0.0509184	0.507913
25 <pt<30 	3<chiso range<12 	71.4077	26.1328	0.365966	0.338834	0.0506494	0.535685
25 <pt<30 	3<chiso range<13 	71.4077	26.1328	0.365966	0.342287	0.0511927	0.462549
25 <pt<30 	4<chiso range<9 	71.4077	26.1328	0.365966	0.351657	0.0527136	0.271451
25 <pt<30 	4<chiso range<10 	71.4077	26.1328	0.365966	0.342713	0.0513396	0.452928
25 <pt<30 	4<chiso range<11 	71.4077	26.1328	0.365966	0.32838	0.0491938	0.764042
25 <pt<30 	4<chiso range<12 	71.4077	26.1328	0.365966	0.327958	0.0490386	0.775066
25 <pt<30 	4<chiso range<13 	71.4077	26.1328	0.365966	0.332386	0.0497296	0.675254
25 <pt<30 	5<chiso range<10 	71.4077	26.1328	0.365966	0.33562	0.0504066	0.602027
25 <pt<30 	5<chiso range<11 	71.4077	26.1328	0.365966	0.319428	0.0479556	0.970442
25 <pt<30 	5<chiso range<12 	71.4077	26.1328	0.365966	0.319899	0.0479075	0.961585
25 <pt<30 	5<chiso range<13 	71.4077	26.1328	0.365966	0.325531	0.0487824	0.828888
25 <pt<30 	6<chiso range<11 	71.4077	26.1328	0.365966	0.329425	0.0495127	0.738015
25 <pt<30 	6<chiso range<12 	71.4077	26.1328	0.365966	0.328695	0.049238	0.756959
25 <pt<30 	6<chiso range<13 	71.4077	26.1328	0.365966	0.33514	0.0502412	0.613563
25 <pt<30 	7<chiso range<12 	71.4077	26.1328	0.365966	0.307739	0.0462088	1.26009
25 <pt<30 	7<chiso range<13 	71.4077	26.1328	0.365966	0.317184	0.047664	1.02346
25 <pt<30 	8<chiso range<13 	71.4077	26.1328	0.365966	0.308342	0.0461659	1.2482
#######################################################################################
30 <pt<35 	3<chiso range<8 	44.8924	16.0952	0.358528	0.306136	0.0630542	0.83091
30 <pt<35 	3<chiso range<9 	44.8924	16.0952	0.358528	0.29308	0.0604345	1.08296
30 <pt<35 	3<chiso range<10 	44.8924	16.0952	0.358528	0.291198	0.0600484	1.12127
30 <pt<35 	3<chiso range<11 	44.8924	16.0952	0.358528	0.294811	0.0608826	1.04656
30 <pt<35 	3<chiso range<12 	44.8924	16.0952	0.358528	0.283354	0.0585901	1.28306
30 <pt<35 	3<chiso range<13 	44.8924	16.0952	0.358528	0.274177	0.0567001	1.48768
30 <pt<35 	4<chiso range<9 	44.8924	16.0952	0.358528	0.303361	0.0626645	0.880361
30 <pt<35 	4<chiso range<10 	44.8924	16.0952	0.358528	0.299623	0.061879	0.951945
30 <pt<35 	4<chiso range<11 	44.8924	16.0952	0.358528	0.303062	0.0626957	0.884692
30 <pt<35 	4<chiso range<12 	44.8924	16.0952	0.358528	0.288589	0.0597836	1.16988
30 <pt<35 	4<chiso range<13 	44.8924	16.0952	0.358528	0.277479	0.0574842	1.40994
30 <pt<35 	5<chiso range<10 	44.8924	16.0952	0.358528	0.292944	0.0608694	1.07746
30 <pt<35 	5<chiso range<11 	44.8924	16.0952	0.358528	0.297942	0.0620046	0.977127
30 <pt<35 	5<chiso range<12 	44.8924	16.0952	0.358528	0.281234	0.0585868	1.31931
30 <pt<35 	5<chiso range<13 	44.8924	16.0952	0.358528	0.26865	0.0559431	1.6066
