pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.8953	51.4713	4.97389	0.688395
20 <pt<25 	3<chiso range<9 	54.8953	50.4326	4.88319	0.91389
20 <pt<25 	3<chiso range<10 	54.8953	47.6775	4.63724	1.55649
20 <pt<25 	3<chiso range<11 	54.8953	48.691	4.7381	1.30945
20 <pt<25 	3<chiso range<12 	54.8953	47.9343	4.66428	1.49241
20 <pt<25 	3<chiso range<13 	54.8953	46.565	4.52509	1.84091
20 <pt<25 	4<chiso range<9 	54.8953	52.9343	5.12461	0.382663
20 <pt<25 	4<chiso range<10 	54.8953	49.1466	4.78483	1.20144
20 <pt<25 	4<chiso range<11 	54.8953	50.2581	4.89566	0.947206
20 <pt<25 	4<chiso range<12 	54.8953	49.2321	4.79516	1.18102
20 <pt<25 	4<chiso range<13 	54.8953	47.5173	4.62061	1.59676
20 <pt<25 	5<chiso range<10 	54.8953	50.8338	4.98798	0.814257
20 <pt<25 	5<chiso range<11 	54.8953	52.0493	5.10665	0.557313
20 <pt<25 	5<chiso range<12 	54.8953	50.6307	4.96319	0.859246
20 <pt<25 	5<chiso range<13 	54.8953	48.4535	4.73694	1.35991
20 <pt<25 	6<chiso range<11 	54.8953	47.3608	4.71436	1.5982
20 <pt<25 	6<chiso range<12 	54.8953	46.2226	4.58767	1.89044
20 <pt<25 	6<chiso range<13 	54.8953	44.1725	4.36262	2.45788
20 <pt<25 	7<chiso range<12 	54.8953	44.9216	4.44682	2.24288
20 <pt<25 	7<chiso range<13 	54.8953	42.4878	4.18228	2.96668
20 <pt<25 	8<chiso range<13 	54.8953	38.6921	3.79699	4.26738
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.1328	25.5542	3.70381	0.156218
25 <pt<30 	3<chiso range<9 	26.1328	25.3751	3.68651	0.205533
25 <pt<30 	3<chiso range<10 	26.1328	24.7622	3.59541	0.381208
25 <pt<30 	3<chiso range<11 	26.1328	23.8076	3.45725	0.672558
25 <pt<30 	3<chiso range<12 	26.1328	23.7187	3.43865	0.702049
25 <pt<30 	3<chiso range<13 	26.1328	23.9604	3.47565	0.625034
25 <pt<30 	4<chiso range<9 	26.1328	24.6164	3.57942	0.423644
25 <pt<30 	4<chiso range<10 	26.1328	23.9902	3.48598	0.614633
25 <pt<30 	4<chiso range<11 	26.1328	22.9869	3.34028	0.941807
25 <pt<30 	4<chiso range<12 	26.1328	22.9574	3.32935	0.95376
25 <pt<30 	4<chiso range<13 	26.1328	23.2674	3.37639	0.848658
25 <pt<30 	5<chiso range<10 	26.1328	23.4937	3.42318	0.77095
25 <pt<30 	5<chiso range<11 	26.1328	22.3603	3.25665	1.1584
25 <pt<30 	5<chiso range<12 	26.1328	22.3932	3.25287	1.14963
25 <pt<30 	5<chiso range<13 	26.1328	22.7875	3.31241	1.00993
25 <pt<30 	6<chiso range<11 	26.1328	23.0601	3.36262	0.913782
25 <pt<30 	6<chiso range<12 	26.1328	23.009	3.34327	0.934355
25 <pt<30 	6<chiso range<13 	26.1328	23.4601	3.41155	0.783427
25 <pt<30 	7<chiso range<12 	26.1328	21.542	3.13806	1.46294
25 <pt<30 	7<chiso range<13 	26.1328	22.2032	3.23704	1.21395
25 <pt<30 	8<chiso range<13 	26.1328	21.5843	3.13457	1.45108
#######################################################################################
30 <pt<35 	3<chiso range<8 	16.0952	13.6651	2.7468	0.884702
30 <pt<35 	3<chiso range<9 	16.0952	13.0823	2.63283	1.14436
30 <pt<35 	3<chiso range<10 	16.0952	12.9984	2.61601	1.18379
30 <pt<35 	3<chiso range<11 	16.0952	13.1596	2.65255	1.10671
30 <pt<35 	3<chiso range<12 	16.0952	12.6482	2.55283	1.35027
30 <pt<35 	3<chiso range<13 	16.0952	12.2386	2.47049	1.56107
30 <pt<35 	4<chiso range<9 	16.0952	13.5413	2.73022	0.935419
30 <pt<35 	4<chiso range<10 	16.0952	13.3744	2.69597	1.00921
30 <pt<35 	4<chiso range<11 	16.0952	13.5279	2.73178	0.93979
30 <pt<35 	4<chiso range<12 	16.0952	12.8819	2.60507	1.23348
30 <pt<35 	4<chiso range<13 	16.0952	12.386	2.50488	1.48079
30 <pt<35 	5<chiso range<10 	16.0952	13.0763	2.65278	1.13801
30 <pt<35 	5<chiso range<11 	16.0952	13.2994	2.70246	1.03454
30 <pt<35 	5<chiso range<12 	16.0952	12.5536	2.55362	1.38689
30 <pt<35 	5<chiso range<13 	16.0952	11.9919	2.43834	1.68283
30 <pt<35 	6<chiso range<11 	16.0952	12.9613	2.63725	1.18832
30 <pt<35 	6<chiso range<12 	16.0952	12.1632	2.47733	1.58719
30 <pt<35 	6<chiso range<13 	16.0952	11.5642	2.35398	1.92483
30 <pt<35 	7<chiso range<12 	16.0952	10.2479	2.09963	2.78492
30 <pt<35 	7<chiso range<13 	16.0952	9.71044	1.9867	3.21375
30 <pt<35 	8<chiso range<13 	16.0952	10.0492	2.04384	2.95816
#######################################################################################
