pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.3616	0.268537	0.451622	0.0346291	5.28702
20 <pt<25 	3<chiso range<9 	351.391	94.3616	0.268537	0.466628	0.0357901	5.53479
20 <pt<25 	3<chiso range<10 	351.391	94.3616	0.268537	0.478242	0.0366789	5.71731
20 <pt<25 	3<chiso range<11 	351.391	94.3616	0.268537	0.482574	0.0370048	5.78402
20 <pt<25 	3<chiso range<12 	351.391	94.3616	0.268537	0.475749	0.0364691	5.68184
20 <pt<25 	3<chiso range<13 	351.391	94.3616	0.268537	0.470583	0.0360844	5.59925
20 <pt<25 	4<chiso range<9 	351.391	94.3616	0.268537	0.435195	0.0333594	4.99582
20 <pt<25 	4<chiso range<10 	351.391	94.3616	0.268537	0.45312	0.0347341	5.31416
20 <pt<25 	4<chiso range<11 	351.391	94.3616	0.268537	0.460773	0.0353152	5.44343
20 <pt<25 	4<chiso range<12 	351.391	94.3616	0.268537	0.45525	0.0348869	5.35194
20 <pt<25 	4<chiso range<13 	351.391	94.3616	0.268537	0.451408	0.034607	5.28421
20 <pt<25 	5<chiso range<10 	351.391	94.3616	0.268537	0.455314	0.0349054	5.35094
20 <pt<25 	5<chiso range<11 	351.391	94.3616	0.268537	0.464213	0.0355805	5.49952
20 <pt<25 	5<chiso range<12 	351.391	94.3616	0.268537	0.457336	0.035048	5.38686
20 <pt<25 	5<chiso range<13 	351.391	94.3616	0.268537	0.452661	0.0347063	5.30519
20 <pt<25 	6<chiso range<11 	351.391	94.3616	0.268537	0.455009	0.0348072	5.35727
20 <pt<25 	6<chiso range<12 	351.391	94.3616	0.268537	0.448399	0.0343245	5.24004
20 <pt<25 	6<chiso range<13 	351.391	94.3616	0.268537	0.444209	0.0340352	5.16147
20 <pt<25 	7<chiso range<12 	351.391	94.3616	0.268537	0.482659	0.0370161	5.78456
20 <pt<25 	7<chiso range<13 	351.391	94.3616	0.268537	0.471568	0.0361769	5.61216
20 <pt<25 	8<chiso range<13 	351.391	94.3616	0.268537	0.496299	0.0380268	5.9895
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.4134	0.214337	0.395476	0.047969	3.77616
25 <pt<30 	3<chiso range<9 	183.885	39.4134	0.214337	0.418927	0.0508259	4.02531
25 <pt<30 	3<chiso range<10 	183.885	39.4134	0.214337	0.410564	0.0498081	3.93966
25 <pt<30 	3<chiso range<11 	183.885	39.4134	0.214337	0.425358	0.0515853	4.09072
25 <pt<30 	3<chiso range<12 	183.885	39.4134	0.214337	0.441389	0.0535919	4.23668
25 <pt<30 	3<chiso range<13 	183.885	39.4134	0.214337	0.430645	0.0523136	4.13483
25 <pt<30 	4<chiso range<9 	183.885	39.4134	0.214337	0.397932	0.0482333	3.80639
25 <pt<30 	4<chiso range<10 	183.885	39.4134	0.214337	0.391658	0.0474816	3.73452
25 <pt<30 	4<chiso range<11 	183.885	39.4134	0.214337	0.410186	0.0497105	3.93979
25 <pt<30 	4<chiso range<12 	183.885	39.4134	0.214337	0.42909	0.0520459	4.12622
25 <pt<30 	4<chiso range<13 	183.885	39.4134	0.214337	0.418464	0.0507957	4.01858
25 <pt<30 	5<chiso range<10 	183.885	39.4134	0.214337	0.399369	0.04842	3.82139
25 <pt<30 	5<chiso range<11 	183.885	39.4134	0.214337	0.421062	0.0510273	4.05126
25 <pt<30 	5<chiso range<12 	183.885	39.4134	0.214337	0.44253	0.0536795	4.25102
25 <pt<30 	5<chiso range<13 	183.885	39.4134	0.214337	0.42852	0.0520296	4.11656
25 <pt<30 	6<chiso range<11 	183.885	39.4134	0.214337	0.4303	0.0521816	4.13868
25 <pt<30 	6<chiso range<12 	183.885	39.4134	0.214337	0.455259	0.0552667	4.35926
25 <pt<30 	6<chiso range<13 	183.885	39.4134	0.214337	0.436858	0.0530923	4.19121
25 <pt<30 	7<chiso range<12 	183.885	39.4134	0.214337	0.48647	0.0591652	4.59954
25 <pt<30 	7<chiso range<13 	183.885	39.4134	0.214337	0.458895	0.0558839	4.37618
25 <pt<30 	8<chiso range<13 	183.885	39.4134	0.214337	0.479663	0.0583846	4.54445
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.0129	0.174914	0.28242	0.0439211	2.44771
30 <pt<40 	3<chiso range<9 	194.455	34.0129	0.174914	0.292328	0.0454713	2.58216
30 <pt<40 	3<chiso range<10 	194.455	34.0129	0.174914	0.283483	0.0440328	2.46564
30 <pt<40 	3<chiso range<11 	194.455	34.0129	0.174914	0.296904	0.0461723	2.64206
30 <pt<40 	3<chiso range<12 	194.455	34.0129	0.174914	0.29767	0.0462529	2.65402
30 <pt<40 	3<chiso range<13 	194.455	34.0129	0.174914	0.294297	0.0457867	2.60737
30 <pt<40 	4<chiso range<9 	194.455	34.0129	0.174914	0.286868	0.0445917	2.51065
30 <pt<40 	4<chiso range<10 	194.455	34.0129	0.174914	0.277462	0.043065	2.38124
30 <pt<40 	4<chiso range<11 	194.455	34.0129	0.174914	0.293296	0.0455865	2.59687
30 <pt<40 	4<chiso range<12 	194.455	34.0129	0.174914	0.29455	0.045742	2.61545
30 <pt<40 	4<chiso range<13 	194.455	34.0129	0.174914	0.291072	0.0452669	2.56607
30 <pt<40 	5<chiso range<10 	194.455	34.0129	0.174914	0.260048	0.0404015	2.1072
30 <pt<40 	5<chiso range<11 	194.455	34.0129	0.174914	0.280415	0.0436378	2.41765
30 <pt<40 	5<chiso range<12 	194.455	34.0129	0.174914	0.283455	0.0440594	2.46352
30 <pt<40 	5<chiso range<13 	194.455	34.0129	0.174914	0.280725	0.0437036	2.42111
30 <pt<40 	6<chiso range<11 	194.455	34.0129	0.174914	0.271833	0.0423156	2.29038
30 <pt<40 	6<chiso range<12 	194.455	34.0129	0.174914	0.276677	0.043007	2.3662
30 <pt<40 	6<chiso range<13 	194.455	34.0129	0.174914	0.27431	0.042717	2.32685
30 <pt<40 	7<chiso range<12 	194.455	34.0129	0.174914	0.303709	0.0472855	2.72377
30 <pt<40 	7<chiso range<13 	194.455	34.0129	0.174914	0.296705	0.0462978	2.6306
30 <pt<40 	8<chiso range<13 	194.455	34.0129	0.174914	0.309951	0.048256	2.79835
#######################################################################################
40 <pt<50 	3<chiso range<8 	87.718	13.9291	0.158794	0.268382	0.0601873	1.82078
40 <pt<50 	3<chiso range<9 	87.718	13.9291	0.158794	0.260758	0.0584882	1.74332
40 <pt<50 	3<chiso range<10 	87.718	13.9291	0.158794	0.266124	0.0597881	1.79517
40 <pt<50 	3<chiso range<11 	87.718	13.9291	0.158794	0.254175	0.0570516	1.67184
40 <pt<50 	3<chiso range<12 	87.718	13.9291	0.158794	0.262164	0.0588941	1.75518
40 <pt<50 	3<chiso range<13 	87.718	13.9291	0.158794	0.266877	0.0598548	1.80575
40 <pt<50 	4<chiso range<9 	87.718	13.9291	0.158794	0.265327	0.0596974	1.78455
40 <pt<50 	4<chiso range<10 	87.718	13.9291	0.158794	0.270695	0.0609904	1.83473
40 <pt<50 	4<chiso range<11 	87.718	13.9291	0.158794	0.256528	0.0577129	1.69345
40 <pt<50 	4<chiso range<12 	87.718	13.9291	0.158794	0.265246	0.0597262	1.78233
40 <pt<50 	4<chiso range<13 	87.718	13.9291	0.158794	0.270517	0.0607994	1.83757
40 <pt<50 	5<chiso range<10 	87.718	13.9291	0.158794	0.267278	0.0601676	1.80303
40 <pt<50 	5<chiso range<11 	87.718	13.9291	0.158794	0.25128	0.0564792	1.63752
40 <pt<50 	5<chiso range<12 	87.718	13.9291	0.158794	0.261956	0.0589402	1.75028
40 <pt<50 	5<chiso range<13 	87.718	13.9291	0.158794	0.268035	0.0601806	1.81522
40 <pt<50 	6<chiso range<11 	87.718	13.9291	0.158794	0.26477	0.0594608	1.78228
40 <pt<50 	6<chiso range<12 	87.718	13.9291	0.158794	0.275556	0.0619706	1.88415
40 <pt<50 	6<chiso range<13 	87.718	13.9291	0.158794	0.282164	0.0632998	1.94898
40 <pt<50 	7<chiso range<12 	87.718	13.9291	0.158794	0.251252	0.0565779	1.63417
40 <pt<50 	7<chiso range<13 	87.718	13.9291	0.158794	0.260451	0.0584571	1.739
40 <pt<50 	8<chiso range<13 	87.718	13.9291	0.158794	0.264824	0.0593879	1.78538
#######################################################################################
50 <pt<65 	3<chiso range<8 	63.9335	8.28573	0.129599	0.168832	0.0549279	0.71426
50 <pt<65 	3<chiso range<9 	63.9335	8.28573	0.129599	0.146582	0.0478261	0.355095
50 <pt<65 	3<chiso range<10 	63.9335	8.28573	0.129599	0.14841	0.0483669	0.388919
50 <pt<65 	3<chiso range<11 	63.9335	8.28573	0.129599	0.138537	0.0453441	0.197111
50 <pt<65 	3<chiso range<12 	63.9335	8.28573	0.129599	0.13149	0.0431575	0.0438118
50 <pt<65 	3<chiso range<13 	63.9335	8.28573	0.129599	0.127373	0.0419109	0.0531173
50 <pt<65 	4<chiso range<9 	63.9335	8.28573	0.129599	0.136094	0.0446388	0.145497
50 <pt<65 	4<chiso range<10 	63.9335	8.28573	0.129599	0.139515	0.0456628	0.217153
50 <pt<65 	4<chiso range<11 	63.9335	8.28573	0.129599	0.129756	0.0426671	0.00367513
50 <pt<65 	4<chiso range<12 	63.9335	8.28573	0.129599	0.122998	0.0405559	0.162768
50 <pt<65 	4<chiso range<13 	63.9335	8.28573	0.129599	0.119283	0.0394283	0.261644
50 <pt<65 	5<chiso range<10 	63.9335	8.28573	0.129599	0.148959	0.0484698	0.39942
50 <pt<65 	5<chiso range<11 	63.9335	8.28573	0.129599	0.135073	0.0442288	0.123761
50 <pt<65 	5<chiso range<12 	63.9335	8.28573	0.129599	0.126201	0.0414773	0.081929
50 <pt<65 	5<chiso range<13 	63.9335	8.28573	0.129599	0.121488	0.0400522	0.202516
50 <pt<65 	6<chiso range<11 	63.9335	8.28573	0.129599	0.124397	0.0408885	0.127229
50 <pt<65 	6<chiso range<12 	63.9335	8.28573	0.129599	0.115511	0.0381253	0.369523
50 <pt<65 	6<chiso range<13 	63.9335	8.28573	0.129599	0.111351	0.0368796	0.494805
50 <pt<65 	7<chiso range<12 	63.9335	8.28573	0.129599	0.111534	0.0368358	0.490425
50 <pt<65 	7<chiso range<13 	63.9335	8.28573	0.129599	0.107498	0.0356386	0.620148
50 <pt<65 	8<chiso range<13 	63.9335	8.28573	0.129599	0.0851002	0.0284019	1.56676
#######################################################################################
65 <pt<100 	3<chiso range<8 	46.0634	5.14353	0.111662	0.134369	0.0483547	0.469593
65 <pt<100 	3<chiso range<9 	46.0634	5.14353	0.111662	0.139548	0.0503885	0.553421
65 <pt<100 	3<chiso range<10 	46.0634	5.14353	0.111662	0.131933	0.0481516	0.420984
65 <pt<100 	3<chiso range<11 	46.0634	5.14353	0.111662	0.126837	0.0463778	0.327205
65 <pt<100 	3<chiso range<12 	46.0634	5.14353	0.111662	0.12521	0.0455861	0.297197
65 <pt<100 	3<chiso range<13 	46.0634	5.14353	0.111662	0.121624	0.0441939	0.225416
65 <pt<100 	4<chiso range<9 	46.0634	5.14353	0.111662	0.139075	0.0503951	0.543962
65 <pt<100 	4<chiso range<10 	46.0634	5.14353	0.111662	0.130199	0.047807	0.387747
65 <pt<100 	4<chiso range<11 	46.0634	5.14353	0.111662	0.124593	0.0458212	0.282206
65 <pt<100 	4<chiso range<12 	46.0634	5.14353	0.111662	0.123082	0.0449916	0.253826
65 <pt<100 	4<chiso range<13 	46.0634	5.14353	0.111662	0.119213	0.0434624	0.173737
65 <pt<100 	5<chiso range<10 	46.0634	5.14353	0.111662	0.124095	0.0461765	0.26925
65 <pt<100 	5<chiso range<11 	46.0634	5.14353	0.111662	0.118378	0.0440633	0.152418
65 <pt<100 	5<chiso range<12 	46.0634	5.14353	0.111662	0.11751	0.0433044	0.135045
65 <pt<100 	5<chiso range<13 	46.0634	5.14353	0.111662	0.114135	0.0418469	0.0590971
65 <pt<100 	6<chiso range<11 	46.0634	5.14353	0.111662	0.114587	0.0428134	0.0683204
65 <pt<100 	6<chiso range<12 	46.0634	5.14353	0.111662	0.114384	0.0421919	0.0645155
65 <pt<100 	6<chiso range<13 	46.0634	5.14353	0.111662	0.110929	0.0406875	0.0180146
65 <pt<100 	7<chiso range<12 	46.0634	5.14353	0.111662	0.1078	0.039781	0.0970808
65 <pt<100 	7<chiso range<13 	46.0634	5.14353	0.111662	0.104944	0.0384811	0.174578
65 <pt<100 	8<chiso range<13 	46.0634	5.14353	0.111662	0.107696	0.0396333	0.100067
#######################################################################################
100 <pt<400 	3<chiso range<8 	24.7405	1.53868	0.0621928	0.0425043	0.0266809	0.737923
100 <pt<400 	3<chiso range<9 	24.7405	1.53868	0.0621928	0.0417518	0.0261295	0.782294
100 <pt<400 	3<chiso range<10 	24.7405	1.53868	0.0621928	0.0565221	0.0350497	0.161789
100 <pt<400 	3<chiso range<11 	24.7405	1.53868	0.0621928	0.0569272	0.0355457	0.148135
100 <pt<400 	3<chiso range<12 	24.7405	1.53868	0.0621928	0.0537499	0.0335144	0.251917
100 <pt<400 	3<chiso range<13 	24.7405	1.53868	0.0621928	0.0572297	0.0357089	0.138987
100 <pt<400 	4<chiso range<9 	24.7405	1.53868	0.0621928	0.0397605	0.0248069	0.904275
100 <pt<400 	4<chiso range<10 	24.7405	1.53868	0.0621928	0.0563295	0.0348114	0.168429
100 <pt<400 	4<chiso range<11 	24.7405	1.53868	0.0621928	0.0568404	0.0353998	0.151197
100 <pt<400 	4<chiso range<12 	24.7405	1.53868	0.0621928	0.0533764	0.0331989	0.265562
100 <pt<400 	4<chiso range<13 	24.7405	1.53868	0.0621928	0.0571853	0.0356077	0.140629
100 <pt<400 	5<chiso range<10 	24.7405	1.53868	0.0621928	0.0505907	0.0312096	0.371747
100 <pt<400 	5<chiso range<11 	24.7405	1.53868	0.0621928	0.0522176	0.0325087	0.306846
100 <pt<400 	5<chiso range<12 	24.7405	1.53868	0.0621928	0.0488013	0.0303379	0.44141
100 <pt<400 	5<chiso range<13 	24.7405	1.53868	0.0621928	0.0537075	0.0334361	0.253775
100 <pt<400 	6<chiso range<11 	24.7405	1.53868	0.0621928	0.0606657	0.0378258	0.0403709
100 <pt<400 	6<chiso range<12 	24.7405	1.53868	0.0621928	0.0553316	0.0344162	0.199358
100 <pt<400 	6<chiso range<13 	24.7405	1.53868	0.0621928	0.0602441	0.0375025	0.0519608
100 <pt<400 	7<chiso range<12 	24.7405	1.53868	0.0621928	0.0585653	0.0364537	0.0995087
100 <pt<400 	7<chiso range<13 	24.7405	1.53868	0.0621928	0.063415	0.0395895	0.0308728
100 <pt<400 	8<chiso range<13 	24.7405	1.53868	0.0621928	0.0778165	0.0482088	0.324085
#######################################################################################
