pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.3616	128.268	94.2829	113.025	0.0111461	0.94135
20 <pt<25 	3<chiso range<9 	351.391	94.3616	128.268	97.4158	109.975	0.418521	1.1215
20 <pt<25 	3<chiso range<10 	351.391	94.3616	128.268	99.8403	107.426	0.732563	1.27054
20 <pt<25 	3<chiso range<11 	351.391	94.3616	128.268	100.745	106.506	0.846021	1.32422
20 <pt<25 	3<chiso range<12 	351.391	94.3616	128.268	99.3199	107.787	0.666809	1.2506
20 <pt<25 	3<chiso range<13 	351.391	94.3616	128.268	98.2414	108.892	0.527324	1.18548
20 <pt<25 	4<chiso range<9 	351.391	94.3616	128.268	90.8536	116.625	0.515746	0.725122
20 <pt<25 	4<chiso range<10 	351.391	94.3616	128.268	94.5957	112.676	0.0330553	0.962612
20 <pt<25 	4<chiso range<11 	351.391	94.3616	128.268	96.1934	111.061	0.254398	1.05878
20 <pt<25 	4<chiso range<12 	351.391	94.3616	128.268	95.0404	112.029	0.095429	1.00162
20 <pt<25 	4<chiso range<13 	351.391	94.3616	128.268	94.2383	112.848	0.0174739	0.952169
20 <pt<25 	5<chiso range<10 	351.391	94.3616	128.268	95.0538	112.291	0.0972594	0.985395
20 <pt<25 	5<chiso range<11 	351.391	94.3616	128.268	96.9116	110.404	0.3515	1.09751
20 <pt<25 	5<chiso range<12 	351.391	94.3616	128.268	95.4758	111.606	0.155919	1.02667
20 <pt<25 	5<chiso range<13 	351.391	94.3616	128.268	94.4998	112.602	0.0195294	0.966679
20 <pt<25 	6<chiso range<11 	351.391	94.3616	128.268	94.9901	112.578	0.0885674	0.971758
20 <pt<25 	6<chiso range<12 	351.391	94.3616	128.268	93.61	113.494	0.107401	0.915859
20 <pt<25 	6<chiso range<13 	351.391	94.3616	128.268	92.7353	114.317	0.234356	0.865087
20 <pt<25 	7<chiso range<12 	351.391	94.3616	128.268	100.762	106.401	0.84801	1.33
20 <pt<25 	7<chiso range<13 	351.391	94.3616	128.268	98.447	108.808	0.553837	1.18946
20 <pt<25 	8<chiso range<13 	351.391	94.3616	128.268	103.61	103.588	1.19284	1.49363
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.4134	73.837	42.8025	64.334	0.665107	0.81938
25 <pt<30 	3<chiso range<9 	183.885	39.4134	73.837	45.3406	61.8423	1.09781	1.02112
25 <pt<30 	3<chiso range<10 	183.885	39.4134	73.837	44.4355	62.7505	0.949181	0.948212
25 <pt<30 	3<chiso range<11 	183.885	39.4134	73.837	46.0367	61.1203	1.2087	1.07925
25 <pt<30 	3<chiso range<12 	183.885	39.4134	73.837	47.7716	59.4576	1.46813	1.20794
25 <pt<30 	3<chiso range<13 	183.885	39.4134	73.837	46.6088	60.6495	1.29474	1.11385
25 <pt<30 	4<chiso range<9 	183.885	39.4134	73.837	43.0684	64.0032	0.713377	0.847354
25 <pt<30 	4<chiso range<10 	183.885	39.4134	73.837	42.3893	64.683	0.590022	0.791198
25 <pt<30 	4<chiso range<11 	183.885	39.4134	73.837	44.3946	62.6651	0.943338	0.956515
25 <pt<30 	4<chiso range<12 	183.885	39.4134	73.837	46.4406	60.7741	1.27105	1.10643
25 <pt<30 	4<chiso range<13 	183.885	39.4134	73.837	45.2904	61.9388	1.08914	1.01266
25 <pt<30 	5<chiso range<10 	183.885	39.4134	73.837	43.2239	63.8596	0.740852	0.858803
25 <pt<30 	5<chiso range<11 	183.885	39.4134	73.837	45.5717	61.4943	1.13616	1.05059
25 <pt<30 	5<chiso range<12 	183.885	39.4134	73.837	47.8952	59.368	1.48746	1.21657
25 <pt<30 	5<chiso range<13 	183.885	39.4134	73.837	46.3789	60.8919	1.26024	1.09552
25 <pt<30 	6<chiso range<11 	183.885	39.4134	73.837	46.5715	60.5529	1.29137	1.12424
25 <pt<30 	6<chiso range<12 	183.885	39.4134	73.837	49.2728	58.1061	1.67935	1.31246
25 <pt<30 	6<chiso range<13 	183.885	39.4134	73.837	47.2812	60.0859	1.39494	1.15732
25 <pt<30 	7<chiso range<12 	183.885	39.4134	73.837	52.6508	55.0055	2.10601	1.54099
25 <pt<30 	7<chiso range<13 	183.885	39.4134	73.837	49.6663	57.9146	1.72688	1.32099
25 <pt<30 	8<chiso range<13 	183.885	39.4134	73.837	51.9141	55.5845	2.01533	1.49652
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.0129	84.2128	32.1845	81.2463	0.368461	0.250784
30 <pt<40 	3<chiso range<9 	194.455	34.0129	84.2128	33.3136	80.0986	0.136119	0.345531
30 <pt<40 	3<chiso range<10 	194.455	34.0129	84.2128	32.3056	81.0591	0.343192	0.266635
30 <pt<40 	3<chiso range<11 	194.455	34.0129	84.2128	33.8351	79.589	0.0340834	0.387149
30 <pt<40 	3<chiso range<12 	194.455	34.0129	84.2128	33.9224	79.4677	0.0173185	0.397329
30 <pt<40 	3<chiso range<13 	194.455	34.0129	84.2128	33.538	79.9045	0.0918022	0.361307
