pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	256.679	224.868	20.3221	1.56534
20  <pt<25 	3<chiso range<9 	256.679	221.859	20.4824	1.7
20  <pt<25 	3<chiso range<10 	256.679	218.622	20.5993	1.84749
20  <pt<25 	3<chiso range<11 	256.679	217.381	20.6496	1.90309
20  <pt<25 	3<chiso range<12 	256.679	218.38	20.5608	1.86272
20  <pt<25 	3<chiso range<13 	256.679	219.742	20.5083	1.80108
20  <pt<25 	4<chiso range<9 	256.679	228.814	20.1443	1.38327
20  <pt<25 	4<chiso range<10 	256.679	224.036	20.3208	1.60638
20  <pt<25 	4<chiso range<11 	256.679	222.237	20.4003	1.68831
20  <pt<25 	4<chiso range<12 	256.679	222.689	20.332	1.67175
20  <pt<25 	4<chiso range<13 	256.679	223.793	20.2979	1.62017
20  <pt<25 	5<chiso range<10 	256.679	223.711	20.338	1.62101
20  <pt<25 	5<chiso range<11 	256.679	221.602	20.434	1.7166
20  <pt<25 	5<chiso range<12 	256.679	222.19	20.3505	1.69475
20  <pt<25 	5<chiso range<13 	256.679	223.526	20.3088	1.63245
20  <pt<25 	6<chiso range<11 	256.679	222.76	20.2675	1.67357
20  <pt<25 	6<chiso range<12 	256.679	223.182	20.2083	1.65759
20  <pt<25 	6<chiso range<13 	256.679	224.537	20.1881	1.59213
20  <pt<25 	7<chiso range<12 	256.679	216.173	20.606	1.96574
20  <pt<25 	7<chiso range<13 	256.679	219.379	20.4903	1.82037
20  <pt<25 	8<chiso range<13 	256.679	212.722	20.7528	2.11812
#######################################################################################
25  <pt<30 	3<chiso range<8 	144.283	126.214	14.5669	1.24041
25  <pt<30 	3<chiso range<9 	144.283	123.7	14.7588	1.39463
25  <pt<30 	3<chiso range<10 	144.283	124.624	14.6873	1.3385
25  <pt<30 	3<chiso range<11 	144.283	122.785	14.8051	1.45207
25  <pt<30 	3<chiso range<12 	144.283	121.48	14.9594	1.52433
25  <pt<30 	3<chiso range<13 	144.283	122.905	14.8736	1.43731
25  <pt<30 	4<chiso range<9 	144.283	125.613	14.5763	1.28085
25  <pt<30 	4<chiso range<10 	144.283	126.359	14.5286	1.2337
25  <pt<30 	4<chiso range<11 	144.283	124.106	14.6695	1.37544
25  <pt<30 	4<chiso range<12 	144.283	122.576	14.8382	1.46291
25  <pt<30 	4<chiso range<13 	144.283	124.023	14.7606	1.37257
25  <pt<30 	5<chiso range<10 	144.283	125.541	14.5918	1.28442
25  <pt<30 	5<chiso range<11 	144.283	122.88	14.76	1.45007
25  <pt<30 	5<chiso range<12 	144.283	121.188	14.9475	1.54507
25  <pt<30 	5<chiso range<13 	144.283	123.065	14.849	1.42892
25  <pt<30 	6<chiso range<11 	144.283	122.153	14.847	1.49054
25  <pt<30 	6<chiso range<12 	144.283	120.287	15.0706	1.59224
25  <pt<30 	6<chiso range<13 	144.283	122.629	14.9319	1.45018
25  <pt<30 	7<chiso range<12 	144.283	118.095	15.3774	1.70302
25  <pt<30 	7<chiso range<13 	144.283	121.25	15.139	1.52143
25  <pt<30 	8<chiso range<13 	144.283	118.618	15.3281	1.67438
#######################################################################################
30  <pt<40 	3<chiso range<8 	160.233	152.94	14.925	0.488643
30  <pt<40 	3<chiso range<9 	160.233	151.868	15.0225	0.556831
30  <pt<40 	3<chiso range<10 	160.233	152.543	14.9265	0.515191
30  <pt<40 	3<chiso range<11 	160.233	151.276	15.0603	0.594742
30  <pt<40 	3<chiso range<12 	160.233	151.019	15.0619	0.611742
30  <pt<40 	3<chiso range<13 	160.233	151.669	15.038	0.569491
30  <pt<40 	4<chiso range<9 	160.233	152.393	14.9685	0.523767
30  <pt<40 	4<chiso range<10 	160.233	153.088	14.8677	0.480572
30  <pt<40 	4<chiso range<11 	160.233	151.578	15.0243	0.576067
30  <pt<40 	4<chiso range<12 	160.233	151.262	15.0299	0.596877
30  <pt<40 	4<chiso range<13 	160.233	151.954	15.0063	0.551702
30  <pt<40 	5<chiso range<10 	160.233	155.31	14.7194	0.334457
30  <pt<40 	5<chiso range<11 	160.233	153.352	14.9114	0.461459
30  <pt<40 	5<chiso range<12 	160.233	152.769	14.9316	0.499879
30  <pt<40 	5<chiso range<13 	160.233	153.4	14.9154	0.458117
30  <pt<40 	6<chiso range<11 	160.233	154.505	14.8374	0.386051
30  <pt<40 	6<chiso range<12 	160.233	153.65	14.8714	0.442662
30  <pt<40 	6<chiso range<13 	160.233	154.275	14.8598	0.400948
30  <pt<40 	7<chiso range<12 	160.233	151.029	15.1313	0.608276
30  <pt<40 	7<chiso range<13 	160.233	152.247	15.0769	0.529684
30  <pt<40 	8<chiso range<13 	160.233	150.041	15.1893	0.670999
#######################################################################################
40  <pt<50 	3<chiso range<8 	73.7001	69.58	10.0252	0.410974
40  <pt<50 	3<chiso range<9 	73.7001	70.0276	9.98063	0.367963
40  <pt<50 	3<chiso range<10 	73.7001	69.854	10.0242	0.383681
40  <pt<50 	3<chiso range<11 	73.7001	70.4456	9.94613	0.327213
40  <pt<50 	3<chiso range<12 	73.7001	70.0984	9.99991	0.360173
40  <pt<50 	3<chiso range<13 	73.7001	69.7245	10.0175	0.396865
40  <pt<50 	4<chiso range<9 	73.7001	70.0071	10.0285	0.36825
40  <pt<50 	4<chiso range<10 	73.7001	69.837	10.0707	0.383598
40  <pt<50 	4<chiso range<11 	73.7001	70.4903	9.97494	0.321786
40  <pt<50 	4<chiso range<12 	73.7001	70.1021	10.0336	0.358595
40  <pt<50 	4<chiso range<13 	73.7001	69.6643	10.0536	0.401428
40  <pt<50 	5<chiso range<10 	73.7001	69.9484	10.0442	0.373519
40  <pt<50 	5<chiso range<11 	73.7001	70.7033	9.93784	0.301554
40  <pt<50 	5<chiso range<12 	73.7001	70.2261	10.0088	0.347095
40  <pt<50 	5<chiso range<13 	73.7001	69.7326	10.0317	0.395496
40  <pt<50 	6<chiso range<11 	73.7001	69.8667	10.0131	0.382838
40  <pt<50 	6<chiso range<12 	73.7001	69.421	10.0895	0.424114
40  <pt<50 	6<chiso range<13 	73.7001	68.8653	10.114	0.47803
40  <pt<50 	7<chiso range<12 	73.7001	70.924	9.95099	0.278977
40  <pt<50 	7<chiso range<13 	73.7001	70.1934	9.98478	0.351205
40  <pt<50 	8<chiso range<13 	73.7001	69.9235	10.006	0.377434
#######################################################################################
50  <pt<65 	3<chiso range<8 	55.6017	54.8916	8.34182	0.0851253
50  <pt<65 	3<chiso range<9 	55.6017	55.9568	8.24283	0.0430799
50  <pt<65 	3<chiso range<10 	55.6017	55.8422	8.24879	0.0291558
50  <pt<65 	3<chiso range<11 	55.6017	56.4103	8.21066	0.0984817
