pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.3616	256.679	98.3739	224.868	0.485826	1.56534
20 <pt<25 	3<chiso range<9 	351.391	94.3616	256.679	101.735	221.859	0.862442	1.7
20 <pt<25 	3<chiso range<10 	351.391	94.3616	256.679	104.646	218.622	1.1714	1.84749
20 <pt<25 	3<chiso range<11 	351.391	94.3616	256.679	105.746	217.381	1.28318	1.90309
20 <pt<25 	3<chiso range<12 	351.391	94.3616	256.679	104.336	218.38	1.14205	1.86272
20 <pt<25 	3<chiso range<13 	351.391	94.3616	256.679	103.06	219.742	1.00774	1.80108
20 <pt<25 	4<chiso range<9 	351.391	94.3616	256.679	94.5387	228.814	0.0223141	1.38327
20 <pt<25 	4<chiso range<10 	351.391	94.3616	256.679	98.9051	224.036	0.548204	1.60638
20 <pt<25 	4<chiso range<11 	351.391	94.3616	256.679	100.706	222.237	0.751909	1.68831
20 <pt<25 	4<chiso range<12 	351.391	94.3616	256.679	99.6719	222.689	0.637285	1.67175
20 <pt<25 	4<chiso range<13 	351.391	94.3616	256.679	98.6907	223.793	0.524307	1.62017
20 <pt<25 	5<chiso range<10 	351.391	94.3616	256.679	99.3735	223.711	0.601806	1.62101
20 <pt<25 	5<chiso range<11 	351.391	94.3616	256.679	101.472	221.602	0.836174	1.7166
20 <pt<25 	5<chiso range<12 	351.391	94.3616	256.679	100.173	222.19	0.694076	1.69475
20 <pt<25 	5<chiso range<13 	351.391	94.3616	256.679	98.9813	223.526	0.557893	1.63245
20 <pt<25 	6<chiso range<11 	351.391	94.3616	256.679	99.7922	222.76	0.652801	1.67357
20 <pt<25 	6<chiso range<12 	351.391	94.3616	256.679	98.5081	223.182	0.505892	1.65759
20 <pt<25 	6<chiso range<13 	351.391	94.3616	256.679	97.3534	224.537	0.368639	1.59213
20 <pt<25 	7<chiso range<12 	351.391	94.3616	256.679	106.225	216.173	1.33715	1.96574
20 <pt<25 	7<chiso range<13 	351.391	94.3616	256.679	103.393	219.379	1.04463	1.82037
20 <pt<25 	8<chiso range<13 	351.391	94.3616	256.679	109.588	212.722	1.66467	2.11812
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.4134	144.283	45.2239	126.214	1.00402	1.24041
25 <pt<30 	3<chiso range<9 	183.885	39.4134	144.283	47.946	123.7	1.38754	1.39463
25 <pt<30 	3<chiso range<10 	183.885	39.4134	144.283	46.971	124.624	1.25555	1.3385
25 <pt<30 	3<chiso range<11 	183.885	39.4134	144.283	48.7743	122.785	1.49783	1.45207
25 <pt<30 	3<chiso range<12 	183.885	39.4134	144.283	50.4769	121.48	1.70261	1.52433
25 <pt<30 	3<chiso range<13 	183.885	39.4134	144.283	49.1305	122.905	1.5353	1.43731
25 <pt<30 	4<chiso range<9 	183.885	39.4134	144.283	45.6197	125.613	1.06531	1.28085
25 <pt<30 	4<chiso range<10 	183.885	39.4134	144.283	44.866	126.359	0.951743	1.2337
25 <pt<30 	4<chiso range<11 	183.885	39.4134	144.283	47.1104	124.106	1.2796	1.37544
25 <pt<30 	4<chiso range<12 	183.885	39.4134	144.283	49.1474	122.576	1.54362	1.46291
25 <pt<30 	4<chiso range<13 	183.885	39.4134	144.283	47.7955	124.023	1.36514	1.37257
25 <pt<30 	5<chiso range<10 	183.885	39.4134	144.283	45.7564	125.541	1.08465	1.28442
25 <pt<30 	5<chiso range<11 	183.885	39.4134	144.283	48.396	122.88	1.45249	1.45007
25 <pt<30 	5<chiso range<12 	183.885	39.4134	144.283	50.6628	121.188	1.7278	1.54507
25 <pt<30 	5<chiso range<13 	183.885	39.4134	144.283	48.9203	123.065	1.51002	1.42892
25 <pt<30 	6<chiso range<11 	183.885	39.4134	144.283	49.3761	122.153	1.57468	1.49054
