pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	221.65	92.9636	0.419416	0.491905	0.0408224	1.77571
20 <pt<25 	3<chiso range<9 	221.65	92.9636	0.419416	0.506772	0.0421083	2.07455
20 <pt<25 	3<chiso range<10 	221.65	92.9636	0.419416	0.517385	0.042958	2.28057
20 <pt<25 	3<chiso range<11 	221.65	92.9636	0.419416	0.52113	0.0432515	2.35168
20 <pt<25 	3<chiso range<12 	221.65	92.9636	0.419416	0.512031	0.0424579	2.18133
20 <pt<25 	3<chiso range<13 	221.65	92.9636	0.419416	0.503176	0.0417566	2.00591
20 <pt<25 	4<chiso range<9 	221.65	92.9636	0.419416	0.463854	0.0384907	1.15451
20 <pt<25 	4<chiso range<10 	221.65	92.9636	0.419416	0.482017	0.0399728	1.56609
20 <pt<25 	4<chiso range<11 	221.65	92.9636	0.419416	0.490006	0.0406216	1.73774
20 <pt<25 	4<chiso range<12 	221.65	92.9636	0.419416	0.482931	0.0400046	1.58769
20 <pt<25 	4<chiso range<13 	221.65	92.9636	0.419416	0.475889	0.0394618	1.43108
20 <pt<25 	5<chiso range<10 	221.65	92.9636	0.419416	0.481532	0.0399494	1.55486
20 <pt<25 	5<chiso range<11 	221.65	92.9636	0.419416	0.491195	0.0407326	1.7622
20 <pt<25 	5<chiso range<12 	221.65	92.9636	0.419416	0.482781	0.0400012	1.58407
20 <pt<25 	5<chiso range<13 	221.65	92.9636	0.419416	0.47465	0.039374	1.4028
20 <pt<25 	6<chiso range<11 	221.65	92.9636	0.419416	0.478466	0.0394887	1.49536
20 <pt<25 	6<chiso range<12 	221.65	92.9636	0.419416	0.470745	0.0388785	1.32024
20 <pt<25 	6<chiso range<13 	221.65	92.9636	0.419416	0.463061	0.0383308	1.13864
20 <pt<25 	7<chiso range<12 	221.65	92.9636	0.419416	0.50698	0.042068	2.08148
20 <pt<25 	7<chiso range<13 	221.65	92.9636	0.419416	0.49077	0.0407718	1.75008
20 <pt<25 	8<chiso range<13 	221.65	92.9636	0.419416	0.51767	0.0429231	2.28907
#######################################################################################
25 <pt<30 	3<chiso range<8 	112.934	38.8901	0.344361	0.446109	0.0568158	1.79083
25 <pt<30 	3<chiso range<9 	112.934	38.8901	0.344361	0.467772	0.0596457	2.06906
25 <pt<30 	3<chiso range<10 	112.934	38.8901	0.344361	0.456219	0.0581578	1.92335
