pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	92.9636	102.204	8.31446	1.11137
20 <pt<25 	3<chiso range<9 	92.9636	105.292	8.57679	1.43741
20 <pt<25 	3<chiso range<10 	92.9636	107.497	8.74958	1.66104
20 <pt<25 	3<chiso range<11 	92.9636	108.276	8.80922	1.73822
20 <pt<25 	3<chiso range<12 	92.9636	106.385	8.64728	1.55209
20 <pt<25 	3<chiso range<13 	92.9636	104.545	8.50471	1.36176
20 <pt<25 	4<chiso range<9 	92.9636	96.3753	7.8395	0.435194
20 <pt<25 	4<chiso range<10 	92.9636	100.149	8.14116	0.882601
20 <pt<25 	4<chiso range<11 	92.9636	101.809	8.2732	1.06916
20 <pt<25 	4<chiso range<12 	92.9636	100.339	8.14728	0.905259
20 <pt<25 	4<chiso range<13 	92.9636	98.8759	8.03708	0.735628
20 <pt<25 	5<chiso range<10 	92.9636	100.048	8.13655	0.870688
20 <pt<25 	5<chiso range<11 	92.9636	102.056	8.29589	1.09601
20 <pt<25 	5<chiso range<12 	92.9636	100.308	8.14666	0.901523
20 <pt<25 	5<chiso range<13 	92.9636	98.6183	8.01931	0.705135
20 <pt<25 	6<chiso range<11 	92.9636	99.4114	8.04101	0.801864
20 <pt<25 	6<chiso range<12 	92.9636	97.8072	7.91698	0.611799
20 <pt<25 	6<chiso range<13 	92.9636	96.2107	7.80617	0.415966
20 <pt<25 	7<chiso range<12 	92.9636	105.336	8.5681	1.44401
20 <pt<25 	7<chiso range<13 	92.9636	101.968	8.30451	1.08428
20 <pt<25 	8<chiso range<13 	92.9636	107.557	8.74199	1.66935
#######################################################################################
25 <pt<30 	3<chiso range<8 	38.8901	48.1054	6.02435	1.52968
25 <pt<30 	3<chiso range<9 	38.8901	50.4414	6.32467	1.82639
25 <pt<30 	3<chiso range<10 	38.8901	49.1956	6.16684	1.67112
25 <pt<30 	3<chiso range<11 	38.8901	50.597	6.34386	1.84539
25 <pt<30 	3<chiso range<12 	38.8901	52.0875	6.54956	2.01501
25 <pt<30 	3<chiso range<13 	38.8901	50.6336	6.37266	1.84279
25 <pt<30 	4<chiso range<9 	38.8901	47.2172	5.90176	1.41095
25 <pt<30 	4<chiso range<10 	38.8901	46.2989	5.78917	1.27977
25 <pt<30 	4<chiso range<11 	38.8901	48.1623	6.02444	1.5391
25 <pt<30 	4<chiso range<12 	38.8901	49.9857	6.26898	1.76992
25 <pt<30 	4<chiso range<13 	38.8901	48.5984	6.10379	1.59054
25 <pt<30 	5<chiso range<10 	38.8901	46.6296	5.83205	1.32706
25 <pt<30 	5<chiso range<11 	38.8901	48.8551	6.11285	1.63017
25 <pt<30 	5<chiso range<12 	38.8901	50.9578	6.39632	1.88666
25 <pt<30 	5<chiso range<13 	38.8901	49.221	6.18835	1.66941
25 <pt<30 	6<chiso range<11 	38.8901	49.5434	6.21331	1.71459
25 <pt<30 	6<chiso range<12 	38.8901	51.9932	6.54574	2.00178
25 <pt<30 	6<chiso range<13 	38.8901	49.7873	6.27831	1.73569
25 <pt<30 	7<chiso range<12 	38.8901	54.7587	6.94078	2.28628
25 <pt<30 	7<chiso range<13 	38.8901	51.6463	6.55353	1.94646
25 <pt<30 	8<chiso range<13 	38.8901	54.0426	6.85539	2.2103
#######################################################################################
30 <pt<40 	3<chiso range<8 	33.8136	34.9593	5.69806	0.201068
30 <pt<40 	3<chiso range<9 	33.8136	35.9403	5.86325	0.362717
30 <pt<40 	3<chiso range<10 	33.8136	34.7747	5.65646	0.169912
30 <pt<40 	3<chiso range<11 	33.8136	36.0112	5.87874	0.373822
30 <pt<40 	3<chiso range<12 	33.8136	35.8701	5.84364	0.351921
30 <pt<40 	3<chiso range<13 	33.8136	35.3344	5.77049	0.263548
30 <pt<40 	4<chiso range<9 	33.8136	34.5507	5.62842	0.13096
30 <pt<40 	4<chiso range<10 	33.8136	33.4685	5.43605	0.0634836
30 <pt<40 	4<chiso range<11 	33.8136	34.9865	5.70535	0.205579
30 <pt<40 	4<chiso range<12 	33.8136	34.9353	5.68456	0.197324
30 <pt<40 	4<chiso range<13 	33.8136	34.4445	5.62147	0.11223
30 <pt<40 	5<chiso range<10 	33.8136	31.2942	5.09062	0.49491
30 <pt<40 	5<chiso range<11 	33.8136	33.3075	5.44386	0.0929671
30 <pt<40 	5<chiso range<12 	33.8136	33.4583	5.45289	0.0651581
30 <pt<40 	5<chiso range<13 	33.8136	33.0399	5.40174	0.143232
30 <pt<40 	6<chiso range<11 	33.8136	31.956	5.22939	0.355223
30 <pt<40 	6<chiso range<12 	33.8136	32.3284	5.27105	0.281765
30 <pt<40 	6<chiso range<13 	33.8136	31.9792	5.23355	0.350508
30 <pt<40 	7<chiso range<12 	33.8136	34.9496	5.72597	0.198394
30 <pt<40 	7<chiso range<13 	33.8136	34.136	5.6167	0.0574003
30 <pt<40 	8<chiso range<13 	33.8136	35.8095	5.86356	0.34039
#######################################################################################
40 <pt<50 	3<chiso range<8 	13.7749	16.7122	3.88258	0.756533
40 <pt<50 	3<chiso range<9 	13.7749	16.4042	3.80797	0.690473
40 <pt<50 	3<chiso range<10 	13.7749	16.4742	3.83816	0.70328
40 <pt<50 	3<chiso range<11 	13.7749	15.7068	3.65048	0.529218
40 <pt<50 	3<chiso range<12 	13.7749	16.0929	3.74978	0.61817
40 <pt<50 	3<chiso range<13 	13.7749	16.4016	3.80985	0.68945
40 <pt<50 	4<chiso range<9 	13.7749	16.2028	3.78473	0.641499
