pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	128.663	101.339	17.0489	1.60268
20  <pt<25 	3<chiso range<9 	128.663	98.5371	17.2184	1.74963
20  <pt<25 	3<chiso range<10 	128.663	96.1	17.3205	1.88003
20  <pt<25 	3<chiso range<11 	128.663	95.261	17.3521	1.92495
20  <pt<25 	3<chiso range<12 	128.663	96.8286	17.25	1.84547
20  <pt<25 	3<chiso range<13 	128.663	98.7522	17.175	1.74153
20  <pt<25 	4<chiso range<9 	128.663	107.427	16.7541	1.26751
20  <pt<25 	4<chiso range<10 	128.663	103.341	16.9337	1.49536
20  <pt<25 	4<chiso range<11 	128.663	101.626	17.0079	1.58967
20  <pt<25 	4<chiso range<12 	128.663	102.704	16.9366	1.53272
20  <pt<25 	4<chiso range<13 	128.663	104.255	16.8881	1.44528
20  <pt<25 	5<chiso range<10 	128.663	103.66	16.929	1.47693
20  <pt<25 	5<chiso range<11 	128.663	101.558	17.019	1.59263
20  <pt<25 	5<chiso range<12 	128.663	102.805	16.9374	1.52668
20  <pt<25 	5<chiso range<13 	128.663	104.587	16.8817	1.42616
20  <pt<25 	6<chiso range<11 	128.663	104.289	16.7685	1.45356
20  <pt<25 	6<chiso range<12 	128.663	105.09	16.7481	1.4075
20  <pt<25 	6<chiso range<13 	128.663	106.726	16.7266	1.3115
20  <pt<25 	7<chiso range<12 	128.663	98.0068	17.2093	1.78137
20  <pt<25 	7<chiso range<13 	128.663	101.569	17.0649	1.5877
20  <pt<25 	8<chiso range<13 	128.663	95.7749	17.3011	1.90093
#######################################################################################
25  <pt<30 	3<chiso range<8 	74.0356	57.1764	12.1474	1.38789
25  <pt<30 	3<chiso range<9 	74.0356	54.9677	12.3308	1.54636
25  <pt<30 	3<chiso range<10 	74.0356	56.1977	12.2348	1.45796
25  <pt<30 	3<chiso range<11 	74.0356	54.8089	12.3419	1.55784
25  <pt<30 	3<chiso range<12 	74.0356	53.543	12.4865	1.64118
25  <pt<30 	3<chiso range<13 	74.0356	55.0467	12.3873	1.53293
25  <pt<30 	4<chiso range<9 	74.0356	57.9413	12.0613	1.33438
25  <pt<30 	4<chiso range<10 	74.0356	58.8502	12.0026	1.26518
25  <pt<30 	4<chiso range<11 	74.0356	57.0302	12.1391	1.40088
25  <pt<30 	4<chiso range<12 	74.0356	55.5538	12.2907	1.50372
25  <pt<30 	4<chiso range<13 	74.0356	56.9771	12.209	1.39721
25  <pt<30 	5<chiso range<10 	74.0356	58.5372	12.029	1.28842
25  <pt<30 	5<chiso range<11 	74.0356	56.3594	12.1927	1.44974
25  <pt<30 	5<chiso range<12 	74.0356	54.6712	12.3711	1.56529
25  <pt<30 	5<chiso range<13 	74.0356	56.4399	12.2654	1.43458
25  <pt<30 	6<chiso range<11 	74.0356	55.8514	12.2681	1.48223
25  <pt<30 	6<chiso range<12 	74.0356	53.9219	12.4781	1.61192
25  <pt<30 	6<chiso range<13 	74.0356	56.1239	12.3381	1.45174
25  <pt<30 	7<chiso range<12 	74.0356	51.8504	12.7569	1.73907
25  <pt<30 	7<chiso range<13 	74.0356	54.8199	12.5414	1.53218
