pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	221.731	93.0445	0.419628	0.492953	0.0408845	1.79347
20 <pt<25 	3<chiso range<9 	221.731	93.0445	0.419628	0.507167	0.0421154	2.07855
20 <pt<25 	3<chiso range<10 	221.731	93.0445	0.419628	0.517453	0.0429405	2.27816
20 <pt<25 	3<chiso range<11 	221.731	93.0445	0.419628	0.521229	0.0432362	2.34991
20 <pt<25 	3<chiso range<12 	221.731	93.0445	0.419628	0.512155	0.0424449	2.17994
20 <pt<25 	3<chiso range<13 	221.731	93.0445	0.419628	0.503321	0.0417454	2.00485
20 <pt<25 	4<chiso range<9 	221.731	93.0445	0.419628	0.464603	0.0385268	1.16737
20 <pt<25 	4<chiso range<10 	221.731	93.0445	0.419628	0.482378	0.0399796	1.56955
20 <pt<25 	4<chiso range<11 	221.731	93.0445	0.419628	0.490375	0.0406285	1.74132
20 <pt<25 	4<chiso range<12 	221.731	93.0445	0.419628	0.483295	0.0400114	1.59123
20 <pt<25 	4<chiso range<13 	221.731	93.0445	0.419628	0.476249	0.0394685	1.43459
20 <pt<25 	5<chiso range<10 	221.731	93.0445	0.419628	0.481892	0.0399563	1.55831
20 <pt<25 	5<chiso range<11 	221.731	93.0445	0.419628	0.491564	0.0407395	1.76576
20 <pt<25 	5<chiso range<12 	221.731	93.0445	0.419628	0.483145	0.040008	1.58761
20 <pt<25 	5<chiso range<13 	221.731	93.0445	0.419628	0.475008	0.0393806	1.40628
20 <pt<25 	6<chiso range<11 	221.731	93.0445	0.419628	0.478824	0.0394954	1.49881
20 <pt<25 	6<chiso range<12 	221.731	93.0445	0.419628	0.4711	0.0388851	1.3237
20 <pt<25 	6<chiso range<13 	221.731	93.0445	0.419628	0.463411	0.0383373	1.14205
20 <pt<25 	7<chiso range<12 	221.731	93.0445	0.419628	0.507366	0.0420751	2.08528
20 <pt<25 	7<chiso range<13 	221.731	93.0445	0.419628	0.491143	0.0407786	1.75374
20 <pt<25 	8<chiso range<13 	221.731	93.0445	0.419628	0.516518	0.0428058	2.26348
#######################################################################################
25 <pt<30 	3<chiso range<8 	113.096	39.052	0.3453	0.444095	0.0565344	1.74753
25 <pt<30 	3<chiso range<9 	113.096	39.052	0.3453	0.46591	0.0593811	2.03112
25 <pt<30 	3<chiso range<10 	113.096	39.052	0.3453	0.45462	0.0579263	1.88723
25 <pt<30 	3<chiso range<11 	113.096	39.052	0.3453	0.467572	0.0595868	2.05201
25 <pt<30 	3<chiso range<12 	113.096	39.052	0.3453	0.481464	0.0615269	2.21309
25 <pt<30 	3<chiso range<13 	113.096	39.052	0.3453	0.468144	0.059878	2.05158
25 <pt<30 	4<chiso range<9 	113.096	39.052	0.3453	0.435856	0.0553828	1.6351
25 <pt<30 	4<chiso range<10 	113.096	39.052	0.3453	0.427654	0.054359	1.51501
25 <pt<30 	4<chiso range<11 	113.096	39.052	0.3453	0.444885	0.0565677	1.76046
25 <pt<30 	4<chiso range<12 	113.096	39.052	0.3453	0.461876	0.0588766	1.98001
25 <pt<30 	4<chiso range<13 	113.096	39.052	0.3453	0.449199	0.0573397	1.812
25 <pt<30 	5<chiso range<10 	113.096	39.052	0.3453	0.430878	0.0547914	1.5619
25 <pt<30 	5<chiso range<11 	113.096	39.052	0.3453	0.451445	0.0574257	1.8484
25 <pt<30 	5<chiso range<12 	113.096	39.052	0.3453	0.471029	0.0601008	2.09198
25 <pt<30 	5<chiso range<13 	113.096	39.052	0.3453	0.455123	0.0581607	1.88828
25 <pt<30 	6<chiso range<11 	113.096	39.052	0.3453	0.458246	0.0584151	1.93351
25 <pt<30 	6<chiso range<12 	113.096	39.052	0.3453	0.481048	0.0615497	2.20551
25 <pt<30 	6<chiso range<13 	113.096	39.052	0.3453	0.460758	0.0590458	1.9554
25 <pt<30 	7<chiso range<12 	113.096	39.052	0.3453	0.507407	0.065336	2.48113
25 <pt<30 	7<chiso range<13 	113.096	39.052	0.3453	0.478596	0.0616928	2.16065
25 <pt<30 	8<chiso range<13 	113.096	39.052	0.3453	0.500745	0.0645268	2.40901
#######################################################################################
30 <pt<40 	3<chiso range<8 	118.368	33.8136	0.285665	0.306603	0.0504376	0.415126
30 <pt<40 	3<chiso range<9 	118.368	33.8136	0.285665	0.315127	0.0518804	0.567882
30 <pt<40 	3<chiso range<10 	118.368	33.8136	0.285665	0.304801	0.0500418	0.382399
30 <pt<40 	3<chiso range<11 	118.368	33.8136	0.285665	0.315589	0.0519953	0.575513
30 <pt<40 	3<chiso range<12 	118.368	33.8136	0.285665	0.314312	0.051679	0.554325
