pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	93.0445	102.461	8.33018	1.13041
20 <pt<25 	3<chiso range<9 	93.0445	105.416	8.5814	1.44166
20 <pt<25 	3<chiso range<10 	93.0445	107.553	8.74928	1.65825
20 <pt<25 	3<chiso range<11 	93.0445	108.338	8.80938	1.73605
20 <pt<25 	3<chiso range<12 	93.0445	106.452	8.64783	1.55039
20 <pt<25 	3<chiso range<13 	93.0445	104.616	8.50559	1.36046
20 <pt<25 	4<chiso range<9 	93.0445	96.5685	7.84973	0.448933
20 <pt<25 	4<chiso range<10 	93.0445	100.263	8.14556	0.886188
20 <pt<25 	4<chiso range<11 	93.0445	101.925	8.27767	1.07283
20 <pt<25 	4<chiso range<12 	93.0445	100.454	8.15168	0.908954
20 <pt<25 	4<chiso range<13 	93.0445	98.9893	8.0414	0.739274
20 <pt<25 	5<chiso range<10 	93.0445	100.162	8.14096	0.874283
20 <pt<25 	5<chiso range<11 	93.0445	102.172	8.30039	1.09965
20 <pt<25 	5<chiso range<12 	93.0445	100.423	8.15106	0.90522
20 <pt<25 	5<chiso range<13 	93.0445	98.7314	8.02363	0.708769
20 <pt<25 	6<chiso range<11 	93.0445	99.5246	8.04533	0.805449
20 <pt<25 	6<chiso range<12 	93.0445	97.919	7.92125	0.61537
20 <pt<25 	6<chiso range<13 	93.0445	96.3209	7.81038	0.419493
20 <pt<25 	7<chiso range<12 	93.0445	105.457	8.57271	1.44791
20 <pt<25 	7<chiso range<13 	93.0445	102.085	8.30896	1.08804
20 <pt<25 	8<chiso range<13 	93.0445	107.359	8.72137	1.64131
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.052	47.9601	6.00352	1.48381
25 <pt<30 	3<chiso range<9 	39.052	50.316	6.30607	1.78622
25 <pt<30 	3<chiso range<10 	39.052	49.0968	6.15151	1.6329
25 <pt<30 	3<chiso range<11 	39.052	50.4955	6.32789	1.80842
25 <pt<30 	3<chiso range<12 	39.052	51.9958	6.53454	1.98083
25 <pt<30 	3<chiso range<13 	39.052	50.5573	6.3596	1.80912
25 <pt<30 	4<chiso range<9 	39.052	47.0704	5.88086	1.36347
25 <pt<30 	4<chiso range<10 	39.052	46.1846	5.77221	1.23568
25 <pt<30 	4<chiso range<11 	39.052	48.0455	6.00681	1.49722
25 <pt<30 	4<chiso range<12 	39.052	49.8804	6.25253	1.73184
25 <pt<30 	4<chiso range<13 	39.052	48.5114	6.0896	1.55337
25 <pt<30 	5<chiso range<10 	39.052	46.5328	5.81821	1.28576
25 <pt<30 	5<chiso range<11 	39.052	48.7539	6.098	1.591
25 <pt<30 	5<chiso range<12 	39.052	50.8689	6.38274	1.85138
25 <pt<30 	5<chiso range<13 	39.052	49.1511	6.17702	1.63495
25 <pt<30 	6<chiso range<11 	39.052	49.4883	6.20352	1.68232
25 <pt<30 	6<chiso range<12 	39.052	51.9508	6.53723	1.97313
25 <pt<30 	6<chiso range<13 	39.052	49.7597	6.27163	1.70732
25 <pt<30 	7<chiso range<12 	39.052	54.7975	6.94086	2.26852
25 <pt<30 	7<chiso range<13 	39.052	51.6861	6.55407	1.92767
25 <pt<30 	8<chiso range<13 	39.052	54.0781	6.85507	2.19197
#######################################################################################
30 <pt<40 	3<chiso range<8 	33.8136	35.0496	5.72222	0.216
30 <pt<40 	3<chiso range<9 	33.8136	36.0239	5.88598	0.375519
30 <pt<40 	3<chiso range<10 	33.8136	34.8435	5.67714	0.181412
30 <pt<40 	3<chiso range<11 	33.8136	36.0768	5.89908	0.383653
30 <pt<40 	3<chiso range<12 	33.8136	35.9308	5.86302	0.361111
30 <pt<40 	3<chiso range<13 	33.8136	35.4281	5.79531	0.278587
30 <pt<40 	4<chiso range<9 	33.8136	34.7112	5.66216	0.158526
30 <pt<40 	4<chiso range<10 	33.8136	33.595	5.46497	0.0400002
30 <pt<40 	4<chiso range<11 	33.8136	35.1069	5.73354	0.225567
30 <pt<40 	4<chiso range<12 	33.8136	35.0439	5.71075	0.215436
30 <pt<40 	4<chiso range<13 	33.8136	34.5614	5.64903	0.132377
30 <pt<40 	5<chiso range<10 	33.8136	31.3194	5.10319	0.488753
30 <pt<40 	5<chiso range<11 	33.8136	33.3317	5.4566	0.0883151
30 <pt<40 	5<chiso range<12 	33.8136	33.481	5.46531	0.0608566
30 <pt<40 	5<chiso range<13 	33.8136	33.1076	5.42164	0.130219
30 <pt<40 	6<chiso range<11 	33.8136	32.0425	5.25108	0.337283
30 <pt<40 	6<chiso range<12 	33.8136	32.4043	5.29104	0.266356
30 <pt<40 	6<chiso range<13 	33.8136	32.1002	5.26122	0.325666
30 <pt<40 	7<chiso range<12 	33.8136	35.0462	5.75008	0.214362
30 <pt<40 	7<chiso range<13 	33.8136	34.2836	5.64953	0.0831928
30 <pt<40 	8<chiso range<13 	33.8136	35.9086	5.88943	0.355722
#######################################################################################
40 <pt<50 	3<chiso range<8 	13.7749	16.6542	3.87029	0.743949
40 <pt<50 	3<chiso range<9 	13.7749	16.3547	3.79745	0.679351
40 <pt<50 	3<chiso range<10 	13.7749	16.4313	3.82903	0.693753
40 <pt<50 	3<chiso range<11 	13.7749	15.671	3.64288	0.520495
40 <pt<50 	3<chiso range<12 	13.7749	16.0357	3.73616	0.605113
40 <pt<50 	3<chiso range<13 	13.7749	16.3132	3.78976	0.669779
40 <pt<50 	4<chiso range<9 	13.7749	16.2028	3.78473	0.641499
40 <pt<50 	4<chiso range<10 	13.7749	16.3023	3.82103	0.661445
40 <pt<50 	4<chiso range<11 	13.7749	15.4674	3.61135	0.468661
40 <pt<50 	4<chiso range<12 	13.7749	15.8996	3.7209	0.571018
40 <pt<50 	4<chiso range<13 	13.7749	16.225	3.78377	0.647529
40 <pt<50 	5<chiso range<10 	13.7749	16.1106	3.76898	0.619717
40 <pt<50 	5<chiso range<11 	13.7749	15.1636	3.53317	0.393046
40 <pt<50 	5<chiso range<12 	13.7749	15.7002	3.6684	0.524834
40 <pt<50 	5<chiso range<13 	13.7749	16.0727	3.74092	0.614234
40 <pt<50 	6<chiso range<11 	13.7749	15.9921	3.71963	0.596081
40 <pt<50 	6<chiso range<12 	13.7749	16.5105	3.85435	0.709744
40 <pt<50 	6<chiso range<13 	13.7749	16.9176	3.9316	0.799344
40 <pt<50 	7<chiso range<12 	13.7749	15.0535	3.5217	0.363063
40 <pt<50 	7<chiso range<13 	13.7749	15.6159	3.6323	0.506841
40 <pt<50 	8<chiso range<13 	13.7749	15.8601	3.68218	0.566295
#######################################################################################
50 <pt<65 	3<chiso range<8 	8.49374	8.14558	2.77058	0.125663
50 <pt<65 	3<chiso range<9 	8.49374	7.08476	2.41717	0.582905
50 <pt<65 	3<chiso range<10 	8.49374	7.0676	2.40548	0.592871
50 <pt<65 	3<chiso range<11 	8.49374	6.55039	2.24627	0.865145
50 <pt<65 	3<chiso range<12 	8.49374	6.18752	2.13294	1.08124
50 <pt<65 	3<chiso range<13 	8.49374	5.98329	2.0701	1.21272
50 <pt<65 	4<chiso range<9 	8.49374	6.44015	2.21852	0.925658
50 <pt<65 	4<chiso range<10 	8.49374	6.50539	2.23107	0.891209
50 <pt<65 	4<chiso range<11 	8.49374	6.02585	2.08242	1.18511
50 <pt<65 	4<chiso range<12 	8.49374	5.6891	1.97622	1.41919
50 <pt<65 	4<chiso range<13 	8.49374	5.5014	1.91846	1.55976
50 <pt<65 	5<chiso range<10 	8.49374	6.96969	2.36558	0.644261
