pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	128.663	101.165	17.0604	1.6118
20  <pt<25 	3<chiso range<9 	128.663	98.4927	17.2234	1.7517
20  <pt<25 	3<chiso range<10 	128.663	96.1352	17.3234	1.87768
20  <pt<25 	3<chiso range<11 	128.663	95.2882	17.3552	1.92304
20  <pt<25 	3<chiso range<12 	128.663	96.85	17.2533	1.84388
20  <pt<25 	3<chiso range<13 	128.663	98.7695	17.1784	1.74018
20  <pt<25 	4<chiso range<9 	128.663	107.301	16.7615	1.27447
20  <pt<25 	4<chiso range<10 	128.663	103.31	16.9389	1.49673
20  <pt<25 	4<chiso range<11 	128.663	101.592	17.0132	1.59118
20  <pt<25 	4<chiso range<12 	128.663	102.671	16.9418	1.53419
20  <pt<25 	4<chiso range<13 	128.663	104.223	16.8932	1.44674
20  <pt<25 	5<chiso range<10 	128.663	103.629	16.9343	1.4783
20  <pt<25 	5<chiso range<11 	128.663	101.524	17.0243	1.59413
20  <pt<25 	5<chiso range<12 	128.663	102.772	16.9426	1.52816
20  <pt<25 	5<chiso range<13 	128.663	104.555	16.8868	1.42762
20  <pt<25 	6<chiso range<11 	128.663	104.259	16.7736	1.45491
20  <pt<25 	6<chiso range<12 	128.663	105.06	16.7531	1.40887
20  <pt<25 	6<chiso range<13 	128.663	106.697	16.7316	1.31285
20  <pt<25 	7<chiso range<12 	128.663	97.9662	17.2146	1.78318
20  <pt<25 	7<chiso range<13 	128.663	101.532	17.07	1.5894
20  <pt<25 	8<chiso range<13 	128.663	96.0705	17.2917	1.88486
#######################################################################################
25  <pt<30 	3<chiso range<8 	74.0356	57.4787	12.1418	1.36363
25  <pt<30 	3<chiso range<9 	74.0356	55.2488	12.326	1.52416
25  <pt<30 	3<chiso range<10 	74.0356	56.4512	12.232	1.43757
25  <pt<30 	3<chiso range<11 	74.0356	55.0622	12.3382	1.53778
25  <pt<30 	3<chiso range<12 	74.0356	53.7849	12.4831	1.62225
25  <pt<30 	3<chiso range<13 	74.0356	55.2728	12.3851	1.51495
25  <pt<30 	4<chiso range<9 	74.0356	58.244	12.056	1.30985
25  <pt<30 	4<chiso range<10 	74.0356	59.1193	11.9995	1.24308
25  <pt<30 	4<chiso range<11 	74.0356	57.2988	12.135	1.37922
25  <pt<30 	4<chiso range<12 	74.0356	55.8084	12.287	1.48345
25  <pt<30 	4<chiso range<13 	74.0356	57.2133	12.2066	1.37813
25  <pt<30 	5<chiso range<10 	74.0356	58.8021	12.0287	1.26643
25  <pt<30 	5<chiso range<11 	74.0356	56.6236	12.1911	1.42826
25  <pt<30 	5<chiso range<12 	74.0356	54.9203	12.3699	1.54531
25  <pt<30 	5<chiso range<13 	74.0356	56.6689	12.2655	1.4159
25  <pt<30 	6<chiso range<11 	74.0356	56.0622	12.2685	1.465
25  <pt<30 	6<chiso range<12 	74.0356	54.117	12.4791	1.59616
25  <pt<30 	6<chiso range<13 	74.0356	56.3038	12.3401	1.43693
25  <pt<30 	7<chiso range<12 	74.0356	51.9499	12.7614	1.73066
25  <pt<30 	7<chiso range<13 	74.0356	54.9206	12.5464	1.52354
25  <pt<30 	8<chiso range<13 	74.0356	52.4439	12.7354	1.69541
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.5511	78.0024	12.3	0.532415
30  <pt<40 	3<chiso range<9 	84.5511	77.0889	12.3934	0.602111
30  <pt<40 	3<chiso range<10 	84.5511	78.0866	12.2681	0.526936
30  <pt<40 	3<chiso range<11 	84.5511	77.0764	12.4038	0.602614
30  <pt<40 	3<chiso range<12 	84.5511	77.1255	12.3739	0.600102
30  <pt<40 	3<chiso range<13 	84.5511	77.7529	12.3466	0.550613
30  <pt<40 	4<chiso range<9 	84.5511	78.2869	12.2637	0.510792
30  <pt<40 	4<chiso range<10 	84.5511	79.2667	12.153	0.434823
30  <pt<40 	4<chiso range<11 	84.5511	77.9662	12.3075	0.535031
30  <pt<40 	4<chiso range<12 	84.5511	77.9302	12.2844	0.538968
30  <pt<40 	4<chiso range<13 	84.5511	78.5497	12.2633	0.489379
30  <pt<40 	5<chiso range<10 	84.5511	81.6402	11.9773	0.243035
30  <pt<40 	5<chiso range<11 	84.5511	79.8948	12.1741	0.382476
30  <pt<40 	5<chiso range<12 	84.5511	79.6115	12.1645	0.406067
30  <pt<40 	5<chiso range<13 	84.5511	80.1575	12.1557	0.361444
30  <pt<40 	6<chiso range<11 	84.5511	81.2819	12.0708	0.270835
30  <pt<40 	6<chiso range<12 	84.5511	80.7475	12.0733	0.315042
30  <pt<40 	6<chiso range<13 	84.5511	81.2474	12.0751	0.273596
30  <pt<40 	7<chiso range<12 	84.5511	78.4208	12.3208	0.497557
30  <pt<40 	7<chiso range<13 	84.5511	79.4249	12.2915	0.417052
30  <pt<40 	8<chiso range<13 	84.5511	77.4511	12.4066	0.572276
#######################################################################################
40  <pt<50 	3<chiso range<8 	45.0832	40.6105	8.61225	0.519342
40  <pt<50 	3<chiso range<9 	45.0832	40.8898	8.57306	0.489137
40  <pt<50 	3<chiso range<10 	45.0832	40.8881	8.60222	0.487676
40  <pt<50 	3<chiso range<11 	45.0832	41.5924	8.5025	0.410562
40  <pt<50 	3<chiso range<12 	45.0832	41.289	8.5546	0.443527
40  <pt<50 	3<chiso range<13 	45.0832	40.9627	8.56879	0.480873
40  <pt<50 	4<chiso range<9 	45.0832	41.1688	8.58868	0.455763
40  <pt<50 	4<chiso range<10 	45.0832	41.1518	8.61791	0.456189
40  <pt<50 	4<chiso range<11 	45.0832	41.8913	8.50314	0.375379
40  <pt<50 	4<chiso range<12 	45.0832	41.5175	8.56348	0.416384
40  <pt<50 	4<chiso range<13 	45.0832	41.1211	8.58121	0.461718
40  <pt<50 	5<chiso range<10 	45.0832	41.2961	8.58615	0.441071
40  <pt<50 	5<chiso range<11 	45.0832	42.146	8.45918	0.34722
40  <pt<50 	5<chiso range<12 	45.0832	41.6819	8.53232	0.398637
40  <pt<50 	5<chiso range<13 	45.0832	41.2372	8.55233	0.449702
40  <pt<50 	6<chiso range<11 	45.0832	41.2761	8.54258	0.445662
40  <pt<50 	6<chiso range<12 	45.0832	40.8492	8.62106	0.491123
40  <pt<50 	6<chiso range<13 	45.0832	40.3572	8.64215	0.546855
40  <pt<50 	7<chiso range<12 	45.0832	42.3629	8.46592	0.321324
40  <pt<50 	7<chiso range<13 	45.0832	41.705	8.49465	0.397686
40  <pt<50 	8<chiso range<13 	45.0832	41.4424	8.50935	0.427859
#######################################################################################
50  <pt<65 	3<chiso range<8 	36.8368	35.6549	7.27406	0.162481
50  <pt<65 	3<chiso range<9 	36.8368	36.7243	7.12437	0.0157909
50  <pt<65 	3<chiso range<10 	36.8368	36.7169	7.11459	0.0168527
50  <pt<65 	3<chiso range<11 	36.8368	37.294	7.06218	0.0647392
50  <pt<65 	3<chiso range<12 	36.8368	37.6956	7.02503	0.122249
50  <pt<65 	3<chiso range<13 	36.8368	38.003	7.02178	0.166083
50  <pt<65 	4<chiso range<9 	36.8368	37.4493	7.05858	0.0867738
50  <pt<65 	4<chiso range<10 	36.8368	37.3413	7.05566	0.0715029
50  <pt<65 	4<chiso range<11 	36.8368	37.9493	7.02416	0.158382
50  <pt<65 	4<chiso range<12 	36.8368	38.3395	6.99429	0.214847
50  <pt<65 	4<chiso range<13 	36.8368	38.5687	6.98018	0.248117
50  <pt<65 	5<chiso range<10 	36.8368	36.7785	7.0931	0.00821926
50  <pt<65 	5<chiso range<11 	36.8368	37.5672	7.02482	0.103974
50  <pt<65 	5<chiso range<12 	36.8368	38.1295	6.99943	0.184686
50  <pt<65 	5<chiso range<13 	36.8368	38.4189	6.98192	0.2266
50  <pt<65 	6<chiso range<11 	36.8368	38.1995	6.98545	0.195077
50  <pt<65 	6<chiso range<12 	36.8368	38.7186	6.95049	0.270744
50  <pt<65 	6<chiso range<13 	36.8368	38.9878	6.93752	0.310053
50  <pt<65 	7<chiso range<12 	36.8368	39.131	6.90499	0.332252
50  <pt<65 	7<chiso range<13 	36.8368	39.3695	6.89808	0.36716
50  <pt<65 	8<chiso range<13 	36.8368	40.4146	6.81632	0.524887
#######################################################################################
65  <pt<100 	3<chiso range<8 	31.7958	30.666	6.37643	0.177184
65  <pt<100 	3<chiso range<9 	31.7958	30.5477	6.41299	0.194621
65  <pt<100 	3<chiso range<10 	31.7958	31.0785	6.39274	0.112205
65  <pt<100 	3<chiso range<11 	31.7958	31.3744	6.37896	0.0660609
65  <pt<100 	3<chiso range<12 	31.7958	31.3915	6.34799	0.0636895
65  <pt<100 	3<chiso range<13 	31.7958	31.5676	6.31368	0.0361437
65  <pt<100 	4<chiso range<9 	31.7958	30.8403	6.38291	0.149697
65  <pt<100 	4<chiso range<10 	31.7958	31.4701	6.38308	0.0510255
65  <pt<100 	4<chiso range<11 	31.7958	31.7173	6.3565	0.0123496
65  <pt<100 	4<chiso range<12 	31.7958	31.6884	6.32411	0.0169826
65  <pt<100 	4<chiso range<13 	31.7958	31.8489	6.289	0.00844331
