pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	221.731	93.0445	128.663	102.461	101.165	1.13041	1.6118
20 <pt<25 	3<chiso range<9 	221.731	93.0445	128.663	105.416	98.4927	1.44166	1.7517
20 <pt<25 	3<chiso range<10 	221.731	93.0445	128.663	107.553	96.1352	1.65825	1.87768
20 <pt<25 	3<chiso range<11 	221.731	93.0445	128.663	108.338	95.2882	1.73605	1.92304
20 <pt<25 	3<chiso range<12 	221.731	93.0445	128.663	106.452	96.85	1.55039	1.84388
20 <pt<25 	3<chiso range<13 	221.731	93.0445	128.663	104.616	98.7695	1.36046	1.74018
20 <pt<25 	4<chiso range<9 	221.731	93.0445	128.663	96.5685	107.301	0.448933	1.27447
20 <pt<25 	4<chiso range<10 	221.731	93.0445	128.663	100.263	103.31	0.886188	1.49673
20 <pt<25 	4<chiso range<11 	221.731	93.0445	128.663	101.925	101.592	1.07283	1.59118
20 <pt<25 	4<chiso range<12 	221.731	93.0445	128.663	100.454	102.671	0.908954	1.53419
20 <pt<25 	4<chiso range<13 	221.731	93.0445	128.663	98.9893	104.223	0.739274	1.44674
20 <pt<25 	5<chiso range<10 	221.731	93.0445	128.663	100.162	103.629	0.874283	1.4783
20 <pt<25 	5<chiso range<11 	221.731	93.0445	128.663	102.172	101.524	1.09965	1.59413
20 <pt<25 	5<chiso range<12 	221.731	93.0445	128.663	100.423	102.772	0.90522	1.52816
20 <pt<25 	5<chiso range<13 	221.731	93.0445	128.663	98.7314	104.555	0.708769	1.42762
20 <pt<25 	6<chiso range<11 	221.731	93.0445	128.663	99.5246	104.259	0.805449	1.45491
20 <pt<25 	6<chiso range<12 	221.731	93.0445	128.663	97.919	105.06	0.61537	1.40887
20 <pt<25 	6<chiso range<13 	221.731	93.0445	128.663	96.3209	106.697	0.419493	1.31285
