pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.6897	0.269471	0.340089	0.0290829	2.42816
20 <pt<25 	3<chiso range<9 	351.391	94.6897	0.269471	0.34593	0.0296024	2.58286
20 <pt<25 	3<chiso range<10 	351.391	94.6897	0.269471	0.351562	0.0300332	2.73334
20 <pt<25 	3<chiso range<11 	351.391	94.6897	0.269471	0.35205	0.0300691	2.74631
20 <pt<25 	3<chiso range<12 	351.391	94.6897	0.269471	0.345098	0.0294163	2.57092
20 <pt<25 	3<chiso range<13 	351.391	94.6897	0.269471	0.339891	0.0289902	2.4291
20 <pt<25 	4<chiso range<9 	351.391	94.6897	0.269471	0.309331	0.0264319	1.50802
20 <pt<25 	4<chiso range<10 	351.391	94.6897	0.269471	0.320819	0.0273701	1.87606
20 <pt<25 	4<chiso range<11 	351.391	94.6897	0.269471	0.324612	0.0276914	1.99127
20 <pt<25 	4<chiso range<12 	351.391	94.6897	0.269471	0.319509	0.0272004	1.8396
20 <pt<25 	4<chiso range<13 	351.391	94.6897	0.269471	0.315961	0.0269163	1.7272
20 <pt<25 	5<chiso range<10 	351.391	94.6897	0.269471	0.316972	0.0270579	1.75553
20 <pt<25 	5<chiso range<11 	351.391	94.6897	0.269471	0.322158	0.0274993	1.91594
20 <pt<25 	5<chiso range<12 	351.391	94.6897	0.269471	0.316293	0.0269277	1.7388
20 <pt<25 	5<chiso range<13 	351.391	94.6897	0.269471	0.312717	0.026648	1.62286
20 <pt<25 	6<chiso range<11 	351.391	94.6897	0.269471	0.313644	0.0266068	1.66021
20 <pt<25 	6<chiso range<12 	351.391	94.6897	0.269471	0.308191	0.0261038	1.48331
20 <pt<25 	6<chiso range<13 	351.391	94.6897	0.269471	0.305163	0.0258971	1.37822
20 <pt<25 	7<chiso range<12 	351.391	94.6897	0.269471	0.330117	0.0280544	2.16173
20 <pt<25 	7<chiso range<13 	351.391	94.6897	0.269471	0.322521	0.0274529	1.9324
20 <pt<25 	8<chiso range<13 	351.391	94.6897	0.269471	0.339118	0.0288148	2.41705
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.5935	0.215317	0.302106	0.0392462	2.21141
25 <pt<30 	3<chiso range<9 	183.885	39.5935	0.215317	0.314631	0.0409517	2.42516
25 <pt<30 	3<chiso range<10 	183.885	39.5935	0.215317	0.304369	0.0396007	2.24876
25 <pt<30 	3<chiso range<11 	183.885	39.5935	0.215317	0.31132	0.0404977	2.37059
25 <pt<30 	3<chiso range<12 	183.885	39.5935	0.215317	0.318795	0.0416413	2.48499
25 <pt<30 	3<chiso range<13 	183.885	39.5935	0.215317	0.30979	0.0405072	2.33226
25 <pt<30 	4<chiso range<9 	183.885	39.5935	0.215317	0.284232	0.0368449	1.87042
25 <pt<30 	4<chiso range<10 	183.885	39.5935	0.215317	0.277165	0.0359277	1.72147
25 <pt<30 	4<chiso range<11 	183.885	39.5935	0.215317	0.287523	0.0372667	1.93756
25 <pt<30 	4<chiso range<12 	183.885	39.5935	0.215317	0.29796	0.0387974	2.13013
25 <pt<30 	4<chiso range<13 	183.885	39.5935	0.215317	0.289977	0.0378087	1.97469
25 <pt<30 	5<chiso range<10 	183.885	39.5935	0.215317	0.280098	0.0363387	1.78271
25 <pt<30 	5<chiso range<11 	183.885	39.5935	0.215317	0.292441	0.0379296	2.03336
25 <pt<30 	5<chiso range<12 	183.885	39.5935	0.215317	0.304198	0.0396764	2.24016
25 <pt<30 	5<chiso range<13 	183.885	39.5935	0.215317	0.294202	0.0384202	2.05323
25 <pt<30 	6<chiso range<11 	183.885	39.5935	0.215317	0.296317	0.0385475	2.10131
25 <pt<30 	6<chiso range<12 	183.885	39.5935	0.215317	0.309881	0.0405852	2.33002
25 <pt<30 	6<chiso range<13 	183.885	39.5935	0.215317	0.297238	0.0389697	2.10218
25 <pt<30 	7<chiso range<12 	183.885	39.5935	0.215317	0.325174	0.0429731	2.55642
25 <pt<30 	7<chiso range<13 	183.885	39.5935	0.215317	0.307463	0.0406393	2.26742
25 <pt<30 	8<chiso range<13 	183.885	39.5935	0.215317	0.319579	0.0422128	2.46992
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.2185	0.175971	0.205092	0.034175	0.852105
30 <pt<40 	3<chiso range<9 	194.455	34.2185	0.175971	0.209014	0.0348696	0.947608
30 <pt<40 	3<chiso range<10 	194.455	34.2185	0.175971	0.201562	0.0334815	0.764323
30 <pt<40 	3<chiso range<11 	194.455	34.2185	0.175971	0.2083	0.034721	0.931099
30 <pt<40 	3<chiso range<12 	194.455	34.2185	0.175971	0.207326	0.0344901	0.909093
30 <pt<40 	3<chiso range<13 	194.455	34.2185	0.175971	0.203359	0.033919	0.807444
30 <pt<40 	4<chiso range<9 	194.455	34.2185	0.175971	0.196643	0.0327756	0.630704
30 <pt<40 	4<chiso range<10 	194.455	34.2185	0.175971	0.190166	0.0315431	0.45001
30 <pt<40 	4<chiso range<11 	194.455	34.2185	0.175971	0.198945	0.0331312	0.693416
30 <pt<40 	4<chiso range<12 	194.455	34.2185	0.175971	0.198839	0.0330443	0.692031
30 <pt<40 	4<chiso range<13 	194.455	34.2185	0.175971	0.195233	0.0325409	0.591923
30 <pt<40 	5<chiso range<10 	194.455	34.2185	0.175971	0.175014	0.0290763	0.0329239
30 <pt<40 	5<chiso range<11 	194.455	34.2185	0.175971	0.186759	0.0311702	0.34609
30 <pt<40 	5<chiso range<12 	194.455	34.2185	0.175971	0.188143	0.0313159	0.388675
30 <pt<40 	5<chiso range<13 	194.455	34.2185	0.175971	0.185181	0.030923	0.297827
30 <pt<40 	6<chiso range<11 	194.455	34.2185	0.175971	0.180144	0.0301148	0.13856
30 <pt<40 	6<chiso range<12 	194.455	34.2185	0.175971	0.182732	0.03044	0.222099
30 <pt<40 	6<chiso range<13 	194.455	34.2185	0.175971	0.179958	0.0300885	0.132499
30 <pt<40 	7<chiso range<12 	194.455	34.2185	0.175971	0.195907	0.0327953	0.607883
30 <pt<40 	7<chiso range<13 	194.455	34.2185	0.175971	0.190415	0.0320099	0.451226
30 <pt<40 	8<chiso range<13 	194.455	34.2185	0.175971	0.201042	0.0335805	0.746585
#######################################################################################
40 <pt<50 	3<chiso range<8 	87.718	14.0178	0.159805	0.21483	0.0505652	1.08819
40 <pt<50 	3<chiso range<9 	87.718	14.0178	0.159805	0.20622	0.0485321	0.956371
40 <pt<50 	3<chiso range<10 	87.718	14.0178	0.159805	0.206862	0.0488462	0.963365
40 <pt<50 	3<chiso range<11 	87.718	14.0178	0.159805	0.197613	0.0465426	0.812325
40 <pt<50 	3<chiso range<12 	87.718	14.0178	0.159805	0.200927	0.0474611	0.86643
40 <pt<50 	3<chiso range<13 	87.718	14.0178	0.159805	0.2047	0.0482162	0.931113
40 <pt<50 	4<chiso range<9 	87.718	14.0178	0.159805	0.201673	0.0478101	0.875709
40 <pt<50 	4<chiso range<10 	87.718	14.0178	0.159805	0.203008	0.048267	0.895078
40 <pt<50 	4<chiso range<11 	87.718	14.0178	0.159805	0.193136	0.0457308	0.728846
40 <pt<50 	4<chiso range<12 	87.718	14.0178	0.159805	0.197367	0.0468697	0.801407
40 <pt<50 	4<chiso range<13 	87.718	14.0178	0.159805	0.201841	0.0477659	0.880036
40 <pt<50 	5<chiso range<10 	87.718	14.0178	0.159805	0.197325	0.0468056	0.801607
40 <pt<50 	5<chiso range<11 	87.718	14.0178	0.159805	0.186641	0.0440832	0.608752
40 <pt<50 	5<chiso range<12 	87.718	14.0178	0.159805	0.192433	0.0456136	0.715307
40 <pt<50 	5<chiso range<13 	87.718	14.0178	0.159805	0.197688	0.0466816	0.811513
40 <pt<50 	6<chiso range<11 	87.718	14.0178	0.159805	0.195194	0.0460169	0.769037
40 <pt<50 	6<chiso range<12 	87.718	14.0178	0.159805	0.20084	0.0475678	0.862657
40 <pt<50 	6<chiso range<13 	87.718	14.0178	0.159805	0.206765	0.0487553	0.963171
40 <pt<50 	7<chiso range<12 	87.718	14.0178	0.159805	0.182196	0.0432427	0.517792
40 <pt<50 	7<chiso range<13 	87.718	14.0178	0.159805	0.190129	0.0448728	0.675771
40 <pt<50 	8<chiso range<13 	87.718	14.0178	0.159805	0.191683	0.0451877	0.705451
#######################################################################################
50 <pt<65 	3<chiso range<8 	63.9335	8.33178	0.130319	0.131464	0.0469048	0.0244011
50 <pt<65 	3<chiso range<9 	63.9335	8.33178	0.130319	0.11486	0.0411082	0.376068
50 <pt<65 	3<chiso range<10 	63.9335	8.33178	0.130319	0.115226	0.0411413	0.366869
50 <pt<65 	3<chiso range<11 	63.9335	8.33178	0.130319	0.107092	0.0385909	0.60189
50 <pt<65 	3<chiso range<12 	63.9335	8.33178	0.130319	0.101257	0.0366936	0.792031
50 <pt<65 	3<chiso range<13 	63.9335	8.33178	0.130319	0.0978513	0.0356388	0.911034
50 <pt<65 	4<chiso range<9 	63.9335	8.33178	0.130319	0.101067	0.036561	0.8001
50 <pt<65 	4<chiso range<10 	63.9335	8.33178	0.130319	0.103174	0.0371628	0.730447
50 <pt<65 	4<chiso range<11 	63.9335	8.33178	0.130319	0.0961524	0.0349594	0.977336
50 <pt<65 	4<chiso range<12 	63.9335	8.33178	0.130319	0.0910318	0.0332793	1.18054
50 <pt<65 	4<chiso range<13 	63.9335	8.33178	0.130319	0.0883013	0.0324437	1.29511
50 <pt<65 	5<chiso range<10 	63.9335	8.33178	0.130319	0.109288	0.0388578	0.541242
50 <pt<65 	5<chiso range<11 	63.9335	8.33178	0.130319	0.099449	0.0358264	0.861668
50 <pt<65 	5<chiso range<12 	63.9335	8.33178	0.130319	0.0928578	0.0337043	1.11148
50 <pt<65 	5<chiso range<13 	63.9335	8.33178	0.130319	0.0894697	0.0326833	1.24987
50 <pt<65 	6<chiso range<11 	63.9335	8.33178	0.130319	0.0905707	0.0328996	1.20818
50 <pt<65 	6<chiso range<12 	63.9335	8.33178	0.130319	0.0841702	0.0308263	1.49707
50 <pt<65 	6<chiso range<13 	63.9335	8.33178	0.130319	0.0813405	0.0299945	1.63293
50 <pt<65 	7<chiso range<12 	63.9335	8.33178	0.130319	0.0811268	0.0297696	1.65245
50 <pt<65 	7<chiso range<13 	63.9335	8.33178	0.130319	0.0784317	0.0289973	1.7894
50 <pt<65 	8<chiso range<13 	63.9335	8.33178	0.130319	0.0640621	0.0239457	2.76698
#######################################################################################
65 <pt<100 	3<chiso range<8 	46.0634	5.19989	0.112886	0.138901	0.0513781	0.506354
65 <pt<100 	3<chiso range<9 	46.0634	5.19989	0.112886	0.139984	0.0520777	0.520347
65 <pt<100 	3<chiso range<10 	46.0634	5.19989	0.112886	0.129431	0.0489847	0.337769
65 <pt<100 	3<chiso range<11 	46.0634	5.19989	0.112886	0.124069	0.0470958	0.237463
65 <pt<100 	3<chiso range<12 	46.0634	5.19989	0.112886	0.121524	0.0458136	0.188558
65 <pt<100 	3<chiso range<13 	46.0634	5.19989	0.112886	0.117107	0.0440474	0.0958399
65 <pt<100 	4<chiso range<9 	46.0634	5.19989	0.112886	0.128365	0.0480439	0.322195
65 <pt<100 	4<chiso range<10 	46.0634	5.19989	0.112886	0.118277	0.0451895	0.119309
65 <pt<100 	4<chiso range<11 	46.0634	5.19989	0.112886	0.113611	0.0435167	0.0166717
65 <pt<100 	4<chiso range<12 	46.0634	5.19989	0.112886	0.111995	0.0424923	0.0209568
65 <pt<100 	4<chiso range<13 	46.0634	5.19989	0.112886	0.108142	0.0408874	0.116014
65 <pt<100 	5<chiso range<10 	46.0634	5.19989	0.112886	0.109944	0.0428238	0.0686885
65 <pt<100 	5<chiso range<11 	46.0634	5.19989	0.112886	0.105681	0.0411802	0.174951
65 <pt<100 	5<chiso range<12 	46.0634	5.19989	0.112886	0.105105	0.0403403	0.192872
65 <pt<100 	5<chiso range<13 	46.0634	5.19989	0.112886	0.101695	0.0387964	0.288442
65 <pt<100 	6<chiso range<11 	46.0634	5.19989	0.112886	0.10076	0.0394718	0.307194
65 <pt<100 	6<chiso range<12 	46.0634	5.19989	0.112886	0.100885	0.0387812	0.309441
65 <pt<100 	6<chiso range<13 	46.0634	5.19989	0.112886	0.0976322	0.0372678	0.409289
65 <pt<100 	7<chiso range<12 	46.0634	5.19989	0.112886	0.0953639	0.0366748	0.477756
65 <pt<100 	7<chiso range<13 	46.0634	5.19989	0.112886	0.0925622	0.035313	0.575519
65 <pt<100 	8<chiso range<13 	46.0634	5.19989	0.112886	0.0938838	0.0360768	0.526701
#######################################################################################
100 <pt<400 	3<chiso range<8 	24.7405	1.55835	0.0629878	0.0486991	0.0322615	0.442903
100 <pt<400 	3<chiso range<9 	24.7405	1.55835	0.0629878	0.0472821	0.0311706	0.503863
100 <pt<400 	3<chiso range<10 	24.7405	1.55835	0.0629878	0.0614463	0.0398763	0.0386574
100 <pt<400 	3<chiso range<11 	24.7405	1.55835	0.0629878	0.0596068	0.0392232	0.0861993
100 <pt<400 	3<chiso range<12 	24.7405	1.55835	0.0629878	0.0563813	0.036975	0.178675
100 <pt<400 	3<chiso range<13 	24.7405	1.55835	0.0629878	0.058518	0.0384342	0.116298
100 <pt<400 	4<chiso range<9 	24.7405	1.55835	0.0629878	0.0432233	0.0284025	0.695872
100 <pt<400 	4<chiso range<10 	24.7405	1.55835	0.0629878	0.0590731	0.0381802	0.102533
100 <pt<400 	4<chiso range<11 	24.7405	1.55835	0.0629878	0.0574949	0.0377328	0.145574
100 <pt<400 	4<chiso range<12 	24.7405	1.55835	0.0629878	0.054167	0.0354297	0.248967
100 <pt<400 	4<chiso range<13 	24.7405	1.55835	0.0629878	0.0567789	0.0371989	0.166911
100 <pt<400 	5<chiso range<10 	24.7405	1.55835	0.0629878	0.0536745	0.0344969	0.269975
100 <pt<400 	5<chiso range<11 	24.7405	1.55835	0.0629878	0.0529021	0.0346277	0.291261
100 <pt<400 	5<chiso range<12 	24.7405	1.55835	0.0629878	0.0497129	0.0324044	0.409664
100 <pt<400 	5<chiso range<13 	24.7405	1.55835	0.0629878	0.0532052	0.0347869	0.281215
100 <pt<400 	6<chiso range<11 	24.7405	1.55835	0.0629878	0.0586106	0.0386956	0.113119
100 <pt<400 	6<chiso range<12 	24.7405	1.55835	0.0629878	0.0538826	0.0353431	0.257624
100 <pt<400 	6<chiso range<13 	24.7405	1.55835	0.0629878	0.0574237	0.0377096	0.147552
100 <pt<400 	7<chiso range<12 	24.7405	1.55835	0.0629878	0.0560163	0.0369026	0.188917
100 <pt<400 	7<chiso range<13 	24.7405	1.55835	0.0629878	0.0598733	0.03945	0.0789484
100 <pt<400 	8<chiso range<13 	24.7405	1.55835	0.0629878	0.0722966	0.0470576	0.197817
#######################################################################################
