pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	94.6897	111.949	9.40758	1.83462
20 <pt<25 	3<chiso range<9 	94.6897	113.872	9.57588	2.00319
20 <pt<25 	3<chiso range<10 	94.6897	115.726	9.71465	2.16542
20 <pt<25 	3<chiso range<11 	94.6897	115.887	9.72617	2.17941
20 <pt<25 	3<chiso range<12 	94.6897	113.598	9.51434	1.98735
20 <pt<25 	3<chiso range<13 	94.6897	111.884	9.37672	1.83372
20 <pt<25 	4<chiso range<9 	94.6897	101.824	8.54983	0.834438
20 <pt<25 	4<chiso range<10 	94.6897	105.606	8.85281	1.23309
20 <pt<25 	4<chiso range<11 	94.6897	106.855	8.95669	1.35824
20 <pt<25 	4<chiso range<12 	94.6897	105.175	8.79723	1.19189
20 <pt<25 	4<chiso range<13 	94.6897	104.007	8.70556	1.07027
20 <pt<25 	5<chiso range<10 	94.6897	104.34	8.75201	1.10264
20 <pt<25 	5<chiso range<11 	94.6897	106.047	8.89475	1.27685
20 <pt<25 	5<chiso range<12 	94.6897	104.116	8.70905	1.08236
20 <pt<25 	5<chiso range<13 	94.6897	102.939	8.61889	0.957119
20 <pt<25 	6<chiso range<11 	94.6897	103.244	8.60415	0.994206
20 <pt<25 	6<chiso range<12 	94.6897	101.449	8.44101	0.800769
20 <pt<25 	6<chiso range<13 	94.6897	100.452	8.37479	0.688053
20 <pt<25 	7<chiso range<12 	94.6897	108.667	9.07287	1.54056
20 <pt<25 	7<chiso range<13 	94.6897	106.166	8.87885	1.29254
20 <pt<25 	8<chiso range<13 	94.6897	111.63	9.31875	1.81787
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.5935	52.9274	6.77665	1.96762
25 <pt<30 	3<chiso range<9 	39.5935	55.1217	7.07153	2.19588
25 <pt<30 	3<chiso range<10 	39.5935	53.3239	6.83817	2.00791
25 <pt<30 	3<chiso range<11 	39.5935	54.5416	6.99301	2.13758
25 <pt<30 	3<chiso range<12 	39.5935	55.8513	7.19135	2.26074
25 <pt<30 	3<chiso range<13 	39.5935	54.2736	6.99571	2.09844
25 <pt<30 	4<chiso range<9 	39.5935	49.7961	6.36161	1.60378
25 <pt<30 	4<chiso range<10 	39.5935	48.5578	6.20323	1.4451
