pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	256.679	211.41	20.9704	2.15871
20  <pt<25 	3<chiso range<9 	256.679	209.74	21.068	2.22798
20  <pt<25 	3<chiso range<10 	256.679	207.527	21.1356	2.32555
20  <pt<25 	3<chiso range<11 	256.679	207.32	21.1411	2.33474
20  <pt<25 	3<chiso range<12 	256.679	209.109	21.0052	2.26468
20  <pt<25 	3<chiso range<13 	256.679	210.959	20.9302	2.1844
20  <pt<25 	4<chiso range<9 	256.679	221.606	20.4764	1.71285
20  <pt<25 	4<chiso range<10 	256.679	217.328	20.6334	1.90715
20  <pt<25 	4<chiso range<11 	256.679	216.065	20.6906	1.96292
20  <pt<25 	4<chiso range<12 	256.679	217.193	20.5908	1.91765
20  <pt<25 	4<chiso range<13 	256.679	218.631	20.5472	1.85174
20  <pt<25 	5<chiso range<10 	256.679	218.946	20.5792	1.83355
20  <pt<25 	5<chiso range<11 	256.679	217.089	20.657	1.91654
20  <pt<25 	5<chiso range<12 	256.679	218.441	20.5419	1.86146
20  <pt<25 	5<chiso range<13 	256.679	219.791	20.4996	1.79945
20  <pt<25 	6<chiso range<11 	256.679	219.324	20.4193	1.8294
20  <pt<25 	6<chiso range<12 	256.679	220.28	20.3403	1.7895
20  <pt<25 	6<chiso range<13 	256.679	221.519	20.3267	1.72974
20  <pt<25 	7<chiso range<12 	256.679	213.658	20.716	2.0767
20  <pt<25 	7<chiso range<13 	256.679	216.51	20.6194	1.94812
20  <pt<25 	8<chiso range<13 	256.679	210.701	20.8527	2.20489
#######################################################################################
25  <pt<30 	3<chiso range<8 	144.283	118.536	15.0818	1.70716
25  <pt<30 	3<chiso range<9 	144.283	116.552	15.2508	1.81833
25  <pt<30 	3<chiso range<10 	144.283	118.306	15.1217	1.71786
25  <pt<30 	3<chiso range<11 	144.283	117.06	15.2062	1.79026
25  <pt<30 	3<chiso range<12 	144.283	116.163	15.3348	1.83374
25  <pt<30 	3<chiso range<13 	144.283	117.817	15.2341	1.73729
25  <pt<30 	4<chiso range<9 	144.283	121.473	14.8493	1.5361
25  <pt<30 	4<chiso range<10 	144.283	122.706	14.7675	1.46111
25  <pt<30 	4<chiso range<11 	144.283	120.853	14.8832	1.57426
25  <pt<30 	4<chiso range<12 	144.283	119.584	15.0432	1.64187
25  <pt<30 	4<chiso range<13 	144.283	121.024	14.9602	1.55473
25  <pt<30 	5<chiso range<10 	144.283	122.273	14.8083	1.48633
25  <pt<30 	5<chiso range<11 	144.283	120.081	14.9481	1.61907
25  <pt<30 	5<chiso range<12 	144.283	118.702	15.1319	1.69053
25  <pt<30 	5<chiso range<13 	144.283	120.478	15.0235	1.58452
25  <pt<30 	6<chiso range<11 	144.283	119.694	15.0211	1.63696
25  <pt<30 	6<chiso range<12 	144.283	118.157	15.2353	1.71483
25  <pt<30 	6<chiso range<13 	144.283	120.343	15.0932	1.58614
25  <pt<30 	7<chiso range<12 	144.283	116.439	15.5026	1.79609
25  <pt<30 	7<chiso range<13 	144.283	119.367	15.2904	1.62952
25  <pt<30 	8<chiso range<13 	144.283	117.124	15.4446	1.75848
#######################################################################################
30  <pt<40 	3<chiso range<8 	160.233	147.653	15.3445	0.819838
30  <pt<40 	3<chiso range<9 	160.233	146.986	15.4135	0.859441
30  <pt<40 	3<chiso range<10 	160.233	148.109	15.2717	0.793887
30  <pt<40 	3<chiso range<11 	160.233	147.085	15.3954	0.854021
30  <pt<40 	3<chiso range<12 	160.233	147.151	15.3671	0.851299
30  <pt<40 	3<chiso range<13 	160.233	148.058	15.3222	0.794599
30  <pt<40 	4<chiso range<9 	160.233	149.209	15.2206	0.724282
30  <pt<40 	4<chiso range<10 	160.233	150.124	15.0948	0.669701
30  <pt<40 	4<chiso range<11 	160.233	148.758	15.2476	0.752577
30  <pt<40 	4<chiso range<12 	160.233	148.658	15.2324	0.759893
30  <pt<40 	4<chiso range<13 	160.233	149.518	15.1957	0.705134
30  <pt<40 	5<chiso range<10 	160.233	153.035	14.887	0.483509
30  <pt<40 	5<chiso range<11 	160.233	151.17	15.0788	0.601043
30  <pt<40 	5<chiso range<12 	160.233	150.756	15.0823	0.628352
30  <pt<40 	5<chiso range<13 	160.233	151.514	15.0574	0.579051
30  <pt<40 	6<chiso range<11 	160.233	152.51	14.991	0.515176
30  <pt<40 	6<chiso range<12 	160.233	151.829	15.0072	0.559998
30  <pt<40 	6<chiso range<13 	160.233	152.576	14.9876	0.510889
30  <pt<40 	7<chiso range<12 	160.233	149.762	15.2238	0.687805
30  <pt<40 	7<chiso range<13 	160.233	151.04	15.1663	0.606147
