pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.6897	256.679	102.461	101.165	0.932909	9.1155
20 <pt<25 	3<chiso range<9 	351.391	94.6897	256.679	105.416	98.4927	1.24995	9.18438
20 <pt<25 	3<chiso range<10 	351.391	94.6897	256.679	107.553	96.1352	1.47021	9.26745
20 <pt<25 	3<chiso range<11 	351.391	94.6897	256.679	108.338	95.2882	1.54929	9.29928
20 <pt<25 	3<chiso range<12 	351.391	94.6897	256.679	106.452	96.85	1.36014	9.26368
20 <pt<25 	3<chiso range<13 	351.391	94.6897	256.679	104.616	98.7695	1.16703	9.19233
20 <pt<25 	4<chiso range<9 	351.391	94.6897	256.679	96.5685	107.301	0.239346	8.91197
20 <pt<25 	4<chiso range<10 	351.391	94.6897	256.679	100.263	103.31	0.684213	9.05425
20 <pt<25 	4<chiso range<11 	351.391	94.6897	256.679	101.925	101.592	0.874074	9.11569
20 <pt<25 	4<chiso range<12 	351.391	94.6897	256.679	100.454	102.671	0.70713	9.09042
20 <pt<25 	4<chiso range<13 	351.391	94.6897	256.679	98.9893	104.223	0.534683	9.0247
20 <pt<25 	5<chiso range<10 	351.391	94.6897	256.679	100.162	103.629	0.672193	9.03787
20 <pt<25 	5<chiso range<11 	351.391	94.6897	256.679	102.172	101.524	0.90144	9.11374
20 <pt<25 	5<chiso range<12 	351.391	94.6897	256.679	100.423	102.772	0.703381	9.08402
20 <pt<25 	5<chiso range<13 	351.391	94.6897	256.679	98.7314	104.555	0.503725	9.00846
20 <pt<25 	6<chiso range<11 	351.391	94.6897	256.679	99.5246	104.259	0.600957	9.0869
20 <pt<25 	6<chiso range<12 	351.391	94.6897	256.679	97.919	105.06	0.407676	9.05021
20 <pt<25 	6<chiso range<13 	351.391	94.6897	256.679	96.3209	106.697	0.20885	8.964
20 <pt<25 	7<chiso range<12 	351.391	94.6897	256.679	105.457	97.9662	1.256	9.21966
20 <pt<25 	7<chiso range<13 	351.391	94.6897	256.679	102.085	101.532	0.890039	9.08887
20 <pt<25 	8<chiso range<13 	351.391	94.6897	256.679	107.359	96.0705	1.45267	9.28818
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.5935	144.283	47.9601	57.4787	1.39362	7.14921
25 <pt<30 	3<chiso range<9 	183.885	39.5935	144.283	50.316	55.2488	1.70035	7.22328
25 <pt<30 	3<chiso range<10 	183.885	39.5935	144.283	49.0968	56.4512	1.54487	7.18049
25 <pt<30 	3<chiso range<11 	183.885	39.5935	144.283	50.4955	55.0622	1.72285	7.23127
25 <pt<30 	3<chiso range<12 	183.885	39.5935	144.283	51.9958	53.7849	1.89796	7.24965
25 <pt<30 	3<chiso range<13 	183.885	39.5935	144.283	50.5573	55.2728	1.72398	7.18688
25 <pt<30 	4<chiso range<9 	183.885	39.5935	144.283	47.0704	58.244	1.2714	7.13661
25 <pt<30 	4<chiso range<10 	183.885	39.5935	144.283	46.1846	59.1193	1.14187	7.09727
25 <pt<30 	4<chiso range<11 	183.885	39.5935	144.283	48.0455	57.2988	1.40707	7.16804
25 <pt<30 	4<chiso range<12 	183.885	39.5935	144.283	49.8804	55.8084	1.64524	7.20067
25 <pt<30 	4<chiso range<13 	183.885	39.5935	144.283	48.5114	57.2133	1.46445	7.133
25 <pt<30 	5<chiso range<10 	183.885	39.5935	144.283	46.5328	58.8021	1.19269	7.10641
25 <pt<30 	5<chiso range<11 	183.885	39.5935	144.283	48.7539	56.6236	1.5022	7.19044
25 <pt<30 	5<chiso range<12 	183.885	39.5935	144.283	50.8689	54.9203	1.76655	7.22421
25 <pt<30 	5<chiso range<13 	183.885	39.5935	144.283	49.1511	56.6689	1.54728	7.14313
25 <pt<30 	6<chiso range<11 	183.885	39.5935	144.283	49.4883	56.0622	1.59503	7.19084
25 <pt<30 	6<chiso range<12 	183.885	39.5935	144.283	51.9508	54.117	1.8903	7.22536
25 <pt<30 	6<chiso range<13 	183.885	39.5935	144.283	49.7597	56.3038	1.62098	7.12954
25 <pt<30 	7<chiso range<12 	183.885	39.5935	144.283	54.7975	51.9499	2.19051	7.23534
25 <pt<30 	7<chiso range<13 	183.885	39.5935	144.283	51.6861	54.9206	1.84505	7.12255
25 <pt<30 	8<chiso range<13 	183.885	39.5935	144.283	54.0781	52.4439	2.11298	7.21132
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.2185	160.233	35.0496	78.0024	0.145241	6.68541
30 <pt<40 	3<chiso range<9 	194.455	34.2185	160.233	36.0239	77.0889	0.306729	6.70874
30 <pt<40 	3<chiso range<10 	194.455	34.2185	160.233	34.8435	78.0866	0.110091	6.69593
30 <pt<40 	3<chiso range<11 	194.455	34.2185	160.233	36.0768	77.0764	0.315015	6.70412
30 <pt<40 	3<chiso range<12 	194.455	34.2185	160.233	35.9308	77.1255	0.292051	6.71635
30 <pt<40 	3<chiso range<13 	194.455	34.2185	160.233	35.4281	77.7529	0.20872	6.68039
30 <pt<40 	4<chiso range<9 	194.455	34.2185	160.233	34.7112	78.2869	0.0870163	6.682
30 <pt<40 	4<chiso range<10 	194.455	34.2185	160.233	33.595	79.2667	0.11409	6.66225
30 <pt<40 	4<chiso range<11 	194.455	34.2185	160.233	35.1069	77.9662	0.154948	6.68428
30 <pt<40 	4<chiso range<12 	194.455	34.2185	160.233	35.0439	77.9302	0.144534	6.69978
30 <pt<40 	4<chiso range<13 	194.455	34.2185	160.233	34.5614	78.5497	0.0607007	6.66079
30 <pt<40 	5<chiso range<10 	194.455	34.2185	160.233	31.3194	81.6402	0.568096	6.56181
30 <pt<40 	5<chiso range<11 	194.455	34.2185	160.233	33.3317	79.8948	0.162519	6.59911
30 <pt<40 	5<chiso range<12 	194.455	34.2185	160.233	33.481	79.6115	0.134942	6.6276
30 <pt<40 	5<chiso range<13 	194.455	34.2185	160.233	33.1076	80.1575	0.204901	6.58749
30 <pt<40 	6<chiso range<11 	194.455	34.2185	160.233	32.0425	81.2819	0.414391	6.54067
30 <pt<40 	6<chiso range<12 	194.455	34.2185	160.233	32.4043	80.7475	0.342882	6.58358
30 <pt<40 	6<chiso range<13 	194.455	34.2185	160.233	32.1002	81.2474	0.402625	6.5412
30 <pt<40 	7<chiso range<12 	194.455	34.2185	160.233	35.0462	78.4208	0.143946	6.64017
30 <pt<40 	7<chiso range<13 	194.455	34.2185	160.233	34.2836	79.4249	0.0115231	6.57431
30 <pt<40 	8<chiso range<13 	194.455	34.2185	160.233	35.9086	77.4511	0.286972	6.67241
#######################################################################################
40 <pt<50 	3<chiso range<8 	87.718	14.0178	73.7001	16.6542	40.6105	0.681189	3.84216
40 <pt<50 	3<chiso range<9 	87.718	14.0178	73.7001	16.3547	40.8898	0.615387	3.82714
40 <pt<50 	3<chiso range<10 	87.718	14.0178	73.7001	16.4313	40.8881	0.630316	3.81436
40 <pt<50 	3<chiso range<11 	87.718	14.0178	73.7001	15.671	41.5924	0.453817	3.77627
40 <pt<50 	3<chiso range<12 	87.718	14.0178	73.7001	16.0357	41.289	0.5401	3.78873
40 <pt<50 	3<chiso range<13 	87.718	14.0178	73.7001	16.3132	40.9627	0.605685	3.82054
40 <pt<50 	4<chiso range<9 	87.718	14.0178	73.7001	16.2028	41.1688	0.57732	3.78769
40 <pt<50 	4<chiso range<10 	87.718	14.0178	73.7001	16.3023	41.1518	0.597875	3.77682
40 <pt<50 	4<chiso range<11 	87.718	14.0178	73.7001	15.4674	41.8913	0.401401	3.74083
40 <pt<50 	4<chiso range<12 	87.718	14.0178	73.7001	15.8996	41.5175	0.505738	3.75812
40 <pt<50 	4<chiso range<13 	87.718	14.0178	73.7001	16.225	41.1211	0.583334	3.79655
40 <pt<50 	5<chiso range<10 	87.718	14.0178	73.7001	16.1106	41.2961	0.55527	3.77398
40 <pt<50 	5<chiso range<11 	87.718	14.0178	73.7001	15.1636	42.146	0.324298	3.73016
40 <pt<50 	5<chiso range<12 	87.718	14.0178	73.7001	15.7002	41.6819	0.45862	3.75258
40 <pt<50 	5<chiso range<13 	87.718	14.0178	73.7001	16.0727	41.2372	0.549303	3.7958
40 <pt<50 	6<chiso range<11 	87.718	14.0178	73.7001	15.9921	41.2761	0.530779	3.79557
40 <pt<50 	6<chiso range<12 	87.718	14.0178	73.7001	16.5105	40.8492	0.646724	3.81054
40 <pt<50 	6<chiso range<13 	87.718	14.0178	73.7001	16.9176	40.3572	0.737562	3.85817
40 <pt<50 	7<chiso range<12 	87.718	14.0178	73.7001	15.0535	42.3629	0.294091	3.70157
40 <pt<50 	7<chiso range<13 	87.718	14.0178	73.7001	15.6159	41.705	0.439969	3.7665
40 <pt<50 	8<chiso range<13 	87.718	14.0178	73.7001	15.8601	41.4424	0.500329	3.79085
#######################################################################################
50 <pt<65 	3<chiso range<8 	63.9335	8.33178	55.6017	8.14558	35.6549	0.0672061	2.74218
50 <pt<65 	3<chiso range<9 	63.9335	8.33178	55.6017	7.08476	36.7243	0.515901	2.64969
50 <pt<65 	3<chiso range<10 	63.9335	8.33178	55.6017	7.0676	36.7169	0.525542	2.65438
50 <pt<65 	3<chiso range<11 	63.9335	8.33178	55.6017	6.55039	37.294	0.793044	2.59236
