pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.4272	43.184	10.2151	0.759346
20  <pt<25 	3<chiso range<9 	35.4272	43.6805	10.1997	0.809171
20  <pt<25 	3<chiso range<10 	35.4272	45.9251	10.13	1.03632
20  <pt<25 	3<chiso range<11 	35.4272	44.8787	10.1656	0.929753
20  <pt<25 	3<chiso range<12 	35.4272	45.509	10.1442	0.993849
20  <pt<25 	3<chiso range<13 	35.4272	46.6298	10.1052	1.1086
20  <pt<25 	4<chiso range<9 	35.4272	40.365	10.316	0.478655
20  <pt<25 	4<chiso range<10 	35.4272	43.633	10.2083	0.803836
20  <pt<25 	4<chiso range<11 	35.4272	42.5455	10.2468	0.694685
20  <pt<25 	4<chiso range<12 	35.4272	43.4787	10.214	0.788281
20  <pt<25 	4<chiso range<13 	35.4272	44.9541	10.1613	0.937567
20  <pt<25 	5<chiso range<10 	35.4272	41.0987	10.3081	0.550198
20  <pt<25 	5<chiso range<11 	35.4272	39.989	10.3479	0.440843
20  <pt<25 	5<chiso range<12 	35.4272	41.3781	10.2964	0.577959
20  <pt<25 	5<chiso range<13 	35.4272	43.3492	10.2233	0.774897
20  <pt<25 	6<chiso range<11 	35.4272	43.8457	10.2296	0.822955
20  <pt<25 	6<chiso range<12 	35.4272	45.0637	10.184	0.946239
20  <pt<25 	6<chiso range<13 	35.4272	46.9839	10.1138	1.14267
20  <pt<25 	7<chiso range<12 	35.4272	46.1124	10.1436	1.05339
20  <pt<25 	7<chiso range<13 	35.4272	48.3965	10.0623	1.2889
20  <pt<25 	8<chiso range<13 	35.4272	52.2163	9.94259	1.6886
#######################################################################################
25  <pt<30 	3<chiso range<8 	22.8623	26.1713	7.53191	0.439331
25  <pt<30 	3<chiso range<9 	22.8623	26.2102	7.53196	0.444493
25  <pt<30 	3<chiso range<10 	22.8623	26.5948	7.5104	0.496978
25  <pt<30 	3<chiso range<11 	22.8623	27.309	7.47154	0.595152
25  <pt<30 	3<chiso range<12 	22.8623	27.3166	7.46907	0.596366
25  <pt<30 	3<chiso range<13 	22.8623	27.0886	7.48175	0.564881
25  <pt<30 	4<chiso range<9 	22.8623	26.4259	7.52054	0.473849
25  <pt<30 	4<chiso range<10 	22.8623	26.8471	7.49598	0.531592
25  <pt<30 	4<chiso range<11 	22.8623	27.6394	7.45405	0.640873
25  <pt<30 	4<chiso range<12 	22.8623	27.6184	7.45283	0.63816
25  <pt<30 	4<chiso range<13 	22.8623	27.3465	7.46777	0.600474
25  <pt<30 	5<chiso range<10 	22.8623	27.2202	7.47934	0.582658
25  <pt<30 	5<chiso range<11 	22.8623	28.121	7.43189	0.707586
