pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.7099	35.4272	44.5832	43.184	2.55512	0.759346
20 <pt<25 	3<chiso range<9 	128.137	54.7099	35.4272	44.0999	43.6805	2.70593	0.809171
20 <pt<25 	3<chiso range<10 	128.137	54.7099	35.4272	41.9009	45.9251	3.4359	1.03632
20 <pt<25 	3<chiso range<11 	128.137	54.7099	35.4272	42.9458	44.8787	3.0793	0.929753
20 <pt<25 	3<chiso range<12 	128.137	54.7099	35.4272	42.3173	45.509	3.29167	0.993849
20 <pt<25 	3<chiso range<13 	128.137	54.7099	35.4272	41.1904	46.6298	3.68887	1.1086
20 <pt<25 	4<chiso range<9 	128.137	54.7099	35.4272	47.3861	40.365	1.73955	0.478655
20 <pt<25 	4<chiso range<10 	128.137	54.7099	35.4272	44.1862	43.633	2.67786	0.803836
20 <pt<25 	4<chiso range<11 	128.137	54.7099	35.4272	45.2701	42.5455	2.34497	0.694685
20 <pt<25 	4<chiso range<12 	128.137	54.7099	35.4272	44.3413	43.4787	2.62921	0.788281
20 <pt<25 	4<chiso range<13 	128.137	54.7099	35.4272	42.8612	44.9541	3.10777	0.937567
20 <pt<25 	5<chiso range<10 	128.137	54.7099	35.4272	46.7602	41.0987	1.91162	0.550198
20 <pt<25 	5<chiso range<11 	128.137	54.7099	35.4272	47.8581	39.989	1.61025	0.440843
20 <pt<25 	5<chiso range<12 	128.137	54.7099	35.4272	46.4744	41.3781	1.99254	0.577959
20 <pt<25 	5<chiso range<13 	128.137	54.7099	35.4272	44.497	43.3492	2.58017	0.774897
20 <pt<25 	6<chiso range<11 	128.137	54.7099	35.4272	44.1348	43.8457	2.69052	0.822955
20 <pt<25 	6<chiso range<12 	128.137	54.7099	35.4272	42.9015	45.0637	3.09052	0.946239
20 <pt<25 	6<chiso range<13 	128.137	54.7099	35.4272	40.9531	46.9839	3.77167	1.14267
20 <pt<25 	7<chiso range<12 	128.137	54.7099	35.4272	41.8276	46.1124	3.45837	1.05339
20 <pt<25 	7<chiso range<13 	128.137	54.7099	35.4272	39.5111	48.3965	4.31936	1.2889
20 <pt<25 	8<chiso range<13 	128.137	54.7099	35.4272	35.6787	52.2163	5.9871	1.6886
#######################################################################################
