pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.7099	0.426964	0.533609	0.0522891	2.03952
20 <pt<25 	3<chiso range<9 	128.137	54.7099	0.426964	0.530044	0.0519427	1.98449
20 <pt<25 	3<chiso range<10 	128.137	54.7099	0.426964	0.501408	0.0491552	1.51447
20 <pt<25 	3<chiso range<11 	128.137	54.7099	0.426964	0.505565	0.0495604	1.58596
20 <pt<25 	3<chiso range<12 	128.137	54.7099	0.426964	0.49923	0.0489432	1.47653
20 <pt<25 	3<chiso range<13 	128.137	54.7099	0.426964	0.484762	0.0475328	1.21596
20 <pt<25 	4<chiso range<9 	128.137	54.7099	0.426964	0.547237	0.0536083	2.24355
20 <pt<25 	4<chiso range<10 	128.137	54.7099	0.426964	0.509624	0.0499557	1.65466
20 <pt<25 	4<chiso range<11 	128.137	54.7099	0.426964	0.513937	0.0503759	1.72648
20 <pt<25 	4<chiso range<12 	128.137	54.7099	0.426964	0.505775	0.0495811	1.58953
20 <pt<25 	4<chiso range<13 	128.137	54.7099	0.426964	0.488292	0.0478772	1.28094
20 <pt<25 	5<chiso range<10 	128.137	54.7099	0.426964	0.513911	0.0503734	1.72605
20 <pt<25 	5<chiso range<11 	128.137	54.7099	0.426964	0.518809	0.0508505	1.80617
20 <pt<25 	5<chiso range<12 	128.137	54.7099	0.426964	0.508424	0.0498394	1.63445
20 <pt<25 	5<chiso range<13 	128.137	54.7099	0.426964	0.487237	0.0477746	1.26161
20 <pt<25 	6<chiso range<11 	128.137	54.7099	0.426964	0.478389	0.0469127	1.09618
20 <pt<25 	6<chiso range<12 	128.137	54.7099	0.426964	0.470467	0.0461397	0.942852
20 <pt<25 	6<chiso range<13 	128.137	54.7099	0.426964	0.449687	0.0441109	0.515131
20 <pt<25 	7<chiso range<12 	128.137	54.7099	0.426964	0.451976	0.0443348	0.564159
20 <pt<25 	7<chiso range<13 	128.137	54.7099	0.426964	0.428318	0.0420237	0.0322173
20 <pt<25 	8<chiso range<13 	128.137	54.7099	0.426964	0.407356	0.0399744	0.490517
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.058	0.364919	0.457844	0.0699668	1.32814
25 <pt<30 	3<chiso range<9 	71.4077	26.058	0.364919	0.468287	0.0715473	1.44476
25 <pt<30 	3<chiso range<10 	71.4077	26.058	0.364919	0.456327	0.0697378	1.31074
25 <pt<30 	3<chiso range<11 	71.4077	26.058	0.364919	0.435089	0.0664934	1.0553
25 <pt<30 	3<chiso range<12 	71.4077	26.058	0.364919	0.436775	0.0667475	1.07654
25 <pt<30 	3<chiso range<13 	71.4077	26.058	0.364919	0.447247	0.0683628	1.20429
25 <pt<30 	4<chiso range<9 	71.4077	26.058	0.364919	0.464782	0.0710165	1.4062
25 <pt<30 	4<chiso range<10 	71.4077	26.058	0.364919	0.451224	0.0689646	1.25144
25 <pt<30 	4<chiso range<11 	71.4077	26.058	0.364919	0.427599	0.0653603	0.958998
25 <pt<30 	4<chiso range<12 	71.4077	26.058	0.364919	0.430175	0.0657494	0.992501
25 <pt<30 	4<chiso range<13 	71.4077	26.058	0.364919	0.441761	0.0675005	1.1384
25 <pt<30 	5<chiso range<10 	71.4077	26.058	0.364919	0.469559	0.0717404	1.4586
25 <pt<30 	5<chiso range<11 	71.4077	26.058	0.364919	0.437678	0.0668855	1.08782
25 <pt<30 	5<chiso range<12 	71.4077	26.058	0.364919	0.439703	0.0671905	1.11302
25 <pt<30 	5<chiso range<13 	71.4077	26.058	0.364919	0.453533	0.0693152	1.27843
25 <pt<30 	6<chiso range<11 	71.4077	26.058	0.364919	0.450403	0.0688419	1.24175
25 <pt<30 	6<chiso range<12 	71.4077	26.058	0.364919	0.451332	0.0689814	1.25271
25 <pt<30 	6<chiso range<13 	71.4077	26.058	0.364919	0.467407	0.071414	1.43513
25 <pt<30 	7<chiso range<12 	71.4077	26.058	0.364919	0.431711	0.0659828	1.01227
25 <pt<30 	7<chiso range<13 	71.4077	26.058	0.364919	0.452973	0.0692305	1.2719
25 <pt<30 	8<chiso range<13 	71.4077	26.058	0.364919	0.43086	0.0658542	1.00132
#######################################################################################
30 <pt<35 	3<chiso range<8 	44.8924	16.0508	0.357539	0.477577	0.100921	1.18942
30 <pt<35 	3<chiso range<9 	44.8924	16.0508	0.357539	0.447127	0.0946181	0.946834
30 <pt<35 	3<chiso range<10 	44.8924	16.0508	0.357539	0.436348	0.0923766	0.853123
30 <pt<35 	3<chiso range<11 	44.8924	16.0508	0.357539	0.436727	0.0924562	0.856488
30 <pt<35 	3<chiso range<12 	44.8924	16.0508	0.357539	0.423858	0.0897777	0.738698
30 <pt<35 	3<chiso range<13 	44.8924	16.0508	0.357539	0.407404	0.086344	0.577511
30 <pt<35 	4<chiso range<9 	44.8924	16.0508	0.357539	0.453786	0.0959991	1.00258
30 <pt<35 	4<chiso range<10 	44.8924	16.0508	0.357539	0.439701	0.0930727	0.882768
30 <pt<35 	4<chiso range<11 	44.8924	16.0508	0.357539	0.439787	0.0930918	0.883511
30 <pt<35 	4<chiso range<12 	44.8924	16.0508	0.357539	0.424381	0.0898859	0.743628
30 <pt<35 	4<chiso range<13 	44.8924	16.0508	0.357539	0.405222	0.0858875	0.555176
30 <pt<35 	5<chiso range<10 	44.8924	16.0508	0.357539	0.426718	0.0903772	0.765443
30 <pt<35 	5<chiso range<11 	44.8924	16.0508	0.357539	0.428551	0.0907595	0.782415
30 <pt<35 	5<chiso range<12 	44.8924	16.0508	0.357539	0.411476	0.0871994	0.618544
30 <pt<35 	5<chiso range<13 	44.8924	16.0508	0.357539	0.389889	0.0826854	0.391238
30 <pt<35 	6<chiso range<11 	44.8924	16.0508	0.357539	0.448164	0.0948439	0.955514
30 <pt<35 	6<chiso range<12 	44.8924	16.0508	0.357539	0.425731	0.0901776	0.756193
30 <pt<35 	6<chiso range<13 	44.8924	16.0508	0.357539	0.399788	0.0847604	0.498448
30 <pt<35 	7<chiso range<12 	44.8924	16.0508	0.357539	0.349929	0.0743077	0.102417
30 <pt<35 	7<chiso range<13 	44.8924	16.0508	0.357539	0.326941	0.0694705	0.440451
30 <pt<35 	8<chiso range<13 	44.8924	16.0508	0.357539	0.30778	0.0654292	0.760507
#######################################################################################
35 <pt<50 	3<chiso range<8 	65.455	17.3003	0.264308	0.37508	0.0820681	1.34975
35 <pt<50 	3<chiso range<9 	65.455	17.3003	0.264308	0.343033	0.0751114	1.04811
35 <pt<50 	3<chiso range<10 	65.455	17.3003	0.264308	0.340077	0.0744696	1.01744
35 <pt<50 	3<chiso range<11 	65.455	17.3003	0.264308	0.327525	0.0717455	0.881124
35 <pt<50 	3<chiso range<12 	65.455	17.3003	0.264308	0.33054	0.0724001	0.914801
35 <pt<50 	3<chiso range<13 	65.455	17.3003	0.264308	0.317375	0.0695393	0.763118
35 <pt<50 	4<chiso range<9 	65.455	17.3003	0.264308	0.338116	0.0740459	0.996783
35 <pt<50 	4<chiso range<10 	65.455	17.3003	0.264308	0.335233	0.0734191	0.966025
35 <pt<50 	4<chiso range<11 	65.455	17.3003	0.264308	0.3206	0.0702415	0.801402
35 <pt<50 	4<chiso range<12 	65.455	17.3003	0.264308	0.324834	0.0711615	0.85054
35 <pt<50 	4<chiso range<13 	65.455	17.3003	0.264308	0.309944	0.067924	0.671864
35 <pt<50 	5<chiso range<10 	65.455	17.3003	0.264308	0.322991	0.0707594	0.829327
35 <pt<50 	5<chiso range<11 	65.455	17.3003	0.264308	0.307467	0.0673873	0.640457
35 <pt<50 	5<chiso range<12 	65.455	17.3003	0.264308	0.31382	0.0687669	0.719993
35 <pt<50 	5<chiso range<13 	65.455	17.3003	0.264308	0.297849	0.0652913	0.513709
35 <pt<50 	6<chiso range<11 	65.455	17.3003	0.264308	0.26231	0.0575481	0.0347241
35 <pt<50 	6<chiso range<12 	65.455	17.3003	0.264308	0.274861	0.0602893	0.175034
35 <pt<50 	6<chiso range<13 	65.455	17.3003	0.264308	0.262493	0.0575872	0.0315227
35 <pt<50 	7<chiso range<12 	65.455	17.3003	0.264308	0.306238	0.067121	0.624688
35 <pt<50 	7<chiso range<13 	65.455	17.3003	0.264308	0.285616	0.0626317	0.340206
35 <pt<50 	8<chiso range<13 	65.455	17.3003	0.264308	0.244845	0.0537345	0.362212
#######################################################################################
50 <pt<60 	3<chiso range<8 	18.8258	4.75256	0.252449	0.208372	0.0921886	0.478121
50 <pt<60 	3<chiso range<9 	18.8258	4.75256	0.252449	0.220044	0.0972435	0.333239
50 <pt<60 	3<chiso range<10 	18.8258	4.75256	0.252449	0.209248	0.0925702	0.466687
50 <pt<60 	3<chiso range<11 	18.8258	4.75256	0.252449	0.201328	0.0891118	0.573676
50 <pt<60 	3<chiso range<12 	18.8258	4.75256	0.252449	0.214006	0.0946432	0.406192
50 <pt<60 	3<chiso range<13 	18.8258	4.75256	0.252449	0.237463	0.104817	0.142976
