pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.4272	41.4991	10.2735	0.591025
20  <pt<25 	3<chiso range<9 	35.4272	42.2829	10.2484	0.668953
20  <pt<25 	3<chiso range<10 	35.4272	44.5295	10.177	0.894399
20  <pt<25 	3<chiso range<11 	35.4272	43.5569	10.2106	0.796202
20  <pt<25 	3<chiso range<12 	35.4272	44.1868	10.1888	0.859728
20  <pt<25 	3<chiso range<13 	35.4272	45.3774	10.1466	0.980644
20  <pt<25 	4<chiso range<9 	35.4272	39.7719	10.3374	0.420289
20  <pt<25 	4<chiso range<10 	35.4272	42.9168	10.2333	0.731885
20  <pt<25 	4<chiso range<11 	35.4272	41.8665	10.2704	0.626977
20  <pt<25 	4<chiso range<12 	35.4272	42.7483	10.2391	0.715014
20  <pt<25 	4<chiso range<13 	35.4272	44.2614	10.1846	0.867408
20  <pt<25 	5<chiso range<10 	35.4272	41.0049	10.3116	0.540915
20  <pt<25 	5<chiso range<11 	35.4272	39.8826	10.3514	0.430415
20  <pt<25 	5<chiso range<12 	35.4272	41.1501	10.3043	0.555389
20  <pt<25 	5<chiso range<13 	35.4272	43.1183	10.2311	0.751737
20  <pt<25 	6<chiso range<11 	35.4272	43.5578	10.2403	0.793981
20  <pt<25 	6<chiso range<12 	35.4272	44.6566	10.1985	0.904976
20  <pt<25 	6<chiso range<13 	35.4272	46.5954	10.1272	1.10279
20  <pt<25 	7<chiso range<12 	35.4272	45.8454	10.1544	1.02598
20  <pt<25 	7<chiso range<13 	35.4272	48.1351	10.0723	1.26167
20  <pt<25 	8<chiso range<13 	35.4272	51.6951	9.9591	1.63347
#######################################################################################
25  <pt<30 	3<chiso range<8 	22.8623	24.9857	7.59635	0.279529
25  <pt<30 	3<chiso range<9 	22.8623	25.0463	7.59572	0.28753
25  <pt<30 	3<chiso range<10 	22.8623	25.5526	7.56622	0.355567
25  <pt<30 	3<chiso range<11 	22.8623	26.3744	7.52156	0.466938
25  <pt<30 	3<chiso range<12 	22.8623	26.4557	7.51511	0.478157
25  <pt<30 	3<chiso range<13 	22.8623	26.2109	7.52868	0.444779
25  <pt<30 	4<chiso range<9 	22.8623	25.4382	7.57419	0.340089
25  <pt<30 	4<chiso range<10 	22.8623	25.9848	7.54259	0.413982
25  <pt<30 	4<chiso range<11 	22.8623	26.8766	7.49422	0.535653
25  <pt<30 	4<chiso range<12 	22.8623	26.9241	7.48935	0.542343
25  <pt<30 	4<chiso range<13 	22.8623	26.6242	7.50616	0.501175
25  <pt<30 	5<chiso range<10 	22.8623	26.3092	7.52861	0.45784
25  <pt<30 	5<chiso range<11 	22.8623	27.3379	7.47265	0.598931
25  <pt<30 	5<chiso range<12 	22.8623	27.3447	7.46917	0.60012
25  <pt<30 	5<chiso range<13 	22.8623	26.9688	7.48981	0.548278
25  <pt<30 	6<chiso range<11 	22.8623	26.6765	7.5084	0.507991
25  <pt<30 	6<chiso range<12 	22.8623	26.7743	7.49904	0.521667
25  <pt<30 	6<chiso range<13 	22.8623	26.3467	7.52378	0.463118
25  <pt<30 	7<chiso range<12 	22.8623	28.0745	7.43406	0.701124
25  <pt<30 	7<chiso range<13 	22.8623	27.4486	7.46738	0.614178
25  <pt<30 	8<chiso range<13 	22.8623	28.0393	7.43284	0.696504
#######################################################################################
30  <pt<35 	3<chiso range<8 	16.1163	19.8228	6.08502	0.609119
30  <pt<35 	3<chiso range<9 	16.1163	20.2994	6.05113	0.691292
30  <pt<35 	3<chiso range<10 	16.1163	20.3464	6.04775	0.69945
30  <pt<35 	3<chiso range<11 	16.1163	20.1757	6.06157	0.669694
30  <pt<35 	3<chiso range<12 	16.1163	20.609	6.03135	0.744891
30  <pt<35 	3<chiso range<13 	16.1163	20.9638	6.00654	0.807037
30  <pt<35 	4<chiso range<9 	16.1163	19.7552	6.09298	0.597228
30  <pt<35 	4<chiso range<10 	16.1163	19.8884	6.0828	0.620126
30  <pt<35 	4<chiso range<11 	16.1163	19.7307	6.09624	0.59289
30  <pt<35 	4<chiso range<12 	16.1163	20.2917	6.05584	0.689483
30  <pt<35 	4<chiso range<13 	16.1163	20.7289	6.02455	0.765634
30  <pt<35 	5<chiso range<10 	16.1163	20.0364	6.07769	0.644998
30  <pt<35 	5<chiso range<11 	16.1163	19.824	6.09494	0.608324
30  <pt<35 	5<chiso range<12 	16.1163	20.4865	6.04695	0.722711
30  <pt<35 	5<chiso range<13 	16.1163	20.9908	6.01092	0.810941
30  <pt<35 	6<chiso range<11 	16.1163	20.0497	6.07917	0.647029
30  <pt<35 	6<chiso range<12 	16.1163	20.7696	6.02777	0.771977
30  <pt<35 	6<chiso range<13 	16.1163	21.3129	5.98964	0.867598
