pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.3226	54.4649	0.603004	0.508561	0.0582638	1.62096
20 <pt<25 	3<chiso range<9 	90.3226	54.4649	0.603004	0.501199	0.057492	1.77077
20 <pt<25 	3<chiso range<10 	90.3226	54.4649	0.603004	0.4685	0.0539751	2.49197
20 <pt<25 	3<chiso range<11 	90.3226	54.4649	0.603004	0.48053	0.0554657	2.20811
20 <pt<25 	3<chiso range<12 	90.3226	54.4649	0.603004	0.469678	0.0541742	2.46106
20 <pt<25 	3<chiso range<13 	90.3226	54.4649	0.603004	0.457333	0.0526502	2.76677
20 <pt<25 	4<chiso range<9 	90.3226	54.4649	0.603004	0.535723	0.0614728	1.09449
20 <pt<25 	4<chiso range<10 	90.3226	54.4649	0.603004	0.490094	0.0565802	1.99558
20 <pt<25 	4<chiso range<11 	90.3226	54.4649	0.603004	0.502584	0.0581162	1.72792
20 <pt<25 	4<chiso range<12 	90.3226	54.4649	0.603004	0.488179	0.0564298	2.03483
20 <pt<25 	4<chiso range<13 	90.3226	54.4649	0.603004	0.471843	0.0543796	2.41195
20 <pt<25 	5<chiso range<10 	90.3226	54.4649	0.603004	0.512567	0.0599048	1.50968
20 <pt<25 	5<chiso range<11 	90.3226	54.4649	0.603004	0.525833	0.0615114	1.25458
20 <pt<25 	5<chiso range<12 	90.3226	54.4649	0.603004	0.506019	0.0590909	1.64129
20 <pt<25 	5<chiso range<13 	90.3226	54.4649	0.603004	0.485062	0.0563768	2.09203
20 <pt<25 	6<chiso range<11 	90.3226	54.4649	0.603004	0.469988	0.0559176	2.37879
20 <pt<25 	6<chiso range<12 	90.3226	54.4649	0.603004	0.453749	0.0537453	2.77708
20 <pt<25 	6<chiso range<13 	90.3226	54.4649	0.603004	0.435811	0.0512676	3.26118
20 <pt<25 	7<chiso range<12 	90.3226	54.4649	0.603004	0.441136	0.0519289	3.11711
20 <pt<25 	7<chiso range<13 	90.3226	54.4649	0.603004	0.419808	0.0490585	3.73424
20 <pt<25 	8<chiso range<13 	90.3226	54.4649	0.603004	0.378813	0.0440096	5.09414
#######################################################################################
25 <pt<30 	3<chiso range<8 	48.9245	25.8089	0.527525	0.452097	0.0750239	1.00539
25 <pt<30 	3<chiso range<9 	48.9245	25.8089	0.527525	0.447693	0.0744289	1.07259
25 <pt<30 	3<chiso range<10 	48.9245	25.8089	0.527525	0.441794	0.0733469	1.16884
25 <pt<30 	3<chiso range<11 	48.9245	25.8089	0.527525	0.428274	0.0710479	1.39696
25 <pt<30 	3<chiso range<12 	48.9245	25.8089	0.527525	0.428672	0.0709352	1.39357
25 <pt<30 	3<chiso range<13 	48.9245	25.8089	0.527525	0.433883	0.0718466	1.30336
25 <pt<30 	4<chiso range<9 	48.9245	25.8089	0.527525	0.438205	0.0728498	1.22609
25 <pt<30 	4<chiso range<10 	48.9245	25.8089	0.527525	0.432419	0.071778	1.325
25 <pt<30 	4<chiso range<11 	48.9245	25.8089	0.527525	0.417962	0.0693186	1.58057
25 <pt<30 	4<chiso range<12 	48.9245	25.8089	0.527525	0.41925	0.0693421	1.56146
25 <pt<30 	4<chiso range<13 	48.9245	25.8089	0.527525	0.425598	0.0704456	1.44689
25 <pt<30 	5<chiso range<10 	48.9245	25.8089	0.527525	0.427532	0.0711751	1.40489
25 <pt<30 	5<chiso range<11 	48.9245	25.8089	0.527525	0.410772	0.0682796	1.70993
25 <pt<30 	5<chiso range<12 	48.9245	25.8089	0.527525	0.413096	0.0684167	1.67253
25 <pt<30 	5<chiso range<13 	48.9245	25.8089	0.527525	0.420889	0.0697688	1.52842
25 <pt<30 	6<chiso range<11 	48.9245	25.8089	0.527525	0.429423	0.071466	1.37271
25 <pt<30 	6<chiso range<12 	48.9245	25.8089	0.527525	0.429953	0.0712161	1.37008
25 <pt<30 	6<chiso range<13 	48.9245	25.8089	0.527525	0.438664	0.0727339	1.22173
25 <pt<30 	7<chiso range<12 	48.9245	25.8089	0.527525	0.400272	0.0664464	1.91512
25 <pt<30 	7<chiso range<13 	48.9245	25.8089	0.527525	0.413105	0.0686544	1.66661
25 <pt<30 	8<chiso range<13 	48.9245	25.8089	0.527525	0.405611	0.06697	1.82043
#######################################################################################
30 <pt<35 	3<chiso range<8 	32.2683	15.9332	0.493773	0.360611	0.08115	1.64093
30 <pt<35 	3<chiso range<9 	32.2683	15.9332	0.493773	0.341135	0.0768578	1.98597
30 <pt<35 	3<chiso range<10 	32.2683	15.9332	0.493773	0.338438	0.076253	2.03709
30 <pt<35 	3<chiso range<11 	32.2683	15.9332	0.493773	0.344791	0.0778552	1.91357
30 <pt<35 	3<chiso range<12 	32.2683	15.9332	0.493773	0.332481	0.0752223	2.1442
30 <pt<35 	3<chiso range<13 	32.2683	15.9332	0.493773	0.320768	0.0725623	2.38422
30 <pt<35 	4<chiso range<9 	32.2683	15.9332	0.493773	0.353487	0.0798063	1.75783
30 <pt<35 	4<chiso range<10 	32.2683	15.9332	0.493773	0.348487	0.0786637	1.84692
30 <pt<35 	4<chiso range<11 	32.2683	15.9332	0.493773	0.355019	0.080338	1.72712
30 <pt<35 	4<chiso range<12 	32.2683	15.9332	0.493773	0.339432	0.076978	2.005
30 <pt<35 	4<chiso range<13 	32.2683	15.9332	0.493773	0.325314	0.0737572	2.28396
30 <pt<35 	5<chiso range<10 	32.2683	15.9332	0.493773	0.344074	0.078261	1.91281
30 <pt<35 	5<chiso range<11 	32.2683	15.9332	0.493773	0.352515	0.0803961	1.75702
30 <pt<35 	5<chiso range<12 	32.2683	15.9332	0.493773	0.333976	0.0763076	2.09411
30 <pt<35 	5<chiso range<13 	32.2683	15.9332	0.493773	0.317628	0.0724942	2.42977
30 <pt<35 	6<chiso range<11 	32.2683	15.9332	0.493773	0.348508	0.0795423	1.82626
30 <pt<35 	6<chiso range<12 	32.2683	15.9332	0.493773	0.327825	0.0749666	2.21362
30 <pt<35 	6<chiso range<13 	32.2683	15.9332	0.493773	0.309802	0.0707526	2.60019
30 <pt<35 	7<chiso range<12 	32.2683	15.9332	0.493773	0.271471	0.0626299	3.54945
30 <pt<35 	7<chiso range<13 	32.2683	15.9332	0.493773	0.255421	0.0587591	4.05642
30 <pt<35 	8<chiso range<13 	32.2683	15.9332	0.493773	0.259324	0.0591707	3.96224
#######################################################################################
35 <pt<50 	3<chiso range<8 	44.7766	17.1466	0.382937	0.321508	0.0739865	0.830268
35 <pt<50 	3<chiso range<9 	44.7766	17.1466	0.382937	0.291719	0.0673216	1.35495
35 <pt<50 	3<chiso range<10 	44.7766	17.1466	0.382937	0.289438	0.0667814	1.40007
35 <pt<50 	3<chiso range<11 	44.7766	17.1466	0.382937	0.281256	0.0649505	1.56551
