pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.8359	45.0389	11.1076	0.828532
20  <pt<25 	3<chiso range<9 	35.8359	45.7976	11.0996	0.897483
20  <pt<25 	3<chiso range<10 	35.8359	49.3268	10.9787	1.22882
20  <pt<25 	3<chiso range<11 	35.8359	49.3876	11.0596	1.22533
20  <pt<25 	3<chiso range<12 	35.8359	50.5554	11.0135	1.3365
20  <pt<25 	3<chiso range<13 	35.8359	51.674	10.9348	1.44841
20  <pt<25 	4<chiso range<9 	35.8359	43.977	11.2664	0.7226
20  <pt<25 	4<chiso range<10 	35.8359	48.675	11.1034	1.15632
20  <pt<25 	4<chiso range<11 	35.8359	48.9778	11.1804	1.17544
20  <pt<25 	4<chiso range<12 	35.8359	50.4399	11.1156	1.31383
20  <pt<25 	4<chiso range<13 	35.8359	51.7688	11.015	1.44647
20  <pt<25 	5<chiso range<10 	35.8359	48.3385	11.334	1.10311
20  <pt<25 	5<chiso range<11 	35.8359	49.0522	11.4017	1.15915
20  <pt<25 	5<chiso range<12 	35.8359	50.8828	11.294	1.33229
20  <pt<25 	5<chiso range<13 	35.8359	52.398	11.1556	1.48464
20  <pt<25 	6<chiso range<11 	35.8359	54.5931	11.243	1.66834
20  <pt<25 	6<chiso range<12 	35.8359	56.0877	11.131	1.81941
20  <pt<25 	6<chiso range<13 	35.8359	57.2247	10.9932	1.94564
20  <pt<25 	7<chiso range<12 	35.8359	59.3177	10.995	2.13568
20  <pt<25 	7<chiso range<13 	35.8359	60.2833	10.8534	2.25251
20  <pt<25 	8<chiso range<13 	35.8359	63.4935	10.6489	2.59723
#######################################################################################
25  <pt<30 	3<chiso range<8 	23.1041	27.87	8.18742	0.5821
25  <pt<30 	3<chiso range<9 	23.1041	27.243	8.14618	0.508079
25  <pt<30 	3<chiso range<10 	23.1041	27.4563	8.13707	0.534861
25  <pt<30 	3<chiso range<11 	23.1041	27.8578	8.05766	0.58996
25  <pt<30 	3<chiso range<12 	23.1041	27.9672	8.04413	0.604553
25  <pt<30 	3<chiso range<13 	23.1041	27.3578	8.05509	0.528076
25  <pt<30 	4<chiso range<9 	23.1041	27.4489	8.11524	0.535388
25  <pt<30 	4<chiso range<10 	23.1041	27.6711	8.10982	0.563144
25  <pt<30 	4<chiso range<11 	23.1041	28.1172	8.02229	0.624896
25  <pt<30 	4<chiso range<12 	23.1041	28.2223	8.01019	0.638961
25  <pt<30 	4<chiso range<13 	23.1041	27.5303	8.02419	0.551607
25  <pt<30 	5<chiso range<10 	23.1041	27.4391	8.09304	0.535645
25  <pt<30 	5<chiso range<11 	23.1041	28.0679	7.99039	0.621221
25  <pt<30 	5<chiso range<12 	23.1041	28.1636	7.97981	0.634038
25  <pt<30 	5<chiso range<13 	23.1041	27.4126	8.0002	0.538549
25  <pt<30 	6<chiso range<11 	23.1041	27.0539	8.08037	0.488814
25  <pt<30 	6<chiso range<12 	23.1041	27.3137	8.05358	0.522699
25  <pt<30 	6<chiso range<13 	23.1041	26.4315	8.07706	0.411957
25  <pt<30 	7<chiso range<12 	23.1041	28.4391	7.91608	0.673945
25  <pt<30 	7<chiso range<13 	23.1041	27.428	7.96133	0.543113
25  <pt<30 	8<chiso range<13 	23.1041	27.4031	7.88293	0.545356
#######################################################################################
30  <pt<40 	3<chiso range<8 	27.9962	35.3815	7.9737	0.926207
30  <pt<40 	3<chiso range<9 	27.9962	36.508	7.89978	1.07747
30  <pt<40 	3<chiso range<10 	27.9962	36.5566	7.90677	1.08267
30  <pt<40 	3<chiso range<11 	27.9962	36.5408	7.93162	1.07728
30  <pt<40 	3<chiso range<12 	27.9962	36.487	7.95582	1.06724
30  <pt<40 	3<chiso range<13 	27.9962	37.3849	7.89062	1.18986
30  <pt<40 	4<chiso range<9 	27.9962	36.9067	7.91053	1.12641
30  <pt<40 	4<chiso range<10 	27.9962	36.9346	7.91688	1.12903
30  <pt<40 	4<chiso range<11 	27.9962	36.8984	7.94641	1.12028
30  <pt<40 	4<chiso range<12 	27.9962	36.8281	7.97379	1.10762
30  <pt<40 	4<chiso range<13 	27.9962	37.8679	7.89571	1.25026
30  <pt<40 	5<chiso range<10 	27.9962	37.2164	7.89962	1.16717
30  <pt<40 	5<chiso range<11 	27.9962	37.1374	7.93929	1.15139
30  <pt<40 	5<chiso range<12 	27.9962	37.0203	7.9749	1.13156
30  <pt<40 	5<chiso range<13 	27.9962	38.2473	7.8828	1.30044
30  <pt<40 	6<chiso range<11 	27.9962	38.4744	7.8434	1.33593
30  <pt<40 	6<chiso range<12 	27.9962	38.1974	7.89584	1.29197
30  <pt<40 	6<chiso range<13 	27.9962	39.4337	7.81024	1.46442
30  <pt<40 	7<chiso range<12 	27.9962	38.7357	7.88999	1.36116
30  <pt<40 	7<chiso range<13 	27.9962	40.2727	7.77524	1.57892
30  <pt<40 	8<chiso range<13 	27.9962	41.187	7.74864	1.70234
#######################################################################################
40  <pt<50 	3<chiso range<8 	15.9602	14.0186	5.78497	0.335628
40  <pt<50 	3<chiso range<9 	15.9602	15.2215	5.64687	0.130816
40  <pt<50 	3<chiso range<10 	15.9602	15.5685	5.63604	0.0694992
40  <pt<50 	3<chiso range<11 	15.9602	16.1122	5.58038	0.0272383
40  <pt<50 	3<chiso range<12 	15.9602	16.5163	5.52763	0.100604
40  <pt<50 	3<chiso range<13 	15.9602	16.6942	5.50647	0.133298
40  <pt<50 	4<chiso range<9 	15.9602	15.1466	5.74183	0.141697
