pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	58.8748	74.0008	6.64105	2.27765
20 <pt<25 	3<chiso range<9 	58.8748	69.1568	6.19721	1.65913
20 <pt<25 	3<chiso range<10 	58.8748	70.9013	6.36023	1.89089
20 <pt<25 	3<chiso range<11 	58.8748	68.2614	6.11635	1.53467
20 <pt<25 	3<chiso range<12 	58.8748	70.2145	6.30447	1.79868
20 <pt<25 	3<chiso range<13 	58.8748	68.0939	6.11451	1.50774
20 <pt<25 	4<chiso range<9 	58.8748	67.2625	6.03528	1.38978
20 <pt<25 	4<chiso range<10 	58.8748	69.5451	6.2452	1.70856
20 <pt<25 	4<chiso range<11 	58.8748	66.6831	5.97819	1.30613
20 <pt<25 	4<chiso range<12 	58.8748	69.0308	6.20352	1.63714
20 <pt<25 	4<chiso range<13 	58.8748	66.7336	5.99559	1.31076
20 <pt<25 	5<chiso range<10 	58.8748	63.8496	5.72917	0.868328
20 <pt<25 	5<chiso range<11 	58.8748	61.5241	5.51044	0.480778
20 <pt<25 	5<chiso range<12 	58.8748	64.6577	5.80769	0.995732
20 <pt<25 	5<chiso range<13 	58.8748	62.5576	5.61734	0.655613
20 <pt<25 	6<chiso range<11 	58.8748	59.7308	5.34515	0.160145
20 <pt<25 	6<chiso range<12 	58.8748	63.5304	5.70434	0.816151
20 <pt<25 	6<chiso range<13 	58.8748	61.2869	5.50096	0.438487
20 <pt<25 	7<chiso range<12 	58.8748	66.3491	5.96038	1.254
20 <pt<25 	7<chiso range<13 	58.8748	63.2153	5.67426	0.764946
20 <pt<25 	8<chiso range<13 	58.8748	61.0186	5.46716	0.392123
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.0812	32.6175	4.87562	1.34061
25 <pt<30 	3<chiso range<9 	26.0812	29.9972	4.50026	0.870172
25 <pt<30 	3<chiso range<10 	26.0812	29.5776	4.43047	0.789171
25 <pt<30 	3<chiso range<11 	26.0812	29.232	4.38566	0.718432
25 <pt<30 	3<chiso range<12 	26.0812	28.969	4.33533	0.666108
25 <pt<30 	3<chiso range<13 	26.0812	29.3022	4.37614	0.736037
25 <pt<30 	4<chiso range<9 	26.0812	28.954	4.3413	0.661737
25 <pt<30 	4<chiso range<10 	26.0812	28.599	4.27945	0.588347
25 <pt<30 	4<chiso range<11 	26.0812	28.295	4.23931	0.522208
25 <pt<30 	4<chiso range<12 	26.0812	28.0994	4.2	0.480524
25 <pt<30 	4<chiso range<13 	26.0812	28.5467	4.25825	0.578994
25 <pt<30 	5<chiso range<10 	26.0812	27.6908	4.1404	0.388755
25 <pt<30 	5<chiso range<11 	26.0812	27.4897	4.11825	0.342014
25 <pt<30 	5<chiso range<12 	26.0812	27.3396	4.08413	0.308119
25 <pt<30 	5<chiso range<13 	26.0812	27.9119	4.15997	0.440075
25 <pt<30 	6<chiso range<11 	26.0812	26.6666	3.99239	0.146629
25 <pt<30 	6<chiso range<12 	26.0812	26.6253	3.9754	0.136867
25 <pt<30 	6<chiso range<13 	26.0812	27.375	4.07747	0.317305
25 <pt<30 	7<chiso range<12 	26.0812	21.7877	3.25933	1.3173
25 <pt<30 	7<chiso range<13 	26.0812	23.1995	3.45942	0.833001
25 <pt<30 	8<chiso range<13 	26.0812	25.1433	3.74822	0.250225
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.5424	26.384	4.53778	1.5077
30 <pt<40 	3<chiso range<9 	19.5424	24.9103	4.3017	1.24786
30 <pt<40 	3<chiso range<10 	19.5424	24.6684	4.24745	1.20684
30 <pt<40 	3<chiso range<11 	19.5424	24.6991	4.24794	1.21393
30 <pt<40 	3<chiso range<12 	19.5424	24.6698	4.24877	1.2068
30 <pt<40 	3<chiso range<13 	19.5424	23.9133	4.1236	1.05997
30 <pt<40 	4<chiso range<9 	19.5424	26.1228	4.51621	1.45706
30 <pt<40 	4<chiso range<10 	19.5424	25.6356	4.41567	1.3799
30 <pt<40 	4<chiso range<11 	19.5424	25.5621	4.39707	1.36903
30 <pt<40 	4<chiso range<12 	19.5424	25.4243	4.38003	1.34289
30 <pt<40 	4<chiso range<13 	19.5424	24.506	4.22754	1.17411
30 <pt<40 	5<chiso range<10 	19.5424	27.4172	4.71583	1.66987
30 <pt<40 	5<chiso range<11 	19.5424	27.0961	4.65386	1.6231
30 <pt<40 	5<chiso range<12 	19.5424	26.7446	4.60277	1.56475
30 <pt<40 	5<chiso range<13 	19.5424	25.5415	4.40448	1.36205
30 <pt<40 	6<chiso range<11 	19.5424	27.853	4.78643	1.73628
30 <pt<40 	6<chiso range<12 	19.5424	27.3053	4.70405	1.65026
30 <pt<40 	6<chiso range<13 	19.5424	25.8207	4.45826	1.40824
30 <pt<40 	7<chiso range<12 	19.5424	25.8498	4.44005	1.42057
30 <pt<40 	7<chiso range<13 	19.5424	24.3489	4.19445	1.14592
30 <pt<40 	8<chiso range<13 	19.5424	21.2834	3.68005	0.473091
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.45045	9.06394	2.52819	0.6382
40 <pt<50 	3<chiso range<9 	7.45045	9.30154	2.58277	0.716707
40 <pt<50 	3<chiso range<10 	7.45045	9.20159	2.55306	0.685898
40 <pt<50 	3<chiso range<11 	7.45045	8.99594	2.50075	0.618011
40 <pt<50 	3<chiso range<12 	7.45045	9.25545	2.57578	0.700759
40 <pt<50 	3<chiso range<13 	7.45045	9.25217	2.57735	0.699059
40 <pt<50 	4<chiso range<9 	7.45045	9.39238	2.60523	0.745397
40 <pt<50 	4<chiso range<10 	7.45045	9.27206	2.57098	0.708527
40 <pt<50 	4<chiso range<11 	7.45045	9.02456	2.50827	0.627568
40 <pt<50 	4<chiso range<12 	7.45045	9.32089	2.59393	0.721083
40 <pt<50 	4<chiso range<13 	7.45045	9.31138	2.59386	0.717437
40 <pt<50 	5<chiso range<10 	7.45045	9.25703	2.56598	0.704051
40 <pt<50 	5<chiso range<11 	7.45045	8.9509	2.48823	0.603019
40 <pt<50 	5<chiso range<12 	7.45045	9.31577	2.59379	0.719148
40 <pt<50 	5<chiso range<13 	7.45045	9.30693	2.59475	0.715475
40 <pt<50 	6<chiso range<11 	7.45045	9.34286	2.60051	0.727707
40 <pt<50 	6<chiso range<12 	7.45045	9.73452	2.71479	0.841343
40 <pt<50 	6<chiso range<13 	7.45045	9.68494	2.7053	0.825968
40 <pt<50 	7<chiso range<12 	7.45045	8.86677	2.47378	0.572533
40 <pt<50 	7<chiso range<13 	7.45045	8.90061	2.48722	0.583045
40 <pt<50 	8<chiso range<13 	7.45045	9.54342	2.65336	0.7888
#######################################################################################
50 <pt<65 	3<chiso range<8 	5.50686	3.51738	1.60377	1.2405
50 <pt<65 	3<chiso range<9 	5.50686	4.0143	1.86584	0.79994
50 <pt<65 	3<chiso range<10 	5.50686	4.16209	1.93243	0.695896
50 <pt<65 	3<chiso range<11 	5.50686	3.73714	1.72085	1.0284
50 <pt<65 	3<chiso range<12 	5.50686	3.70716	1.68942	1.06528
50 <pt<65 	3<chiso range<13 	5.50686	3.4154	1.55049	1.3489
50 <pt<65 	4<chiso range<9 	5.50686	3.60632	1.694	1.12192
50 <pt<65 	4<chiso range<10 	5.50686	3.82187	1.7903	0.941177
50 <pt<65 	4<chiso range<11 	5.50686	3.41732	1.58339	1.31966
50 <pt<65 	4<chiso range<12 	5.50686	3.42721	1.56802	1.32629
50 <pt<65 	4<chiso range<13 	5.50686	3.15392	1.43615	1.63837
50 <pt<65 	5<chiso range<10 	5.50686	4.22121	2.02747	0.634115
50 <pt<65 	5<chiso range<11 	5.50686	3.6858	1.73098	1.05204
50 <pt<65 	5<chiso range<12 	5.50686	3.66811	1.68864	1.08889
50 <pt<65 	5<chiso range<13 	5.50686	3.31372	1.51409	1.44849
50 <pt<65 	6<chiso range<11 	5.50686	3.56389	1.64766	1.17923
50 <pt<65 	6<chiso range<12 	5.50686	3.54839	1.61456	1.21301
50 <pt<65 	6<chiso range<13 	5.50686	3.17223	1.43636	1.62538
50 <pt<65 	7<chiso range<12 	5.50686	3.40457	1.5423	1.36309
50 <pt<65 	7<chiso range<13 	5.50686	2.98053	1.34384	1.87993
50 <pt<65 	8<chiso range<13 	5.50686	3.32904	1.50342	1.44858
#######################################################################################
65 <pt<400 	3<chiso range<8 	3.94273	3.60573	1.56501	0.215334
65 <pt<400 	3<chiso range<9 	3.94273	3.38294	1.46552	0.381974
65 <pt<400 	3<chiso range<10 	3.94273	3.11303	1.35018	0.614511
65 <pt<400 	3<chiso range<11 	3.94273	2.85172	1.24547	0.875983
65 <pt<400 	3<chiso range<12 	3.94273	2.82468	1.23594	0.904615
65 <pt<400 	3<chiso range<13 	3.94273	2.91476	1.27863	0.803962
65 <pt<400 	4<chiso range<9 	3.94273	3.33462	1.44713	0.420218
65 <pt<400 	4<chiso range<10 	3.94273	3.03261	1.31743	0.69083
65 <pt<400 	4<chiso range<11 	3.94273	2.74381	1.20177	0.997628
65 <pt<400 	4<chiso range<12 	3.94273	2.72605	1.19622	1.0171
65 <pt<400 	4<chiso range<13 	3.94273	2.83259	1.24646	0.890634
65 <pt<400 	5<chiso range<10 	3.94273	3.12846	1.35954	0.598931
65 <pt<400 	5<chiso range<11 	3.94273	2.77444	1.2176	0.959502
65 <pt<400 	5<chiso range<12 	3.94273	2.74939	1.20896	0.98708
65 <pt<400 	5<chiso range<13 	3.94273	2.86822	1.26529	0.84922
65 <pt<400 	6<chiso range<11 	3.94273	2.37439	1.04345	1.50303
65 <pt<400 	6<chiso range<12 	3.94273	2.40914	1.06098	1.44545
65 <pt<400 	6<chiso range<13 	3.94273	2.57865	1.13989	1.19668
65 <pt<400 	7<chiso range<12 	3.94273	2.0919	0.927578	1.99534
65 <pt<400 	7<chiso range<13 	3.94273	2.33166	1.03765	1.55261
65 <pt<400 	8<chiso range<13 	3.94273	2.25111	1.0001	1.69145
#######################################################################################
