pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	75.3676	124.244	15.8333	3.08694
20  <pt<25 	3<chiso range<9 	75.3676	128.689	15.62	3.41366
20  <pt<25 	3<chiso range<10 	75.3676	127.038	15.708	3.28943
20  <pt<25 	3<chiso range<11 	75.3676	129.488	15.586	3.47237
20  <pt<25 	3<chiso range<12 	75.3676	127.823	15.6943	3.34232
20  <pt<25 	3<chiso range<13 	75.3676	129.936	15.6099	3.49576
20  <pt<25 	4<chiso range<9 	75.3676	130.674	15.5658	3.55307
20  <pt<25 	4<chiso range<10 	75.3676	128.552	15.6672	3.39463
20  <pt<25 	4<chiso range<11 	75.3676	131.228	15.5274	3.59754
20  <pt<25 	4<chiso range<12 	75.3676	129.183	15.6559	3.43739
20  <pt<25 	4<chiso range<13 	75.3676	131.511	15.5578	3.6087
20  <pt<25 	5<chiso range<10 	75.3676	134.099	15.4331	3.80555
20  <pt<25 	5<chiso range<11 	75.3676	136.238	15.3187	3.9736
20  <pt<25 	5<chiso range<12 	75.3676	133.457	15.4773	3.7532
20  <pt<25 	5<chiso range<13 	75.3676	135.601	15.3899	3.91383
20  <pt<25 	6<chiso range<11 	75.3676	137.957	15.2399	4.10694
20  <pt<25 	6<chiso range<12 	75.3676	134.558	15.4282	3.83651
20  <pt<25 	6<chiso range<13 	75.3676	136.867	15.335	4.01039
20  <pt<25 	7<chiso range<12 	75.3676	132.059	15.5341	3.64948
20  <pt<25 	7<chiso range<13 	75.3676	135.284	15.3948	3.89199
20  <pt<25 	8<chiso range<13 	75.3676	137.441	15.2813	4.06205
#######################################################################################
25  <pt<30 	3<chiso range<8 	45.7429	78.6327	11.7848	2.79087
25  <pt<30 	3<chiso range<9 	45.7429	81.4259	11.6387	3.06589
25  <pt<30 	3<chiso range<10 	45.7429	81.7564	11.6001	3.10459
25  <pt<30 	3<chiso range<11 	45.7429	82.207	11.5888	3.14649
25  <pt<30 	3<chiso range<12 	45.7429	82.3247	11.5538	3.16621
25  <pt<30 	3<chiso range<13 	45.7429	81.8814	11.5591	3.12641
25  <pt<30 	4<chiso range<9 	45.7429	82.4439	11.5671	3.17288
25  <pt<30 	4<chiso range<10 	45.7429	82.7212	11.5276	3.20781
25  <pt<30 	4<chiso range<11 	45.7429	83.1989	11.5115	3.25379
25  <pt<30 	4<chiso range<12 	45.7429	83.2015	11.4858	3.2613
25  <pt<30 	4<chiso range<13 	45.7429	82.6201	11.4998	3.20677
25  <pt<30 	5<chiso range<10 	45.7429	83.5552	11.468	3.2972
25  <pt<30 	5<chiso range<11 	45.7429	83.9381	11.4652	3.3314
25  <pt<30 	5<chiso range<12 	45.7429	83.8894	11.438	3.33507
25  <pt<30 	5<chiso range<13 	45.7429	83.1814	11.4561	3.268
25  <pt<30 	6<chiso range<11 	45.7429	84.9693	11.3965	3.44197
25  <pt<30 	6<chiso range<12 	45.7429	84.6974	11.3845	3.42171
25  <pt<30 	6<chiso range<13 	45.7429	83.7602	11.4147	3.33056
25  <pt<30 	7<chiso range<12 	45.7429	89.5217	11.1341	3.93196
25  <pt<30 	7<chiso range<13 	45.7429	87.9251	11.1895	3.7698
25  <pt<30 	8<chiso range<13 	45.7429	86.0292	11.2916	3.56781
#######################################################################################
30  <pt<40 	3<chiso range<8 	52.7521	84.3024	11.5931	2.72147
30  <pt<40 	3<chiso range<9 	52.7521	85.9016	11.5132	2.87926
30  <pt<40 	3<chiso range<10 	52.7521	86.0273	11.4768	2.89934
30  <pt<40 	3<chiso range<11 	52.7521	85.9528	11.4716	2.89416
30  <pt<40 	3<chiso range<12 	52.7521	86.0351	11.4786	2.89957
30  <pt<40 	3<chiso range<13 	52.7521	86.8424	11.4324	2.9819
30  <pt<40 	4<chiso range<9 	52.7521	84.7399	11.6103	2.75512
30  <pt<40 	4<chiso range<10 	52.7521	85.0781	11.5496	2.79888
30  <pt<40 	4<chiso range<11 	52.7521	85.0981	11.5353	2.80409
30  <pt<40 	4<chiso range<12 	52.7521	85.2989	11.535	2.82157
30  <pt<40 	4<chiso range<13 	52.7521	86.2762	11.4765	2.92111
30  <pt<40 	5<chiso range<10 	52.7521	83.2386	11.6695	2.61249
30  <pt<40 	5<chiso range<11 	52.7521	83.4975	11.6346	2.64258
30  <pt<40 	5<chiso range<12 	52.7521	83.9065	11.6224	2.68055
30  <pt<40 	5<chiso range<13 	52.7521	85.2197	11.55	2.81105
30  <pt<40 	6<chiso range<11 	52.7521	82.7946	11.6958	2.56866
30  <pt<40 	6<chiso range<12 	52.7521	83.3979	11.6728	2.6254
30  <pt<40 	6<chiso range<13 	52.7521	84.9906	11.5791	2.7842
30  <pt<40 	7<chiso range<12 	52.7521	84.8226	11.5416	2.77869
30  <pt<40 	7<chiso range<13 	52.7521	86.3835	11.4557	2.93578
30  <pt<40 	8<chiso range<13 	52.7521	89.5602	11.2712	3.26568
#######################################################################################
40  <pt<50 	3<chiso range<8 	28.6141	43.3362	7.63695	1.92775
40  <pt<50 	3<chiso range<9 	28.6141	42.9956	7.6504	1.87984
40  <pt<50 	3<chiso range<10 	28.6141	43.1271	7.63255	1.90146
40  <pt<50 	3<chiso range<11 	28.6141	43.3698	7.61656	1.93732
40  <pt<50 	3<chiso range<12 	28.6141	43.1282	7.64771	1.89784
40  <pt<50 	3<chiso range<13 	28.6141	43.1289	7.65252	1.89673
40  <pt<50 	4<chiso range<9 	28.6141	42.8328	7.66239	1.85565
40  <pt<50 	4<chiso range<10 	28.6141	42.9865	7.64424	1.88016
40  <pt<50 	4<chiso range<11 	28.6141	43.2831	7.62482	1.92385
40  <pt<50 	4<chiso range<12 	28.6141	43.0131	7.65992	1.87978
