pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	52.7755	48.1249	5.26492	0.883318
20 <pt<25 	3<chiso range<9 	52.7755	49.5798	5.43969	0.587478
20 <pt<25 	3<chiso range<10 	52.7755	49.8333	5.47753	0.53714
20 <pt<25 	3<chiso range<11 	52.7755	50.2554	5.52254	0.45633
20 <pt<25 	3<chiso range<12 	52.7755	49.5584	5.44605	0.590722
20 <pt<25 	3<chiso range<13 	52.7755	48.6519	5.34327	0.771737
20 <pt<25 	4<chiso range<9 	52.7755	48.0552	5.25717	0.897879
20 <pt<25 	4<chiso range<10 	52.7755	48.642	5.33766	0.774403
20 <pt<25 	4<chiso range<11 	52.7755	49.2878	5.40869	0.644833
20 <pt<25 	4<chiso range<12 	52.7755	48.6025	5.33458	0.782255
20 <pt<25 	4<chiso range<13 	52.7755	47.6644	5.22875	0.977499
20 <pt<25 	5<chiso range<10 	52.7755	47.6711	5.2351	0.975034
20 <pt<25 	5<chiso range<11 	52.7755	48.5939	5.33568	0.783705
20 <pt<25 	5<chiso range<12 	52.7755	47.8737	5.2573	0.93238
20 <pt<25 	5<chiso range<13 	52.7755	46.8601	5.14245	1.15031
20 <pt<25 	6<chiso range<11 	52.7755	51.5571	5.65633	0.215405
20 <pt<25 	6<chiso range<12 	52.7755	50.2279	5.51203	0.462189
20 <pt<25 	6<chiso range<13 	52.7755	48.7452	5.34563	0.753943
20 <pt<25 	7<chiso range<12 	52.7755	52.1122	5.73152	0.115728
20 <pt<25 	7<chiso range<13 	52.7755	50.0794	5.50127	0.490087
20 <pt<25 	8<chiso range<13 	52.7755	49.1394	5.41221	0.671833
#######################################################################################
25 <pt<30 	3<chiso range<8 	22.6181	20.8528	3.57217	0.494181
25 <pt<30 	3<chiso range<9 	22.6181	20.494	3.51605	0.604115
25 <pt<30 	3<chiso range<10 	22.6181	23.2168	3.98095	0.150391
25 <pt<30 	3<chiso range<11 	22.6181	22.2494	3.82722	0.0963362
25 <pt<30 	3<chiso range<12 	22.6181	22.4432	3.86127	0.045296
25 <pt<30 	3<chiso range<13 	22.6181	22.5837	3.88387	0.00885715
25 <pt<30 	4<chiso range<9 	22.6181	20.6916	3.55009	0.542662
25 <pt<30 	4<chiso range<10 	22.6181	23.9659	4.11138	0.327822
25 <pt<30 	4<chiso range<11 	22.6181	22.7527	3.92213	0.0343181
25 <pt<30 	4<chiso range<12 	22.6181	22.9327	3.9537	0.079571
25 <pt<30 	4<chiso range<13 	22.6181	23.0534	3.97195	0.109594
25 <pt<30 	5<chiso range<10 	22.6181	22.8185	3.91305	0.0512132
25 <pt<30 	5<chiso range<11 	22.6181	21.5666	3.7178	0.282829
25 <pt<30 	5<chiso range<12 	22.6181	21.9049	3.77647	0.188854
