pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	70.765	66.5215	11.9541	0.354983
20  <pt<25 	3<chiso range<9 	70.765	65.1293	12.0777	0.46662
20  <pt<25 	3<chiso range<10 	70.765	64.7989	12.1276	0.491944
20  <pt<25 	3<chiso range<11 	70.765	64.307	12.1503	0.53151
20  <pt<25 	3<chiso range<12 	70.765	64.9771	12.1138	0.477794
20  <pt<25 	3<chiso range<13 	70.765	65.8305	12.0572	0.409258
20  <pt<25 	4<chiso range<9 	70.765	66.7029	11.9442	0.34009
20  <pt<25 	4<chiso range<10 	70.765	65.9613	12.0357	0.399121
20  <pt<25 	4<chiso range<11 	70.765	65.2309	12.0756	0.458288
20  <pt<25 	4<chiso range<12 	70.765	65.8864	12.0437	0.405075
20  <pt<25 	4<chiso range<13 	70.765	66.7716	11.9872	0.333139
20  <pt<25 	5<chiso range<10 	70.765	66.9264	11.9972	0.319958
20  <pt<25 	5<chiso range<11 	70.765	65.9103	12.049	0.402913
20  <pt<25 	5<chiso range<12 	70.765	66.6008	12.0144	0.346601
20  <pt<25 	5<chiso range<13 	70.765	67.5535	11.9525	0.268689
20  <pt<25 	6<chiso range<11 	70.765	62.8281	12.204	0.650352
20  <pt<25 	6<chiso range<12 	70.765	64.1449	12.1355	0.545515
20  <pt<25 	6<chiso range<13 	70.765	65.5686	12.046	0.43138
20  <pt<25 	7<chiso range<12 	70.765	62.4751	12.2684	0.675712
20  <pt<25 	7<chiso range<13 	70.765	64.3996	12.1391	0.524372
20  <pt<25 	8<chiso range<13 	70.765	65.4377	12.1277	0.439267
#######################################################################################
25  <pt<30 	3<chiso range<8 	44.1904	42.0372	8.71168	0.247162
25  <pt<30 	3<chiso range<9 	44.1904	42.4689	8.69383	0.198014
25  <pt<30 	3<chiso range<10 	44.1904	39.7032	8.90839	0.503705
25  <pt<30 	3<chiso range<11 	44.1904	40.7053	8.85933	0.393382
25  <pt<30 	3<chiso range<12 	44.1904	40.5101	8.87733	0.414573
25  <pt<30 	3<chiso range<13 	44.1904	40.3484	8.88637	0.432348
25  <pt<30 	4<chiso range<9 	44.1904	42.629	8.682	0.179843
25  <pt<30 	4<chiso range<10 	44.1904	39.2249	8.95397	0.554558
25  <pt<30 	4<chiso range<11 	44.1904	40.4149	8.9058	0.423937
25  <pt<30 	4<chiso range<12 	44.1904	40.2045	8.92485	0.446607
25  <pt<30 	4<chiso range<13 	44.1904	40.0345	8.93223	0.46527
25  <pt<30 	5<chiso range<10 	44.1904	40.2892	8.86092	0.44027
25  <pt<30 	5<chiso range<11 	44.1904	41.5363	8.81463	0.301102
25  <pt<30 	5<chiso range<12 	44.1904	41.1746	8.84474	0.340971
25  <pt<30 	5<chiso range<13 	44.1904	40.8868	8.86034	0.372853
25  <pt<30 	6<chiso range<11 	44.1904	40.6837	8.86929	0.395376
25  <pt<30 	6<chiso range<12 	44.1904	40.3686	8.89723	0.429549
25  <pt<30 	6<chiso range<13 	44.1904	40.1353	8.90851	0.455194
25  <pt<30 	7<chiso range<12 	44.1904	38.7744	9.02725	0.599961
25  <pt<30 	7<chiso range<13 	44.1904	38.7423	9.02064	0.603959
25  <pt<30 	8<chiso range<13 	44.1904	38.2448	9.11778	0.652089
#######################################################################################
30  <pt<40 	3<chiso range<8 	49.2409	48.6431	9.21732	0.0648562
30  <pt<40 	3<chiso range<9 	49.2409	49.1672	9.13304	0.0080696
30  <pt<40 	3<chiso range<10 	49.2409	50.0213	9.04067	0.086321
30  <pt<40 	3<chiso range<11 	49.2409	50.2225	9.00624	0.108991
