pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	20.2425	26.1709	5.0221	1.18046
20 <pt<25 	3<chiso range<9 	20.2425	25.9574	4.93642	1.1577
20 <pt<25 	3<chiso range<10 	20.2425	24.9162	4.75729	0.982429
20 <pt<25 	3<chiso range<11 	20.2425	22.9131	4.3488	0.6141
20 <pt<25 	3<chiso range<12 	20.2425	23.3855	4.44589	0.706945
20 <pt<25 	3<chiso range<13 	20.2425	22.1972	4.21837	0.463378
20 <pt<25 	4<chiso range<9 	20.2425	25.2771	4.80122	1.04861
20 <pt<25 	4<chiso range<10 	20.2425	24.0813	4.59622	0.835208
20 <pt<25 	4<chiso range<11 	20.2425	21.8299	4.13817	0.3836
20 <pt<25 	4<chiso range<12 	20.2425	22.4751	4.2689	0.522992
20 <pt<25 	4<chiso range<13 	20.2425	21.2197	4.02901	0.242541
20 <pt<25 	5<chiso range<10 	20.2425	21.3678	4.05648	0.277408
20 <pt<25 	5<chiso range<11 	20.2425	19.2719	3.63682	0.266882
20 <pt<25 	5<chiso range<12 	20.2425	20.2316	3.82845	0.00284711
20 <pt<25 	5<chiso range<13 	20.2425	19.169	3.62709	0.295967
20 <pt<25 	6<chiso range<11 	20.2425	16.6292	3.14019	1.15066
20 <pt<25 	6<chiso range<12 	20.2425	17.9694	3.40271	0.668026
20 <pt<25 	6<chiso range<13 	20.2425	17.1105	3.23969	0.966759
20 <pt<25 	7<chiso range<12 	20.2425	19.0267	3.61045	0.336745
20 <pt<25 	7<chiso range<13 	20.2425	17.7825	3.37259	0.72941
20 <pt<25 	8<chiso range<13 	20.2425	17.2192	3.23551	0.934412
#######################################################################################
25 <pt<30 	3<chiso range<8 	7.36711	11.6665	3.4966	1.22959
25 <pt<30 	3<chiso range<9 	7.36711	10.3204	3.10922	0.949849
25 <pt<30 	3<chiso range<10 	7.36711	10.2433	3.08732	0.931614
25 <pt<30 	3<chiso range<11 	7.36711	9.71636	2.96974	0.791063
25 <pt<30 	3<chiso range<12 	7.36711	9.3159	2.85777	0.681927
25 <pt<30 	3<chiso range<13 	7.36711	9.36888	2.87912	0.695271
25 <pt<30 	4<chiso range<9 	7.36711	8.84345	2.65816	0.555399
25 <pt<30 	4<chiso range<10 	7.36711	8.94878	2.6872	0.588594
25 <pt<30 	4<chiso range<11 	7.36711	8.57825	2.61518	0.463119
25 <pt<30 	4<chiso range<12 	7.36711	8.28655	2.53957	0.362046
25 <pt<30 	4<chiso range<13 	7.36711	8.41741	2.58428	0.406419
