pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	59.0635	85.1242	7.63094	3.41514
20 <pt<25 	3<chiso range<9 	59.0635	78.5216	7.03057	2.76764
20 <pt<25 	3<chiso range<10 	59.0635	79.8709	7.15878	2.90656
20 <pt<25 	3<chiso range<11 	59.0635	76.4349	6.84313	2.53852
20 <pt<25 	3<chiso range<12 	59.0635	77.9822	6.99548	2.70442
20 <pt<25 	3<chiso range<13 	59.0635	75.2497	6.75075	2.39769
20 <pt<25 	4<chiso range<9 	59.0635	73.7521	6.61537	2.22037
20 <pt<25 	4<chiso range<10 	59.0635	75.968	6.81979	2.47874
20 <pt<25 	4<chiso range<11 	59.0635	72.5608	6.50229	2.07578
20 <pt<25 	4<chiso range<12 	59.0635	74.6171	6.70215	2.32069
20 <pt<25 	4<chiso range<13 	59.0635	71.8469	6.4521	1.98128
20 <pt<25 	5<chiso range<10 	59.0635	69.0328	6.19259	1.60988
20 <pt<25 	5<chiso range<11 	59.0635	66.2658	5.93352	1.21383
20 <pt<25 	5<chiso range<12 	59.0635	69.1716	6.21002	1.62771
20 <pt<25 	5<chiso range<13 	59.0635	66.6516	5.9827	1.26834
20 <pt<25 	6<chiso range<11 	59.0635	63.1732	5.65128	0.727216
20 <pt<25 	6<chiso range<12 	59.0635	66.8397	5.9983	1.2964
20 <pt<25 	6<chiso range<13 	59.0635	64.2783	5.76692	0.904261
20 <pt<25 	7<chiso range<12 	59.0635	69.459	6.23623	1.66695
20 <pt<25 	7<chiso range<13 	59.0635	65.969	5.91892	1.16668
20 <pt<25 	8<chiso range<13 	59.0635	63.464	5.68212	0.774447
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.2107	36.5334	5.45578	1.89207
25 <pt<30 	3<chiso range<9 	26.2107	33.6654	5.04509	1.47761
25 <pt<30 	3<chiso range<10 	26.2107	33.0356	4.9448	1.38022
25 <pt<30 	3<chiso range<11 	26.2107	32.343	4.84832	1.26483
25 <pt<30 	3<chiso range<12 	26.2107	31.923	4.77405	1.19653
25 <pt<30 	3<chiso range<13 	26.2107	32.075	4.78685	1.22509
25 <pt<30 	4<chiso range<9 	26.2107	31.6858	4.74765	1.15322
25 <pt<30 	4<chiso range<10 	26.2107	31.2068	4.66779	1.07034
25 <pt<30 	4<chiso range<11 	26.2107	30.6005	4.58292	0.957861
25 <pt<30 	4<chiso range<12 	26.2107	30.2946	4.52642	0.902236
25 <pt<30 	4<chiso range<13 	26.2107	30.5957	4.56117	0.961376
25 <pt<30 	5<chiso range<10 	26.2107	30.0155	4.48702	0.847957
25 <pt<30 	5<chiso range<11 	26.2107	29.4977	4.41637	0.744276
25 <pt<30 	5<chiso range<12 	26.2107	29.2625	4.36945	0.69844
25 <pt<30 	5<chiso range<13 	26.2107	29.6898	4.42246	0.786689
25 <pt<30 	6<chiso range<11 	26.2107	28.8538	4.31426	0.612643
25 <pt<30 	6<chiso range<12 	26.2107	28.6916	4.28009	0.579637
25 <pt<30 	6<chiso range<13 	26.2107	29.2548	4.3526	0.699375
25 <pt<30 	7<chiso range<12 	26.2107	23.1795	3.46554	0.874669
25 <pt<30 	7<chiso range<13 	26.2107	24.4638	3.64511	0.479245
25 <pt<30 	8<chiso range<13 	26.2107	26.3562	3.92451	0.0370747
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.6604	31.1598	5.34984	2.14948
30 <pt<40 	3<chiso range<9 	19.6604	28.9642	4.99441	1.86284
30 <pt<40 	3<chiso range<10 	19.6604	28.3192	4.87039	1.77785
30 <pt<40 	3<chiso range<11 	19.6604	28.2213	4.84872	1.7656
30 <pt<40 	3<chiso range<12 	19.6604	27.9229	4.80315	1.72023
30 <pt<40 	3<chiso range<13 	19.6604	26.991	4.64865	1.57693
30 <pt<40 	4<chiso range<9 	19.6604	29.1066	5.02652	1.87927
30 <pt<40 	4<chiso range<10 	19.6604	28.3218	4.8744	1.77692
30 <pt<40 	4<chiso range<11 	19.6604	28.2089	4.84893	1.76297
30 <pt<40 	4<chiso range<12 	19.6604	27.8643	4.79591	1.7106
30 <pt<40 	4<chiso range<13 	19.6604	26.816	4.62164	1.54828
30 <pt<40 	5<chiso range<10 	19.6604	29.7607	5.11465	1.97478
30 <pt<40 	5<chiso range<11 	19.6604	29.4295	5.05141	1.93394
30 <pt<40 	5<chiso range<12 	19.6604	28.8454	4.96162	1.85121
30 <pt<40 	5<chiso range<13 	19.6604	27.5924	4.75304	1.66883
30 <pt<40 	6<chiso range<11 	19.6604	30.4578	5.2343	2.06282
30 <pt<40 	6<chiso range<12 	19.6604	29.5788	5.09622	1.94623
30 <pt<40 	6<chiso range<13 	19.6604	27.9823	4.82959	1.72311
30 <pt<40 	7<chiso range<12 	19.6604	27.3595	4.69763	1.63893
30 <pt<40 	7<chiso range<13 	19.6604	25.7295	4.43192	1.36941
30 <pt<40 	8<chiso range<13 	19.6604	22.4367	3.87947	0.715639
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.49195	10.831	3.01893	1.10604
40 <pt<50 	3<chiso range<9 	7.49195	10.9824	3.04758	1.14532
40 <pt<50 	3<chiso range<10 	7.49195	10.7925	2.99382	1.10245
