pt range	chiso range     	FakeNumber	fitFake_number	closure uncertainty
20 <pt<25 	4<chiso range<13	20.2466i 	20.9146 	0.0329932
25 <pt<30 	4<chiso range<13	7.44809	        8.21285 	0.102679
30 <pt<35 	4<chiso range<13	3.56705 	6.46981 	0.81377
35 <pt<40 	4<chiso range<13	2.41183 	4.15063 	0.720946
40 <pt<45 	4<chiso range<13	1.47784 	1.77225 	0.199216
45 <pt<50 	4<chiso range<13	1.15391 	1.64329 	0.424106
50 <pt<60 	4<chiso range<13	1.4836   	1.44745 	0.0243664
60 <pt<80 	4<chiso range<13	0.405374	1.76382 	3.35109
80 <pt<120 	4<chiso range<13	0.930649	0.347294	0.626826
120 <pt<400 	4<chiso range<13	0.0982512	0.033995	0.653999
