pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.063	0.45268	0.493674	0.0618279	0.663039
20 <pt<25 	3<chiso range<9 	79.6656	36.063	0.45268	0.481592	0.060256	0.479824
20 <pt<25 	3<chiso range<10 	79.6656	36.063	0.45268	0.483934	0.060607	0.515688
20 <pt<25 	3<chiso range<11 	79.6656	36.063	0.45268	0.452573	0.0566386	0.00188389
20 <pt<25 	3<chiso range<12 	79.6656	36.063	0.45268	0.439047	0.0549424	0.248127
20 <pt<25 	3<chiso range<13 	79.6656	36.063	0.45268	0.421146	0.0526913	0.598461
20 <pt<25 	4<chiso range<9 	79.6656	36.063	0.45268	0.493598	0.0619372	0.660642
20 <pt<25 	4<chiso range<10 	79.6656	36.063	0.45268	0.495032	0.0621751	0.681178
20 <pt<25 	4<chiso range<11 	79.6656	36.063	0.45268	0.456526	0.05727	0.0671608
20 <pt<25 	4<chiso range<12 	79.6656	36.063	0.45268	0.440382	0.0552238	0.222688
20 <pt<25 	4<chiso range<13 	79.6656	36.063	0.45268	0.419666	0.0526055	0.627571
20 <pt<25 	5<chiso range<10 	79.6656	36.063	0.45268	0.496232	0.0627968	0.693543
20 <pt<25 	5<chiso range<11 	79.6656	36.063	0.45268	0.446782	0.0563759	0.104614
20 <pt<25 	5<chiso range<12 	79.6656	36.063	0.45268	0.428007	0.053932	0.457478
20 <pt<25 	5<chiso range<13 	79.6656	36.063	0.45268	0.40343	0.0507877	0.969717
20 <pt<25 	6<chiso range<11 	79.6656	36.063	0.45268	0.450579	0.0570854	0.0367993
20 <pt<25 	6<chiso range<12 	79.6656	36.063	0.45268	0.4265	0.0538977	0.485729
20 <pt<25 	6<chiso range<13 	79.6656	36.063	0.45268	0.396454	0.0500266	1.12392
20 <pt<25 	7<chiso range<12 	79.6656	36.063	0.45268	0.391614	0.0492401	1.24016
20 <pt<25 	7<chiso range<13 	79.6656	36.063	0.45268	0.359861	0.0451965	2.05367
20 <pt<25 	8<chiso range<13 	79.6656	36.063	0.45268	0.312865	0.0390992	3.5759
#######################################################################################
25 <pt<30 	3<chiso range<8 	47.1372	17.3003	0.36702	0.368359	0.0715754	0.0187061
25 <pt<30 	3<chiso range<9 	47.1372	17.3003	0.36702	0.362707	0.0703237	0.0613321
25 <pt<30 	3<chiso range<10 	47.1372	17.3003	0.36702	0.377032	0.0727868	0.137551
25 <pt<30 	3<chiso range<11 	47.1372	17.3003	0.36702	0.372919	0.0721421	0.0817677
25 <pt<30 	3<chiso range<12 	47.1372	17.3003	0.36702	0.354802	0.0684577	0.178477
25 <pt<30 	3<chiso range<13 	47.1372	17.3003	0.36702	0.345422	0.0665072	0.324748
25 <pt<30 	4<chiso range<9 	47.1372	17.3003	0.36702	0.337379	0.0657572	0.450766
25 <pt<30 	4<chiso range<10 	47.1372	17.3003	0.36702	0.358952	0.0695176	0.116058
25 <pt<30 	4<chiso range<11 	47.1372	17.3003	0.36702	0.355795	0.0690665	0.162526
25 <pt<30 	4<chiso range<12 	47.1372	17.3003	0.36702	0.336005	0.0649796	0.477305
25 <pt<30 	4<chiso range<13 	47.1372	17.3003	0.36702	0.326346	0.0629312	0.646327
25 <pt<30 	5<chiso range<10 	47.1372	17.3003	0.36702	0.367488	0.0709625	0.00659358
25 <pt<30 	5<chiso range<11 	47.1372	17.3003	0.36702	0.362574	0.0702304	0.0633074
25 <pt<30 	5<chiso range<12 	47.1372	17.3003	0.36702	0.338091	0.065228	0.443507
25 <pt<30 	5<chiso range<13 	47.1372	17.3003	0.36702	0.326555	0.0628143	0.644202
25 <pt<30 	6<chiso range<11 	47.1372	17.3003	0.36702	0.365303	0.0713038	0.0240815
25 <pt<30 	6<chiso range<12 	47.1372	17.3003	0.36702	0.336198	0.0652072	0.472679
25 <pt<30 	6<chiso range<13 	47.1372	17.3003	0.36702	0.323103	0.0624016	0.703782
25 <pt<30 	7<chiso range<12 	47.1372	17.3003	0.36702	0.315202	0.060842	0.851683
25 <pt<30 	7<chiso range<13 	47.1372	17.3003	0.36702	0.302435	0.0581431	1.1108
25 <pt<30 	8<chiso range<13 	47.1372	17.3003	0.36702	0.305159	0.0580763	1.06517
#######################################################################################
30 <pt<35 	3<chiso range<8 	28.3826	9.41484	0.331712	0.29204	0.0764358	0.51902
