pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	21.1711	26.9589	7.88696	0.733844
20  <pt<25 	3<chiso range<9 	21.1711	25.8022	7.93712	0.583474
20  <pt<25 	3<chiso range<10 	21.1711	26.0096	7.92807	0.6103
20  <pt<25 	3<chiso range<11 	21.1711	25.1918	7.96428	0.504842
20  <pt<25 	3<chiso range<12 	21.1711	24.9991	7.97287	0.480128
20  <pt<25 	3<chiso range<13 	21.1711	25.8333	7.93586	0.587485
20  <pt<25 	4<chiso range<9 	21.1711	24.3338	8.00305	0.395187
20  <pt<25 	4<chiso range<10 	21.1711	24.7954	7.98217	0.454049
20  <pt<25 	4<chiso range<11 	21.1711	23.899	8.02306	0.340007
20  <pt<25 	4<chiso range<12 	21.1711	23.7678	8.02904	0.323414
20  <pt<25 	4<chiso range<13 	21.1711	24.8732	7.9787	0.463998
20  <pt<25 	5<chiso range<10 	21.1711	27.7358	7.85449	0.835789
20  <pt<25 	5<chiso range<11 	21.1711	26.3163	7.91501	0.650056
20  <pt<25 	5<chiso range<12 	21.1711	25.9322	7.93169	0.600263
20  <pt<25 	5<chiso range<13 	21.1711	27.0114	7.88506	0.740679
20  <pt<25 	6<chiso range<11 	21.1711	23.5737	8.03824	0.298896
20  <pt<25 	6<chiso range<12 	21.1711	23.4182	8.04533	0.279305
20  <pt<25 	6<chiso range<13 	21.1711	25.0361	7.97148	0.484854
20  <pt<25 	7<chiso range<12 	21.1711	21.325	8.14489	0.0188953
20  <pt<25 	7<chiso range<13 	21.1711	23.6219	8.03606	0.304975
20  <pt<25 	8<chiso range<13 	21.1711	23.9527	8.02069	0.346803
#######################################################################################
25  <pt<30 	3<chiso range<8 	13.6114	13.7614	5.81412	0.0257993
25  <pt<30 	3<chiso range<9 	13.6114	13.9628	5.80061	0.0605798
25  <pt<30 	3<chiso range<10 	13.6114	13.2497	5.85042	0.0618246
25  <pt<30 	3<chiso range<11 	13.6114	13.597	5.82568	0.00247181
25  <pt<30 	3<chiso range<12 	13.6114	14.1851	5.78519	0.099167
25  <pt<30 	3<chiso range<13 	13.6114	13.7363	5.81586	0.0214758
25  <pt<30 	4<chiso range<9 	13.6114	14.3247	5.77581	0.123498
25  <pt<30 	4<chiso range<10 	13.6114	13.4154	5.83872	0.033569
25  <pt<30 	4<chiso range<11 	13.6114	13.8169	5.81033	0.035368
25  <pt<30 	4<chiso range<12 	13.6114	14.4821	5.76501	0.151032
25  <pt<30 	4<chiso range<13 	13.6114	13.9401	5.80218	0.0566511
25  <pt<30 	5<chiso range<10 	13.6114	14.1185	5.79005	0.0875813
25  <pt<30 	5<chiso range<11 	13.6114	14.528	5.76197	0.159078
25  <pt<30 	5<chiso range<12 	13.6114	15.2131	5.71651	0.280188
25  <pt<30 	5<chiso range<13 	13.6114	14.5255	5.76208	0.158641
25  <pt<30 	6<chiso range<11 	13.6114	14.7865	5.74457	0.204558
25  <pt<30 	6<chiso range<12 	13.6114	15.5651	5.69381	0.343127
25  <pt<30 	6<chiso range<13 	13.6114	14.7209	5.7489	0.192993
25  <pt<30 	7<chiso range<12 	13.6114	14.7842	5.7446	0.204157
25  <pt<30 	7<chiso range<13 	13.6114	13.8204	5.80993	0.0359729
25  <pt<30 	8<chiso range<13 	13.6114	13.6987	5.81847	0.0150039
#######################################################################################
30  <pt<35 	3<chiso range<8 	9.32453	12.6564	4.21685	0.790132
30  <pt<35 	3<chiso range<9 	9.32453	12.279	4.24506	0.695978
30  <pt<35 	3<chiso range<10 	9.32453	12.5427	4.225	0.761697
30  <pt<35 	3<chiso range<11 	9.32453	12.497	4.22835	0.750286
30  <pt<35 	3<chiso range<12 	9.32453	12.8446	4.20332	0.83745
30  <pt<35 	3<chiso range<13 	9.32453	12.7898	4.20705	0.823682
30  <pt<35 	4<chiso range<9 	9.32453	11.5592	4.30373	0.51924
30  <pt<35 	4<chiso range<10 	9.32453	11.9951	4.26694	0.625875
30  <pt<35 	4<chiso range<11 	9.32453	12.0039	4.26625	0.628039
30  <pt<35 	4<chiso range<12 	9.32453	12.4689	4.23016	0.743322
30  <pt<35 	4<chiso range<13 	9.32453	12.4267	4.23322	0.732816
30  <pt<35 	5<chiso range<10 	9.32453	12.0568	4.26176	0.641113
30  <pt<35 	5<chiso range<11 	9.32453	12.0589	4.2617	0.641615
30  <pt<35 	5<chiso range<12 	9.32453	12.6174	4.21919	0.780451
30  <pt<35 	5<chiso range<13 	9.32453	12.5561	4.22354	0.765133
30  <pt<35 	6<chiso range<11 	9.32453	12.1172	4.25719	0.655989
30  <pt<35 	6<chiso range<12 	9.32453	12.7235	4.21167	0.807036
30  <pt<35 	6<chiso range<13 	9.32453	12.6482	4.21691	0.788177
30  <pt<35 	7<chiso range<12 	9.32453	13.6471	4.1551	1.0403
30  <pt<35 	7<chiso range<13 	9.32453	13.4656	4.16632	0.993939
30  <pt<35 	8<chiso range<13 	9.32453	13.032	4.19652	0.883463
#######################################################################################
35  <pt<65 	3<chiso range<8 	23.0642	29.0786	6.29216	0.955856
35  <pt<65 	3<chiso range<9 	23.0642	28.7098	6.31716	0.893693
35  <pt<65 	3<chiso range<10 	23.0642	28.4363	6.33514	0.847984
35  <pt<65 	3<chiso range<11 	23.0642	28.7488	6.31424	0.900283
35  <pt<65 	3<chiso range<12 	23.0642	29.3276	6.2747	0.998199
35  <pt<65 	3<chiso range<13 	23.0642	29.332	6.27438	0.998951
35  <pt<65 	4<chiso range<9 	23.0642	28.868	6.30628	0.920321
35  <pt<65 	4<chiso range<10 	23.0642	28.5374	6.32849	0.864851
35  <pt<65 	4<chiso range<11 	23.0642	28.8755	6.30574	0.921589
35  <pt<65 	4<chiso range<12 	23.0642	29.5222	6.26749	1.0304
35  <pt<65 	4<chiso range<13 	23.0642	29.5106	6.26817	1.02843
35  <pt<65 	5<chiso range<10 	23.0642	27.852	6.37233	0.751342
35  <pt<65 	5<chiso range<11 	23.0642	28.3912	6.33808	0.840475
35  <pt<65 	5<chiso range<12 	23.0642	29.216	6.28251	0.979195
35  <pt<65 	5<chiso range<13 	23.0642	29.2337	6.28127	0.982206
35  <pt<65 	6<chiso range<11 	23.0642	29.1917	6.28418	0.975068
35  <pt<65 	6<chiso range<12 	23.0642	30.0151	6.23948	1.11402
35  <pt<65 	6<chiso range<13 	23.0642	29.941	6.2436	1.10142
35  <pt<65 	7<chiso range<12 	23.0642	30.1204	6.23371	1.13194
35  <pt<65 	7<chiso range<13 	23.0642	30.0198	6.23924	1.11482
35  <pt<65 	8<chiso range<13 	23.0642	29.6613	6.25931	1.05397
#######################################################################################
65  <pt<400 	3<chiso range<8 	11.6156	13.3726	3.9506	0.444743
65  <pt<400 	3<chiso range<9 	11.6156	13.2309	3.96238	0.407659
65  <pt<400 	3<chiso range<10 	11.6156	13.1908	3.97112	0.396664
65  <pt<400 	3<chiso range<11 	11.6156	13.2645	3.95509	0.416906
65  <pt<400 	3<chiso range<12 	11.6156	13.2004	3.96903	0.399292
65  <pt<400 	3<chiso range<13 	11.6156	13.1399	3.98225	0.382774
65  <pt<400 	4<chiso range<9 	11.6156	13.3756	3.95005	0.445564
65  <pt<400 	4<chiso range<10 	11.6156	13.3203	3.96393	0.430053
65  <pt<400 	4<chiso range<11 	11.6156	13.385	3.94832	0.44814
65  <pt<400 	4<chiso range<12 	11.6156	13.3137	3.96512	0.428259
65  <pt<400 	4<chiso range<13 	11.6156	13.21	3.96694	0.401922
65  <pt<400 	5<chiso range<10 	11.6156	13.2451	3.95931	0.411562
65  <pt<400 	5<chiso range<11 	11.6156	13.3681	3.95144	0.443509
65  <pt<400 	5<chiso range<12 	11.6156	13.2462	3.95907	0.411864
65  <pt<400 	5<chiso range<13 	11.6156	13.163	3.97719	0.389069
65  <pt<400 	6<chiso range<11 	11.6156	13.3667	3.9556	0.442689
65  <pt<400 	6<chiso range<12 	11.6156	13.2144	3.96598	0.403129
65  <pt<400 	6<chiso range<13 	11.6156	13.1138	3.98798	0.375679
65  <pt<400 	7<chiso range<12 	11.6156	13.2027	3.96852	0.399922
65  <pt<400 	7<chiso range<13 	11.6156	13.0819	3.99499	0.367035
65  <pt<400 	8<chiso range<13 	11.6156	12.8458	4.04754	0.303938
#######################################################################################
