pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	34.8182	35.7515	5.03369	0.185411
20 <pt<25 	3<chiso range<9 	34.8182	34.5884	4.86341	0.0472508
20 <pt<25 	3<chiso range<10 	34.8182	34.4887	4.85638	0.0678489
20 <pt<25 	3<chiso range<11 	34.8182	31.8379	4.48837	0.664005
20 <pt<25 	3<chiso range<12 	34.8182	30.5398	4.30628	0.993526
20 <pt<25 	3<chiso range<13 	34.8182	29.2577	4.1213	1.34921
20 <pt<25 	4<chiso range<9 	34.8182	35.2184	4.97954	0.0803689
20 <pt<25 	4<chiso range<10 	34.8182	35.0196	4.95773	0.0406234
20 <pt<25 	4<chiso range<11 	34.8182	31.8256	4.50814	0.663821
20 <pt<25 	4<chiso range<12 	34.8182	30.3281	4.29433	1.04559
20 <pt<25 	4<chiso range<13 	34.8182	28.8431	4.07466	1.4664
20 <pt<25 	5<chiso range<10 	34.8182	35.0476	5.02477	0.0456538
20 <pt<25 	5<chiso range<11 	34.8182	30.9683	4.43086	0.868883
20 <pt<25 	5<chiso range<12 	34.8182	29.2112	4.16732	1.34547
20 <pt<25 	5<chiso range<13 	34.8182	27.5271	3.91706	1.86137
20 <pt<25 	6<chiso range<11 	34.8182	31.15	4.49961	0.815226
20 <pt<25 	6<chiso range<12 	34.8182	28.9513	4.15971	1.41041
20 <pt<25 	6<chiso range<13 	34.8182	26.9202	3.85228	2.05021
20 <pt<25 	7<chiso range<12 	34.8182	26.0738	3.72132	2.34981
20 <pt<25 	7<chiso range<13 	34.8182	23.9949	3.41146	3.17263
20 <pt<25 	8<chiso range<13 	34.8182	20.1465	2.83348	5.17798
#######################################################################################
25 <pt<30 	3<chiso range<8 	16.8892	15.2537	3.35922	0.486869
25 <pt<30 	3<chiso range<9 	16.8892	15.1466	3.31761	0.525258
25 <pt<30 	3<chiso range<10 	16.8892	15.591	3.39972	0.381855
25 <pt<30 	3<chiso range<11 	16.8892	15.3574	3.36102	0.455755
25 <pt<30 	3<chiso range<12 	16.8892	14.543	3.16994	0.74014
25 <pt<30 	3<chiso range<13 	16.8892	14.0119	3.04176	0.945933
25 <pt<30 	4<chiso range<9 	16.8892	14.0929	3.11331	0.898176
25 <pt<30 	4<chiso range<10 	16.8892	14.8064	3.24809	0.641238
25 <pt<30 	4<chiso range<11 	16.8892	14.6009	3.21576	0.711589
25 <pt<30 	4<chiso range<12 	16.8892	13.7272	3.00499	1.05225
25 <pt<30 	4<chiso range<13 	16.8892	13.1649	2.86647	1.29926
25 <pt<30 	5<chiso range<10 	16.8892	15.1679	3.30218	0.521262
25 <pt<30 	5<chiso range<11 	16.8892	14.8802	3.25726	0.616776
25 <pt<30 	5<chiso range<12 	16.8892	13.8104	3.00592	1.02425
25 <pt<30 	5<chiso range<13 	16.8892	13.1485	2.84682	1.31399
25 <pt<30 	6<chiso range<11 	16.8892	14.558	3.24239	0.718976
25 <pt<30 	6<chiso range<12 	16.8892	13.382	2.94821	1.1896
25 <pt<30 	6<chiso range<13 	16.8892	12.6729	2.76964	1.52233
25 <pt<30 	7<chiso range<12 	16.8892	12.6376	2.76591	1.53714
25 <pt<30 	7<chiso range<13 	16.8892	11.8918	2.58222	1.93531
25 <pt<30 	8<chiso range<13 	16.8892	11.8949	2.53739	1.96828
#######################################################################################
30 <pt<35 	3<chiso range<8 	9.12377	7.88004	2.18667	0.568778
30 <pt<35 	3<chiso range<9 	9.12377	7.67569	2.13293	0.678916
30 <pt<35 	3<chiso range<10 	9.12377	7.54947	2.10605	0.747513
30 <pt<35 	3<chiso range<11 	9.12377	7.73943	2.16963	0.638053
30 <pt<35 	3<chiso range<12 	9.12377	7.57323	2.13298	0.726936
30 <pt<35 	3<chiso range<13 	9.12377	7.41965	2.07563	0.821013
30 <pt<35 	4<chiso range<9 	9.12377	7.19612	2.02236	0.953169
30 <pt<35 	4<chiso range<10 	9.12377	7.09078	2.00091	1.01603
30 <pt<35 	4<chiso range<11 	9.12377	7.35297	2.08725	0.848389
30 <pt<35 	4<chiso range<12 	9.12377	7.18195	2.04921	0.947594
30 <pt<35 	4<chiso range<13 	9.12377	7.03939	1.98818	1.04839
30 <pt<35 	5<chiso range<10 	9.12377	7.39822	2.10896	0.818199
30 <pt<35 	5<chiso range<11 	9.12377	7.68381	2.20671	0.652537
30 <pt<35 	5<chiso range<12 	9.12377	7.43577	2.14804	0.785833
30 <pt<35 	5<chiso range<13 	9.12377	7.25397	2.06419	0.905827
30 <pt<35 	6<chiso range<11 	9.12377	7.34519	2.15974	0.823516
30 <pt<35 	6<chiso range<12 	9.12377	7.07992	2.09295	0.97654
30 <pt<35 	6<chiso range<13 	9.12377	6.92918	1.99982	1.09739
30 <pt<35 	7<chiso range<12 	9.12377	6.39872	1.86286	1.46283
30 <pt<35 	7<chiso range<13 	9.12377	6.27156	1.78498	1.59789
30 <pt<35 	8<chiso range<13 	9.12377	6.62208	1.882	1.32927
#######################################################################################
35 <pt<50 	3<chiso range<8 	9.04399	6.63513	1.98991	1.21054
35 <pt<50 	3<chiso range<9 	9.04399	6.67599	1.99765	1.18539
35 <pt<50 	3<chiso range<10 	9.04399	6.33322	1.89249	1.43238
