pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	22.938	21.8424	9.89005	0.110778
20  <pt<25 	3<chiso range<9 	22.938	22.8882	9.76284	0.00510097
20  <pt<25 	3<chiso range<10 	22.938	23.0656	9.76554	0.0130664
20  <pt<25 	3<chiso range<11 	22.938	25.6952	9.52021	0.289615
20  <pt<25 	3<chiso range<12 	22.938	26.9664	9.40049	0.428531
20  <pt<25 	3<chiso range<13 	22.938	28.1614	9.27402	0.563229
20  <pt<25 	4<chiso range<9 	22.938	22.5847	9.87452	0.035779
20  <pt<25 	4<chiso range<10 	22.938	22.8479	9.86575	0.00913261
20  <pt<25 	4<chiso range<11 	22.938	25.9692	9.55971	0.317081
20  <pt<25 	4<chiso range<12 	22.938	27.4016	9.41559	0.474065
20  <pt<25 	4<chiso range<13 	22.938	28.7256	9.26079	0.624957
20  <pt<25 	5<chiso range<10 	22.938	23.4871	9.98217	0.0550081
20  <pt<25 	5<chiso range<11 	22.938	27.3323	9.56374	0.459475
20  <pt<25 	5<chiso range<12 	22.938	28.8865	9.37571	0.634459
20  <pt<25 	5<chiso range<13 	22.938	30.3935	9.20071	0.810318
20  <pt<25 	6<chiso range<11 	22.938	27.6576	9.66185	0.488478
20  <pt<25 	6<chiso range<12 	22.938	29.5116	9.41	0.698576
20  <pt<25 	6<chiso range<13 	22.938	31.2797	9.19143	0.907552
20  <pt<25 	7<chiso range<12 	22.938	31.9746	9.09473	0.993608
20  <pt<25 	7<chiso range<13 	22.938	33.809	8.88585	1.22341
20  <pt<25 	8<chiso range<13 	22.938	37.0222	8.49608	1.65773
#######################################################################################
25  <pt<30 	3<chiso range<8 	14.9259	16.5225	7.0281	0.227174
25  <pt<30 	3<chiso range<9 	14.9259	16.5022	6.98029	0.225822
25  <pt<30 	3<chiso range<10 	14.9259	15.9706	7.01707	0.14888
25  <pt<30 	3<chiso range<11 	14.9259	16.2797	7.00554	0.193247
25  <pt<30 	3<chiso range<12 	14.9259	16.9708	6.86706	0.297784
25  <pt<30 	3<chiso range<13 	14.9259	17.3918	6.77062	0.364206
25  <pt<30 	4<chiso range<9 	14.9259	17.7142	6.88249	0.40513
25  <pt<30 	4<chiso range<10 	14.9259	16.8623	6.94176	0.278949
25  <pt<30 	4<chiso range<11 	14.9259	17.1529	6.93598	0.321079
25  <pt<30 	4<chiso range<12 	14.9259	17.8573	6.78069	0.432316
25  <pt<30 	4<chiso range<13 	14.9259	18.2806	6.67533	0.502552
25  <pt<30 	5<chiso range<10 	14.9259	16.3427	6.94689	0.203947
25  <pt<30 	5<chiso range<11 	14.9259	16.7462	6.93878	0.262337
25  <pt<30 	5<chiso range<12 	14.9259	17.6475	6.75871	0.40268
25  <pt<30 	5<chiso range<13 	14.9259	18.1695	6.64115	0.488409
25  <pt<30 	6<chiso range<11 	14.9259	17.437	6.99689	0.358888
25  <pt<30 	6<chiso range<12 	14.9259	18.3259	6.77199	0.502068
25  <pt<30 	6<chiso range<13 	14.9259	18.8332	6.63343	0.589032
25  <pt<30 	7<chiso range<12 	14.9259	18.9027	6.63658	0.599224
25  <pt<30 	7<chiso range<13 	14.9259	19.4497	6.49895	0.696082
25  <pt<30 	8<chiso range<13 	14.9259	19.0407	6.40236	0.642701
#######################################################################################
30  <pt<35 	3<chiso range<8 	10.15	11.2364	5.12039	0.212171
30  <pt<35 	3<chiso range<9 	10.15	11.4514	5.09375	0.25549
30  <pt<35 	3<chiso range<10 	10.15	11.6248	5.09106	0.289684
30  <pt<35 	3<chiso range<11 	10.15	11.5088	5.14331	0.264188
30  <pt<35 	3<chiso range<12 	10.15	11.7299	5.1372	0.307541
30  <pt<35 	3<chiso range<13 	10.15	11.7866	5.08288	0.321983
30  <pt<35 	4<chiso range<9 	10.15	12.063	5.06773	0.377487
30  <pt<35 	4<chiso range<10 	10.15	12.2188	5.06879	0.408145
30  <pt<35 	4<chiso range<11 	10.15	12.0466	5.13576	0.369293
30  <pt<35 	4<chiso range<12 	10.15	12.2787	5.13039	0.41492
30  <pt<35 	4<chiso range<13 	10.15	12.2799	5.06463	0.420544
30  <pt<35 	5<chiso range<10 	10.15	12.0599	5.16108	0.370058
30  <pt<35 	5<chiso range<11 	10.15	11.8854	5.24038	0.331159
30  <pt<35 	5<chiso range<12 	10.15	12.2004	5.22421	0.39248
30  <pt<35 	5<chiso range<13 	10.15	12.1745	5.13032	0.394615
30  <pt<35 	6<chiso range<11 	10.15	12.5218	5.28326	0.448927
30  <pt<35 	6<chiso range<12 	10.15	12.8455	5.26064	0.51239
30  <pt<35 	6<chiso range<13 	10.15	12.6723	5.13788	0.490922
30  <pt<35 	7<chiso range<12 	10.15	13.2979	5.08944	0.618516
30  <pt<35 	7<chiso range<13 	10.15	13.1199	4.98019	0.596343
30  <pt<35 	8<chiso range<13 	10.15	12.7637	5.02658	0.519976
#######################################################################################
35  <pt<50 	3<chiso range<8 	16.9258	18.8673	5.54894	0.349887
35  <pt<50 	3<chiso range<9 	16.9258	18.801	5.54633	0.338097
35  <pt<50 	3<chiso range<10 	16.9258	19.1115	5.49297	0.397909
35  <pt<50 	3<chiso range<11 	16.9258	19.2304	5.4705	0.421278
35  <pt<50 	3<chiso range<12 	16.9258	18.8109	5.5502	0.339645
35  <pt<50 	3<chiso range<13 	16.9258	18.9221	5.52381	0.361399
35  <pt<50 	4<chiso range<9 	16.9258	18.6758	5.55776	0.314875
35  <pt<50 	4<chiso range<10 	16.9258	19.0803	5.48958	0.392471
35  <pt<50 	4<chiso range<11 	16.9258	19.2281	5.46316	0.421423
35  <pt<50 	4<chiso range<12 	16.9258	18.7275	5.55927	0.324089
35  <pt<50 	4<chiso range<13 	16.9258	18.864	5.52677	0.350693
35  <pt<50 	5<chiso range<10 	16.9258	19.3516	5.44505	0.445506
35  <pt<50 	5<chiso range<11 	16.9258	19.5081	5.42597	0.475915
35  <pt<50 	5<chiso range<12 	16.9258	18.8767	5.53566	0.352424
35  <pt<50 	5<chiso range<13 	16.9258	19.0264	5.50025	0.38191
35  <pt<50 	6<chiso range<11 	16.9258	19.4896	5.43715	0.471534
35  <pt<50 	6<chiso range<12 	16.9258	18.7432	5.57193	0.326171
35  <pt<50 	6<chiso range<13 	16.9258	18.929	5.52524	0.362554
35  <pt<50 	7<chiso range<12 	16.9258	18.6804	5.60262	0.313175
35  <pt<50 	7<chiso range<13 	16.9258	18.9062	5.5403	0.357454
35  <pt<50 	8<chiso range<13 	16.9258	19.0103	5.48659	0.379926
#######################################################################################
50  <pt<60 	3<chiso range<8 	5.67207	7.00622	3.24937	0.410587
50  <pt<60 	3<chiso range<9 	5.67207	7.2577	3.16369	0.501196
50  <pt<60 	3<chiso range<10 	5.67207	7.22623	3.16558	0.490956
50  <pt<60 	3<chiso range<11 	5.67207	7.21296	3.14749	0.489562
50  <pt<60 	3<chiso range<12 	5.67207	7.2518	3.13472	0.503946
50  <pt<60 	3<chiso range<13 	5.67207	7.1021	3.1568	0.453
50  <pt<60 	4<chiso range<9 	5.67207	7.37307	3.13107	0.543265
50  <pt<60 	4<chiso range<10 	5.67207	7.3077	3.13373	0.521943
50  <pt<60 	4<chiso range<11 	5.67207	7.2858	3.11987	0.517243
50  <pt<60 	4<chiso range<12 	5.67207	7.34186	3.11273	0.536439
50  <pt<60 	4<chiso range<13 	5.67207	7.16088	3.13399	0.475053
50  <pt<60 	5<chiso range<10 	5.67207	7.17218	3.15966	0.474769
50  <pt<60 	5<chiso range<11 	5.67207	7.17071	3.13797	0.477583
50  <pt<60 	5<chiso range<12 	5.67207	7.22698	3.12304	0.497883
50  <pt<60 	5<chiso range<13 	5.67207	7.04192	3.15222	0.434567
50  <pt<60 	6<chiso range<11 	5.67207	7.40195	3.11705	0.554973
50  <pt<60 	6<chiso range<12 	5.67207	7.43727	3.10406	0.568675
50  <pt<60 	6<chiso range<13 	5.67207	7.18875	3.13322	0.484064
50  <pt<60 	7<chiso range<12 	5.67207	7.44176	3.0962	0.571568
50  <pt<60 	7<chiso range<13 	5.67207	7.15643	3.13181	0.473962
50  <pt<60 	8<chiso range<13 	5.67207	7.2656	3.07117	0.518867
#######################################################################################
60  <pt<400 	3<chiso range<8 	13.666	13.1623	4.58589	0.109837
60  <pt<400 	3<chiso range<9 	13.666	13.6213	4.42731	0.0100964
60  <pt<400 	3<chiso range<10 	13.666	13.7284	4.38113	0.0142429
60  <pt<400 	3<chiso range<11 	13.666	13.6903	4.3918	0.00553304
60  <pt<400 	3<chiso range<12 	13.666	13.7188	4.38251	0.0120479
60  <pt<400 	3<chiso range<13 	13.666	13.511	4.43801	0.0349256
60  <pt<400 	4<chiso range<9 	13.666	14.3144	4.24796	0.152638
60  <pt<400 	4<chiso range<10 	13.666	14.277	4.2421	0.144032
60  <pt<400 	4<chiso range<11 	13.666	14.175	4.26781	0.119265
60  <pt<400 	4<chiso range<12 	13.666	14.1383	4.27535	0.11047
60  <pt<400 	4<chiso range<13 	13.666	13.8992	4.33568	0.0537863
60  <pt<400 	5<chiso range<10 	13.666	14.013	4.31822	0.0803572
60  <pt<400 	5<chiso range<11 	13.666	13.9271	4.33968	0.0601657
60  <pt<400 	5<chiso range<12 	13.666	13.9234	4.33692	0.0593509
60  <pt<400 	5<chiso range<13 	13.666	13.6621	4.40509	0.000885339
60  <pt<400 	6<chiso range<11 	13.666	14.1805	4.25807	0.120829
60  <pt<400 	6<chiso range<12 	13.666	14.1339	4.26906	0.109603
60  <pt<400 	6<chiso range<13 	13.666	13.8396	4.34329	0.0399697
60  <pt<400 	7<chiso range<12 	13.666	13.8367	4.33876	0.039343
60  <pt<400 	7<chiso range<13 	13.666	13.5211	4.42184	0.0327692
60  <pt<400 	8<chiso range<13 	13.666	13.8704	4.32968	0.047209
#######################################################################################
