pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.1695	0.454017	0.514348	0.0643457	0.937614
20 <pt<25 	3<chiso range<9 	79.6656	36.1695	0.454017	0.499149	0.0624084	0.723179
20 <pt<25 	3<chiso range<10 	79.6656	36.1695	0.454017	0.49929	0.0625035	0.724335
20 <pt<25 	3<chiso range<11 	79.6656	36.1695	0.454017	0.469451	0.0587492	0.262718
20 <pt<25 	3<chiso range<12 	79.6656	36.1695	0.454017	0.45447	0.056845	0.00797715
20 <pt<25 	3<chiso range<13 	79.6656	36.1695	0.454017	0.434907	0.0543823	0.351393
20 <pt<25 	4<chiso range<9 	79.6656	36.1695	0.454017	0.500699	0.0628023	0.743324
20 <pt<25 	4<chiso range<10 	79.6656	36.1695	0.454017	0.500642	0.0628736	0.741575
20 <pt<25 	4<chiso range<11 	79.6656	36.1695	0.454017	0.464793	0.0582921	0.18487
20 <pt<25 	4<chiso range<12 	79.6656	36.1695	0.454017	0.44832	0.056208	0.101347
20 <pt<25 	4<chiso range<13 	79.6656	36.1695	0.454017	0.426103	0.0533943	0.522781
20 <pt<25 	5<chiso range<10 	79.6656	36.1695	0.454017	0.493809	0.0624249	0.637445
20 <pt<25 	5<chiso range<11 	79.6656	36.1695	0.454017	0.449287	0.0566355	0.0835084
20 <pt<25 	5<chiso range<12 	79.6656	36.1695	0.454017	0.430865	0.054249	0.426764
20 <pt<25 	5<chiso range<13 	79.6656	36.1695	0.454017	0.404845	0.0509182	0.965697
20 <pt<25 	6<chiso range<11 	79.6656	36.1695	0.454017	0.453762	0.0574894	0.00442758
20 <pt<25 	6<chiso range<12 	79.6656	36.1695	0.454017	0.430006	0.054345	0.441817
20 <pt<25 	6<chiso range<13 	79.6656	36.1695	0.454017	0.398102	0.0502243	1.1133
20 <pt<25 	7<chiso range<12 	79.6656	36.1695	0.454017	0.391807	0.0492967	1.26194
