pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.1695	43.4777	40.3639	39.1345	0.863938	0.402749
20 <pt<25 	3<chiso range<9 	79.6656	36.1695	43.4777	39.1712	40.2646	0.637496	0.300514
20 <pt<25 	3<chiso range<10 	79.6656	36.1695	43.4777	39.1823	40.3479	0.638814	0.292294
20 <pt<25 	3<chiso range<11 	79.6656	36.1695	43.4777	36.8406	42.6309	0.151393	0.0803347
20 <pt<25 	3<chiso range<12 	79.6656	36.1695	43.4777	35.665	43.7337	0.117627	0.024485
20 <pt<25 	3<chiso range<13 	79.6656	36.1695	43.4777	34.1297	45.2291	0.49714	0.169221
20 <pt<25 	4<chiso range<9 	79.6656	36.1695	43.4777	39.2928	40.3881	0.658988	0.287704
20 <pt<25 	4<chiso range<10 	79.6656	36.1695	43.4777	39.2883	40.4866	0.657226	0.278154
20 <pt<25 	4<chiso range<11 	79.6656	36.1695	43.4777	36.4751	43.1394	0.0694683	0.0320928
20 <pt<25 	4<chiso range<12 	79.6656	36.1695	43.4777	35.1823	44.3909	0.232735	0.0873892
20 <pt<25 	4<chiso range<13 	79.6656	36.1695	43.4777	33.4388	46.075	0.677724	0.251472
20 <pt<25 	5<chiso range<10 	79.6656	36.1695	43.4777	38.7521	41.5029	0.547853	0.18296
20 <pt<25 	5<chiso range<11 	79.6656	36.1695	43.4777	35.2582	44.7217	0.213126	0.118286
20 <pt<25 	5<chiso range<12 	79.6656	36.1695	43.4777	33.8125	46.0609	0.575538	0.248225
20 <pt<25 	5<chiso range<13 	79.6656	36.1695	43.4777	31.7706	48.0015	1.1445	0.440826
20 <pt<25 	6<chiso range<11 	79.6656	36.1695	43.4777	35.6093	44.7507	0.129016	0.120109
20 <pt<25 	6<chiso range<12 	79.6656	36.1695	43.4777	33.7451	46.4072	0.590771	0.280483
20 <pt<25 	6<chiso range<13 	79.6656	36.1695	43.4777	31.2414	48.7537	1.29958	0.51412
20 <pt<25 	7<chiso range<12 	79.6656	36.1695	43.4777	30.7474	49.0423	1.45707	0.545463
20 <pt<25 	7<chiso range<13 	79.6656	36.1695	43.4777	28.1126	51.5395	2.37192	0.804194
20 <pt<25 	8<chiso range<13 	79.6656	36.1695	43.4777	24.7185	54.5295	3.85485	1.13011
#######################################################################################
25 <pt<30 	3<chiso range<8 	47.1372	17.3751	29.762	18.1109	28.718	0.214954	0.130185
25 <pt<30 	3<chiso range<9 	47.1372	17.3751	29.762	17.5969	29.1628	0.0668239	0.075348
25 <pt<30 	3<chiso range<10 	47.1372	17.3751	29.762	18.3485	28.2897	0.282502	0.184063
25 <pt<30 	3<chiso range<11 	47.1372	17.3751	29.762	18.049	28.6459	0.198421	0.139823
25 <pt<30 	3<chiso range<12 	47.1372	17.3751	29.762	17.2216	29.3687	0.0475094	0.049924
25 <pt<30 	3<chiso range<13 	47.1372	17.3751	29.762	16.7833	29.7276	0.188389	0.00439952
25 <pt<30 	4<chiso range<9 	47.1372	17.3751	29.762	15.9985	30.9011	0.453585	0.145448
25 <pt<30 	4<chiso range<10 	47.1372	17.3751	29.762	17.1587	29.5617	0.0669304	0.0253501
25 <pt<30 	4<chiso range<11 	47.1372	17.3751	29.762	16.9247	29.8587	0.140906	0.0122505
25 <pt<30 	4<chiso range<12 	47.1372	17.3751	29.762	16.0639	30.5788	0.433974	0.104959
25 <pt<30 	4<chiso range<13 	47.1372	17.3751	29.762	15.6314	30.9112	0.594957	0.148853
25 <pt<30 	5<chiso range<10 	47.1372	17.3751	29.762	17.5688	29.062	0.0586991	0.0883768
25 <pt<30 	5<chiso range<11 	47.1372	17.3751	29.762	17.2286	29.488	0.0451359	0.0346531
25 <pt<30 	5<chiso range<12 	47.1372	17.3751	29.762	16.1593	30.4058	0.401111	0.0828232
25 <pt<30 	5<chiso range<13 	47.1372	17.3751	29.762	15.6409	30.8185	0.592992	0.137151
25 <pt<30 	6<chiso range<11 	47.1372	17.3751	29.762	17.1223	29.8347	0.0777122	0.00913987
25 <pt<30 	6<chiso range<12 	47.1372	17.3751	29.762	15.8872	30.8384	0.496404	0.138248
25 <pt<30 	6<chiso range<13 	47.1372	17.3751	29.762	15.3166	31.2632	0.715664	0.194914
25 <pt<30 	7<chiso range<12 	47.1372	17.3751	29.762	14.8933	31.6666	0.887774	0.248649
25 <pt<30 	7<chiso range<13 	47.1372	17.3751	29.762	14.3428	32.0802	1.13123	0.305725
25 <pt<30 	8<chiso range<13 	47.1372	17.3751	29.762	14.4999	31.6062	1.07224	0.244928
#######################################################################################
30 <pt<35 	3<chiso range<8 	28.3826	9.4477	19.0188	8.36871	19.9704	0.504696	0.161518
30 <pt<35 	3<chiso range<9 	28.3826	9.4477	19.0188	8.00018	20.3479	0.70736	0.227042
30 <pt<35 	3<chiso range<10 	28.3826	9.4477	19.0188	8.05964	20.3165	0.672197	0.221137
30 <pt<35 	3<chiso range<11 	28.3826	9.4477	19.0188	8.38132	20.05	0.495189	0.174203
30 <pt<35 	3<chiso range<12 	28.3826	9.4477	19.0188	8.21769	20.2451	0.581194	0.20748
30 <pt<35 	3<chiso range<13 	28.3826	9.4477	19.0188	8.09905	20.2828	0.649751	0.215179
30 <pt<35 	4<chiso range<9 	28.3826	9.4477	19.0188	7.70291	20.7195	0.880976	0.291076
30 <pt<35 	4<chiso range<10 	28.3826	9.4477	19.0188	7.80943	20.6434	0.8145	0.277108
30 <pt<35 	4<chiso range<11 	28.3826	9.4477	19.0188	8.22742	20.2931	0.573844	0.214965
30 <pt<35 	4<chiso range<12 	28.3826	9.4477	19.0188	8.03833	20.5173	0.676606	0.25326
30 <pt<35 	4<chiso range<13 	28.3826	9.4477	19.0188	7.91429	20.5275	0.752923	0.256976
30 <pt<35 	5<chiso range<10 	28.3826	9.4477	19.0188	8.14076	20.3732	0.621308	0.22893
30 <pt<35 	5<chiso range<11 	28.3826	9.4477	19.0188	8.62405	19.9742	0.367998	0.159349
30 <pt<35 	5<chiso range<12 	28.3826	9.4477	19.0188	8.35062	20.2845	0.504743	0.211839
30 <pt<35 	5<chiso range<13 	28.3826	9.4477	19.0188	8.1763	20.3066	0.603008	0.217853
30 <pt<35 	6<chiso range<11 	28.3826	9.4477	19.0188	8.3899	20.4453	0.478281	0.236283
30 <pt<35 	6<chiso range<12 	28.3826	9.4477	19.0188	8.08237	20.7767	0.639487	0.292603
