pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	74.2747	32.3936	0.436132	0.488893	0.0309503	1.70469
20 <pt<25 	3<chiso range<9 	74.2747	32.3936	0.436132	0.510489	0.0329987	2.25332
20 <pt<25 	3<chiso range<10 	74.2747	32.3936	0.436132	0.507041	0.0348075	2.03717
20 <pt<25 	3<chiso range<11 	74.2747	32.3936	0.436132	0.523851	0.0366038	2.39644
20 <pt<25 	3<chiso range<12 	74.2747	32.3936	0.436132	0.524865	0.0379022	2.34109
20 <pt<25 	3<chiso range<13 	74.2747	32.3936	0.436132	0.508806	0.0387449	1.8757
20 <pt<25 	4<chiso range<9 	74.2747	32.3936	0.436132	0.534463	0.0295463	3.32802
20 <pt<25 	4<chiso range<10 	74.2747	32.3936	0.436132	0.527592	0.0315488	2.89899
20 <pt<25 	4<chiso range<11 	74.2747	32.3936	0.436132	0.543299	0.0334831	3.20062
20 <pt<25 	4<chiso range<12 	74.2747	32.3936	0.436132	0.543239	0.0349079	3.06826
20 <pt<25 	4<chiso range<13 	74.2747	32.3936	0.436132	0.523045	0.0358381	2.42515
20 <pt<25 	5<chiso range<10 	74.2747	32.3936	0.436132	0.47863	0.0281044	1.51213
20 <pt<25 	5<chiso range<11 	74.2747	32.3936	0.436132	0.503096	0.030259	2.21302
20 <pt<25 	5<chiso range<12 	74.2747	32.3936	0.436132	0.508469	0.0318694	2.26978
20 <pt<25 	5<chiso range<13 	74.2747	32.3936	0.436132	0.488457	0.0328942	1.5907
20 <pt<25 	6<chiso range<11 	74.2747	32.3936	0.436132	0.550343	0.027309	4.18216
20 <pt<25 	6<chiso range<12 	74.2747	32.3936	0.436132	0.551484	0.029086	3.96588
20 <pt<25 	6<chiso range<13 	74.2747	32.3936	0.436132	0.522438	0.030213	2.85657
20 <pt<25 	7<chiso range<12 	74.2747	32.3936	0.436132	0.596113	0.0256782	6.23021
20 <pt<25 	7<chiso range<13 	74.2747	32.3936	0.436132	0.552363	0.0269293	4.31614
20 <pt<25 	8<chiso range<13 	74.2747	32.3936	0.436132	0.54317	0.0234113	4.57205
#######################################################################################
25 <pt<30 	3<chiso range<8 	42.8115	14.5676	0.340273	0.496821	0.0473248	3.30795
25 <pt<30 	3<chiso range<9 	42.8115	14.5676	0.340273	0.492372	0.050765	2.99614
25 <pt<30 	3<chiso range<10 	42.8115	14.5676	0.340273	0.514913	0.0533104	3.27591
25 <pt<30 	3<chiso range<11 	42.8115	14.5676	0.340273	0.504177	0.0553209	2.96279
25 <pt<30 	3<chiso range<12 	42.8115	14.5676	0.340273	0.486831	0.0573488	2.55555
25 <pt<30 	3<chiso range<13 	42.8115	14.5676	0.340273	0.502573	0.0594491	2.73007
25 <pt<30 	4<chiso range<9 	42.8115	14.5676	0.340273	0.48175	0.0457137	3.09485
25 <pt<30 	4<chiso range<10 	42.8115	14.5676	0.340273	0.511703	0.0485813	3.52872
25 <pt<30 	4<chiso range<11 	42.8115	14.5676	0.340273	0.498771	0.0507648	3.1222
25 <pt<30 	4<chiso range<12 	42.8115	14.5676	0.340273	0.478567	0.05295	2.61178
25 <pt<30 	4<chiso range<13 	42.8115	14.5676	0.340273	0.497084	0.055203	2.84062
25 <pt<30 	5<chiso range<10 	42.8115	14.5676	0.340273	0.446188	0.0420127	2.52102
25 <pt<30 	5<chiso range<11 	42.8115	14.5676	0.340273	0.437645	0.0444221	2.19197
25 <pt<30 	5<chiso range<12 	42.8115	14.5676	0.340273	0.450394	0.0478764	2.30011
25 <pt<30 	5<chiso range<13 	42.8115	14.5676	0.340273	0.473105	0.0503203	2.63973
25 <pt<30 	6<chiso range<11 	42.8115	14.5676	0.340273	0.460083	0.0399204	3.00122
25 <pt<30 	6<chiso range<12 	42.8115	14.5676	0.340273	0.438602	0.0426356	2.30626
25 <pt<30 	6<chiso range<13 	42.8115	14.5676	0.340273	0.467032	0.0453894	2.7927
25 <pt<30 	7<chiso range<12 	42.8115	14.5676	0.340273	0.465885	0.0381287	3.29442
25 <pt<30 	7<chiso range<13 	42.8115	14.5676	0.340273	0.497638	0.0411772	3.82165
25 <pt<30 	8<chiso range<13 	42.8115	14.5676	0.340273	0.50806	0.0359838	4.66285
#######################################################################################
30 <pt<35 	3<chiso range<8 	25.5028	7.60324	0.298134	0.248359	0.0659671	0.754536
