pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	32.3936	25.8918	4.60036	1.41332
20 <pt<25 	3<chiso range<9 	32.3936	27.1046	4.63365	1.14143
20 <pt<25 	3<chiso range<10 	32.3936	26.9585	4.4767	1.21409
20 <pt<25 	3<chiso range<11 	32.3936	27.92	4.54387	0.984535
20 <pt<25 	3<chiso range<12 	32.3936	27.9342	4.46199	0.99942
20 <pt<25 	3<chiso range<13 	32.3936	27.0728	4.25432	1.25068
20 <pt<25 	4<chiso range<9 	32.3936	28.1498	5.15206	0.823709
20 <pt<25 	4<chiso range<10 	32.3936	27.8812	4.90365	0.920212
20 <pt<25 	4<chiso range<11 	32.3936	28.8031	4.91873	0.729965
20 <pt<25 	4<chiso range<12 	32.3936	28.7677	4.79752	0.755786
20 <pt<25 	4<chiso range<13 	32.3936	27.7103	4.53072	1.03368
20 <pt<25 	5<chiso range<10 	32.3936	25.3645	4.76655	1.47467
20 <pt<25 	5<chiso range<11 	32.3936	26.7314	4.83247	1.1717
20 <pt<25 	5<chiso range<12 	32.3936	26.9831	4.73337	1.14305
20 <pt<25 	5<chiso range<13 	32.3936	25.9286	4.43507	1.4577
20 <pt<25 	6<chiso range<11 	32.3936	29.1651	5.65937	0.57047
20 <pt<25 	6<chiso range<12 	32.3936	29.1855	5.44266	0.589436
20 <pt<25 	6<chiso range<13 	32.3936	27.678	4.99985	0.943148
20 <pt<25 	7<chiso range<12 	32.3936	31.8114	6.4632	0.0900792
20 <pt<25 	7<chiso range<13 	32.3936	29.4091	5.7076	0.522899
20 <pt<25 	8<chiso range<13 	32.3936	28.7263	5.99803	0.611417
#######################################################################################
25 <pt<30 	3<chiso range<8 	14.5676	13.626	3.34174	0.281769
25 <pt<30 	3<chiso range<9 	14.5676	13.5857	3.19922	0.306919
25 <pt<30 	3<chiso range<10 	14.5676	14.235	3.26712	0.101802
