pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	3<chiso range<9 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	3<chiso range<10 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	3<chiso range<11 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	3<chiso range<12 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	3<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	4<chiso range<9 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	4<chiso range<10 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	4<chiso range<11 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	4<chiso range<12 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	4<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	5<chiso range<10 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	5<chiso range<11 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	5<chiso range<12 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	5<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	6<chiso range<11 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	6<chiso range<12 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	6<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	7<chiso range<12 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	7<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
20  <pt<25 	8<chiso range<13 	21.1711	2.01047e-296	6.95293e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	3<chiso range<9 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	3<chiso range<10 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	3<chiso range<11 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	3<chiso range<12 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	3<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	4<chiso range<9 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	4<chiso range<10 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	4<chiso range<11 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	4<chiso range<12 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	4<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	5<chiso range<10 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	5<chiso range<11 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	5<chiso range<12 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	5<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	6<chiso range<11 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	6<chiso range<12 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	6<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	7<chiso range<12 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	7<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
25  <pt<30 	8<chiso range<13 	13.6114	2.01047e-296	6.95293e-310	inf
#######################################################################################
30  <pt<35 	3<chiso range<8 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	3<chiso range<9 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	3<chiso range<10 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	3<chiso range<11 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	3<chiso range<12 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	3<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	4<chiso range<9 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	4<chiso range<10 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	4<chiso range<11 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	4<chiso range<12 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	4<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	5<chiso range<10 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	5<chiso range<11 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	5<chiso range<12 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	5<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	6<chiso range<11 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	6<chiso range<12 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	6<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	7<chiso range<12 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	7<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
30  <pt<35 	8<chiso range<13 	9.32453	2.01047e-296	6.95293e-310	inf
#######################################################################################
35  <pt<65 	3<chiso range<8 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	3<chiso range<9 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	3<chiso range<10 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	3<chiso range<11 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	3<chiso range<12 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	3<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	4<chiso range<9 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	4<chiso range<10 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	4<chiso range<11 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	4<chiso range<12 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	4<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	5<chiso range<10 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	5<chiso range<11 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	5<chiso range<12 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	5<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	6<chiso range<11 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	6<chiso range<12 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	6<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	7<chiso range<12 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	7<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
35  <pt<65 	8<chiso range<13 	23.0642	2.01047e-296	6.95293e-310	inf
#######################################################################################
65  <pt<400 	3<chiso range<8 	11.6156	2.01047e-296	6.95293e-310	inf
65  <pt<400 	3<chiso range<9 	11.6156	2.01047e-296	6.95293e-310	inf
65  <pt<400 	3<chiso range<10 	11.6156	2.01047e-296	6.95293e-310	inf
