pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	74.2747	32.3936	21.1711	25.8918	2.01047e-296	1.41332	inf
20 <pt<25 	3<chiso range<9 	74.2747	32.3936	21.1711	27.1046	2.01047e-296	1.14143	inf
20 <pt<25 	3<chiso range<10 	74.2747	32.3936	21.1711	26.9585	2.01047e-296	1.21409	inf
20 <pt<25 	3<chiso range<11 	74.2747	32.3936	21.1711	27.92	2.01047e-296	0.984535	inf
20 <pt<25 	3<chiso range<12 	74.2747	32.3936	21.1711	27.9342	2.01047e-296	0.99942	inf
20 <pt<25 	3<chiso range<13 	74.2747	32.3936	21.1711	27.0728	2.01047e-296	1.25068	inf
20 <pt<25 	4<chiso range<9 	74.2747	32.3936	21.1711	28.1498	2.01047e-296	0.823709	inf
20 <pt<25 	4<chiso range<10 	74.2747	32.3936	21.1711	27.8812	2.01047e-296	0.920212	inf
20 <pt<25 	4<chiso range<11 	74.2747	32.3936	21.1711	28.8031	2.01047e-296	0.729965	inf
20 <pt<25 	4<chiso range<12 	74.2747	32.3936	21.1711	28.7677	2.01047e-296	0.755786	inf
20 <pt<25 	4<chiso range<13 	74.2747	32.3936	21.1711	27.7103	2.01047e-296	1.03368	inf
20 <pt<25 	5<chiso range<10 	74.2747	32.3936	21.1711	25.3645	2.01047e-296	1.47467	inf
20 <pt<25 	5<chiso range<11 	74.2747	32.3936	21.1711	26.7314	2.01047e-296	1.1717	inf
20 <pt<25 	5<chiso range<12 	74.2747	32.3936	21.1711	26.9831	2.01047e-296	1.14305	inf
20 <pt<25 	5<chiso range<13 	74.2747	32.3936	21.1711	25.9286	2.01047e-296	1.4577	inf
20 <pt<25 	6<chiso range<11 	74.2747	32.3936	21.1711	29.1651	2.01047e-296	0.57047	inf
20 <pt<25 	6<chiso range<12 	74.2747	32.3936	21.1711	29.1855	2.01047e-296	0.589436	inf
