pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	94.3616	94.2829	7.06079	0.0111461
20 <pt<25 	3<chiso range<9 	94.3616	97.4158	7.29761	0.418521
20 <pt<25 	3<chiso range<10 	94.3616	99.8403	7.47881	0.732563
20 <pt<25 	3<chiso range<11 	94.3616	100.745	7.5452	0.846021
20 <pt<25 	3<chiso range<12 	94.3616	99.3199	7.43586	0.666809
20 <pt<25 	3<chiso range<13 	94.3616	98.2414	7.35753	0.527324
20 <pt<25 	4<chiso range<9 	94.3616	90.8536	6.8018	0.515746
20 <pt<25 	4<chiso range<10 	94.3616	94.5957	7.08208	0.0330553
20 <pt<25 	4<chiso range<11 	94.3616	96.1934	7.20052	0.254398
20 <pt<25 	4<chiso range<12 	94.3616	95.0404	7.11314	0.095429
20 <pt<25 	4<chiso range<13 	94.3616	94.2383	7.05622	0.0174739
20 <pt<25 	5<chiso range<10 	94.3616	95.0538	7.11705	0.0972594
20 <pt<25 	5<chiso range<11 	94.3616	96.9116	7.25463	0.3515
20 <pt<25 	5<chiso range<12 	94.3616	95.4758	7.146	0.155919
20 <pt<25 	5<chiso range<13 	94.3616	94.4998	7.0765	0.0195294
20 <pt<25 	6<chiso range<11 	94.3616	94.9901	7.09629	0.0885674
20 <pt<25 	6<chiso range<12 	94.3616	93.61	6.9981	0.107401
20 <pt<25 	6<chiso range<13 	94.3616	92.7353	6.93943	0.234356
20 <pt<25 	7<chiso range<12 	94.3616	100.762	7.54755	0.84801
20 <pt<25 	7<chiso range<13 	94.3616	98.447	7.37654	0.553837
20 <pt<25 	8<chiso range<13 	94.3616	103.61	7.75329	1.19284
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.4134	42.8025	5.09557	0.665107
25 <pt<30 	3<chiso range<9 	39.4134	45.3406	5.39911	1.09781
25 <pt<30 	3<chiso range<10 	39.4134	44.4355	5.29098	0.949181
25 <pt<30 	3<chiso range<11 	39.4134	46.0367	5.47969	1.2087
25 <pt<30 	3<chiso range<12 	39.4134	47.7716	5.69309	1.46813
25 <pt<30 	3<chiso range<13 	39.4134	46.6088	5.5574	1.29474
25 <pt<30 	4<chiso range<9 	39.4134	43.0684	5.12352	0.713377
25 <pt<30 	4<chiso range<10 	39.4134	42.3893	5.04371	0.590022
25 <pt<30 	4<chiso range<11 	39.4134	44.3946	5.2804	0.943338
25 <pt<30 	4<chiso range<12 	39.4134	46.4406	5.52865	1.27105
25 <pt<30 	4<chiso range<13 	39.4134	45.2904	5.396	1.08914
25 <pt<30 	5<chiso range<10 	39.4134	43.2239	5.1434	0.740852
25 <pt<30 	5<chiso range<11 	39.4134	45.5717	5.42027	1.13616
25 <pt<30 	5<chiso range<12 	39.4134	47.8952	5.7022	1.48746
25 <pt<30 	5<chiso range<13 	39.4134	46.3789	5.52713	1.26024
25 <pt<30 	6<chiso range<11 	39.4134	46.5715	5.54302	1.29137
25 <pt<30 	6<chiso range<12 	39.4134	49.2728	5.87097	1.67935
25 <pt<30 	6<chiso range<13 	39.4134	47.2812	5.64023	1.39494
25 <pt<30 	7<chiso range<12 	39.4134	52.6508	6.28555	2.10601
25 <pt<30 	7<chiso range<13 	39.4134	49.6663	5.93725	1.72688
25 <pt<30 	8<chiso range<13 	39.4134	51.9141	6.20281	2.01533
#######################################################################################
30 <pt<40 	3<chiso range<8 	34.0129	32.1845	4.96226	0.368461
30 <pt<40 	3<chiso range<9 	34.0129	33.3136	5.13742	0.136119
30 <pt<40 	3<chiso range<10 	34.0129	32.3056	4.97477	0.343192
30 <pt<40 	3<chiso range<11 	34.0129	33.8351	5.21661	0.0340834
30 <pt<40 	3<chiso range<12 	34.0129	33.9224	5.22564	0.0173185
30 <pt<40 	3<chiso range<13 	34.0129	33.538	5.17308	0.0918022
30 <pt<40 	4<chiso range<9 	34.0129	32.6914	5.03799	0.262307
30 <pt<40 	4<chiso range<10 	34.0129	31.6195	4.86537	0.491926
30 <pt<40 	4<chiso range<11 	34.0129	33.4239	5.15037	0.114361
30 <pt<40 	4<chiso range<12 	34.0129	33.5669	5.16786	0.0863026
30 <pt<40 	4<chiso range<13 	34.0129	33.1705	5.11431	0.164714
30 <pt<40 	5<chiso range<10 	34.0129	29.635	4.56454	0.959111
30 <pt<40 	5<chiso range<11 	34.0129	31.956	4.93031	0.417195
30 <pt<40 	5<chiso range<12 	34.0129	32.3024	4.97785	0.343622
30 <pt<40 	5<chiso range<13 	34.0129	31.9914	4.93777	0.409395
30 <pt<40 	6<chiso range<11 	34.0129	30.978	4.78095	0.63479
30 <pt<40 	6<chiso range<12 	34.0129	31.53	4.85895	0.510995
30 <pt<40 	6<chiso range<13 	34.0129	31.2603	4.82633	0.57033
30 <pt<40 	7<chiso range<12 	34.0129	34.6106	5.34248	0.111877
30 <pt<40 	7<chiso range<13 	34.0129	33.8125	5.23109	0.0383094
30 <pt<40 	8<chiso range<13 	34.0129	35.3219	5.45213	0.24009
#######################################################################################
40 <pt<50 	3<chiso range<8 	13.9291	15.42	3.43514	0.434014
40 <pt<50 	3<chiso range<9 	13.9291	14.982	3.33817	0.315412
40 <pt<50 	3<chiso range<10 	13.9291	15.2902	3.41243	0.398865
40 <pt<50 	3<chiso range<11 	13.9291	14.6037	3.25621	0.207173
40 <pt<50 	3<chiso range<12 	13.9291	15.0627	3.36141	0.337239
40 <pt<50 	3<chiso range<13 	13.9291	15.3335	3.41617	0.411104
40 <pt<50 	4<chiso range<9 	13.9291	15.2444	3.40733	0.386021
40 <pt<50 	4<chiso range<10 	13.9291	15.5529	3.48119	0.46645
40 <pt<50 	4<chiso range<11 	13.9291	14.7389	3.29406	0.245836
40 <pt<50 	4<chiso range<12 	13.9291	15.2398	3.40901	0.384481
40 <pt<50 	4<chiso range<13 	13.9291	15.5426	3.47018	0.464961
40 <pt<50 	5<chiso range<10 	13.9291	15.3566	3.43419	0.415673
40 <pt<50 	5<chiso range<11 	13.9291	14.4374	3.2236	0.157681
40 <pt<50 	5<chiso range<12 	13.9291	15.0508	3.36411	0.333431
40 <pt<50 	5<chiso range<13 	13.9291	15.4	3.43481	0.428233
40 <pt<50 	6<chiso range<11 	13.9291	15.2125	3.39373	0.378168
40 <pt<50 	6<chiso range<12 	13.9291	15.8322	3.53705	0.538047
40 <pt<50 	6<chiso range<13 	13.9291	16.2118	3.6128	0.631837
40 <pt<50 	7<chiso range<12 	13.9291	14.4358	3.22931	0.156907
40 <pt<50 	7<chiso range<13 	13.9291	14.9643	3.33642	0.310273
40 <pt<50 	8<chiso range<13 	13.9291	15.2155	3.38951	0.379524
#######################################################################################
50 <pt<65 	3<chiso range<8 	8.28573	7.28985	2.36403	0.421264
50 <pt<65 	3<chiso range<9 	8.28573	6.32913	2.05842	0.950535
50 <pt<65 	3<chiso range<10 	8.28573	6.40808	2.08168	0.901988
50 <pt<65 	3<chiso range<11 	8.28573	5.98177	1.95163	1.18053
50 <pt<65 	3<chiso range<12 	8.28573	5.67748	1.85755	1.40413
50 <pt<65 	3<chiso range<13 	8.28573	5.49973	1.80392	1.54441
50 <pt<65 	4<chiso range<9 	8.28573	5.8763	1.9213	1.25406
50 <pt<65 	4<chiso range<10 	8.28573	6.02402	1.96535	1.15079
50 <pt<65 	4<chiso range<11 	8.28573	5.60264	1.83647	1.461
50 <pt<65 	4<chiso range<12 	8.28573	5.31082	1.74563	1.7042
50 <pt<65 	4<chiso range<13 	8.28573	5.15042	1.69712	1.84743
50 <pt<65 	5<chiso range<10 	8.28573	6.43178	2.08609	0.88872
50 <pt<65 	5<chiso range<11 	8.28573	5.83221	1.90363	1.28886
50 <pt<65 	5<chiso range<12 	8.28573	5.44915	1.78525	1.5889
50 <pt<65 	5<chiso range<13 	8.28573	5.24563	1.72394	1.76346
50 <pt<65 	6<chiso range<11 	8.28573	5.37122	1.75991	1.65606
50 <pt<65 	6<chiso range<12 	8.28573	4.98754	1.64102	2.00984
50 <pt<65 	6<chiso range<13 	8.28573	4.80791	1.58743	2.19085
50 <pt<65 	7<chiso range<12 	8.28573	4.81585	1.58552	2.18848
50 <pt<65 	7<chiso range<13 	8.28573	4.64156	1.53403	2.37555
50 <pt<65 	8<chiso range<13 	8.28573	3.67447	1.22258	3.77174
#######################################################################################
65 <pt<100 	3<chiso range<8 	5.14353	4.85496	1.74215	0.16564
65 <pt<100 	3<chiso range<9 	5.14353	5.04208	1.81546	0.0558812
65 <pt<100 	3<chiso range<10 	5.14353	4.76696	1.73497	0.217047
65 <pt<100 	3<chiso range<11 	5.14353	4.58284	1.67107	0.335528
65 <pt<100 	3<chiso range<12 	5.14353	4.52403	1.64251	0.377167
65 <pt<100 	3<chiso range<13 	5.14353	4.39445	1.59233	0.47043
65 <pt<100 	4<chiso range<9 	5.14353	5.02501	1.81573	0.065274
65 <pt<100 	4<chiso range<10 	5.14353	4.70431	1.72261	0.254974
65 <pt<100 	4<chiso range<11 	5.14353	4.50175	1.65107	0.388706
65 <pt<100 	4<chiso range<12 	5.14353	4.44717	1.62112	0.429555
65 <pt<100 	4<chiso range<13 	5.14353	4.30736	1.566	0.533953
65 <pt<100 	5<chiso range<10 	5.14353	4.48375	1.66398	0.396507
65 <pt<100 	5<chiso range<11 	5.14353	4.27718	1.58783	0.545619
65 <pt<100 	5<chiso range<12 	5.14353	4.24584	1.5604	0.575295
65 <pt<100 	5<chiso range<13 	5.14353	4.12389	1.50784	0.676226
65 <pt<100 	6<chiso range<11 	5.14353	4.14022	1.54282	0.650309
65 <pt<100 	6<chiso range<12 	5.14353	4.13289	1.52032	0.664755
65 <pt<100 	6<chiso range<13 	5.14353	4.00805	1.46607	0.774506
65 <pt<100 	7<chiso range<12 	5.14353	3.89498	1.43345	0.87101
65 <pt<100 	7<chiso range<13 	5.14353	3.79181	1.38656	0.974873
65 <pt<100 	8<chiso range<13 	5.14353	3.89122	1.42811	0.8769
#######################################################################################
100 <pt<400 	3<chiso range<8 	1.53868	0.848136	0.531832	1.29843
100 <pt<400 	3<chiso range<9 	1.53868	0.83312	0.520837	1.35467
100 <pt<400 	3<chiso range<10 	1.53868	1.12785	0.698628	0.588053
100 <pt<400 	3<chiso range<11 	1.53868	1.13593	0.708525	0.568434
100 <pt<400 	3<chiso range<12 	1.53868	1.07253	0.668034	0.697794
100 <pt<400 	3<chiso range<13 	1.53868	1.14197	0.711779	0.55735
100 <pt<400 	4<chiso range<9 	1.53868	0.793385	0.494471	1.50726
100 <pt<400 	4<chiso range<10 	1.53868	1.12401	0.693873	0.597617
100 <pt<400 	4<chiso range<11 	1.53868	1.1342	0.705613	0.573232
100 <pt<400 	4<chiso range<12 	1.53868	1.06508	0.661742	0.715687
100 <pt<400 	4<chiso range<13 	1.53868	1.14108	0.709757	0.560192
100 <pt<400 	5<chiso range<10 	1.53868	1.00949	0.622079	0.85068
100 <pt<400 	5<chiso range<11 	1.53868	1.04196	0.647986	0.76656
100 <pt<400 	5<chiso range<12 	1.53868	0.973788	0.604713	0.934149
100 <pt<400 	5<chiso range<13 	1.53868	1.07169	0.666471	0.700691
100 <pt<400 	6<chiso range<11 	1.53868	1.21053	0.753973	0.435228
100 <pt<400 	6<chiso range<12 	1.53868	1.10409	0.686007	0.633507
100 <pt<400 	6<chiso range<13 	1.53868	1.20212	0.747525	0.450232
100 <pt<400 	7<chiso range<12 	1.53868	1.16862	0.726619	0.50929
100 <pt<400 	7<chiso range<13 	1.53868	1.26539	0.789131	0.346318
100 <pt<400 	8<chiso range<13 	1.53868	1.55276	0.960922	0.0146526
#######################################################################################
