pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.3616	0.268537	0.298849	0.0255321	1.1872
20 <pt<25 	3<chiso range<9 	351.391	94.3616	0.268537	0.309059	0.02643	1.53317
20 <pt<25 	3<chiso range<10 	351.391	94.3616	0.268537	0.317902	0.027143	1.81869
20 <pt<25 	3<chiso range<11 	351.391	94.3616	0.268537	0.321245	0.0274288	1.92162
20 <pt<25 	3<chiso range<12 	351.391	94.3616	0.268537	0.316962	0.0270035	1.79327
20 <pt<25 	3<chiso range<13 	351.391	94.3616	0.268537	0.313086	0.026687	1.6693
20 <pt<25 	4<chiso range<9 	351.391	94.3616	0.268537	0.287198	0.0245366	0.760524
20 <pt<25 	4<chiso range<10 	351.391	94.3616	0.268537	0.300463	0.0256242	1.24592
20 <pt<25 	4<chiso range<11 	351.391	94.3616	0.268537	0.305932	0.0260873	1.43344
20 <pt<25 	4<chiso range<12 	351.391	94.3616	0.268537	0.302792	0.0257645	1.32953
20 <pt<25 	4<chiso range<13 	351.391	94.3616	0.268537	0.299811	0.0255292	1.22502
20 <pt<25 	5<chiso range<10 	351.391	94.3616	0.268537	0.301886	0.0257481	1.29519
20 <pt<25 	5<chiso range<11 	351.391	94.3616	0.268537	0.308261	0.0262904	1.51096
20 <pt<25 	5<chiso range<12 	351.391	94.3616	0.268537	0.304315	0.0258889	1.38197
20 <pt<25 	5<chiso range<13 	351.391	94.3616	0.268537	0.300694	0.0256029	1.25598
20 <pt<25 	6<chiso range<11 	351.391	94.3616	0.268537	0.303158	0.0257245	1.34582
20 <pt<25 	6<chiso range<12 	351.391	94.3616	0.268537	0.299257	0.0253473	1.21195
20 <pt<25 	6<chiso range<13 	351.391	94.3616	0.268537	0.295749	0.0250964	1.08429
20 <pt<25 	7<chiso range<12 	351.391	94.3616	0.268537	0.322701	0.0274335	1.97436
20 <pt<25 	7<chiso range<13 	351.391	94.3616	0.268537	0.314097	0.0267317	1.70433
20 <pt<25 	8<chiso range<13 	351.391	94.3616	0.268537	0.332917	0.0282833	2.27624
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.4134	0.214337	0.258135	0.0335166	1.30675
25 <pt<30 	3<chiso range<9 	183.885	39.4134	0.214337	0.273673	0.035612	1.66617
25 <pt<30 	3<chiso range<10 	183.885	39.4134	0.214337	0.268107	0.0348596	1.54247
25 <pt<30 	3<chiso range<11 	183.885	39.4134	0.214337	0.2784	0.0361934	1.77001
25 <pt<30 	3<chiso range<12 	183.885	39.4134	0.214337	0.288118	0.0376265	1.96087
25 <pt<30 	3<chiso range<13 	183.885	39.4134	0.214337	0.280433	0.036648	1.80353
25 <pt<30 	4<chiso range<9 	183.885	39.4134	0.214337	0.260394	0.033742	1.36497
25 <pt<30 	4<chiso range<10 	183.885	39.4134	0.214337	0.256092	0.0331819	1.25836
25 <pt<30 	4<chiso range<11 	183.885	39.4134	0.214337	0.268903	0.034839	1.56623
25 <pt<30 	4<chiso range<12 	183.885	39.4134	0.214337	0.28053	0.0365181	1.8126
25 <pt<30 	4<chiso range<13 	183.885	39.4134	0.214337	0.272813	0.0355564	1.64459
25 <pt<30 	5<chiso range<10 	183.885	39.4134	0.214337	0.261175	0.0338696	1.38289
25 <pt<30 	5<chiso range<11 	183.885	39.4134	0.214337	0.276241	0.0358175	1.72831
25 <pt<30 	5<chiso range<12 	183.885	39.4134	0.214337	0.28918	0.0377028	1.98507
25 <pt<30 	5<chiso range<13 	183.885	39.4134	0.214337	0.279234	0.0364565	1.78012
25 <pt<30 	6<chiso range<11 	183.885	39.4134	0.214337	0.281835	0.0366402	1.84218
25 <pt<30 	6<chiso range<12 	183.885	39.4134	0.214337	0.296784	0.038842	2.12262
25 <pt<30 	6<chiso range<13 	183.885	39.4134	0.214337	0.28381	0.0371892	1.86809
25 <pt<30 	7<chiso range<12 	183.885	39.4134	0.214337	0.315125	0.0416343	2.42079
25 <pt<30 	7<chiso range<13 	183.885	39.4134	0.214337	0.296088	0.0391077	2.0904
25 <pt<30 	8<chiso range<13 	183.885	39.4134	0.214337	0.310789	0.0410329	2.3506
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.0129	0.174914	0.176543	0.0294189	0.0553729
30 <pt<40 	3<chiso range<9 	194.455	34.0129	0.174914	0.182762	0.0304983	0.257326
