pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	94.3616	98.3739	8.25871	0.485826
20 <pt<25 	3<chiso range<9 	94.3616	101.735	8.54944	0.862442
20 <pt<25 	3<chiso range<10 	94.3616	104.646	8.77958	1.1714
20 <pt<25 	3<chiso range<11 	94.3616	105.746	8.87203	1.28318
20 <pt<25 	3<chiso range<12 	94.3616	104.336	8.73378	1.14205
20 <pt<25 	3<chiso range<13 	94.3616	103.06	8.63159	1.00774
20 <pt<25 	4<chiso range<9 	94.3616	94.5387	7.9367	0.0223141
20 <pt<25 	4<chiso range<10 	94.3616	98.9051	8.28798	0.548204
20 <pt<25 	4<chiso range<11 	94.3616	100.706	8.43772	0.751909
20 <pt<25 	4<chiso range<12 	94.3616	99.6719	8.33269	0.637285
20 <pt<25 	4<chiso range<13 	94.3616	98.6907	8.25681	0.524307
20 <pt<25 	5<chiso range<10 	94.3616	99.3735	8.3281	0.601806
20 <pt<25 	5<chiso range<11 	94.3616	101.472	8.50349	0.836174
20 <pt<25 	5<chiso range<12 	94.3616	100.173	8.37286	0.694076
20 <pt<25 	5<chiso range<13 	94.3616	98.9813	8.28062	0.557893
20 <pt<25 	6<chiso range<11 	94.3616	99.7922	8.31892	0.652801
20 <pt<25 	6<chiso range<12 	94.3616	98.5081	8.19642	0.505892
20 <pt<25 	6<chiso range<13 	94.3616	97.3534	8.1158	0.368639
20 <pt<25 	7<chiso range<12 	94.3616	106.225	8.87217	1.33715
20 <pt<25 	7<chiso range<13 	94.3616	103.393	8.64557	1.04463
20 <pt<25 	8<chiso range<13 	94.3616	109.588	9.14681	1.66467
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.4134	45.2239	5.78723	1.00402
25 <pt<30 	3<chiso range<9 	39.4134	47.946	6.14943	1.38754
25 <pt<30 	3<chiso range<10 	39.4134	46.971	6.01937	1.25555
25 <pt<30 	3<chiso range<11 	39.4134	48.7743	6.24965	1.49783
25 <pt<30 	3<chiso range<12 	39.4134	50.4769	6.49796	1.70261
25 <pt<30 	3<chiso range<13 	39.4134	49.1305	6.32911	1.5353
25 <pt<30 	4<chiso range<9 	39.4134	45.6197	5.82579	1.06531
25 <pt<30 	4<chiso range<10 	39.4134	44.866	5.72907	0.951743
25 <pt<30 	4<chiso range<11 	39.4134	47.1104	6.01517	1.2796
25 <pt<30 	4<chiso range<12 	39.4134	49.1474	6.30596	1.54362
25 <pt<30 	4<chiso range<13 	39.4134	47.7955	6.14012	1.36514
25 <pt<30 	5<chiso range<10 	39.4134	45.7564	5.84796	1.08465
25 <pt<30 	5<chiso range<11 	39.4134	48.396	6.18426	1.45249
25 <pt<30 	5<chiso range<12 	39.4134	50.6628	6.51083	1.7278
