pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	122.253	19.4181	0.158835	0.000419036	0.000690468	229.433
20 <pt<25 	3<chiso range<9 	122.253	19.4181	0.158835	0.000419036	0.000690468	229.433
20 <pt<25 	3<chiso range<10 	122.253	19.4181	0.158835	0.000556421	0.000916843	172.635
20 <pt<25 	3<chiso range<11 	122.253	19.4181	0.158835	0.000556299	0.000916642	172.673
20 <pt<25 	3<chiso range<12 	122.253	19.4181	0.158835	0.000624742	0.00102942	153.689
20 <pt<25 	3<chiso range<13 	122.253	19.4181	0.158835	0.000334953	0.000551919	287.181
20 <pt<25 	4<chiso range<9 	122.253	19.4181	0.158835	0.000279434	0.000460439	344.358
20 <pt<25 	4<chiso range<10 	122.253	19.4181	0.158835	0.000416631	0.000686505	230.761
20 <pt<25 	4<chiso range<11 	122.253	19.4181	0.158835	0.000416494	0.00068628	230.837
20 <pt<25 	4<chiso range<12 	122.253	19.4181	0.158835	0.000519256	0.000855605	185.034
20 <pt<25 	4<chiso range<13 	122.253	19.4181	0.158835	0.000209345	0.000344949	459.854
20 <pt<25 	5<chiso range<10 	122.253	19.4181	0.158835	0.000415405	0.000684484	231.444
20 <pt<25 	5<chiso range<11 	122.253	19.4181	0.158835	0.000414862	0.00068359	231.748
20 <pt<25 	5<chiso range<12 	122.253	19.4181	0.158835	0.000621076	0.00102338	154.6
20 <pt<25 	5<chiso range<13 	122.253	19.4181	0.158835	0.000208247	0.00034314	462.281
20 <pt<25 	6<chiso range<11 	122.253	19.4181	0.158835	0.0111823	0.0184256	8.01347
20 <pt<25 	6<chiso range<12 	122.253	19.4181	0.158835	0.0111751	0.0184138	8.019
20 <pt<25 	6<chiso range<13 	122.253	19.4181	0.158835	0.0111041	0.0182968	8.07416
20 <pt<25 	7<chiso range<12 	122.253	19.4181	0.158835	0.00817443	0.0134694	11.1854
20 <pt<25 	7<chiso range<13 	122.253	19.4181	0.158835	0.00415269	0.0068426	22.6058
20 <pt<25 	8<chiso range<13 	122.253	19.4181	0.158835	0.00229825	0.00378695	41.3359
#######################################################################################
25 <pt<30 	3<chiso range<8 	120.873	29.0501	0.240336	0.5062	0.207351	1.28219
