pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	19.4181	0.0419781	0.0678546	285.554
20 <pt<25 	3<chiso range<9 	19.4181	0.0419781	0.0678546	285.554
20 <pt<25 	3<chiso range<10 	19.4181	0.055741	0.0901013	214.895
20 <pt<25 	3<chiso range<11 	19.4181	0.0557288	0.0900816	214.943
20 <pt<25 	3<chiso range<12 	19.4181	0.0625853	0.101165	191.326
20 <pt<25 	3<chiso range<13 	19.4181	0.0335548	0.054239	357.391
20 <pt<25 	4<chiso range<9 	19.4181	0.0279931	0.0452489	428.521
20 <pt<25 	4<chiso range<10 	19.4181	0.0417372	0.0674651	287.206
20 <pt<25 	4<chiso range<11 	19.4181	0.0417235	0.067443	287.3
20 <pt<25 	4<chiso range<12 	19.4181	0.0520179	0.0840832	230.32
20 <pt<25 	4<chiso range<13 	19.4181	0.0209718	0.0338994	572.197
20 <pt<25 	5<chiso range<10 	19.4181	0.0416143	0.0672666	288.055
20 <pt<25 	5<chiso range<11 	19.4181	0.04156	0.0671787	288.433
20 <pt<25 	5<chiso range<12 	19.4181	0.062218	0.100571	192.46
20 <pt<25 	5<chiso range<13 	19.4181	0.0208618	0.0337215	575.219
20 <pt<25 	6<chiso range<11 	19.4181	1.12022	1.81075	10.1051
20 <pt<25 	6<chiso range<12 	19.4181	1.1195	1.80959	10.112
20 <pt<25 	6<chiso range<13 	19.4181	1.11238	1.79808	10.1807
20 <pt<25 	7<chiso range<12 	19.4181	0.818897	1.32369	14.051
20 <pt<25 	7<chiso range<13 	19.4181	0.416007	0.672446	28.2582
20 <pt<25 	8<chiso range<13 	19.4181	0.230234	0.372157	51.5585
#######################################################################################
25 <pt<30 	3<chiso range<8 	29.0501	40.7571	7.97439	1.46807
25 <pt<30 	3<chiso range<9 	29.0501	1.28196	0.263404	105.42
25 <pt<30 	3<chiso range<10 	29.0501	12.0334	2.45082	6.94327
25 <pt<30 	3<chiso range<11 	29.0501	12.0357	2.45127	6.94106
25 <pt<30 	3<chiso range<12 	29.0501	24.7246	4.96925	0.870453
25 <pt<30 	3<chiso range<13 	29.0501	24.7302	4.97089	0.86904
25 <pt<30 	4<chiso range<9 	29.0501	0.0720629	0.014818	1955.6
25 <pt<30 	4<chiso range<10 	29.0501	0.503357	0.103419	276.03
25 <pt<30 	4<chiso range<11 	29.0501	0.510048	0.104793	272.347
25 <pt<30 	4<chiso range<12 	29.0501	11.6284	2.36847	7.35568
25 <pt<30 	4<chiso range<13 	29.0501	11.6381	2.37062	7.34491
25 <pt<30 	5<chiso range<10 	29.0501	0.331233	0.0680556	421.991
25 <pt<30 	5<chiso range<11 	29.0501	0.337935	0.0694359	413.506
25 <pt<30 	5<chiso range<12 	29.0501	11.4567	2.33309	7.54081
25 <pt<30 	5<chiso range<13 	29.0501	11.4665	2.33526	7.52961
25 <pt<30 	6<chiso range<11 	29.0501	0.258279	0.0530713	542.512
25 <pt<30 	6<chiso range<12 	29.0501	17.4669	3.53713	3.27475
25 <pt<30 	6<chiso range<13 	29.0501	17.4731	3.53836	3.27185
25 <pt<30 	7<chiso range<12 	29.0501	17.3894	3.52133	3.31145
25 <pt<30 	7<chiso range<13 	29.0501	17.4011	3.52416	3.30547
25 <pt<30 	8<chiso range<13 	29.0501	17.3404	3.51167	3.33451
#######################################################################################
30 <pt<35 	3<chiso range<8 	-9.65771	0.0032266	0.029029	332.803
30 <pt<35 	3<chiso range<9 	-9.65771	0.00347023	0.0431388	223.956
30 <pt<35 	3<chiso range<10 	-9.65771	0.00358767	0.0320488	301.456
30 <pt<35 	3<chiso range<11 	-9.65771	0.00366149	0.0456434	211.671
30 <pt<35 	3<chiso range<12 	-9.65771	0.00381644	0.0476811	202.628
30 <pt<35 	3<chiso range<13 	-9.65771	0.00383069	0.0480421	201.106
30 <pt<35 	4<chiso range<9 	-9.65771	0.175919	0.28436	34.5816
30 <pt<35 	4<chiso range<10 	-9.65771	0.175956	0.28442	34.5745
30 <pt<35 	4<chiso range<11 	-9.65771	0.175955	0.284419	34.5746
30 <pt<35 	4<chiso range<12 	-9.65771	0.175972	0.284447	34.5712
30 <pt<35 	4<chiso range<13 	-9.65771	0.175953	0.284415	34.5751
30 <pt<35 	5<chiso range<10 	-9.65771	0.175598	0.283842	34.6436
30 <pt<35 	5<chiso range<11 	-9.65771	0.175598	0.283841	34.6437
30 <pt<35 	5<chiso range<12 	-9.65771	0.175616	0.28387	34.6402
30 <pt<35 	5<chiso range<13 	-9.65771	0.175596	0.283839	34.644
30 <pt<35 	6<chiso range<11 	-9.65771	0.175333	0.283412	34.6952
30 <pt<35 	6<chiso range<12 	-9.65771	0.175351	0.283442	34.6916
30 <pt<35 	6<chiso range<13 	-9.65771	0.175332	0.283411	34.6953
30 <pt<35 	7<chiso range<12 	-9.65771	0.26199	0.423488	23.4238
30 <pt<35 	7<chiso range<13 	-9.65771	0.26199	0.423488	23.4238
30 <pt<35 	8<chiso range<13 	-9.65771	0.205238	0.331753	29.7298
#######################################################################################
