pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	3<chiso range<9 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	3<chiso range<10 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	3<chiso range<11 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	3<chiso range<12 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	3<chiso range<13 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	4<chiso range<9 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	4<chiso range<10 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	4<chiso range<11 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	4<chiso range<12 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	4<chiso range<13 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	5<chiso range<10 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	5<chiso range<11 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	5<chiso range<12 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	5<chiso range<13 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	6<chiso range<11 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	6<chiso range<12 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	6<chiso range<13 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	7<chiso range<12 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	7<chiso range<13 	13.8809	50.8468	42.7861	0.86397
20  <pt<25 	8<chiso range<13 	13.8809	50.8468	42.7861	0.86397
#######################################################################################
25  <pt<30 	3<chiso range<8 	13.3098	37.4113	12.6966	1.89826
25  <pt<30 	3<chiso range<9 	13.3098	78.6891	8.88759	7.35625
25  <pt<30 	3<chiso range<10 	13.3098	67.2554	9.55396	5.64641
25  <pt<30 	3<chiso range<11 	13.3098	67.253	9.55413	5.64606
25  <pt<30 	3<chiso range<12 	13.3098	53.8877	10.8198	3.75034
25  <pt<30 	3<chiso range<13 	13.3098	53.8888	10.8208	3.75009
25  <pt<30 	4<chiso range<9 	13.3098	79.9541	8.84628	7.5336
25  <pt<30 	4<chiso range<10 	13.3098	79.4505	8.85849	7.46636
25  <pt<30 	4<chiso range<11 	13.3098	79.4433	8.85873	7.46535
25  <pt<30 	4<chiso range<12 	13.3098	67.6598	9.52034	5.70883
25  <pt<30 	4<chiso range<13 	13.3098	67.6572	9.52104	5.70814
25  <pt<30 	5<chiso range<10 	13.3098	79.6127	8.85542	7.48727
25  <pt<30 	5<chiso range<11 	13.3098	79.6045	8.85588	7.48595
25  <pt<30 	5<chiso range<12 	13.3098	67.8	9.50751	5.73128
25  <pt<30 	5<chiso range<13 	13.3098	67.7973	9.50822	5.73057
25  <pt<30 	6<chiso range<11 	13.3098	79.6725	8.85361	7.49555
25  <pt<30 	6<chiso range<12 	13.3098	61.4563	10.0523	4.7896
25  <pt<30 	6<chiso range<13 	13.3098	61.4498	10.0529	4.78867
25  <pt<30 	7<chiso range<12 	13.3098	61.5417	10.0434	4.80235
25  <pt<30 	7<chiso range<13 	13.3098	61.5406	10.0446	4.80166
25  <pt<30 	8<chiso range<13 	13.3098	61.6015	10.0379	4.81094
#######################################################################################
30  <pt<35 	3<chiso range<8 	7.88702	0.886164	0.689588	10.1522
30  <pt<35 	3<chiso range<9 	7.88702	0.885261	0.700391	9.99693
30  <pt<35 	3<chiso range<10 	7.88702	0.881872	0.899333	7.78927
30  <pt<35 	3<chiso range<11 	7.88702	0.884998	0.700575	9.99468
30  <pt<35 	3<chiso range<12 	7.88702	0.870971	0.901221	7.78505
30  <pt<35 	3<chiso range<13 	7.88702	0.883273	0.893121	7.84188
30  <pt<35 	4<chiso range<9 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	4<chiso range<10 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	4<chiso range<11 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	4<chiso range<12 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	4<chiso range<13 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	5<chiso range<10 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	5<chiso range<11 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	5<chiso range<12 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	5<chiso range<13 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	6<chiso range<11 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	6<chiso range<12 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	6<chiso range<13 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	7<chiso range<12 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	7<chiso range<13 	7.88702	0.469895	0.395403	18.7584
30  <pt<35 	8<chiso range<13 	7.88702	0.469895	0.395403	18.7584
#######################################################################################
35  <pt<40 	3<chiso range<8 	4.43444	5.37962e-05	29.1251	0.152253
35  <pt<40 	3<chiso range<9 	4.43444	0.00894086	25.7828	0.171645
35  <pt<40 	3<chiso range<10 	4.43444	0.000135074	31.7845	0.139512
35  <pt<40 	3<chiso range<11 	4.43444	4.98975e-05	30.7679	0.144124
35  <pt<40 	3<chiso range<12 	4.43444	4.98975e-05	30.7679	0.144124
35  <pt<40 	3<chiso range<13 	4.43444	31.4452	27.9779	0.965432
35  <pt<40 	4<chiso range<9 	4.43444	0.0104271	24.974	0.177145
35  <pt<40 	4<chiso range<10 	4.43444	2.17853e-05	29.564	0.149994
35  <pt<40 	4<chiso range<11 	4.43444	0.000612352	31.5094	0.140714
35  <pt<40 	4<chiso range<12 	4.43444	0.000612352	31.5094	0.140714
35  <pt<40 	4<chiso range<13 	4.43444	31.5486	28.1593	0.962885
35  <pt<40 	5<chiso range<10 	4.43444	31.7971	22.5338	1.21429
35  <pt<40 	5<chiso range<11 	4.43444	31.7971	22.5338	1.21429
35  <pt<40 	5<chiso range<12 	4.43444	31.7971	22.5338	1.21429
35  <pt<40 	5<chiso range<13 	4.43444	31.79	22.5309	1.21414
35  <pt<40 	6<chiso range<11 	4.43444	15.9007	13.38	0.85697
35  <pt<40 	6<chiso range<12 	4.43444	15.9007	13.38	0.85697
35  <pt<40 	6<chiso range<13 	4.43444	31.7962	22.1357	1.23609
35  <pt<40 	7<chiso range<12 	4.43444	15.9007	13.38	0.85697
35  <pt<40 	7<chiso range<13 	4.43444	31.7058	31.6705	0.861097
35  <pt<40 	8<chiso range<13 	4.43444	31.7266	31.5854	0.864075
#######################################################################################
40  <pt<45 	3<chiso range<8 	3.58734	0.367617	0.210504	15.2953
40  <pt<45 	3<chiso range<9 	3.58734	0.366801	0.194068	16.5949
40  <pt<45 	3<chiso range<10 	3.58734	0.00755723	0.0658437	54.3679
40  <pt<45 	3<chiso range<11 	3.58734	0.376563	0.349242	9.19356
40  <pt<45 	3<chiso range<12 	3.58734	0.376563	0.349242	9.19356
40  <pt<45 	3<chiso range<13 	3.58734	0.375313	0.367568	8.73859
40  <pt<45 	4<chiso range<9 	3.58734	0.193949	0.163202	20.7926
40  <pt<45 	4<chiso range<10 	3.58734	0.193949	0.163202	20.7926
40  <pt<45 	4<chiso range<11 	3.58734	0.00747201	0.274689	13.0324
40  <pt<45 	4<chiso range<12 	3.58734	0.00747201	0.274689	13.0324
40  <pt<45 	4<chiso range<13 	3.58734	0.375236	0.316179	10.1591
40  <pt<45 	5<chiso range<10 	3.58734	0.193949	0.163202	20.7926
40  <pt<45 	5<chiso range<11 	3.58734	0.00747201	0.274689	13.0324
40  <pt<45 	5<chiso range<12 	3.58734	0.00747201	0.274689	13.0324
40  <pt<45 	5<chiso range<13 	3.58734	0.375236	0.316179	10.1591
40  <pt<45 	6<chiso range<11 	3.58734	0.375323	0.306374	10.484
40  <pt<45 	6<chiso range<12 	3.58734	0.375323	0.306374	10.484
40  <pt<45 	6<chiso range<13 	3.58734	0.376123	0.381188	8.42423
40  <pt<45 	7<chiso range<12 	3.58734	0.380769	0.248047	12.9273
40  <pt<45 	7<chiso range<13 	3.58734	0.375672	0.374901	8.56671
40  <pt<45 	8<chiso range<13 	3.58734	0.375672	0.374901	8.56671
#######################################################################################
