pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	344.077	90.9195	0.264242	0.455143	0.0385652	4.95009
20 <pt<25 	3<chiso range<9 	344.077	90.9195	0.264242	0.442297	0.0375034	4.74771
20 <pt<25 	3<chiso range<10 	344.077	90.9195	0.264242	0.429037	0.036382	4.52958
20 <pt<25 	3<chiso range<11 	344.077	90.9195	0.264242	0.43051	0.0365071	4.55441
20 <pt<25 	3<chiso range<12 	344.077	90.9195	0.264242	0.424606	0.0360183	4.4523
20 <pt<25 	3<chiso range<13 	344.077	90.9195	0.264242	0.423737	0.0359461	4.43707
20 <pt<25 	4<chiso range<9 	344.077	90.9195	0.264242	0.452666	0.038418	4.90458
20 <pt<25 	4<chiso range<10 	344.077	90.9195	0.264242	0.434978	0.0369201	4.62448
20 <pt<25 	4<chiso range<11 	344.077	90.9195	0.264242	0.435957	0.0369934	4.64178
20 <pt<25 	4<chiso range<12 	344.077	90.9195	0.264242	0.428438	0.0363624	4.51555
20 <pt<25 	4<chiso range<13 	344.077	90.9195	0.264242	0.427108	0.0362493	4.49295
20 <pt<25 	5<chiso range<10 	344.077	90.9195	0.264242	0.434382	0.0368501	4.61709
20 <pt<25 	5<chiso range<11 	344.077	90.9195	0.264242	0.435547	0.0369368	4.63779
20 <pt<25 	5<chiso range<12 	344.077	90.9195	0.264242	0.426737	0.0361976	4.48912
20 <pt<25 	5<chiso range<13 	344.077	90.9195	0.264242	0.425375	0.0360841	4.46549
20 <pt<25 	6<chiso range<11 	344.077	90.9195	0.264242	0.424589	0.035992	4.45508
20 <pt<25 	6<chiso range<12 	344.077	90.9195	0.264242	0.415747	0.035257	4.29717
20 <pt<25 	6<chiso range<13 	344.077	90.9195	0.264242	0.415404	0.0352309	4.29062
20 <pt<25 	7<chiso range<12 	344.077	90.9195	0.264242	0.388304	0.0329761	3.76219
20 <pt<25 	7<chiso range<13 	344.077	90.9195	0.264242	0.391623	0.0332554	3.83039
20 <pt<25 	8<chiso range<13 	344.077	90.9195	0.264242	0.384614	0.0326942	3.68176
#######################################################################################
25 <pt<30 	3<chiso range<8 	181.159	40.8275	0.225368	0.428074	0.0579987	3.495
25 <pt<30 	3<chiso range<9 	181.159	40.8275	0.225368	0.409615	0.055602	3.31367
25 <pt<30 	3<chiso range<10 	181.159	40.8275	0.225368	0.403803	0.054841	3.25367
25 <pt<30 	3<chiso range<11 	181.159	40.8275	0.225368	0.398748	0.0541686	3.20074
25 <pt<30 	3<chiso range<12 	181.159	40.8275	0.225368	0.387634	0.0526758	3.08046
25 <pt<30 	3<chiso range<13 	181.159	40.8275	0.225368	0.390004	0.0529871	3.10709
25 <pt<30 	4<chiso range<9 	181.159	40.8275	0.225368	0.396671	0.0539478	3.17534
25 <pt<30 	4<chiso range<10 	181.159	40.8275	0.225368	0.391552	0.0532688	3.11972
25 <pt<30 	4<chiso range<11 	181.159	40.8275	0.225368	0.387269	0.0526825	3.07314
25 <pt<30 	4<chiso range<12 	181.159	40.8275	0.225368	0.375861	0.0511473	2.94234
25 <pt<30 	4<chiso range<13 	181.159	40.8275	0.225368	0.379445	0.0516174	2.98498
25 <pt<30 	5<chiso range<10 	181.159	40.8275	0.225368	0.391681	0.0533084	3.11982
25 <pt<30 	5<chiso range<11 	181.159	40.8275	0.225368	0.386474	0.0525924	3.06329
25 <pt<30 	5<chiso range<12 	181.159	40.8275	0.225368	0.373346	0.0508178	2.91193
25 <pt<30 	5<chiso range<13 	181.159	40.8275	0.225368	0.377669	0.0513842	2.96396
25 <pt<30 	6<chiso range<11 	181.159	40.8275	0.225368	0.382544	0.0521201	3.01564
25 <pt<30 	6<chiso range<12 	181.159	40.8275	0.225368	0.367426	0.0500662	2.8374
25 <pt<30 	6<chiso range<13 	181.159	40.8275	0.225368	0.373143	0.0508123	2.90825
25 <pt<30 	7<chiso range<12 	181.159	40.8275	0.225368	0.355671	0.0484693	2.68835
25 <pt<30 	7<chiso range<13 	181.159	40.8275	0.225368	0.364196	0.0495915	2.79942
25 <pt<30 	8<chiso range<13 	181.159	40.8275	0.225368	0.339389	0.0462375	2.46598
#######################################################################################
30 <pt<40 	3<chiso range<8 	187.149	35.0133	0.187088	0.271619	0.0457453	1.84787
30 <pt<40 	3<chiso range<9 	187.149	35.0133	0.187088	0.277462	0.0465368	1.94199
30 <pt<40 	3<chiso range<10 	187.149	35.0133	0.187088	0.282574	0.0473968	2.01461
30 <pt<40 	3<chiso range<11 	187.149	35.0133	0.187088	0.283717	0.0475421	2.0325
30 <pt<40 	3<chiso range<12 	187.149	35.0133	0.187088	0.288996	0.0484417	2.10373
30 <pt<40 	3<chiso range<13 	187.149	35.0133	0.187088	0.278789	0.0467246	1.96259
30 <pt<40 	4<chiso range<9 	187.149	35.0133	0.187088	0.276941	0.0463537	1.93843
30 <pt<40 	4<chiso range<10 	187.149	35.0133	0.187088	0.283332	0.0474478	2.02842
30 <pt<40 	4<chiso range<11 	187.149	35.0133	0.187088	0.284522	0.0476002	2.04693
30 <pt<40 	4<chiso range<12 	187.149	35.0133	0.187088	0.290668	0.0486536	2.12893
30 <pt<40 	4<chiso range<13 	187.149	35.0133	0.187088	0.278669	0.0466418	1.9635
30 <pt<40 	5<chiso range<10 	187.149	35.0133	0.187088	0.274742	0.0459449	1.90781
30 <pt<40 	5<chiso range<11 	187.149	35.0133	0.187088	0.277337	0.0463202	1.94838
30 <pt<40 	5<chiso range<12 	187.149	35.0133	0.187088	0.285216	0.0476798	2.05807
30 <pt<40 	5<chiso range<13 	187.149	35.0133	0.187088	0.272168	0.0454903	1.87029
