pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.9195	92.68	7.72317	0.22795
20 <pt<25 	3<chiso range<9 	90.9195	90.0643	7.51071	0.113864
20 <pt<25 	3<chiso range<10 	90.9195	87.364	7.28616	0.48798
20 <pt<25 	3<chiso range<11 	90.9195	87.6639	7.3112	0.445289
20 <pt<25 	3<chiso range<12 	90.9195	86.4617	7.2134	0.617989
20 <pt<25 	3<chiso range<13 	90.9195	86.2848	7.19894	0.643803
20 <pt<25 	4<chiso range<9 	90.9195	92.1756	7.69411	0.163255
20 <pt<25 	4<chiso range<10 	90.9195	88.5739	7.39415	0.317224
20 <pt<25 	4<chiso range<11 	90.9195	88.7731	7.40875	0.289711
20 <pt<25 	4<chiso range<12 	90.9195	87.2422	7.28243	0.504955
20 <pt<25 	4<chiso range<13 	90.9195	86.9713	7.25979	0.543845
20 <pt<25 	5<chiso range<10 	90.9195	88.4525	7.37999	0.334282
20 <pt<25 	5<chiso range<11 	90.9195	88.6896	7.39729	0.301448
20 <pt<25 	5<chiso range<12 	90.9195	86.8956	7.2493	0.555074
20 <pt<25 	5<chiso range<13 	90.9195	86.6184	7.22658	0.595178
20 <pt<25 	6<chiso range<11 	90.9195	86.4584	7.20797	0.618912
20 <pt<25 	6<chiso range<12 	90.9195	84.6578	7.06087	0.886817
20 <pt<25 	6<chiso range<13 	90.9195	84.5881	7.05566	0.89735
20 <pt<25 	7<chiso range<12 	90.9195	79.0697	6.60439	1.79423
20 <pt<25 	7<chiso range<13 	90.9195	79.7454	6.66031	1.67771
20 <pt<25 	8<chiso range<13 	90.9195	78.3182	6.54813	1.92441
#######################################################################################
25 <pt<30 	3<chiso range<8 	40.8275	46.7053	6.25256	0.940063
25 <pt<30 	3<chiso range<9 	40.8275	44.6913	5.99446	0.644562
25 <pt<30 	3<chiso range<10 	40.8275	44.0572	5.91249	0.54625
25 <pt<30 	3<chiso range<11 	40.8275	43.5057	5.84003	0.458594
25 <pt<30 	3<chiso range<12 	40.8275	42.2931	5.67913	0.258068
25 <pt<30 	3<chiso range<13 	40.8275	42.5517	5.71267	0.30182
25 <pt<30 	4<chiso range<9 	40.8275	43.2791	5.81638	0.421499
25 <pt<30 	4<chiso range<10 	40.8275	42.7206	5.74323	0.329623
25 <pt<30 	4<chiso range<11 	40.8275	42.2532	5.68	0.251004
25 <pt<30 	4<chiso range<12 	40.8275	41.0085	5.51453	0.0328224
25 <pt<30 	4<chiso range<13 	40.8275	41.3997	5.56517	0.102818
25 <pt<30 	5<chiso range<10 	40.8275	42.7346	5.74755	0.331811
25 <pt<30 	5<chiso range<11 	40.8275	42.1666	5.67033	0.236159
25 <pt<30 	5<chiso range<12 	40.8275	40.7341	5.47903	0.0170468
25 <pt<30 	5<chiso range<13 	40.8275	41.2059	5.54004	0.0683028
25 <pt<30 	6<chiso range<11 	40.8275	41.7377	5.61957	0.16197
25 <pt<30 	6<chiso range<12 	40.8275	40.0883	5.39814	0.136936
25 <pt<30 	6<chiso range<13 	40.8275	40.712	5.4785	0.0210824
25 <pt<30 	7<chiso range<12 	40.8275	38.8057	5.22597	0.386876
25 <pt<30 	7<chiso range<13 	40.8275	39.7359	5.34686	0.204157
25 <pt<30 	8<chiso range<13 	40.8275	37.0293	4.9853	0.76188
#######################################################################################
30 <pt<40 	3<chiso range<8 	35.0133	31.1842	5.21927	0.733647
30 <pt<40 	3<chiso range<9 	35.0133	31.8551	5.3093	0.594843
30 <pt<40 	3<chiso range<10 	35.0133	32.4419	5.40742	0.475532
30 <pt<40 	3<chiso range<11 	35.0133	32.5731	5.42392	0.449896
30 <pt<40 	3<chiso range<12 	35.0133	33.1792	5.52658	0.331869
30 <pt<40 	3<chiso range<13 	35.0133	32.0073	5.33067	0.563907
30 <pt<40 	4<chiso range<9 	35.0133	31.7952	5.28826	0.608537
30 <pt<40 	4<chiso range<10 	35.0133	32.5289	5.41313	0.458958
30 <pt<40 	4<chiso range<11 	35.0133	32.6656	5.43045	0.432321
