pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	126.058	109.021	16.3205	1.0439
20  <pt<25 	3<chiso range<9 	126.058	111.683	16.224	0.886033
20  <pt<25 	3<chiso range<10 	126.058	114.659	16.1022	0.707916
20  <pt<25 	3<chiso range<11 	126.058	114.224	16.1202	0.73411
20  <pt<25 	3<chiso range<12 	126.058	115.378	16.0807	0.66415
20  <pt<25 	3<chiso range<13 	126.058	115.55	16.0746	0.653702
20  <pt<25 	4<chiso range<9 	126.058	109.636	16.3342	1.00538
20  <pt<25 	4<chiso range<10 	126.058	113.358	16.1781	0.785012
20  <pt<25 	4<chiso range<11 	126.058	113.048	16.1847	0.803846
20  <pt<25 	4<chiso range<12 	126.058	114.562	16.1265	0.712864
20  <pt<25 	4<chiso range<13 	126.058	114.832	16.1153	0.696605
20  <pt<25 	5<chiso range<10 	126.058	113.298	16.168	0.789213
20  <pt<25 	5<chiso range<11 	126.058	112.979	16.1735	0.808669
20  <pt<25 	5<chiso range<12 	126.058	114.792	16.1037	0.699591
20  <pt<25 	5<chiso range<13 	126.058	115.078	16.0933	0.682272
20  <pt<25 	6<chiso range<11 	126.058	115.223	16.0707	0.674208
20  <pt<25 	6<chiso range<12 	126.058	117.014	16.0079	0.564971
20  <pt<25 	6<chiso range<13 	126.058	117.098	16.0065	0.559773
20  <pt<25 	7<chiso range<12 	126.058	122.949	15.8074	0.19668
20  <pt<25 	7<chiso range<13 	126.058	122.239	15.8329	0.241207
20  <pt<25 	8<chiso range<13 	126.058	123.808	15.7962	0.142439
#######################################################################################
25  <pt<30 	3<chiso range<8 	73.1074	61.4724	12.2401	0.950564
25  <pt<30 	3<chiso range<9 	73.1074	63.5908	12.1158	0.78547
25  <pt<30 	3<chiso range<10 	73.1074	64.2836	12.0743	0.730792
25  <pt<30 	3<chiso range<11 	73.1074	64.8937	12.0349	0.68249
25  <pt<30 	3<chiso range<12 	73.1074	66.1141	11.9549	0.584974
25  <pt<30 	3<chiso range<13 	73.1074	65.8574	11.9696	0.605701
25  <pt<30 	4<chiso range<9 	73.1074	65.107	12.0372	0.66464
25  <pt<30 	4<chiso range<10 	73.1074	65.7266	11.9987	0.615133
25  <pt<30 	4<chiso range<11 	73.1074	66.254	11.9612	0.572969
25  <pt<30 	4<chiso range<12 	73.1074	67.4956	11.881	0.472334
25  <pt<30 	4<chiso range<13 	73.1074	67.0995	11.9028	0.504747
25  <pt<30 	5<chiso range<10 	73.1074	65.8034	11.9996	0.608687
25  <pt<30 	5<chiso range<11 	73.1074	66.4451	11.9528	0.557384
25  <pt<30 	5<chiso range<12 	73.1074	67.8585	11.8602	0.442564
25  <pt<30 	5<chiso range<13 	73.1074	67.3748	11.8866	0.482274
25  <pt<30 	6<chiso range<11 	73.1074	67.0509	11.929	0.507712
25  <pt<30 	6<chiso range<12 	73.1074	68.6466	11.8232	0.377292
25  <pt<30 	6<chiso range<13 	73.1074	67.9936	11.8575	0.431271
25  <pt<30 	7<chiso range<12 	73.1074	69.9232	11.7409	0.271206
25  <pt<30 	7<chiso range<13 	73.1074	68.9582	11.7926	0.351848
25  <pt<30 	8<chiso range<13 	73.1074	71.8354	11.6161	0.109503
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.3058	83.373	12.0242	0.0775769
30  <pt<40 	3<chiso range<9 	84.3058	82.4931	12.0474	0.150464
30  <pt<40 	3<chiso range<10 	84.3058	81.8658	12.0975	0.201695
30  <pt<40 	3<chiso range<11 	84.3058	81.7234	12.0978	0.21346
30  <pt<40 	3<chiso range<12 	84.3058	81.1152	12.1501	0.262599
30  <pt<40 	3<chiso range<13 	84.3058	82.3216	12.0526	0.164628
30  <pt<40 	4<chiso range<9 	84.3058	82.506	12.0234	0.149691
30  <pt<40 	4<chiso range<10 	84.3058	81.719	12.0911	0.213942
30  <pt<40 	4<chiso range<11 	84.3058	81.5855	12.0906	0.224993
30  <pt<40 	4<chiso range<12 	84.3058	80.8781	12.1531	0.282043
30  <pt<40 	4<chiso range<13 	84.3058	82.306	12.0388	0.166113
30  <pt<40 	5<chiso range<10 	84.3058	82.7245	11.9967	0.131811
30  <pt<40 	5<chiso range<11 	84.3058	82.4543	12.0035	0.154247
30  <pt<40 	5<chiso range<12 	84.3058	81.5304	12.0863	0.229632
30  <pt<40 	5<chiso range<13 	84.3058	83.0996	11.9619	0.100837
30  <pt<40 	6<chiso range<11 	84.3058	81.2408	12.0768	0.253792
30  <pt<40 	6<chiso range<12 	84.3058	80.2672	12.1685	0.33189
30  <pt<40 	6<chiso range<13 	84.3058	82.3015	12.0087	0.166904
30  <pt<40 	7<chiso range<12 	84.3058	80.8684	12.1281	0.283424
30  <pt<40 	7<chiso range<13 	84.3058	83.0736	11.9566	0.103056
30  <pt<40 	8<chiso range<13 	84.3058	81.0753	12.0912	0.267178
#######################################################################################
40  <pt<50 	3<chiso range<8 	46.3082	40.1217	8.45302	0.731869
40  <pt<50 	3<chiso range<9 	46.3082	40.8725	8.32429	0.652993
40  <pt<50 	3<chiso range<10 	46.3082	40.2284	8.39311	0.72438
40  <pt<50 	3<chiso range<11 	46.3082	41.0865	8.29027	0.629859
40  <pt<50 	3<chiso range<12 	46.3082	41.6091	8.24582	0.569877
40  <pt<50 	3<chiso range<13 	46.3082	42.4103	8.14727	0.47843
40  <pt<50 	4<chiso range<9 	46.3082	41.8683	8.21346	0.540564
40  <pt<50 	4<chiso range<10 	46.3082	40.9935	8.2971	0.640549
40  <pt<50 	4<chiso range<11 	46.3082	41.8471	8.20766	0.543529
40  <pt<50 	4<chiso range<12 	46.3082	42.3273	8.17346	0.487052
40  <pt<50 	4<chiso range<13 	46.3082	43.0464	8.0786	0.403758
40  <pt<50 	5<chiso range<10 	46.3082	40.4071	8.35673	0.706149
40  <pt<50 	5<chiso range<11 	46.3082	41.4466	8.23672	0.590235
40  <pt<50 	5<chiso range<12 	46.3082	42.0824	8.19622	0.515579
40  <pt<50 	5<chiso range<13 	46.3082	42.9246	8.08623	0.41844
40  <pt<50 	6<chiso range<11 	46.3082	42.341	8.14056	0.487337
40  <pt<50 	6<chiso range<12 	46.3082	42.8924	8.1071	0.421334
40  <pt<50 	6<chiso range<13 	46.3082	43.737	7.9994	0.321424
40  <pt<50 	7<chiso range<12 	46.3082	43.019	8.09386	0.406382
40  <pt<50 	7<chiso range<13 	46.3082	44.0132	7.96635	0.288087
40  <pt<50 	8<chiso range<13 	46.3082	44.6282	7.8921	0.212871
#######################################################################################
50  <pt<65 	3<chiso range<8 	36.4382	35.0785	6.95388	0.195531
50  <pt<65 	3<chiso range<9 	36.4382	35.3858	6.93287	0.151799
