pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	344.077	90.9195	126.058	92.68	109.021	0.22795	1.0439
20 <pt<25 	3<chiso range<9 	344.077	90.9195	126.058	90.0643	111.683	0.113864	0.886033
20 <pt<25 	3<chiso range<10 	344.077	90.9195	126.058	87.364	114.659	0.48798	0.707916
20 <pt<25 	3<chiso range<11 	344.077	90.9195	126.058	87.6639	114.224	0.445289	0.73411
20 <pt<25 	3<chiso range<12 	344.077	90.9195	126.058	86.4617	115.378	0.617989	0.66415
20 <pt<25 	3<chiso range<13 	344.077	90.9195	126.058	86.2848	115.55	0.643803	0.653702
20 <pt<25 	4<chiso range<9 	344.077	90.9195	126.058	92.1756	109.636	0.163255	1.00538
20 <pt<25 	4<chiso range<10 	344.077	90.9195	126.058	88.5739	113.358	0.317224	0.785012
20 <pt<25 	4<chiso range<11 	344.077	90.9195	126.058	88.7731	113.048	0.289711	0.803846
20 <pt<25 	4<chiso range<12 	344.077	90.9195	126.058	87.2422	114.562	0.504955	0.712864
20 <pt<25 	4<chiso range<13 	344.077	90.9195	126.058	86.9713	114.832	0.543845	0.696605
20 <pt<25 	5<chiso range<10 	344.077	90.9195	126.058	88.4525	113.298	0.334282	0.789213
20 <pt<25 	5<chiso range<11 	344.077	90.9195	126.058	88.6896	112.979	0.301448	0.808669
20 <pt<25 	5<chiso range<12 	344.077	90.9195	126.058	86.8956	114.792	0.555074	0.699591
20 <pt<25 	5<chiso range<13 	344.077	90.9195	126.058	86.6184	115.078	0.595178	0.682272
20 <pt<25 	6<chiso range<11 	344.077	90.9195	126.058	86.4584	115.223	0.618912	0.674208
20 <pt<25 	6<chiso range<12 	344.077	90.9195	126.058	84.6578	117.014	0.886817	0.564971
20 <pt<25 	6<chiso range<13 	344.077	90.9195	126.058	84.5881	117.098	0.89735	0.559773
20 <pt<25 	7<chiso range<12 	344.077	90.9195	126.058	79.0697	122.949	1.79423	0.19668
20 <pt<25 	7<chiso range<13 	344.077	90.9195	126.058	79.7454	122.239	1.67771	0.241207
20 <pt<25 	8<chiso range<13 	344.077	90.9195	126.058	78.3182	123.808	1.92441	0.142439
#######################################################################################
25 <pt<30 	3<chiso range<8 	181.159	40.8275	73.1074	46.7053	61.4724	0.940063	0.950564
25 <pt<30 	3<chiso range<9 	181.159	40.8275	73.1074	44.6913	63.5908	0.644562	0.78547
25 <pt<30 	3<chiso range<10 	181.159	40.8275	73.1074	44.0572	64.2836	0.54625	0.730792
25 <pt<30 	3<chiso range<11 	181.159	40.8275	73.1074	43.5057	64.8937	0.458594	0.68249
25 <pt<30 	3<chiso range<12 	181.159	40.8275	73.1074	42.2931	66.1141	0.258068	0.584974
