pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	221.65	92.9636	128.663	102.204	101.339	1.11137	1.60268
20 <pt<25 	3<chiso range<9 	221.65	92.9636	128.663	105.292	98.5371	1.43741	1.74963
20 <pt<25 	3<chiso range<10 	221.65	92.9636	128.663	107.497	96.1	1.66104	1.88003
20 <pt<25 	3<chiso range<11 	221.65	92.9636	128.663	108.276	95.261	1.73822	1.92495
20 <pt<25 	3<chiso range<12 	221.65	92.9636	128.663	106.385	96.8286	1.55209	1.84547
20 <pt<25 	3<chiso range<13 	221.65	92.9636	128.663	104.545	98.7522	1.36176	1.74153
20 <pt<25 	4<chiso range<9 	221.65	92.9636	128.663	96.3753	107.427	0.435194	1.26751
20 <pt<25 	4<chiso range<10 	221.65	92.9636	128.663	100.149	103.341	0.882601	1.49536
20 <pt<25 	4<chiso range<11 	221.65	92.9636	128.663	101.809	101.626	1.06916	1.58967
20 <pt<25 	4<chiso range<12 	221.65	92.9636	128.663	100.339	102.704	0.905259	1.53272
20 <pt<25 	4<chiso range<13 	221.65	92.9636	128.663	98.8759	104.255	0.735628	1.44528
20 <pt<25 	5<chiso range<10 	221.65	92.9636	128.663	100.048	103.66	0.870688	1.47693
20 <pt<25 	5<chiso range<11 	221.65	92.9636	128.663	102.056	101.558	1.09601	1.59263
20 <pt<25 	5<chiso range<12 	221.65	92.9636	128.663	100.308	102.805	0.901523	1.52668
20 <pt<25 	5<chiso range<13 	221.65	92.9636	128.663	98.6183	104.587	0.705135	1.42616
20 <pt<25 	6<chiso range<11 	221.65	92.9636	128.663	99.4114	104.289	0.801864	1.45356
20 <pt<25 	6<chiso range<12 	221.65	92.9636	128.663	97.8072	105.09	0.611799	1.4075
20 <pt<25 	6<chiso range<13 	221.65	92.9636	128.663	96.2107	106.726	0.415966	1.3115
20 <pt<25 	7<chiso range<12 	221.65	92.9636	128.663	105.336	98.0068	1.44401	1.78137
20 <pt<25 	7<chiso range<13 	221.65	92.9636	128.663	101.968	101.569	1.08428	1.5877
20 <pt<25 	8<chiso range<13 	221.65	92.9636	128.663	107.557	95.7749	1.66935	1.90093
#######################################################################################
25 <pt<30 	3<chiso range<8 	112.934	38.8901	74.0356	48.1054	57.1764	1.52968	1.38789
25 <pt<30 	3<chiso range<9 	112.934	38.8901	74.0356	50.4414	54.9677	1.82639	1.54636
25 <pt<30 	3<chiso range<10 	112.934	38.8901	74.0356	49.1956	56.1977	1.67112	1.45796
25 <pt<30 	3<chiso range<11 	112.934	38.8901	74.0356	50.597	54.8089	1.84539	1.55784
25 <pt<30 	3<chiso range<12 	112.934	38.8901	74.0356	52.0875	53.543	2.01501	1.64118
25 <pt<30 	3<chiso range<13 	112.934	38.8901	74.0356	50.6336	55.0467	1.84279	1.53293
25 <pt<30 	4<chiso range<9 	112.934	38.8901	74.0356	47.2172	57.9413	1.41095	1.33438
25 <pt<30 	4<chiso range<10 	112.934	38.8901	74.0356	46.2989	58.8502	1.27977	1.26518
25 <pt<30 	4<chiso range<11 	112.934	38.8901	74.0356	48.1623	57.0302	1.5391	1.40088
25 <pt<30 	4<chiso range<12 	112.934	38.8901	74.0356	49.9857	55.5538	1.76992	1.50372
25 <pt<30 	4<chiso range<13 	112.934	38.8901	74.0356	48.5984	56.9771	1.59054	1.39721
25 <pt<30 	5<chiso range<10 	112.934	38.8901	74.0356	46.6296	58.5372	1.32706	1.28842
25 <pt<30 	5<chiso range<11 	112.934	38.8901	74.0356	48.8551	56.3594	1.63017	1.44974
25 <pt<30 	5<chiso range<12 	112.934	38.8901	74.0356	50.9578	54.6712	1.88666	1.56529
25 <pt<30 	5<chiso range<13 	112.934	38.8901	74.0356	49.221	56.4399	1.66941	1.43458
25 <pt<30 	6<chiso range<11 	112.934	38.8901	74.0356	49.5434	55.8514	1.71459	1.48223
25 <pt<30 	6<chiso range<12 	112.934	38.8901	74.0356	51.9932	53.9219	2.00178	1.61192
25 <pt<30 	6<chiso range<13 	112.934	38.8901	74.0356	49.7873	56.1239	1.73569	1.45174
25 <pt<30 	7<chiso range<12 	112.934	38.8901	74.0356	54.7587	51.8504	2.28628	1.73907
25 <pt<30 	7<chiso range<13 	112.934	38.8901	74.0356	51.6463	54.8199	1.94646	1.53218
25 <pt<30 	8<chiso range<13 	112.934	38.8901	74.0356	54.0426	52.34	2.2103	1.70413
#######################################################################################
30 <pt<40 	3<chiso range<8 	118.287	33.8136	84.4701	34.9593	78.0159	0.201068	0.525745
30 <pt<40 	3<chiso range<9 	118.287	33.8136	84.4701	35.9403	77.1007	0.362717	0.595714
30 <pt<40 	3<chiso range<10 	118.287	33.8136	84.4701	34.7747	78.0791	0.169912	0.52188
30 <pt<40 	3<chiso range<11 	118.287	33.8136	84.4701	36.0112	77.068	0.373822	0.597816
30 <pt<40 	3<chiso range<12 	118.287	33.8136	84.4701	35.8701	77.1127	0.351921	0.595615
30 <pt<40 	3<chiso range<13 	118.287	33.8136	84.4701	35.3344	77.7713	0.263548	0.543628
30 <pt<40 	4<chiso range<9 	118.287	33.8136	84.4701	34.5507	78.3809	0.13096	0.49763
30 <pt<40 	4<chiso range<10 	118.287	33.8136	84.4701	33.4685	79.3235	0.0634836	0.42436
30 <pt<40 	4<chiso range<11 	118.287	33.8136	84.4701	34.9865	78.0171	0.205579	0.525394
30 <pt<40 	4<chiso range<12 	118.287	33.8136	84.4701	34.9353	77.9692	0.197324	0.53024
30 <pt<40 	4<chiso range<13 	118.287	33.8136	84.4701	34.4445	78.6358	0.11223	0.476557
30 <pt<40 	5<chiso range<10 	118.287	33.8136	84.4701	31.2942	81.5893	0.49491	0.240857
30 <pt<40 	5<chiso range<11 	118.287	33.8136	84.4701	33.3075	79.8458	0.0929671	0.380379
30 <pt<40 	5<chiso range<12 	118.287	33.8136	84.4701	33.4583	79.5615	0.0651581	0.40408
30 <pt<40 	5<chiso range<13 	118.287	33.8136	84.4701	33.0399	80.1512	0.143232	0.355904
30 <pt<40 	6<chiso range<11 	118.287	33.8136	84.4701	31.956	81.3036	0.355223	0.262767
30 <pt<40 	6<chiso range<12 	118.287	33.8136	84.4701	32.3284	80.7578	0.281765	0.30798
30 <pt<40 	6<chiso range<13 	118.287	33.8136	84.4701	31.9792	81.3004	0.350508	0.263009
30 <pt<40 	7<chiso range<12 	118.287	33.8136	84.4701	34.9496	78.4501	0.198394	0.489507
30 <pt<40 	7<chiso range<13 	118.287	33.8136	84.4701	34.136	79.5034	0.0574003	0.404969
30 <pt<40 	8<chiso range<13 	118.287	33.8136	84.4701	35.8095	77.4769	0.34039	0.56481
#######################################################################################
40 <pt<50 	3<chiso range<8 	58.8581	13.7749	45.0832	16.7122	40.5458	0.756533	0.526544
40 <pt<50 	3<chiso range<9 	58.8581	13.7749	45.0832	16.4042	40.8346	0.690473	0.495327
40 <pt<50 	3<chiso range<10 	58.8581	13.7749	45.0832	16.4742	40.84	0.70328	0.493052
40 <pt<50 	3<chiso range<11 	58.8581	13.7749	45.0832	15.7068	41.5523	0.529218	0.415132
40 <pt<50 	3<chiso range<12 	58.8581	13.7749	45.0832	16.0929	41.234	0.61817	0.449595
40 <pt<50 	3<chiso range<13 	58.8581	13.7749	45.0832	16.4016	40.8724	0.68945	0.49087
40 <pt<50 	4<chiso range<9 	58.8581	13.7749	45.0832	16.2028	41.1688	0.641499	0.455763
40 <pt<50 	4<chiso range<10 	58.8581	13.7749	45.0832	16.3023	41.1518	0.661445	0.456189
40 <pt<50 	4<chiso range<11 	58.8581	13.7749	45.0832	15.4674	41.8913	0.468661	0.375379
40 <pt<50 	4<chiso range<12 	58.8581	13.7749	45.0832	15.926	41.4989	0.576967	0.418328
40 <pt<50 	4<chiso range<13 	58.8581	13.7749	45.0832	16.2873	41.0613	0.661396	0.468272
40 <pt<50 	5<chiso range<10 	58.8581	13.7749	45.0832	16.1106	41.2961	0.619717	0.441071
40 <pt<50 	5<chiso range<11 	58.8581	13.7749	45.0832	15.1636	42.146	0.393046	0.34722
40 <pt<50 	5<chiso range<12 	58.8581	13.7749	45.0832	15.7302	41.6605	0.531806	0.400902
40 <pt<50 	5<chiso range<13 	58.8581	13.7749	45.0832	16.1428	41.1698	0.63017	0.457134
40 <pt<50 	6<chiso range<11 	58.8581	13.7749	45.0832	15.9921	41.2761	0.596081	0.445662
40 <pt<50 	6<chiso range<12 	58.8581	13.7749	45.0832	16.5494	40.8207	0.717843	0.494041
40 <pt<50 	6<chiso range<13 	58.8581	13.7749	45.0832	17.0072	40.2706	0.81773	0.556168
40 <pt<50 	7<chiso range<12 	58.8581	13.7749	45.0832	15.095	42.3342	0.37362	0.32444
40 <pt<50 	7<chiso range<13 	58.8581	13.7749	45.0832	15.7127	41.6119	0.530146	0.408106
40 <pt<50 	8<chiso range<13 	58.8581	13.7749	45.0832	15.9859	41.3214	0.595665	0.441326
#######################################################################################
50 <pt<65 	3<chiso range<8 	45.4116	8.57473	36.8368	8.06498	35.8287	0.184646	0.138514
50 <pt<65 	3<chiso range<9 	45.4116	8.57473	36.8368	7.01424	36.8866	0.647923	0.00698591
50 <pt<65 	3<chiso range<10 	45.4116	8.57473	36.8368	6.9977	36.8782	0.657965	0.00581554
50 <pt<65 	3<chiso range<11 	45.4116	8.57473	36.8368	6.48444	37.4511	0.933962	0.0869308
50 <pt<65 	3<chiso range<12 	45.4116	8.57473	36.8368	6.13357	37.9072	1.1473	0.15194
50 <pt<65 	3<chiso range<13 	45.4116	8.57473	36.8368	5.92245	38.1598	1.28587	0.188262
50 <pt<65 	4<chiso range<9 	45.4116	8.57473	36.8368	6.37463	37.6061	0.995349	0.108921
50 <pt<65 	4<chiso range<10 	45.4116	8.57473	36.8368	6.43995	37.4976	0.960336	0.0935976
50 <pt<65 	4<chiso range<11 	45.4116	8.57473	36.8368	5.96476	38.1062	1.25787	0.180575
50 <pt<65 	4<chiso range<12 	45.4116	8.57473	36.8368	5.6308	38.4941	1.4951	0.236754
50 <pt<65 	4<chiso range<13 	45.4116	8.57473	36.8368	5.44458	38.7222	1.63755	0.269879
50 <pt<65 	5<chiso range<10 	45.4116	8.57473	36.8368	6.90113	36.9382	0.710031	0.0142869
50 <pt<65 	5<chiso range<11 	45.4116	8.57473	36.8368	6.2059	37.7212	1.10519	0.125818
50 <pt<65 	5<chiso range<12 	45.4116	8.57473	36.8368	5.77726	38.2846	1.39255	0.206676
50 <pt<65 	5<chiso range<13 	45.4116	8.57473	36.8368	5.54252	38.5725	1.56547	0.248393
50 <pt<65 	6<chiso range<11 	45.4116	8.57473	36.8368	5.69361	38.3533	1.45726	0.216916
50 <pt<65 	6<chiso range<12 	45.4116	8.57473	36.8368	5.25939	38.8695	1.80107	0.292202
50 <pt<65 	6<chiso range<13 	45.4116	8.57473	36.8368	5.04975	39.1376	1.98357	0.331354
50 <pt<65 	7<chiso range<12 	45.4116	8.57473	36.8368	4.86437	39.2777	2.17758	0.353181
50 <pt<65 	7<chiso range<13 	45.4116	8.57473	36.8368	4.69043	39.5155	2.35001	0.387976
50 <pt<65 	8<chiso range<13 	45.4116	8.57473	36.8368	3.75466	40.5519	3.60705	0.544505
#######################################################################################
65 <pt<100 	3<chiso range<8 	36.6718	4.87595	31.7958	5.50689	30.7009	0.305812	0.171793
65 <pt<100 	3<chiso range<9 	36.6718	4.87595	31.7958	5.66551	30.5787	0.370322	0.189871
65 <pt<100 	3<chiso range<10 	36.6718	4.87595	31.7958	5.27946	31.1036	0.199631	0.108317
65 <pt<100 	3<chiso range<11 	36.6718	4.87595	31.7958	5.06151	31.3968	0.0955116	0.0625654
65 <pt<100 	3<chiso range<12 	36.6718	4.87595	31.7958	4.9691	31.4111	0.0492367	0.0606149
65 <pt<100 	3<chiso range<13 	36.6718	4.87595	31.7958	4.76545	31.5844	0.0610852	0.0334887
65 <pt<100 	4<chiso range<9 	36.6718	4.87595	31.7958	5.39892	30.8762	0.256231	0.144144
65 <pt<100 	4<chiso range<10 	36.6718	4.87595	31.7958	5.00486	31.4994	0.0667557	0.0464508
65 <pt<100 	4<chiso range<11 	36.6718	4.87595	31.7958	4.7827	31.7421	0.0504095	0.00845031
65 <pt<100 	4<chiso range<12 	36.6718	4.87595	31.7958	4.71302	31.7097	0.090346	0.0136176
65 <pt<100 	4<chiso range<13 	36.6718	4.87595	31.7958	4.51607	31.867	0.209122	0.0113233
65 <pt<100 	5<chiso range<10 	36.6718	4.87595	31.7958	4.69306	31.998	0.0989906	0.0317013
65 <pt<100 	5<chiso range<11 	36.6718	4.87595	31.7958	4.47962	32.2109	0.224699	0.065385
65 <pt<100 	5<chiso range<12 	36.6718	4.87595	31.7958	4.45263	32.0749	0.245604	0.04422
65 <pt<100 	5<chiso range<13 	36.6718	4.87595	31.7958	4.26771	32.195	0.370702	0.0636253
65 <pt<100 	6<chiso range<11 	36.6718	4.87595	31.7958	4.26652	32.4284	0.36102	0.100159
65 <pt<100 	6<chiso range<12 	36.6718	4.87595	31.7958	4.26847	32.2223	0.367362	0.0679407
