pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	122.128	50.9865	0.417484	0.501087	0.046262	1.80716
20 <pt<25 	3<chiso range<9 	122.128	50.9865	0.417484	0.507695	0.046867	1.92483
20 <pt<25 	3<chiso range<10 	122.128	50.9865	0.417484	0.482411	0.0445506	1.45737
20 <pt<25 	3<chiso range<11 	122.128	50.9865	0.417484	0.478536	0.0441955	1.38141
20 <pt<25 	3<chiso range<12 	122.128	50.9865	0.417484	0.465697	0.0430172	1.12078
20 <pt<25 	3<chiso range<13 	122.128	50.9865	0.417484	0.463326	0.0427994	1.07109
20 <pt<25 	4<chiso range<9 	122.128	50.9865	0.417484	0.490247	0.0452688	1.60735
20 <pt<25 	4<chiso range<10 	122.128	50.9865	0.417484	0.462752	0.0427466	1.05898
20 <pt<25 	4<chiso range<11 	122.128	50.9865	0.417484	0.460178	0.0425105	1.00431
20 <pt<25 	4<chiso range<12 	122.128	50.9865	0.417484	0.447155	0.0413141	0.718178
20 <pt<25 	4<chiso range<13 	122.128	50.9865	0.417484	0.445551	0.0411666	0.681788
20 <pt<25 	5<chiso range<10 	122.128	50.9865	0.417484	0.427298	0.0394877	0.24853
20 <pt<25 	5<chiso range<11 	122.128	50.9865	0.417484	0.42846	0.039595	0.277204
20 <pt<25 	5<chiso range<12 	122.128	50.9865	0.417484	0.416519	0.0384964	0.0250703
20 <pt<25 	5<chiso range<13 	122.128	50.9865	0.417484	0.416784	0.0385208	0.018175
20 <pt<25 	6<chiso range<11 	122.128	50.9865	0.417484	0.450675	0.0416374	0.797141
20 <pt<25 	6<chiso range<12 	122.128	50.9865	0.417484	0.432345	0.0399525	0.371964
20 <pt<25 	6<chiso range<13 	122.128	50.9865	0.417484	0.431287	0.039855	0.346328
20 <pt<25 	7<chiso range<12 	122.128	50.9865	0.417484	0.418261	0.0386583	0.0200962
20 <pt<25 	7<chiso range<13 	122.128	50.9865	0.417484	0.418477	0.0386778	0.0256707
20 <pt<25 	8<chiso range<13 	122.128	50.9865	0.417484	0.405415	0.0374752	0.322056
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.3187	25.9405	0.368899	0.383554	0.0557076	0.26307
25 <pt<30 	3<chiso range<9 	70.3187	25.9405	0.368899	0.393194	0.0571	0.425481
25 <pt<30 	3<chiso range<10 	70.3187	25.9405	0.368899	0.402937	0.0585057	0.581789
25 <pt<30 	3<chiso range<11 	70.3187	25.9405	0.368899	0.409292	0.0594218	0.679767
25 <pt<30 	3<chiso range<12 	70.3187	25.9405	0.368899	0.394104	0.0572312	0.440406
25 <pt<30 	3<chiso range<13 	70.3187	25.9405	0.368899	0.37746	0.0548292	0.156139
25 <pt<30 	4<chiso range<9 	70.3187	25.9405	0.368899	0.392231	0.0569638	0.409593
25 <pt<30 	4<chiso range<10 	70.3187	25.9405	0.368899	0.404557	0.058742	0.607027
25 <pt<30 	4<chiso range<11 	70.3187	25.9405	0.368899	0.412089	0.0598273	0.721911
25 <pt<30 	4<chiso range<12 	70.3187	25.9405	0.368899	0.393615	0.0571625	0.432381
25 <pt<30 	4<chiso range<13 	70.3187	25.9405	0.368899	0.374006	0.054332	0.0939957
25 <pt<30 	5<chiso range<10 	70.3187	25.9405	0.368899	0.378178	0.054938	0.168899
25 <pt<30 	5<chiso range<11 	70.3187	25.9405	0.368899	0.391343	0.0568376	0.394879
25 <pt<30 	5<chiso range<12 	70.3187	25.9405	0.368899	0.372084	0.0540558	0.0589201
25 <pt<30 	5<chiso range<13 	70.3187	25.9405	0.368899	0.351828	0.0511286	0.333884
25 <pt<30 	6<chiso range<11 	70.3187	25.9405	0.368899	0.422049	0.0612599	0.867614
25 <pt<30 	6<chiso range<12 	70.3187	25.9405	0.368899	0.39424	0.0572528	0.442615
25 <pt<30 	6<chiso range<13 	70.3187	25.9405	0.368899	0.367139	0.0533402	0.0329963
25 <pt<30 	7<chiso range<12 	70.3187	25.9405	0.368899	0.403371	0.0585705	0.588555
25 <pt<30 	7<chiso range<13 	70.3187	25.9405	0.368899	0.368883	0.0535927	0.000299049
25 <pt<30 	8<chiso range<13 	70.3187	25.9405	0.368899	0.367986	0.053463	0.0170777
#######################################################################################
30 <pt<35 	3<chiso range<8 	43.2281	14.7592	0.341426	0.360922	0.0754211	0.258494
30 <pt<35 	3<chiso range<9 	43.2281	14.7592	0.341426	0.332159	0.0694708	0.133395
30 <pt<35 	3<chiso range<10 	43.2281	14.7592	0.341426	0.330486	0.0691258	0.158263
30 <pt<35 	3<chiso range<11 	43.2281	14.7592	0.341426	0.311028	0.0650878	0.467032
30 <pt<35 	3<chiso range<12 	43.2281	14.7592	0.341426	0.311079	0.0650979	0.466176
30 <pt<35 	3<chiso range<13 	43.2281	14.7592	0.341426	0.3197	0.0668856	0.324824
30 <pt<35 	4<chiso range<9 	43.2281	14.7592	0.341426	0.324118	0.0678074	0.255253
30 <pt<35 	4<chiso range<10 	43.2281	14.7592	0.341426	0.323027	0.0675827	0.272245
30 <pt<35 	4<chiso range<11 	43.2281	14.7592	0.341426	0.301089	0.0630262	0.640005
30 <pt<35 	4<chiso range<12 	43.2281	14.7592	0.341426	0.301947	0.0632037	0.624632
30 <pt<35 	4<chiso range<13 	43.2281	14.7592	0.341426	0.312427	0.0653785	0.443557
30 <pt<35 	5<chiso range<10 	43.2281	14.7592	0.341426	0.302406	0.0633062	0.61637
30 <pt<35 	5<chiso range<11 	43.2281	14.7592	0.341426	0.27911	0.05846	1.06596
30 <pt<35 	5<chiso range<12 	43.2281	14.7592	0.341426	0.282174	0.0590963	1.00264
30 <pt<35 	5<chiso range<13 	43.2281	14.7592	0.341426	0.29578	0.0619228	0.737145
30 <pt<35 	6<chiso range<11 	43.2281	14.7592	0.341426	0.255059	0.0534527	1.61577
30 <pt<35 	6<chiso range<12 	43.2281	14.7592	0.341426	0.261532	0.0548003	1.45791
30 <pt<35 	6<chiso range<13 	43.2281	14.7592	0.341426	0.279705	0.0585806	1.05361
30 <pt<35 	7<chiso range<12 	43.2281	14.7592	0.341426	0.290197	0.0607602	0.843135
30 <pt<35 	7<chiso range<13 	43.2281	14.7592	0.341426	0.310084	0.0648897	0.483005
30 <pt<35 	8<chiso range<13 	43.2281	14.7592	0.341426	0.251658	0.0527376	1.70216
#######################################################################################
35 <pt<65 	3<chiso range<8 	87.4144	23.3209	0.266786	0.270183	0.047555	0.0714422
35 <pt<65 	3<chiso range<9 	87.4144	23.3209	0.266786	0.268233	0.0472139	0.030657
35 <pt<65 	3<chiso range<10 	87.4144	23.3209	0.266786	0.25966	0.045711	0.155883
35 <pt<65 	3<chiso range<11 	87.4144	23.3209	0.266786	0.260781	0.0459078	0.130796
35 <pt<65 	3<chiso range<12 	87.4144	23.3209	0.266786	0.259625	0.0457041	0.156672
35 <pt<65 	3<chiso range<13 	87.4144	23.3209	0.266786	0.252219	0.0444062	0.32803
35 <pt<65 	4<chiso range<9 	87.4144	23.3209	0.266786	0.264795	0.0466124	0.0427046
35 <pt<65 	4<chiso range<10 	87.4144	23.3209	0.266786	0.254608	0.0448256	0.271665
35 <pt<65 	4<chiso range<11 	87.4144	23.3209	0.266786	0.256571	0.0451699	0.226137
35 <pt<65 	4<chiso range<12 	87.4144	23.3209	0.266786	0.255592	0.0449969	0.248763
35 <pt<65 	4<chiso range<13 	87.4144	23.3209	0.266786	0.247112	0.0435104	0.452158
35 <pt<65 	5<chiso range<10 	87.4144	23.3209	0.266786	0.261118	0.0459682	0.123293
35 <pt<65 	5<chiso range<11 	87.4144	23.3209	0.266786	0.26283	0.0462697	0.0854893
35 <pt<65 	5<chiso range<12 	87.4144	23.3209	0.266786	0.260717	0.0458961	0.132224
35 <pt<65 	5<chiso range<13 	87.4144	23.3209	0.266786	0.25026	0.0440636	0.375039
35 <pt<65 	6<chiso range<11 	87.4144	23.3209	0.266786	0.254002	0.0447197	0.28586
35 <pt<65 	6<chiso range<12 	87.4144	23.3209	0.266786	0.252983	0.0445389	0.309899
35 <pt<65 	6<chiso range<13 	87.4144	23.3209	0.266786	0.241731	0.0425686	0.588569
35 <pt<65 	7<chiso range<12 	87.4144	23.3209	0.266786	0.246086	0.0433285	0.477736
35 <pt<65 	7<chiso range<13 	87.4144	23.3209	0.266786	0.233599	0.041141	0.806654
35 <pt<65 	8<chiso range<13 	87.4144	23.3209	0.266786	0.22668	0.0399262	1.00449
#######################################################################################
65 <pt<400 	3<chiso range<8 	26.2752	3.70578	0.141037	0.155896	0.252075	0.058946
65 <pt<400 	3<chiso range<9 	26.2752	3.70578	0.141037	0.19264	0.0961041	0.536947
65 <pt<400 	3<chiso range<10 	26.2752	3.70578	0.141037	0.177842	0.0888262	0.414346
65 <pt<400 	3<chiso range<11 	26.2752	3.70578	0.141037	0.173638	0.0867478	0.375812
65 <pt<400 	3<chiso range<12 	26.2752	3.70578	0.141037	0.18222	0.0909697	0.452709
65 <pt<400 	3<chiso range<13 	26.2752	3.70578	0.141037	0.181444	0.0905884	0.446049
65 <pt<400 	4<chiso range<9 	26.2752	3.70578	0.141037	0.164423	0.265861	0.0879626
65 <pt<400 	4<chiso range<10 	26.2752	3.70578	0.141037	0.188557	0.0940912	0.50504
65 <pt<400 	4<chiso range<11 	26.2752	3.70578	0.141037	0.153915	0.24887	0.0517452
65 <pt<400 	4<chiso range<12 	26.2752	3.70578	0.141037	0.157494	0.254658	0.0646232
65 <pt<400 	4<chiso range<13 	26.2752	3.70578	0.141037	0.189129	0.0943621	0.509652
65 <pt<400 	5<chiso range<10 	26.2752	3.70578	0.141037	0.194496	0.0970091	0.55107
65 <pt<400 	5<chiso range<11 	26.2752	3.70578	0.141037	0.155512	0.251454	0.0575645
65 <pt<400 	5<chiso range<12 	26.2752	3.70578	0.141037	0.159347	0.257654	0.0710636
65 <pt<400 	5<chiso range<13 	26.2752	3.70578	0.141037	0.192985	0.0962553	0.539688
65 <pt<400 	6<chiso range<11 	26.2752	3.70578	0.141037	0.155253	0.251034	0.0566291
65 <pt<400 	6<chiso range<12 	26.2752	3.70578	0.141037	0.15994	0.258613	0.0730931
