pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	50.9865	42.1841	3.70928	2.37308
20 <pt<25 	3<chiso range<9 	50.9865	42.7404	3.75775	2.19442
20 <pt<25 	3<chiso range<10 	50.9865	40.6119	3.57218	2.90428
20 <pt<25 	3<chiso range<11 	50.9865	40.2857	3.54372	3.01965
20 <pt<25 	3<chiso range<12 	50.9865	39.2048	3.44931	3.41567
20 <pt<25 	3<chiso range<13 	50.9865	39.0052	3.43185	3.49121
20 <pt<25 	4<chiso range<9 	50.9865	41.2715	3.62972	2.67651
20 <pt<25 	4<chiso range<10 	50.9865	38.9569	3.42762	3.50961
20 <pt<25 	4<chiso range<11 	50.9865	38.7402	3.4087	3.59266
20 <pt<25 	4<chiso range<12 	50.9865	37.6438	3.31282	4.0276
20 <pt<25 	4<chiso range<13 	50.9865	37.5088	3.301	4.08291
20 <pt<25 	5<chiso range<10 	50.9865	35.9722	3.16644	4.7417
20 <pt<25 	5<chiso range<11 	50.9865	36.07	3.17504	4.69805
20 <pt<25 	5<chiso range<12 	50.9865	35.0647	3.08699	5.15771
20 <pt<25 	5<chiso range<13 	50.9865	35.0871	3.08894	5.1472
20 <pt<25 	6<chiso range<11 	50.9865	37.9402	3.33873	3.90756
20 <pt<25 	6<chiso range<12 	50.9865	36.3971	3.20369	4.55394
20 <pt<25 	6<chiso range<13 	50.9865	36.308	3.19588	4.59294
20 <pt<25 	7<chiso range<12 	50.9865	35.2114	3.09998	5.08877
20 <pt<25 	7<chiso range<13 	50.9865	35.2296	3.10154	5.08035
20 <pt<25 	8<chiso range<13 	50.9865	34.1299	3.00514	5.60926
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.9405	18.5818	2.6124	2.81684
25 <pt<30 	3<chiso range<9 	25.9405	19.0488	2.67767	2.57377
25 <pt<30 	3<chiso range<10 	25.9405	19.5209	2.74356	2.33988
25 <pt<30 	3<chiso range<11 	25.9405	19.8287	2.7865	2.19336
25 <pt<30 	3<chiso range<12 	25.9405	19.0929	2.68382	2.55144
25 <pt<30 	3<chiso range<13 	25.9405	18.2866	2.57123	2.97675
25 <pt<30 	4<chiso range<9 	25.9405	19.0022	2.67129	2.59736
25 <pt<30 	4<chiso range<10 	25.9405	19.5993	2.75464	2.30201
25 <pt<30 	4<chiso range<11 	25.9405	19.9642	2.80551	2.1302
25 <pt<30 	4<chiso range<12 	25.9405	19.0692	2.6806	2.56334
25 <pt<30 	4<chiso range<13 	25.9405	18.1192	2.54792	3.06968
25 <pt<30 	5<chiso range<10 	25.9405	18.3213	2.57634	2.95737
25 <pt<30 	5<chiso range<11 	25.9405	18.9592	2.66538	2.61925
25 <pt<30 	5<chiso range<12 	25.9405	18.0261	2.53498	3.12208
25 <pt<30 	5<chiso range<13 	25.9405	17.0448	2.39776	3.71
25 <pt<30 	6<chiso range<11 	25.9405	20.4467	2.87265	1.91245
25 <pt<30 	6<chiso range<12 	25.9405	19.0995	2.68483	2.54802
25 <pt<30 	6<chiso range<13 	25.9405	17.7866	2.50143	3.2597
25 <pt<30 	7<chiso range<12 	25.9405	19.5419	2.7466	2.32964
25 <pt<30 	7<chiso range<13 	25.9405	17.8711	2.51327	3.21072
25 <pt<30 	8<chiso range<13 	25.9405	17.8276	2.50719	3.23585
#######################################################################################
30 <pt<35 	3<chiso range<8 	14.7592	10.8812	2.2195	1.74724
30 <pt<35 	3<chiso range<9 	14.7592	10.014	2.04448	2.32098
30 <pt<35 	3<chiso range<10 	14.7592	9.96358	2.03434	2.35733
30 <pt<35 	3<chiso range<11 	14.7592	9.37694	1.91555	2.80977
30 <pt<35 	3<chiso range<12 	14.7592	9.37849	1.91584	2.80854
30 <pt<35 	3<chiso range<13 	14.7592	9.63838	1.96844	2.60146
30 <pt<35 	4<chiso range<9 	14.7592	9.77158	1.99556	2.49936
30 <pt<35 	4<chiso range<10 	14.7592	9.73869	1.98895	2.5242
30 <pt<35 	4<chiso range<11 	14.7592	9.07729	1.8549	3.06319
30 <pt<35 	4<chiso range<12 	14.7592	9.10317	1.86012	3.04068
30 <pt<35 	4<chiso range<13 	14.7592	9.41912	1.9241	2.77537
30 <pt<35 	5<chiso range<10 	14.7592	9.117	1.86315	3.02831
30 <pt<35 	5<chiso range<11 	14.7592	8.41469	1.72057	3.68745
30 <pt<35 	5<chiso range<12 	14.7592	8.50704	1.73928	3.59468
30 <pt<35 	5<chiso range<13 	14.7592	8.91723	1.82244	3.20558
30 <pt<35 	6<chiso range<11 	14.7592	7.68957	1.57324	4.49368
30 <pt<35 	6<chiso range<12 	14.7592	7.88473	1.61289	4.26221
30 <pt<35 	6<chiso range<13 	14.7592	8.43261	1.72411	3.66948
30 <pt<35 	7<chiso range<12 	14.7592	8.74893	1.78823	3.36102
30 <pt<35 	7<chiso range<13 	14.7592	9.34847	1.90972	2.83326
30 <pt<35 	8<chiso range<13 	14.7592	7.58704	1.55219	4.62067
#######################################################################################
35 <pt<65 	3<chiso range<8 	23.3209	16.9192	2.93955	2.17778
35 <pt<65 	3<chiso range<9 	23.3209	16.7971	2.91847	2.23535
35 <pt<65 	3<chiso range<10 	23.3209	16.2602	2.82558	2.49885
35 <pt<65 	3<chiso range<11 	23.3209	16.3304	2.83775	2.4634
35 <pt<65 	3<chiso range<12 	23.3209	16.2581	2.82515	2.49997
35 <pt<65 	3<chiso range<13 	23.3209	15.7943	2.74494	2.74199
35 <pt<65 	4<chiso range<9 	23.3209	16.5818	2.8813	2.33891
35 <pt<65 	4<chiso range<10 	23.3209	15.9439	2.77086	2.66235
35 <pt<65 	4<chiso range<11 	23.3209	16.0668	2.79214	2.59804
35 <pt<65 	4<chiso range<12 	23.3209	16.0055	2.78145	2.63007
35 <pt<65 	4<chiso range<13 	23.3209	15.4744	2.68957	2.91738
35 <pt<65 	5<chiso range<10 	23.3209	16.3515	2.84149	2.45273
35 <pt<65 	5<chiso range<11 	23.3209	16.4587	2.86012	2.39927
35 <pt<65 	5<chiso range<12 	23.3209	16.3264	2.83702	2.46544
35 <pt<65 	5<chiso range<13 	23.3209	15.6716	2.72376	2.80836
35 <pt<65 	6<chiso range<11 	23.3209	15.9059	2.76431	2.68241
35 <pt<65 	6<chiso range<12 	23.3209	15.8421	2.75314	2.71646
35 <pt<65 	6<chiso range<13 	23.3209	15.1375	2.63136	3.10995
35 <pt<65 	7<chiso range<12 	23.3209	15.4102	2.67833	2.95359
35 <pt<65 	7<chiso range<13 	23.3209	14.6283	2.54312	3.41808
35 <pt<65 	8<chiso range<13 	23.3209	14.195	2.46803	3.69765
#######################################################################################
65 <pt<400 	3<chiso range<8 	3.70578	3.33201	5.38596	0.0693971
65 <pt<400 	3<chiso range<9 	3.70578	4.11735	2.04725	0.201036
65 <pt<400 	3<chiso range<10 	3.70578	3.80107	1.89223	0.0503586
65 <pt<400 	3<chiso range<11 	3.70578	3.71122	1.84796	0.00294379
65 <pt<400 	3<chiso range<12 	3.70578	3.89463	1.93789	0.0974514
65 <pt<400 	3<chiso range<13 	3.70578	3.87805	1.92977	0.0892697
65 <pt<400 	4<chiso range<9 	3.70578	3.51425	5.68053	0.0337169
65 <pt<400 	4<chiso range<10 	3.70578	4.03007	2.00438	0.161791
65 <pt<400 	4<chiso range<11 	3.70578	3.28966	5.31749	0.078255
65 <pt<400 	4<chiso range<12 	3.70578	3.36616	5.44116	0.0624168
65 <pt<400 	4<chiso range<13 	3.70578	4.04229	2.01015	0.167405
65 <pt<400 	5<chiso range<10 	3.70578	4.15701	2.06653	0.218352
65 <pt<400 	5<chiso range<11 	3.70578	3.32381	5.37269	0.0710947
65 <pt<400 	5<chiso range<12 	3.70578	3.40576	5.50517	0.0544979
65 <pt<400 	5<chiso range<13 	3.70578	4.12472	2.05047	0.204314
65 <pt<400 	6<chiso range<11 	3.70578	3.31826	5.36373	0.0722482
65 <pt<400 	6<chiso range<12 	3.70578	3.41843	5.52565	0.0520029
65 <pt<400 	6<chiso range<13 	3.70578	4.14215	2.05901	0.211932
65 <pt<400 	7<chiso range<12 	3.70578	4.57001	2.26766	0.381111
65 <pt<400 	7<chiso range<13 	3.70578	4.42387	2.19649	0.326926
65 <pt<400 	8<chiso range<13 	3.70578	3.76554	1.87449	0.0318807
#######################################################################################
