pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.7099	48.145	4.65752	1.40953
20 <pt<25 	3<chiso range<9 	54.7099	47.5366	4.60473	1.55781
20 <pt<25 	3<chiso range<10 	54.7099	44.8595	4.3644	2.25699
20 <pt<25 	3<chiso range<11 	54.7099	46.0103	4.47961	1.94204
20 <pt<25 	3<chiso range<12 	54.7099	45.3057	4.41056	2.1322
20 <pt<25 	3<chiso range<13 	54.7099	44.0918	4.28659	2.47705
20 <pt<25 	4<chiso range<9 	54.7099	51.3004	4.96834	0.686245
20 <pt<25 	4<chiso range<10 	54.7099	47.4042	4.61627	1.5826
20 <pt<25 	4<chiso range<11 	54.7099	48.5983	4.73654	1.29031
20 <pt<25 	4<chiso range<12 	54.7099	47.5547	4.63392	1.54409
20 <pt<25 	4<chiso range<13 	54.7099	45.953	4.47036	1.95888
20 <pt<25 	5<chiso range<10 	54.7099	49.9635	4.90377	0.967908
20 <pt<25 	5<chiso range<11 	54.7099	51.1967	5.02632	0.698961
20 <pt<25 	5<chiso range<12 	54.7099	49.6765	4.87228	1.03307
20 <pt<25 	5<chiso range<13 	54.7099	47.5678	4.65251	1.53511
20 <pt<25 	6<chiso range<11 	54.7099	46.3932	4.61744	1.80115
20 <pt<25 	6<chiso range<12 	54.7099	45.1541	4.4807	2.13266
20 <pt<25 	6<chiso range<13 	54.7099	43.1965	4.26541	2.69925
20 <pt<25 	7<chiso range<12 	54.7099	44.1157	4.36208	2.4287
20 <pt<25 	7<chiso range<13 	54.7099	41.762	4.10693	3.1527
20 <pt<25 	8<chiso range<13 	54.7099	37.6295	3.6898	4.62909
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.058	23.3717	3.39278	0.79177
25 <pt<30 	3<chiso range<9 	26.058	23.2972	3.38835	0.814792
25 <pt<30 	3<chiso range<10 	26.058	22.8773	3.32518	0.95655
25 <pt<30 	3<chiso range<11 	26.058	22.0826	3.20851	1.23902
25 <pt<30 	3<chiso range<12 	26.058	22.0997	3.2055	1.23485
25 <pt<30 	3<chiso range<13 	26.058	22.3465	3.24308	1.14444
25 <pt<30 	4<chiso range<9 	26.058	23.0519	3.35355	0.896393
25 <pt<30 	4<chiso range<10 	26.058	22.5903	3.28373	1.05602
25 <pt<30 	4<chiso range<11 	26.058	21.7126	3.15482	1.37738
25 <pt<30 	4<chiso range<12 	26.058	21.7639	3.15625	1.36051
25 <pt<30 	4<chiso range<13 	26.058	22.059	3.201	1.2493
25 <pt<30 	5<chiso range<10 	26.058	22.135	3.22579	1.21614
25 <pt<30 	5<chiso range<11 	26.058	21.1471	3.07894	1.595
25 <pt<30 	5<chiso range<12 	26.058	21.2692	3.08874	1.55041
25 <pt<30 	5<chiso range<13 	26.058	21.6421	3.14503	1.40409
25 <pt<30 	6<chiso range<11 	26.058	22.1005	3.22126	1.22856
25 <pt<30 	6<chiso range<12 	26.058	22.1284	3.21441	1.22249
25 <pt<30 	6<chiso range<13 	26.058	22.5357	3.27619	1.07512
25 <pt<30 	7<chiso range<12 	26.058	20.6483	3.00668	1.79923
25 <pt<30 	7<chiso range<13 	26.058	21.2598	3.09825	1.54868
25 <pt<30 	8<chiso range<13 	26.058	20.8204	3.02031	1.73413
#######################################################################################
