pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	73.22	78.879	12.8774	0.439452
20  <pt<25 	3<chiso range<9 	73.22	79.6274	12.864	0.498088
20  <pt<25 	3<chiso range<10 	73.22	82.765	12.7877	0.74642
20  <pt<25 	3<chiso range<11 	73.22	81.6926	12.8527	0.659208
20  <pt<25 	3<chiso range<12 	73.22	82.3803	12.8173	0.714682
20  <pt<25 	3<chiso range<13 	73.22	83.4393	12.7426	0.801979
20  <pt<25 	4<chiso range<9 	73.22	75.8563	13.0511	0.201998
20  <pt<25 	4<chiso range<10 	73.22	80.3295	12.9239	0.550105
20  <pt<25 	4<chiso range<11 	73.22	79.2247	12.9946	0.462092
20  <pt<25 	4<chiso range<12 	73.22	80.2397	12.94	0.542481
20  <pt<25 	4<chiso range<13 	73.22	81.6493	12.8404	0.656467
20  <pt<25 	5<chiso range<10 	73.22	78.635	13.1519	0.411728
20  <pt<25 	5<chiso range<11 	73.22	77.4303	13.2208	0.31846
20  <pt<25 	5<chiso range<12 	73.22	78.833	13.1292	0.42752
20  <pt<25 	5<chiso range<13 	73.22	80.6266	12.9872	0.5703
20  <pt<25 	6<chiso range<11 	73.22	83.6838	13.1404	0.796308
20  <pt<25 	6<chiso range<12 	73.22	84.5906	13.0418	0.871858
20  <pt<25 	6<chiso range<13 	73.22	86.0035	12.8867	0.991992
20  <pt<25 	7<chiso range<12 	73.22	85.2239	12.9484	0.927057
20  <pt<25 	7<chiso range<13 	73.22	86.9755	12.7703	1.07715
20  <pt<25 	8<chiso range<13 	73.22	90.7671	12.5465	1.39857
#######################################################################################
25  <pt<30 	3<chiso range<8 	45.2634	47.3186	9.42012	0.218171
25  <pt<30 	3<chiso range<9 	45.2634	47.4861	9.43083	0.235684
25  <pt<30 	3<chiso range<10 	45.2634	47.8646	9.39703	0.276811
25  <pt<30 	3<chiso range<11 	45.2634	48.6347	9.34053	0.360932
25  <pt<30 	3<chiso range<12 	45.2634	48.5321	9.32768	0.35043
25  <pt<30 	3<chiso range<13 	45.2634	48.3153	9.3486	0.326455
25  <pt<30 	4<chiso range<9 	45.2634	47.7359	9.41642	0.262573
25  <pt<30 	4<chiso range<10 	45.2634	48.1501	9.37843	0.307802
25  <pt<30 	4<chiso range<11 	45.2634	48.9999	9.31634	0.40107
25  <pt<30 	4<chiso range<12 	45.2634	48.8538	9.30425	0.385888
25  <pt<30 	4<chiso range<13 	45.2634	48.5923	9.32867	0.356846
25  <pt<30 	5<chiso range<10 	45.2634	48.7295	9.36873	0.369965
25  <pt<30 	5<chiso range<11 	45.2634	49.6632	9.29576	0.473313
25  <pt<30 	5<chiso range<12 	45.2634	49.4135	9.28299	0.447065
25  <pt<30 	5<chiso range<13 	45.2634	49.0781	9.31282	0.409618
25  <pt<30 	6<chiso range<11 	45.2634	48.7669	9.36796	0.373988
25  <pt<30 	6<chiso range<12 	45.2634	48.5706	9.34212	0.35401
25  <pt<30 	6<chiso range<13 	45.2634	48.208	9.3759	0.314061
25  <pt<30 	7<chiso range<12 	45.2634	50.1566	9.26489	0.528144
25  <pt<30 	7<chiso range<13 	45.2634	49.5927	9.31099	0.464967
25  <pt<30 	8<chiso range<13 	45.2634	49.8028	9.24552	0.490984
#######################################################################################
30  <pt<35 	3<chiso range<8 	28.7857	31.9154	7.28027	0.429888
30  <pt<35 	3<chiso range<9 	28.7857	32.5504	7.23196	0.520564
30  <pt<35 	3<chiso range<10 	28.7857	32.5922	7.22704	0.526702
30  <pt<35 	3<chiso range<11 	28.7857	32.4379	7.25334	0.50352
30  <pt<35 	3<chiso range<12 	28.7857	32.8479	7.22685	0.562098
30  <pt<35 	3<chiso range<13 	28.7857	33.2708	7.19126	0.623688
30  <pt<35 	4<chiso range<9 	28.7857	32.1087	7.28252	0.456298
30  <pt<35 	4<chiso range<10 	28.7857	32.2202	7.26918	0.472474
30  <pt<35 	4<chiso range<11 	28.7857	32.0773	7.29728	0.451072
30  <pt<35 	4<chiso range<12 	28.7857	32.598	7.26099	0.525039
30  <pt<35 	4<chiso range<13 	28.7857	33.1072	7.2164	0.598844
30  <pt<35 	5<chiso range<10 	28.7857	32.5418	7.29117	0.515157
30  <pt<35 	5<chiso range<11 	28.7857	32.336	7.32427	0.484731
30  <pt<35 	5<chiso range<12 	28.7857	32.9356	7.27774	0.570218
30  <pt<35 	5<chiso range<13 	28.7857	33.5136	7.22379	0.65449
30  <pt<35 	6<chiso range<11 	28.7857	32.6521	7.30272	0.529447
30  <pt<35 	6<chiso range<12 	28.7857	33.2886	7.25368	0.620775
30  <pt<35 	6<chiso range<13 	28.7857	33.8946	7.19281	0.710279
30  <pt<35 	7<chiso range<12 	28.7857	35.3189	7.13171	0.916078
30  <pt<35 	7<chiso range<13 	28.7857	35.8561	7.07706	0.999059
30  <pt<35 	8<chiso range<13 	28.7857	35.3769	7.07164	0.932061
#######################################################################################
35  <pt<50 	3<chiso range<8 	48.0683	50.8484	8.892	0.312652
35  <pt<50 	3<chiso range<9 	48.0683	52.3165	8.78083	0.483804
35  <pt<50 	3<chiso range<10 	48.0683	52.404	8.76846	0.494465
35  <pt<50 	3<chiso range<11 	48.0683	52.787	8.74158	0.539799
35  <pt<50 	3<chiso range<12 	48.0683	52.6465	8.74438	0.523559
35  <pt<50 	3<chiso range<13 	48.0683	53.1694	8.69025	0.586991
35  <pt<50 	4<chiso range<9 	48.0683	52.7848	8.77868	0.537268
35  <pt<50 	4<chiso range<10 	48.0683	52.8142	8.76347	0.541555
35  <pt<50 	4<chiso range<11 	48.0683	53.2284	8.73185	0.590952
35  <pt<50 	4<chiso range<12 	48.0683	53.0166	8.73565	0.566449
35  <pt<50 	4<chiso range<13 	48.0683	53.5886	8.67308	0.636487
35  <pt<50 	5<chiso range<10 	48.0683	53.628	8.65653	0.642255
35  <pt<50 	5<chiso range<11 	48.0683	53.9936	8.63596	0.686119
35  <pt<50 	5<chiso range<12 	48.0683	53.6722	8.65077	0.647792
35  <pt<50 	5<chiso range<13 	48.0683	54.2548	8.59231	0.720004
35  <pt<50 	6<chiso range<11 	48.0683	55.6622	8.50481	0.892895
35  <pt<50 	6<chiso range<12 	48.0683	55.104	8.53453	0.82438
35  <pt<50 	6<chiso range<13 	48.0683	55.5628	8.4893	0.882817
35  <pt<50 	7<chiso range<12 	48.0683	53.8675	8.63077	0.671922
35  <pt<50 	7<chiso range<13 	48.0683	54.6438	8.55511	0.768605
35  <pt<50 	8<chiso range<13 	48.0683	56.0725	8.4585	0.946291
#######################################################################################
50  <pt<60 	3<chiso range<8 	14.0272	12.3032	10.3528	0.166525
50  <pt<60 	3<chiso range<9 	14.0272	16.1553	4.43812	0.479505
50  <pt<60 	3<chiso range<10 	14.0272	16.071	4.45973	0.458279
50  <pt<60 	3<chiso range<11 	14.0272	16.1553	4.44165	0.479124
50  <pt<60 	3<chiso range<12 	14.0272	15.924	4.48083	0.423314
50  <pt<60 	3<chiso range<13 	14.0272	15.4576	4.53813	0.315196
50  <pt<60 	4<chiso range<9 	14.0272	15.9564	4.45413	0.433126
50  <pt<60 	4<chiso range<10 	14.0272	15.8987	4.47631	0.41809
50  <pt<60 	4<chiso range<11 	14.0272	16.0212	4.45285	0.447803
50  <pt<60 	4<chiso range<12 	14.0272	15.7612	4.49799	0.385506
50  <pt<60 	4<chiso range<13 	14.0272	15.2298	4.5656	0.263405
50  <pt<60 	5<chiso range<10 	14.0272	15.9403	4.48203	0.426838
50  <pt<60 	5<chiso range<11 	14.0272	16.0846	4.45146	0.462185
50  <pt<60 	5<chiso range<12 	14.0272	15.7619	4.50754	0.384844
50  <pt<60 	5<chiso range<13 	14.0272	15.1113	4.59085	0.236144
50  <pt<60 	6<chiso range<11 	14.0272	15.7209	4.50895	0.375631
50  <pt<60 	6<chiso range<12 	14.0272	15.3768	4.57429	0.29504
50  <pt<60 	6<chiso range<13 	14.0272	14.5967	4.67425	0.121838
50  <pt<60 	7<chiso range<12 	14.0272	15.215	4.59566	0.258461
50  <pt<60 	7<chiso range<13 	14.0272	14.2692	4.72647	0.051201
50  <pt<60 	8<chiso range<13 	14.0272	14.3667	4.69891	0.0722508
#######################################################################################
60  <pt<400 	3<chiso range<8 	27.3737	29.1541	5.57968	0.319086
60  <pt<400 	3<chiso range<9 	27.3737	28.7668	5.64626	0.24673
60  <pt<400 	3<chiso range<10 	27.3737	28.6919	5.66027	0.232886
60  <pt<400 	3<chiso range<11 	27.3737	28.7126	5.65642	0.236704
60  <pt<400 	3<chiso range<12 	27.3737	28.8752	5.6356	0.266431
60  <pt<400 	3<chiso range<13 	27.3737	28.9383	5.62015	0.278391
60  <pt<400 	4<chiso range<9 	27.3737	28.0659	5.75672	0.120242
60  <pt<400 	4<chiso range<10 	27.3737	28.0628	5.76096	0.119615
60  <pt<400 	4<chiso range<11 	27.3737	28.1728	5.73581	0.139318
60  <pt<400 	4<chiso range<12 	27.3737	28.4057	5.69173	0.181316
60  <pt<400 	4<chiso range<13 	27.3737	28.5077	5.66187	0.200287
60  <pt<400 	5<chiso range<10 	27.3737	28.1278	5.74624	0.131234
60  <pt<400 	5<chiso range<11 	27.3737	28.2428	5.71982	0.151945
60  <pt<400 	5<chiso range<12 	27.3737	28.4966	5.6715	0.19799
60  <pt<400 	5<chiso range<13 	27.3737	28.6796	5.66235	0.230629
60  <pt<400 	6<chiso range<11 	27.3737	28.1943	5.72669	0.143294
60  <pt<400 	6<chiso range<12 	27.3737	28.5034	5.66822	0.199304
