pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.7099	73.22	48.145	78.879	1.40953	0.439452
20 <pt<25 	3<chiso range<9 	128.137	54.7099	73.22	47.5366	79.6274	1.55781	0.498088
20 <pt<25 	3<chiso range<10 	128.137	54.7099	73.22	44.8595	82.765	2.25699	0.74642
20 <pt<25 	3<chiso range<11 	128.137	54.7099	73.22	46.0103	81.6926	1.94204	0.659208
20 <pt<25 	3<chiso range<12 	128.137	54.7099	73.22	45.3057	82.3803	2.1322	0.714682
20 <pt<25 	3<chiso range<13 	128.137	54.7099	73.22	44.0918	83.4393	2.47705	0.801979
20 <pt<25 	4<chiso range<9 	128.137	54.7099	73.22	51.3004	75.8563	0.686245	0.201998
20 <pt<25 	4<chiso range<10 	128.137	54.7099	73.22	47.4042	80.3295	1.5826	0.550105
20 <pt<25 	4<chiso range<11 	128.137	54.7099	73.22	48.5983	79.2247	1.29031	0.462092
20 <pt<25 	4<chiso range<12 	128.137	54.7099	73.22	47.5547	80.2397	1.54409	0.542481
20 <pt<25 	4<chiso range<13 	128.137	54.7099	73.22	45.953	81.6493	1.95888	0.656467
20 <pt<25 	5<chiso range<10 	128.137	54.7099	73.22	49.9635	78.635	0.967908	0.411728
20 <pt<25 	5<chiso range<11 	128.137	54.7099	73.22	51.1967	77.4303	0.698961	0.31846
20 <pt<25 	5<chiso range<12 	128.137	54.7099	73.22	49.6765	78.833	1.03307	0.42752
20 <pt<25 	5<chiso range<13 	128.137	54.7099	73.22	47.5678	80.6266	1.53511	0.5703
20 <pt<25 	6<chiso range<11 	128.137	54.7099	73.22	46.3932	83.6838	1.80115	0.796308
20 <pt<25 	6<chiso range<12 	128.137	54.7099	73.22	45.1541	84.5906	2.13266	0.871858
20 <pt<25 	6<chiso range<13 	128.137	54.7099	73.22	43.1965	86.0035	2.69925	0.991992
20 <pt<25 	7<chiso range<12 	128.137	54.7099	73.22	44.1157	85.2239	2.4287	0.927057
20 <pt<25 	7<chiso range<13 	128.137	54.7099	73.22	41.762	86.9755	3.1527	1.07715
20 <pt<25 	8<chiso range<13 	128.137	54.7099	73.22	37.6295	90.7671	4.62909	1.39857
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.058	45.2634	23.3717	47.3186	0.79177	0.218171
25 <pt<30 	3<chiso range<9 	71.4077	26.058	45.2634	23.2972	47.4861	0.814792	0.235684
25 <pt<30 	3<chiso range<10 	71.4077	26.058	45.2634	22.8773	47.8646	0.95655	0.276811
25 <pt<30 	3<chiso range<11 	71.4077	26.058	45.2634	22.0826	48.6347	1.23902	0.360932
25 <pt<30 	3<chiso range<12 	71.4077	26.058	45.2634	22.0997	48.5321	1.23485	0.35043
25 <pt<30 	3<chiso range<13 	71.4077	26.058	45.2634	22.3465	48.3153	1.14444	0.326455
25 <pt<30 	4<chiso range<9 	71.4077	26.058	45.2634	23.0519	47.7359	0.896393	0.262573
25 <pt<30 	4<chiso range<10 	71.4077	26.058	45.2634	22.5903	48.1501	1.05602	0.307802
25 <pt<30 	4<chiso range<11 	71.4077	26.058	45.2634	21.7126	48.9999	1.37738	0.40107
25 <pt<30 	4<chiso range<12 	71.4077	26.058	45.2634	21.7639	48.8538	1.36051	0.385888
25 <pt<30 	4<chiso range<13 	71.4077	26.058	45.2634	22.059	48.5923	1.2493	0.356846
25 <pt<30 	5<chiso range<10 	71.4077	26.058	45.2634	22.135	48.7295	1.21614	0.369965
25 <pt<30 	5<chiso range<11 	71.4077	26.058	45.2634	21.1471	49.6632	1.595	0.473313
25 <pt<30 	5<chiso range<12 	71.4077	26.058	45.2634	21.2692	49.4135	1.55041	0.447065
25 <pt<30 	5<chiso range<13 	71.4077	26.058	45.2634	21.6421	49.0781	1.40409	0.409618
25 <pt<30 	6<chiso range<11 	71.4077	26.058	45.2634	22.1005	48.7669	1.22856	0.373988
25 <pt<30 	6<chiso range<12 	71.4077	26.058	45.2634	22.1284	48.5706	1.22249	0.35401
25 <pt<30 	6<chiso range<13 	71.4077	26.058	45.2634	22.5357	48.208	1.07512	0.314061
25 <pt<30 	7<chiso range<12 	71.4077	26.058	45.2634	20.6483	50.1566	1.79923	0.528144
25 <pt<30 	7<chiso range<13 	71.4077	26.058	45.2634	21.2598	49.5927	1.54868	0.464967
25 <pt<30 	8<chiso range<13 	71.4077	26.058	45.2634	20.8204	49.8028	1.73413	0.490984
#######################################################################################
30 <pt<35 	3<chiso range<8 	44.8924	16.0508	28.7857	12.6332	31.9154	1.34317	0.429888
30 <pt<35 	3<chiso range<9 	44.8924	16.0508	28.7857	12.0123	32.5504	1.66746	0.520564
