pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	50.9865	42.7415	5.77588	1.42749
20 <pt<25 	3<chiso range<9 	50.9865	43.1902	5.59445	1.39358
20 <pt<25 	3<chiso range<10 	50.9865	40.9606	5.1296	1.95452
20 <pt<25 	3<chiso range<11 	50.9865	40.5675	4.97239	2.09537
20 <pt<25 	3<chiso range<12 	50.9865	39.5131	4.7499	2.4155
20 <pt<25 	3<chiso range<13 	50.9865	39.3046	4.66987	2.50155
20 <pt<25 	4<chiso range<9 	50.9865	41.7684	5.71233	1.61372
20 <pt<25 	4<chiso range<10 	50.9865	39.3485	5.15223	2.25883
20 <pt<25 	4<chiso range<11 	50.9865	39.0272	4.9711	2.40577
20 <pt<25 	4<chiso range<12 	50.9865	37.9788	4.72212	2.75463
20 <pt<25 	4<chiso range<13 	50.9865	37.866	4.64229	2.8263
20 <pt<25 	5<chiso range<10 	50.9865	36.1475	5.04689	2.94023
20 <pt<25 	5<chiso range<11 	50.9865	36.1613	4.86387	3.04803
20 <pt<25 	5<chiso range<12 	50.9865	35.252	4.59244	3.42617
20 <pt<25 	5<chiso range<13 	50.9865	35.344	4.52225	3.45901
20 <pt<25 	6<chiso range<11 	50.9865	37.6722	5.47003	2.43405
20 <pt<25 	6<chiso range<12 	50.9865	36.3813	5.05162	2.89119
20 <pt<25 	6<chiso range<13 	50.9865	36.4184	4.93351	2.95289
20 <pt<25 	7<chiso range<12 	50.9865	35.0834	5.22015	3.04648
20 <pt<25 	7<chiso range<13 	50.9865	35.193	5.06193	3.12005
20 <pt<25 	8<chiso range<13 	50.9865	33.632	5.15522	3.36639
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.9405	18.1899	3.63269	2.13357
25 <pt<30 	3<chiso range<9 	25.9405	18.5887	3.6026	2.04069
25 <pt<30 	3<chiso range<10 	25.9405	19.1001	3.61774	1.89079
25 <pt<30 	3<chiso range<11 	25.9405	19.4513	3.59494	1.80509
25 <pt<30 	3<chiso range<12 	25.9405	18.7284	3.40567	2.11767
25 <pt<30 	3<chiso range<13 	25.9405	18.0114	3.22913	2.45549
25 <pt<30 	4<chiso range<9 	25.9405	18.3389	3.77627	2.01299
25 <pt<30 	4<chiso range<10 	25.9405	19.0093	3.79056	1.82854
25 <pt<30 	4<chiso range<11 	25.9405	19.468	3.75456	1.7239
25 <pt<30 	4<chiso range<12 	25.9405	18.6017	3.5104	2.09059
25 <pt<30 	4<chiso range<13 	25.9405	17.766	3.29032	2.48441
25 <pt<30 	5<chiso range<10 	25.9405	17.4578	3.66573	2.31405
25 <pt<30 	5<chiso range<11 	25.9405	18.2577	3.6698	2.09352
25 <pt<30 	5<chiso range<12 	25.9405	17.3862	3.39896	2.51674
25 <pt<30 	5<chiso range<13 	25.9405	16.5598	3.16177	2.96691
25 <pt<30 	6<chiso range<11 	25.9405	19.3595	4.11715	1.59844
