pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	122.128	50.9865	33.6466	42.7415	1.13443e-299	1.42749	inf
20 <pt<25 	3<chiso range<9 	122.128	50.9865	33.6466	43.1902	1.13443e-299	1.39358	inf
20 <pt<25 	3<chiso range<10 	122.128	50.9865	33.6466	40.9606	1.13443e-299	1.95452	inf
20 <pt<25 	3<chiso range<11 	122.128	50.9865	33.6466	40.5675	1.13443e-299	2.09537	inf
20 <pt<25 	3<chiso range<12 	122.128	50.9865	33.6466	39.5131	1.13443e-299	2.4155	inf
20 <pt<25 	3<chiso range<13 	122.128	50.9865	33.6466	39.3046	1.13443e-299	2.50155	inf
20 <pt<25 	4<chiso range<9 	122.128	50.9865	33.6466	41.7684	1.13443e-299	1.61372	inf
20 <pt<25 	4<chiso range<10 	122.128	50.9865	33.6466	39.3485	1.13443e-299	2.25883	inf
20 <pt<25 	4<chiso range<11 	122.128	50.9865	33.6466	39.0272	1.13443e-299	2.40577	inf
20 <pt<25 	4<chiso range<12 	122.128	50.9865	33.6466	37.9788	1.13443e-299	2.75463	inf
20 <pt<25 	4<chiso range<13 	122.128	50.9865	33.6466	37.866	1.13443e-299	2.8263	inf
20 <pt<25 	5<chiso range<10 	122.128	50.9865	33.6466	36.1475	1.13443e-299	2.94023	inf
20 <pt<25 	5<chiso range<11 	122.128	50.9865	33.6466	36.1613	1.13443e-299	3.04803	inf
20 <pt<25 	5<chiso range<12 	122.128	50.9865	33.6466	35.252	1.13443e-299	3.42617	inf
20 <pt<25 	5<chiso range<13 	122.128	50.9865	33.6466	35.344	1.13443e-299	3.45901	inf
20 <pt<25 	6<chiso range<11 	122.128	50.9865	33.6466	37.6722	1.13443e-299	2.43405	inf
20 <pt<25 	6<chiso range<12 	122.128	50.9865	33.6466	36.3813	1.13443e-299	2.89119	inf
20 <pt<25 	6<chiso range<13 	122.128	50.9865	33.6466	36.4184	1.13443e-299	2.95289	inf
20 <pt<25 	7<chiso range<12 	122.128	50.9865	33.6466	35.0834	1.13443e-299	3.04648	inf
20 <pt<25 	7<chiso range<13 	122.128	50.9865	33.6466	35.193	1.13443e-299	3.12005	inf
20 <pt<25 	8<chiso range<13 	122.128	50.9865	33.6466	33.632	1.13443e-299	3.36639	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.3187	25.9405	22.5829	18.1899	1.13443e-299	2.13357	inf
25 <pt<30 	3<chiso range<9 	70.3187	25.9405	22.5829	18.5887	1.13443e-299	2.04069	inf
25 <pt<30 	3<chiso range<10 	70.3187	25.9405	22.5829	19.1001	1.13443e-299	1.89079	inf
25 <pt<30 	3<chiso range<11 	70.3187	25.9405	22.5829	19.4513	1.13443e-299	1.80509	inf
25 <pt<30 	3<chiso range<12 	70.3187	25.9405	22.5829	18.7284	1.13443e-299	2.11767	inf
25 <pt<30 	3<chiso range<13 	70.3187	25.9405	22.5829	18.0114	1.13443e-299	2.45549	inf
25 <pt<30 	4<chiso range<9 	70.3187	25.9405	22.5829	18.3389	1.13443e-299	2.01299	inf
25 <pt<30 	4<chiso range<10 	70.3187	25.9405	22.5829	19.0093	1.13443e-299	1.82854	inf
25 <pt<30 	4<chiso range<11 	70.3187	25.9405	22.5829	19.468	1.13443e-299	1.7239	inf
25 <pt<30 	4<chiso range<12 	70.3187	25.9405	22.5829	18.6017	1.13443e-299	2.09059	inf
25 <pt<30 	4<chiso range<13 	70.3187	25.9405	22.5829	17.766	1.13443e-299	2.48441	inf
25 <pt<30 	5<chiso range<10 	70.3187	25.9405	22.5829	17.4578	1.13443e-299	2.31405	inf
25 <pt<30 	5<chiso range<11 	70.3187	25.9405	22.5829	18.2577	1.13443e-299	2.09352	inf
25 <pt<30 	5<chiso range<12 	70.3187	25.9405	22.5829	17.3862	1.13443e-299	2.51674	inf
25 <pt<30 	5<chiso range<13 	70.3187	25.9405	22.5829	16.5598	1.13443e-299	2.96691	inf
25 <pt<30 	6<chiso range<11 	70.3187	25.9405	22.5829	19.3595	1.13443e-299	1.59844	inf
25 <pt<30 	6<chiso range<12 	70.3187	25.9405	22.5829	18.0083	1.13443e-299	2.14712	inf
25 <pt<30 	6<chiso range<13 	70.3187	25.9405	22.5829	16.9631	1.13443e-299	2.66015	inf
25 <pt<30 	7<chiso range<12 	70.3187	25.9405	22.5829	18.3192	1.13443e-299	1.90511	inf
25 <pt<30 	7<chiso range<13 	70.3187	25.9405	22.5829	17.008	1.13443e-299	2.50766	inf
25 <pt<30 	8<chiso range<13 	70.3187	25.9405	22.5829	17.1721	1.13443e-299	2.25824	inf
#######################################################################################
30 <pt<40 	3<chiso range<8 	72.4907	24.0237	26.7286	17.7268	1.13443e-299	1.64152	inf
30 <pt<40 	3<chiso range<9 	72.4907	24.0237	26.7286	16.3244	1.13443e-299	2.23736	inf
30 <pt<40 	3<chiso range<10 	72.4907	24.0237	26.7286	16.2949	1.13443e-299	2.29603	inf
30 <pt<40 	3<chiso range<11 	72.4907	24.0237	26.7286	15.9126	1.13443e-299	2.50429	inf
30 <pt<40 	3<chiso range<12 	72.4907	24.0237	26.7286	15.8412	1.13443e-299	2.57027	inf
30 <pt<40 	3<chiso range<13 	72.4907	24.0237	26.7286	16.0482	1.13443e-299	2.50233	inf
