pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.1607	54.303	0.602291	0.510658	0.0584658	1.5673
20 <pt<25 	3<chiso range<9 	90.1607	54.303	0.602291	0.502803	0.0576279	1.72639
20 <pt<25 	3<chiso range<10 	90.1607	54.303	0.602291	0.470263	0.0541432	2.4385
20 <pt<25 	3<chiso range<11 	90.1607	54.303	0.602291	0.482276	0.0556322	2.1573
20 <pt<25 	3<chiso range<12 	90.1607	54.303	0.602291	0.471342	0.0543319	2.41017
20 <pt<25 	3<chiso range<13 	90.1607	54.303	0.602291	0.458927	0.0528016	2.71515
20 <pt<25 	4<chiso range<9 	90.1607	54.303	0.602291	0.536382	0.0615031	1.07164
20 <pt<25 	4<chiso range<10 	90.1607	54.303	0.602291	0.491124	0.056671	1.96162
20 <pt<25 	4<chiso range<11 	90.1607	54.303	0.602291	0.503642	0.0582094	1.69473
20 <pt<25 	4<chiso range<12 	90.1607	54.303	0.602291	0.489206	0.0565203	2.00079
20 <pt<25 	4<chiso range<13 	90.1607	54.303	0.602291	0.472822	0.0544654	2.37709
20 <pt<25 	5<chiso range<10 	90.1607	54.303	0.602291	0.513674	0.0600014	1.47692
20 <pt<25 	5<chiso range<11 	90.1607	54.303	0.602291	0.526969	0.0616105	1.22256
20 <pt<25 	5<chiso range<12 	90.1607	54.303	0.602291	0.507107	0.0591861	1.60822
20 <pt<25 	5<chiso range<13 	90.1607	54.303	0.602291	0.486087	0.0564659	2.05795
20 <pt<25 	6<chiso range<11 	90.1607	54.303	0.602291	0.471413	0.0560778	2.33387
20 <pt<25 	6<chiso range<12 	90.1607	54.303	0.602291	0.455082	0.0538916	2.73158
20 <pt<25 	6<chiso range<13 	90.1607	54.303	0.602291	0.437058	0.0514014	3.21457
20 <pt<25 	7<chiso range<12 	90.1607	54.303	0.602291	0.442092	0.0520121	3.08004
20 <pt<25 	7<chiso range<13 	90.1607	54.303	0.602291	0.420704	0.049137	3.69553
20 <pt<25 	8<chiso range<13 	90.1607	54.303	0.602291	0.379611	0.0440802	5.05171
#######################################################################################
25 <pt<30 	3<chiso range<8 	48.8435	25.7279	0.526742	0.45234	0.0750962	0.99075
25 <pt<30 	3<chiso range<9 	48.8435	25.7279	0.526742	0.447935	0.0745006	1.0578
25 <pt<30 	3<chiso range<10 	48.8435	25.7279	0.526742	0.442567	0.0735201	1.14492
25 <pt<30 	3<chiso range<11 	48.8435	25.7279	0.526742	0.42897	0.0712054	1.37309
25 <pt<30 	3<chiso range<12 	48.8435	25.7279	0.526742	0.429771	0.0711676	1.36257
25 <pt<30 	3<chiso range<13 	48.8435	25.7279	0.526742	0.434957	0.0720754	1.27345
25 <pt<30 	4<chiso range<9 	48.8435	25.7279	0.526742	0.438441	0.0729201	1.21092
25 <pt<30 	4<chiso range<10 	48.8435	25.7279	0.526742	0.433267	0.0719648	1.29889
25 <pt<30 	4<chiso range<11 	48.8435	25.7279	0.526742	0.418711	0.0694855	1.55472
25 <pt<30 	4<chiso range<12 	48.8435	25.7279	0.526742	0.420446	0.0695917	1.52742
25 <pt<30 	4<chiso range<13 	48.8435	25.7279	0.526742	0.426765	0.0706907	1.41428
25 <pt<30 	5<chiso range<10 	48.8435	25.7279	0.526742	0.428517	0.0713895	1.3759
25 <pt<30 	5<chiso range<11 	48.8435	25.7279	0.526742	0.411615	0.0684651	1.68154
25 <pt<30 	5<chiso range<12 	48.8435	25.7279	0.526742	0.414453	0.0686974	1.63454
25 <pt<30 	5<chiso range<13 	48.8435	25.7279	0.526742	0.422206	0.0700433	1.49244
25 <pt<30 	6<chiso range<11 	48.8435	25.7279	0.526742	0.429319	0.0715312	1.36196
25 <pt<30 	6<chiso range<12 	48.8435	25.7279	0.526742	0.430674	0.0714245	1.34502
25 <pt<30 	6<chiso range<13 	48.8435	25.7279	0.526742	0.439354	0.0729372	1.19812
25 <pt<30 	7<chiso range<12 	48.8435	25.7279	0.526742	0.401034	0.0666694	1.88554
25 <pt<30 	7<chiso range<13 	48.8435	25.7279	0.526742	0.41383	0.0688715	1.63945
25 <pt<30 	8<chiso range<13 	48.8435	25.7279	0.526742	0.40786	0.067413	1.76348
#######################################################################################
30 <pt<35 	3<chiso range<8 	32.2683	15.9332	0.493773	0.358151	0.0806011	1.68263
30 <pt<35 	3<chiso range<9 	32.2683	15.9332	0.493773	0.339025	0.0763857	2.02587
30 <pt<35 	3<chiso range<10 	32.2683	15.9332	0.493773	0.336566	0.0758341	2.07303
30 <pt<35 	3<chiso range<11 	32.2683	15.9332	0.493773	0.343081	0.0774714	1.94512
30 <pt<35 	3<chiso range<12 	32.2683	15.9332	0.493773	0.330918	0.0748706	2.17515
30 <pt<35 	3<chiso range<13 	32.2683	15.9332	0.493773	0.31929	0.0722297	2.41566
30 <pt<35 	4<chiso range<9 	32.2683	15.9332	0.493773	0.353487	0.0798063	1.75783
30 <pt<35 	4<chiso range<10 	32.2683	15.9332	0.493773	0.348487	0.0786637	1.84692
30 <pt<35 	4<chiso range<11 	32.2683	15.9332	0.493773	0.355019	0.0803381	1.72712
30 <pt<35 	4<chiso range<12 	32.2683	15.9332	0.493773	0.339432	0.076978	2.005
30 <pt<35 	4<chiso range<13 	32.2683	15.9332	0.493773	0.325314	0.0737572	2.28396
30 <pt<35 	5<chiso range<10 	32.2683	15.9332	0.493773	0.344074	0.078261	1.91281
30 <pt<35 	5<chiso range<11 	32.2683	15.9332	0.493773	0.352515	0.0803961	1.75702
30 <pt<35 	5<chiso range<12 	32.2683	15.9332	0.493773	0.333976	0.0763076	2.09411
30 <pt<35 	5<chiso range<13 	32.2683	15.9332	0.493773	0.317628	0.0724942	2.42977
30 <pt<35 	6<chiso range<11 	32.2683	15.9332	0.493773	0.348508	0.0795422	1.82626
30 <pt<35 	6<chiso range<12 	32.2683	15.9332	0.493773	0.327825	0.0749666	2.21362
30 <pt<35 	6<chiso range<13 	32.2683	15.9332	0.493773	0.309802	0.0707526	2.60019
30 <pt<35 	7<chiso range<12 	32.2683	15.9332	0.493773	0.271471	0.0626299	3.54945
30 <pt<35 	7<chiso range<13 	32.2683	15.9332	0.493773	0.255421	0.0587591	4.05642
30 <pt<35 	8<chiso range<13 	32.2683	15.9332	0.493773	0.259324	0.0591707	3.96224
#######################################################################################
35 <pt<50 	3<chiso range<8 	44.7766	17.1466	0.382937	0.323127	0.0743475	0.80446
35 <pt<50 	3<chiso range<9 	44.7766	17.1466	0.382937	0.292961	0.0675999	1.331
35 <pt<50 	3<chiso range<10 	44.7766	17.1466	0.382937	0.289557	0.0668021	1.39785
35 <pt<50 	3<chiso range<11 	44.7766	17.1466	0.382937	0.280659	0.0647963	1.57845
35 <pt<50 	3<chiso range<12 	44.7766	17.1466	0.382937	0.284326	0.0655696	1.50391
35 <pt<50 	3<chiso range<13 	44.7766	17.1466	0.382937	0.272263	0.0627141	1.76473
35 <pt<50 	4<chiso range<9 	44.7766	17.1466	0.382937	0.281604	0.0654928	1.54723
35 <pt<50 	4<chiso range<10 	44.7766	17.1466	0.382937	0.279197	0.0648373	1.6
35 <pt<50 	4<chiso range<11 	44.7766	17.1466	0.382937	0.26968	0.0626307	1.80832
35 <pt<50 	4<chiso range<12 	44.7766	17.1466	0.382937	0.275086	0.06376	1.69151
35 <pt<50 	4<chiso range<13 	44.7766	17.1466	0.382937	0.261827	0.0605482	2.00022
35 <pt<50 	5<chiso range<10 	44.7766	17.1466	0.382937	0.257477	0.0594156	2.11156
35 <pt<50 	5<chiso range<11 	44.7766	17.1466	0.382937	0.249458	0.0576239	2.31638
35 <pt<50 	5<chiso range<12 	44.7766	17.1466	0.382937	0.257798	0.0594529	2.10484
35 <pt<50 	5<chiso range<13 	44.7766	17.1466	0.382937	0.244495	0.0562914	2.45937
35 <pt<50 	6<chiso range<11 	44.7766	17.1466	0.382937	0.213754	0.0494071	3.42426
35 <pt<50 	6<chiso range<12 	44.7766	17.1466	0.382937	0.227058	0.0523856	2.9756
35 <pt<50 	6<chiso range<13 	44.7766	17.1466	0.382937	0.216416	0.0498326	3.3416
35 <pt<50 	7<chiso range<12 	44.7766	17.1466	0.382937	0.253215	0.0584014	2.22121
35 <pt<50 	7<chiso range<13 	44.7766	17.1466	0.382937	0.235775	0.0542504	2.71264
35 <pt<50 	8<chiso range<13 	44.7766	17.1466	0.382937	0.2066	0.0476383	3.70157
#######################################################################################
50 <pt<60 	3<chiso range<8 	14.4018	4.79861	0.333195	0.179999	0.0811991	1.88667
50 <pt<60 	3<chiso range<9 	14.4018	4.79861	0.333195	0.182276	0.0818288	1.84433
50 <pt<60 	3<chiso range<10 	14.4018	4.79861	0.333195	0.186588	0.0840505	1.74427
50 <pt<60 	3<chiso range<11 	14.4018	4.79861	0.333195	0.177709	0.0799937	1.94373
50 <pt<60 	3<chiso range<12 	14.4018	4.79861	0.333195	0.194007	0.0873907	1.59271
50 <pt<60 	3<chiso range<13 	14.4018	4.79861	0.333195	0.219829	0.0984924	1.15101
50 <pt<60 	4<chiso range<9 	14.4018	4.79861	0.333195	0.185999	0.0830273	1.77286
50 <pt<60 	4<chiso range<10 	14.4018	4.79861	0.333195	0.190314	0.0853764	1.67354
50 <pt<60 	4<chiso range<11 	14.4018	4.79861	0.333195	0.179517	0.0805158	1.90867
