pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.1607	54.303	35.8359	44.7779	44.4521	1.92638	0.750109
20 <pt<25 	3<chiso range<9 	90.1607	54.303	35.8359	44.0891	45.2265	2.09555	0.820061
20 <pt<25 	3<chiso range<10 	90.1607	54.303	35.8359	41.2358	48.45	2.85255	1.11569
20 <pt<25 	3<chiso range<11 	90.1607	54.303	35.8359	42.2892	47.572	2.55203	1.02946
20 <pt<25 	3<chiso range<12 	90.1607	54.303	35.8359	41.3304	48.4423	2.82181	1.11293
20 <pt<25 	3<chiso range<13 	90.1607	54.303	35.8359	40.2418	49.3382	3.14768	1.20199
20 <pt<25 	4<chiso range<9 	90.1607	54.303	35.8359	47.0336	42.3553	1.39742	0.558919
20 <pt<25 	4<chiso range<10 	90.1607	54.303	35.8359	43.065	46.8417	2.34342	0.96061
20 <pt<25 	4<chiso range<11 	90.1607	54.303	35.8359	44.1627	45.8858	2.05839	0.869858
20 <pt<25 	4<chiso range<12 	90.1607	54.303	35.8359	42.8968	47.0936	2.38462	0.982227
20 <pt<25 	4<chiso range<13 	90.1607	54.303	35.8359	41.4602	48.2286	2.78687	1.09377
20 <pt<25 	5<chiso range<10 	90.1607	54.303	35.8359	45.0423	46.0254	1.82229	0.8685
20 <pt<25 	5<chiso range<11 	90.1607	54.303	35.8359	46.2082	44.9301	1.55117	0.768779
20 <pt<25 	5<chiso range<12 	90.1607	54.303	35.8359	44.4665	46.4773	1.96238	0.910705
20 <pt<25 	5<chiso range<13 	90.1607	54.303	35.8359	42.6233	47.8511	2.44318	1.04451
20 <pt<25 	6<chiso range<11 	90.1607	54.303	35.8359	41.3366	51.3382	2.7265	1.32924
20 <pt<25 	6<chiso range<12 	90.1607	54.303	35.8359	39.9046	52.3195	3.15143	1.43141
20 <pt<25 	6<chiso range<13 	90.1607	54.303	35.8359	38.3241	53.2308	3.66856	1.53439
20 <pt<25 	7<chiso range<12 	90.1607	54.303	35.8359	38.7656	52.7878	3.52523	1.4905
20 <pt<25 	7<chiso range<13 	90.1607	54.303	35.8359	36.8901	53.9656	4.18409	1.62266
20 <pt<25 	8<chiso range<13 	90.1607	54.303	35.8359	33.2868	56.9984	5.63161	1.94476
#######################################################################################
25 <pt<30 	3<chiso range<8 	48.8435	25.7279	23.1041	21.5674	26.5549	1.19685	0.419428
25 <pt<30 	3<chiso range<9 	48.8435	25.7279	23.1041	21.3574	26.8382	1.26718	0.454131
