pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.4649	44.6764	4.93715	1.98262
20 <pt<25 	3<chiso range<9 	54.4649	44.0297	4.87221	2.14178
20 <pt<25 	3<chiso range<10 	54.4649	41.1571	4.57564	2.9084
20 <pt<25 	3<chiso range<11 	54.4649	42.2139	4.70265	2.60513
20 <pt<25 	3<chiso range<12 	54.4649	41.2606	4.59291	2.87493
20 <pt<25 	3<chiso range<13 	54.4649	40.176	4.46308	3.20158
20 <pt<25 	4<chiso range<9 	54.4649	47.0625	5.20969	1.42089
20 <pt<25 	4<chiso range<10 	54.4649	43.0541	4.79721	2.37863
20 <pt<25 	4<chiso range<11 	54.4649	44.1513	4.92803	2.09284
20 <pt<25 	4<chiso range<12 	54.4649	42.8859	4.7849	2.4199
20 <pt<25 	4<chiso range<13 	54.4649	41.4508	4.61005	2.82298
20 <pt<25 	5<chiso range<10 	54.4649	45.0283	5.08361	1.85628
20 <pt<25 	5<chiso range<11 	54.4649	46.1937	5.2203	1.58443
20 <pt<25 	5<chiso range<12 	54.4649	44.453	5.01425	1.99669
20 <pt<25 	5<chiso range<13 	54.4649	42.6121	4.78231	2.47847
20 <pt<25 	6<chiso range<11 	54.4649	41.2878	4.75121	2.77342
20 <pt<25 	6<chiso range<12 	54.4649	39.8612	4.56522	3.1989
20 <pt<25 	6<chiso range<13 	54.4649	38.2854	4.35267	3.71714
20 <pt<25 	7<chiso range<12 	54.4649	38.7532	4.40902	3.56354
20 <pt<25 	7<chiso range<13 	54.4649	36.8795	4.16315	4.22406
20 <pt<25 	8<chiso range<13 	54.4649	33.2782	3.73312	5.67533
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.8089	21.5924	3.47883	1.21205
25 <pt<30 	3<chiso range<9 	25.8089	21.3821	3.45162	1.28253
25 <pt<30 	3<chiso range<10 	25.8089	21.1004	3.40116	1.38438
25 <pt<30 	3<chiso range<11 	25.8089	20.4547	3.2944	1.62524
25 <pt<30 	3<chiso range<12 	25.8089	20.4737	3.28867	1.6223
25 <pt<30 	3<chiso range<13 	25.8089	20.7225	3.33106	1.52696
25 <pt<30 	4<chiso range<9 	25.8089	20.929	3.37839	1.44445
25 <pt<30 	4<chiso range<10 	25.8089	20.6526	3.32837	1.5492
25 <pt<30 	4<chiso range<11 	25.8089	19.9621	3.21416	1.81908
25 <pt<30 	4<chiso range<12 	25.8089	20.0237	3.21471	1.7996
25 <pt<30 	4<chiso range<13 	25.8089	20.3269	3.26602	1.6785
25 <pt<30 	5<chiso range<10 	25.8089	20.4192	3.301	1.63275
25 <pt<30 	5<chiso range<11 	25.8089	19.6188	3.16642	1.95492
25 <pt<30 	5<chiso range<12 	25.8089	19.7297	3.17207	1.91648
25 <pt<30 	5<chiso range<13 	25.8089	20.1019	3.23493	1.76418
25 <pt<30 	6<chiso range<11 	25.8089	20.5095	3.31443	1.59889
25 <pt<30 	6<chiso range<12 	25.8089	20.5349	3.30189	1.59727
25 <pt<30 	6<chiso range<13 	25.8089	20.9509	3.37247	1.44049
25 <pt<30 	7<chiso range<12 	25.8089	19.1173	3.08116	2.17178
25 <pt<30 	7<chiso range<13 	25.8089	19.7302	3.18376	1.90928
25 <pt<30 	8<chiso range<13 	25.8089	19.3722	3.10441	2.07341
#######################################################################################
30 <pt<35 	3<chiso range<8 	15.9332	11.5152	2.5312	1.74542
30 <pt<35 	3<chiso range<9 	15.9332	10.8933	2.39745	2.10219
30 <pt<35 	3<chiso range<10 	15.9332	10.8071	2.37859	2.1551
30 <pt<35 	3<chiso range<11 	15.9332	11.01	2.42882	2.02699
30 <pt<35 	3<chiso range<12 	15.9332	10.6169	2.3469	2.26524
30 <pt<35 	3<chiso range<13 	15.9332	10.2429	2.2639	2.51349
30 <pt<35 	4<chiso range<9 	15.9332	11.2877	2.48967	1.86591
30 <pt<35 	4<chiso range<10 	15.9332	11.128	2.45401	1.9581
30 <pt<35 	4<chiso range<11 	15.9332	11.3366	2.50654	1.83384
30 <pt<35 	4<chiso range<12 	15.9332	10.8389	2.40195	2.1209
30 <pt<35 	4<chiso range<13 	15.9332	10.3881	2.30143	2.40942
30 <pt<35 	5<chiso range<10 	15.9332	10.9871	2.44232	2.02516
30 <pt<35 	5<chiso range<11 	15.9332	11.2567	2.50927	1.86369
30 <pt<35 	5<chiso range<12 	15.9332	10.6647	2.38187	2.21192
30 <pt<35 	5<chiso range<13 	15.9332	10.1426	2.26272	2.55913
30 <pt<35 	6<chiso range<11 	15.9332	11.1287	2.48271	1.93518
30 <pt<35 	6<chiso range<12 	15.9332	10.4682	2.3401	2.33537
30 <pt<35 	6<chiso range<13 	15.9332	9.89272	2.20843	2.73519
30 <pt<35 	7<chiso range<12 	15.9332	8.66872	1.9558	3.71433
30 <pt<35 	7<chiso range<13 	15.9332	8.1562	1.83469	4.23886
30 <pt<35 	8<chiso range<13 	15.9332	8.28084	1.84684	4.14349
#######################################################################################
35 <pt<50 	3<chiso range<8 	17.1466	14.3322	3.25134	0.865612
35 <pt<50 	3<chiso range<9 	17.1466	13.0043	2.95869	1.40005
35 <pt<50 	3<chiso range<10 	17.1466	12.9026	2.93493	1.44603
35 <pt<50 	3<chiso range<11 	17.1466	12.5379	2.85454	1.61452
35 <pt<50 	3<chiso range<12 	17.1466	12.6991	2.88787	1.54006
35 <pt<50 	3<chiso range<13 	17.1466	12.1603	2.76194	1.80536
35 <pt<50 	4<chiso range<9 	17.1466	12.5134	2.87134	1.6136
35 <pt<50 	4<chiso range<10 	17.1466	12.466	2.8557	1.63904
35 <pt<50 	4<chiso range<11 	17.1466	12.0758	2.76699	1.83261
35 <pt<50 	4<chiso range<12 	17.1466	12.3121	2.81521	1.71728
35 <pt<50 	4<chiso range<13 	17.1466	11.7168	2.6726	2.03165
35 <pt<50 	5<chiso range<10 	17.1466	11.5056	2.6187	2.15412
35 <pt<50 	5<chiso range<11 	17.1466	11.1856	2.54898	2.33858
35 <pt<50 	5<chiso range<12 	17.1466	11.5507	2.62753	2.12972
35 <pt<50 	5<chiso range<13 	17.1466	10.9516	2.4868	2.49115
35 <pt<50 	6<chiso range<11 	17.1466	9.63296	2.19581	3.42181
