pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	73.22	75.4524	13.0309	0.171316
20  <pt<25 	3<chiso range<9 	73.22	76.7002	13.0035	0.267636
20  <pt<25 	3<chiso range<10 	73.22	79.93	12.9221	0.519265
20  <pt<25 	3<chiso range<11 	73.22	78.9673	12.9792	0.442808
20  <pt<25 	3<chiso range<12 	73.22	79.7139	12.9408	0.501816
20  <pt<25 	3<chiso range<13 	73.22	80.9313	12.8568	0.599784
20  <pt<25 	4<chiso range<9 	73.22	74.1893	13.1307	0.0738194
20  <pt<25 	4<chiso range<10 	73.22	78.5697	13.0084	0.41125
20  <pt<25 	4<chiso range<11 	73.22	77.5139	13.0723	0.328473
20  <pt<25 	4<chiso range<12 	73.22	78.5199	13.0186	0.407102
20  <pt<25 	4<chiso range<13 	73.22	80.0467	12.9122	0.528702
20  <pt<25 	5<chiso range<10 	73.22	77.7417	13.1943	0.342701
20  <pt<25 	5<chiso range<11 	73.22	76.5091	13.2575	0.248094
20  <pt<25 	5<chiso range<12 	73.22	77.8242	13.172	0.349544
20  <pt<25 	5<chiso range<13 	73.22	79.6939	13.0262	0.496991
20  <pt<25 	6<chiso range<11 	73.22	82.7345	13.1919	0.721238
20  <pt<25 	6<chiso range<12 	73.22	83.549	13.0984	0.78857
20  <pt<25 	6<chiso range<13 	73.22	85.0522	12.9368	0.914616
20  <pt<25 	7<chiso range<12 	73.22	84.5444	13.0019	0.87098
20  <pt<25 	7<chiso range<13 	73.22	86.3552	12.8161	1.0249
20  <pt<25 	8<chiso range<13 	73.22	89.7911	12.6035	1.3148
#######################################################################################
25  <pt<30 	3<chiso range<8 	45.2634	45.0842	9.56079	0.0187432
25  <pt<30 	3<chiso range<9 	45.2634	45.378	9.5683	0.011977
25  <pt<30 	3<chiso range<10 	45.2634	45.9538	9.51946	0.0725251
25  <pt<30 	3<chiso range<11 	45.2634	46.9019	9.45335	0.173325
25  <pt<30 	3<chiso range<12 	45.2634	46.9071	9.43324	0.174246
25  <pt<30 	3<chiso range<13 	45.2634	46.6964	9.4548	0.151563
25  <pt<30 	4<chiso range<9 	45.2634	46.17	9.52153	0.0952158
25  <pt<30 	4<chiso range<10 	45.2634	46.7492	9.47171	0.156867
25  <pt<30 	4<chiso range<11 	45.2634	47.7417	9.4026	0.263576
25  <pt<30 	4<chiso range<12 	45.2634	47.6751	9.38395	0.257003
25  <pt<30 	4<chiso range<13 	45.2634	47.3994	9.41021	0.226987
25  <pt<30 	5<chiso range<10 	45.2634	47.3776	9.46002	0.223488
25  <pt<30 	5<chiso range<11 	45.2634	48.4768	9.37887	0.342621
25  <pt<30 	5<chiso range<12 	45.2634	48.3129	9.35948	0.325819
25  <pt<30 	5<chiso range<13 	45.2634	47.9569	9.39171	0.286795
25  <pt<30 	6<chiso range<11 	45.2634	47.8382	9.43689	0.272844
25  <pt<30 	6<chiso range<12 	45.2634	47.7159	9.40376	0.2608
25  <pt<30 	6<chiso range<13 	45.2634	47.3102	9.44139	0.21679
25  <pt<30 	7<chiso range<12 	45.2634	49.2904	9.32625	0.431792
25  <pt<30 	7<chiso range<13 	45.2634	48.6777	9.37691	0.364118
25  <pt<30 	8<chiso range<13 	45.2634	49.1005	9.30387	0.41242
#######################################################################################
30  <pt<35 	3<chiso range<8 	28.7857	30.8612	7.36308	0.281879
30  <pt<35 	3<chiso range<9 	28.7857	31.4586	7.31617	0.365341
30  <pt<35 	3<chiso range<10 	28.7857	31.5413	7.3087	0.37703
30  <pt<35 	3<chiso range<11 	28.7857	31.424	7.3323	0.359819
30  <pt<35 	3<chiso range<12 	28.7857	31.9558	7.29357	0.434643
30  <pt<35 	3<chiso range<13 	28.7857	32.3599	7.25819	0.492437
30  <pt<35 	4<chiso range<9 	28.7857	31.0601	7.36935	0.30863
30  <pt<35 	4<chiso range<10 	28.7857	31.2165	7.35241	0.330613
30  <pt<35 	4<chiso range<11 	28.7857	31.1133	7.37718	0.315514
30  <pt<35 	4<chiso range<12 	28.7857	31.778	7.32579	0.408461
30  <pt<35 	4<chiso range<13 	28.7857	32.2634	7.28154	0.477605
30  <pt<35 	5<chiso range<10 	28.7857	31.6706	7.36175	0.391877
30  <pt<35 	5<chiso range<11 	28.7857	31.4953	7.392	0.366558
30  <pt<35 	5<chiso range<12 	28.7857	32.2494	7.32936	0.472579
30  <pt<35 	5<chiso range<13 	28.7857	32.7888	7.27713	0.550093
30  <pt<35 	6<chiso range<11 	28.7857	31.8591	7.36802	0.417127
30  <pt<35 	6<chiso range<12 	28.7857	32.6643	7.30144	0.53121
30  <pt<35 	6<chiso range<13 	28.7857	33.2378	7.24627	0.614399
30  <pt<35 	7<chiso range<12 	28.7857	34.7002	7.1725	0.824608
30  <pt<35 	7<chiso range<13 	28.7857	35.1958	7.12334	0.899873
30  <pt<35 	8<chiso range<13 	28.7857	34.7068	7.11906	0.831725
#######################################################################################
35  <pt<50 	3<chiso range<8 	48.0683	49.4958	9.04279	0.157861
35  <pt<50 	3<chiso range<9 	48.0683	50.8712	8.90643	0.314705
35  <pt<50 	3<chiso range<10 	48.0683	51.0948	8.89027	0.340428
35  <pt<50 	3<chiso range<11 	48.0683	51.56	8.85345	0.394389
35  <pt<50 	3<chiso range<12 	48.0683	51.4959	8.8492	0.387334
35  <pt<50 	3<chiso range<13 	48.0683	52.0862	8.78407	0.457408
35  <pt<50 	4<chiso range<9 	48.0683	51.7684	8.87447	0.416938
35  <pt<50 	4<chiso range<10 	48.0683	51.8308	8.85503	0.4249
35  <pt<50 	4<chiso range<11 	48.0683	52.2973	8.81567	0.479714
35  <pt<50 	4<chiso range<12 	48.0683	52.1501	8.81366	0.463122
35  <pt<50 	4<chiso range<13 	48.0683	52.7693	8.74192	0.537754
35  <pt<50 	5<chiso range<10 	48.0683	52.9088	8.71929	0.555148
35  <pt<50 	5<chiso range<11 	48.0683	53.3016	8.69484	0.601886
35  <pt<50 	5<chiso range<12 	48.0683	53.0318	8.70544	0.570161
35  <pt<50 	5<chiso range<13 	48.0683	53.6428	8.64041	0.645166
35  <pt<50 	6<chiso range<11 	48.0683	55.0729	8.55146	0.819112
35  <pt<50 	6<chiso range<12 	48.0683	54.5612	8.57827	0.756901
35  <pt<50 	6<chiso range<13 	48.0683	55.0419	8.52724	0.817803
35  <pt<50 	7<chiso range<12 	48.0683	53.2898	8.67781	0.601707
35  <pt<50 	7<chiso range<13 	48.0683	54.1022	8.59343	0.702153
35  <pt<50 	8<chiso range<13 	48.0683	55.478	8.49711	0.872026
#######################################################################################
50  <pt<60 	3<chiso range<8 	14.0272	15.7693	4.50503	0.386701
50  <pt<60 	3<chiso range<9 	14.0272	15.7899	4.49156	0.392447
50  <pt<60 	3<chiso range<10 	14.0272	15.7805	4.50298	0.389364
50  <pt<60 	3<chiso range<11 	14.0272	15.8949	4.47967	0.416928
50  <pt<60 	3<chiso range<12 	14.0272	15.7266	4.50997	0.37681
50  <pt<60 	3<chiso range<13 	14.0272	15.2773	4.56654	0.273752
50  <pt<60 	4<chiso range<9 	14.0272	15.6382	4.49971	0.358023
50  <pt<60 	4<chiso range<10 	14.0272	15.6587	4.51122	0.361654
50  <pt<60 	4<chiso range<11 	14.0272	15.8109	4.48278	0.3979
50  <pt<60 	4<chiso range<12 	14.0272	15.62	4.51782	0.352559
50  <pt<60 	4<chiso range<13 	14.0272	15.1047	4.58448	0.235032
50  <pt<60 	5<chiso range<10 	14.0272	15.8481	4.49531	0.405067
50  <pt<60 	5<chiso range<11 	14.0272	16.0048	4.46292	0.443118
50  <pt<60 	5<chiso range<12 	14.0272	15.7553	4.50703	0.383423
50  <pt<60 	5<chiso range<13 	14.0272	15.1227	4.58763	0.238794
50  <pt<60 	6<chiso range<11 	14.0272	15.6327	4.52248	0.355004
50  <pt<60 	6<chiso range<12 	14.0272	15.3791	4.5718	0.295704
50  <pt<60 	6<chiso range<13 	14.0272	14.6197	4.66796	0.126929
50  <pt<60 	7<chiso range<12 	14.0272	15.3596	4.56963	0.291577
50  <pt<60 	7<chiso range<13 	14.0272	14.432	4.69313	0.0862537
50  <pt<60 	8<chiso range<13 	14.0272	14.5634	4.65938	0.11508
#######################################################################################
60  <pt<400 	3<chiso range<8 	27.3737	28.6972	5.61715	0.235618
60  <pt<400 	3<chiso range<9 	27.3737	28.354	5.68992	0.172287
60  <pt<400 	3<chiso range<10 	27.3737	28.2991	5.70508	0.162206
60  <pt<400 	3<chiso range<11 	27.3737	28.3637	5.69049	0.173974
60  <pt<400 	3<chiso range<12 	27.3737	28.5205	5.66001	0.202614
60  <pt<400 	3<chiso range<13 	27.3737	28.6477	5.66222	0.225
60  <pt<400 	4<chiso range<9 	27.3737	27.917	5.80778	0.0935469
60  <pt<400 	4<chiso range<10 	27.3737	27.9152	5.81482	0.0931241
60  <pt<400 	4<chiso range<11 	27.3737	28.0318	5.77584	0.11394
60  <pt<400 	4<chiso range<12 	27.3737	28.2449	5.72294	0.152229
60  <pt<400 	4<chiso range<13 	27.3737	28.3398	5.69638	0.169599
60  <pt<400 	5<chiso range<10 	27.3737	27.9518	5.80169	0.0996434
60  <pt<400 	5<chiso range<11 	27.3737	28.0689	5.75444	0.120811
60  <pt<400 	5<chiso range<12 	27.3737	28.3308	5.70437	0.167784
60  <pt<400 	5<chiso range<13 	27.3737	28.4278	5.67635	0.1857
60  <pt<400 	6<chiso range<11 	27.3737	28.073	5.75168	0.121582
60  <pt<400 	6<chiso range<12 	27.3737	28.3797	5.69313	0.176704
60  <pt<400 	6<chiso range<13 	27.3737	28.4854	5.66203	0.196343
60  <pt<400 	7<chiso range<12 	27.3737	28.3647	5.72811	0.173006
60  <pt<400 	7<chiso range<13 	27.3737	28.4875	5.68484	0.195925
60  <pt<400 	8<chiso range<13 	27.3737	28.4426	5.68656	0.18797
#######################################################################################
